start,end,word,alignment_score,probability,speaker
9.86,11.281,Gracias.,0.2240,0.5137,UNKNOWN
40.0,40.907,"Bien,",0.8820,0.9381,SPEAKER_05
41.29,41.492,vamos,0.6870,0.9995,SPEAKER_05
41.593,41.633,a,0.8930,1.0000,SPEAKER_05
41.693,41.774,dar,0.7330,0.9994,SPEAKER_05
41.835,42.218,inicio,0.9860,1.0000,SPEAKER_05
42.238,42.258,a,0.9950,0.9988,SPEAKER_05
42.681,42.943,esta,0.9760,0.9987,SPEAKER_05
43.064,43.306,cuarta,0.9140,0.9996,SPEAKER_05
43.387,43.609,sesión,0.7820,0.9998,SPEAKER_05
43.649,43.79,del,0.4280,0.9971,SPEAKER_05
43.851,44.153,Seminario,0.9170,0.9130,SPEAKER_05
44.193,44.254,de,0.2520,0.9999,SPEAKER_05
44.314,44.778,Formación,0.8380,0.9977,SPEAKER_05
44.798,45.04,Democrática.,0.0830,0.9998,SPEAKER_05
46.2,46.464,Esta,0.6830,0.9988,SPEAKER_05
46.504,46.586,vez,0.8870,1.0000,SPEAKER_05
46.646,47.093,contamos,0.9510,0.9999,SPEAKER_05
47.803,47.905,con,0.8210,1.0000,SPEAKER_05
47.945,47.986,el,0.8150,1.0000,SPEAKER_05
48.047,48.392,profesor,0.9190,0.9884,SPEAKER_05
48.432,48.655,Andrés,0.6110,0.9999,SPEAKER_05
48.676,49.0,Benavente.,0.2370,0.9936,SPEAKER_05
50.44,50.602,Él,0.8690,0.9788,SPEAKER_05
50.663,50.805,es,0.8330,1.0000,SPEAKER_05
50.866,51.17,sociólogo,0.5500,0.9996,SPEAKER_05
51.271,51.312,y,0.6770,1.0000,SPEAKER_05
51.352,51.738,cientista,0.8890,0.9987,SPEAKER_05
51.819,52.265,político,0.9800,0.9999,SPEAKER_05
52.529,52.589,de,0.9820,0.9998,SPEAKER_05
52.63,52.671,la,0.9880,1.0000,SPEAKER_05
52.711,53.096,Universidad,0.3950,0.9999,SPEAKER_05
53.117,53.238,de,0.5820,1.0000,SPEAKER_05
