start,end,word,alignment_score,probability,speaker
4.9,5.925,Tenemos,0.8510,0.8945,SPEAKER_07
6.005,6.106,el,0.2600,0.9999,SPEAKER_07
6.126,6.648,agrado,0.6680,0.9993,SPEAKER_07
8.959,9.04,de,0.7290,0.9984,SPEAKER_07
9.1,9.341,tener,0.9230,0.9999,SPEAKER_07
9.401,9.482,en,0.6640,0.9998,SPEAKER_07
9.542,9.783,esta,0.7020,0.9999,SPEAKER_07
9.803,10.125,sala,0.9660,0.9999,SPEAKER_07
11.732,11.893,a,0.9380,0.9996,SPEAKER_07
12.315,12.476,don,0.7990,0.8788,SPEAKER_07
12.496,12.858,Alberto,0.8740,1.0000,SPEAKER_07
12.918,13.219,Venegas,0.6420,0.9794,SPEAKER_07
13.24,13.36,"Lynch,",0.1660,0.9726,SPEAKER_07
13.6,14.448,quien,0.7270,0.6232,SPEAKER_07
14.488,14.549,va,0.8240,0.9997,SPEAKER_07
14.569,14.589,a,0.2350,0.9999,SPEAKER_07
14.63,15.094,disertar,0.6830,0.9675,SPEAKER_07
15.114,15.195,más,0.5740,0.9998,SPEAKER_07
15.256,15.7,adelante,0.9480,1.0000,SPEAKER_07
16.831,17.012,sobre,0.8100,0.9997,SPEAKER_07
17.033,17.113,el,0.4480,1.0000,SPEAKER_07
17.194,17.356,tema,0.9220,1.0000,SPEAKER_07
17.416,17.82,anunciado.,0.2660,0.9999,SPEAKER_07
18.18,19.047,Y,0.8580,0.9997,SPEAKER_07
19.108,19.169,me,0.9670,1.0000,SPEAKER_07
19.249,19.935,"corresponde,",0.9660,1.0000,SPEAKER_07
20.238,20.339,he,0.8410,0.9991,SPEAKER_07
20.379,20.722,recibido,0.7980,1.0000,SPEAKER_07
20.762,20.823,el,0.9350,0.9995,SPEAKER_07
20.883,21.327,encargo,0.9710,0.9999,SPEAKER_07
21.852,21.932,del,0.8190,1.0000,SPEAKER_07
21.993,22.316,Consejo,0.9500,0.9959,SPEAKER_07
22.336,22.84,Directivo,0.5100,0.9994,SPEAKER_07
22.82,23.243,del,0.4210,1.0000,SPEAKER_07
23.989,24.231,Centro,0.6640,0.9999,SPEAKER_07
24.251,24.292,de,0.5140,1.0000,SPEAKER_07
24.332,24.614,Estudios,0.9340,0.9997,SPEAKER_07
24.735,25.159,Públicos,0.8350,0.9997,SPEAKER_07
25.179,25.219,de,0.4970,0.3247,SPEAKER_07
26.187,26.53,darle,0.5480,0.9995,SPEAKER_07
26.61,26.671,la,0.9260,1.0000,SPEAKER_07
26.711,27.255,bienvenida,0.8220,1.0000,SPEAKER_07
27.276,27.296,a,0.8880,0.9997,SPEAKER_07
27.659,27.86,Alberto,0.2450,0.9998,SPEAKER_07
27.84,27.9,y,0.2020,0.5227,SPEAKER_07
27.921,27.941,a,0.4250,0.9849,SPEAKER_07
