start,end,word,alignment_score,probability,speaker
13.94,14.669,Siguiendo,0.8830,0.8624,SPEAKER_06
14.831,14.973,con,0.8770,0.9999,SPEAKER_06
15.135,15.196,la,0.8360,0.9925,SPEAKER_06
15.358,15.622,charla,0.6920,0.9999,SPEAKER_06
15.642,15.763,del,0.0880,0.9981,SPEAKER_06
15.804,16.169,Seminario,0.6290,0.9609,SPEAKER_06
16.189,16.229,de,0.8250,0.9907,SPEAKER_06
16.25,16.614,Información,0.8320,0.9800,SPEAKER_06
16.695,17.08,Democrática,0.2140,0.9999,SPEAKER_06
18.5,19.104,le,0.6700,0.1072,SPEAKER_06
19.145,19.749,corresponde,0.8390,1.0000,SPEAKER_06
19.769,19.829,hoy,0.3330,0.9979,SPEAKER_06
20.212,20.494,día,0.9980,0.9996,SPEAKER_06
20.514,22.005,exponer,0.8170,0.9965,SPEAKER_06
22.831,22.952,al,0.8850,0.9986,SPEAKER_06
23.173,23.516,rector,0.7130,0.7439,SPEAKER_06
23.536,23.576,de,0.6520,0.9924,SPEAKER_06
23.637,23.677,la,0.2720,0.9771,SPEAKER_06
23.717,23.939,Universidad,0.0040,0.9751,SPEAKER_06
23.959,23.999,de,0.0000,0.9999,SPEAKER_06
24.019,24.12,Chile,0.1990,0.9999,SPEAKER_06
24.1,24.468,en,0.2950,0.4269,SPEAKER_06
24.489,24.632,el,0.4610,0.7952,SPEAKER_06
24.693,25.122,comercial,0.8190,0.8230,SPEAKER_06
25.163,25.225,Don,0.3300,0.4624,SPEAKER_06
25.286,25.634,Edgardo,0.6500,0.8063,SPEAKER_06
25.654,25.94,Benínguez,0.3860,0.9166,SPEAKER_06
28.82,29.746,sobre,0.9630,0.7811,SPEAKER_06
30.309,30.41,el,0.7620,0.9990,SPEAKER_06
30.531,30.792,tema,0.9850,0.9999,SPEAKER_06
31.96,32.281,Chile,0.7920,0.9205,SPEAKER_06
32.463,33.086,perspectiva,0.9390,0.7241,SPEAKER_06
34.495,35.139,económica,0.8570,0.9993,SPEAKER_06
35.159,35.28,futura,0.1670,0.9984,SPEAKER_06
36.56,37.149,sujeto,0.6600,0.5262,SPEAKER_06
37.17,37.19,a,0.3740,0.9933,SPEAKER_06
37.21,37.271,las,0.3360,0.9869,SPEAKER_06
37.292,37.434,mismas,0.4910,0.9931,SPEAKER_06
37.474,37.942,condiciones,0.9070,0.9996,SPEAKER_06
37.962,39.12,usuales,0.4940,0.9942,SPEAKER_06
39.1,39.302,es,0.3940,0.3184,SPEAKER_06
39.322,39.464,"decir,",0.8400,0.9991,SPEAKER_06
39.747,39.808,él,0.7980,0.0495,SPEAKER_06
39.848,39.909,va,0.5410,0.9987,SPEAKER_06
39.929,39.949,a,0.6230,0.9998,SPEAKER_06
39.969,40.313,exponer,0.8270,0.9987,SPEAKER_06
40.333,40.353,y,0.9990,0.9975,SPEAKER_06
41.081,41.384,después,0.8250,0.9991,SPEAKER_06
41.465,41.748,ustedes,0.8480,0.9989,SPEAKER_06
41.829,42.011,pueden,0.8720,0.9997,SPEAKER_06
42.052,42.335,hacer,0.8170,0.9999,SPEAKER_06
42.355,42.476,las,0.8400,0.9787,SPEAKER_06
42.678,42.86,preguntas,0.1100,1.0000,SPEAKER_06
42.84,43.206,o,0.3040,0.9874,SPEAKER_06
43.226,44.243,alcances,0.7190,0.9890,SPEAKER_06
