start,end,word,alignment_score,probability,speaker
0.0,0.282,9,0.8760,0.9836,SPEAKER_00
0.363,0.484,de,0.7600,0.9996,SPEAKER_00
0.605,1.028,"agosto,",0.8450,0.9909,SPEAKER_00
1.794,1.875,las,0.8360,0.9999,SPEAKER_00
1.935,2.217,Fuerzas,0.8870,0.9794,SPEAKER_00
2.298,2.641,Armadas,0.9150,0.9999,SPEAKER_00
2.681,2.963,fueron,0.7790,0.9998,SPEAKER_00
3.024,3.346,llamadas,0.9630,1.0000,SPEAKER_00
3.366,4.152,nuevamente,0.7480,1.0000,SPEAKER_00
4.233,4.334,por,0.9810,1.0000,SPEAKER_00
4.374,4.435,el,0.8990,1.0000,SPEAKER_00
4.515,4.979,presidente,0.8610,0.8182,SPEAKER_00
4.999,5.14,Allende,0.1430,0.9988,SPEAKER_00
5.12,6.031,para,0.7000,0.9957,SPEAKER_00
6.072,6.557,integrar,0.7640,1.0000,SPEAKER_00
6.578,6.618,un,0.5000,1.0000,SPEAKER_00
6.76,7.226,gabinete,0.8710,0.9039,SPEAKER_00
7.671,7.752,de,0.9880,1.0000,SPEAKER_00
7.833,8.238,seguridad,0.7240,0.9582,SPEAKER_00
8.258,8.44,nacional.,0.1110,1.0000,SPEAKER_00
9.26,10.069,Los,0.6930,1.0000,SPEAKER_00
10.109,10.594,comandantes,0.8180,0.9995,SPEAKER_00
10.655,10.817,en,0.5160,0.9998,SPEAKER_00
10.837,11.14,jefe,0.8180,0.9999,SPEAKER_00
11.666,12.192,asumieron,0.8530,0.9991,SPEAKER_00
12.353,12.475,como,0.9450,0.9994,SPEAKER_00
12.535,13.0,"ministros,",0.6230,1.0000,SPEAKER_00
13.0,14.176,convirtiéndose,0.9040,0.9999,SPEAKER_00
14.258,14.339,en,0.8200,1.0000,SPEAKER_00
14.379,14.44,el,0.8450,1.0000,SPEAKER_00
14.521,14.805,blanco,0.8440,0.9992,SPEAKER_00
14.866,14.947,de,0.8180,1.0000,SPEAKER_00
14.988,15.069,los,0.9830,1.0000,SPEAKER_00
15.15,15.454,ataques,0.6440,1.0000,SPEAKER_00
15.495,15.88,derechistas.,0.2000,0.9983,SPEAKER_00
17.02,17.242,Uno,0.9100,1.0000,SPEAKER_00
17.302,17.343,de,0.8250,1.0000,SPEAKER_00
17.383,17.464,los,0.8230,1.0000,SPEAKER_00
17.585,17.847,líderes,0.9790,1.0000,SPEAKER_00
17.907,17.968,de,0.8820,1.0000,SPEAKER_00
17.988,18.049,la,0.2520,1.0000,SPEAKER_00
18.069,18.593,"oposición,",0.9030,1.0000,SPEAKER_00
18.613,18.654,el,0.5000,1.0000,SPEAKER_00
19.46,19.803,senador,0.9980,0.9999,SPEAKER_00
19.823,20.348,Pedro,0.6500,1.0000,SPEAKER_00
20.388,20.812,"Ibáñez,",0.8230,0.8787,SPEAKER_00
21.195,21.356,así,0.8650,1.0000,SPEAKER_00
21.397,21.457,lo,0.8900,1.0000,SPEAKER_00
21.518,21.82,expresó.,0.3110,1.0000,SPEAKER_00
22.16,22.827,Yo,0.5580,0.9967,SPEAKER_01
22.847,22.948,hago,0.4460,0.9990,SPEAKER_01
23.029,23.13,una,0.8270,1.0000,SPEAKER_01
23.19,23.776,distinción.,0.9460,0.9999,SPEAKER_01
23.796,24.725,Yo,0.7720,0.9998,SPEAKER_01
24.745,24.806,no,0.6160,1.0000,SPEAKER_01
24.867,25.028,hablo,0.6980,0.9999,SPEAKER_01
25.069,25.109,en,0.9210,0.9684,SPEAKER_01
25.149,25.27,este,0.6900,0.9999,SPEAKER_01
25.331,25.513,caso,0.9730,1.0000,SPEAKER_01
25.553,25.594,de,0.9400,1.0000,SPEAKER_01
25.634,25.695,las,0.9340,0.9999,SPEAKER_01
25.755,25.998,Fuerzas,0.5980,0.9999,SPEAKER_01
26.099,26.26,Armadas.,0.1250,0.9999,SPEAKER_01
26.24,27.408,Los,0.7340,0.7801,SPEAKER_01
