start,end,word,alignment_score,probability,speaker
0.0,0.945,"Septiembre,",0.7420,0.9951,SPEAKER_00
2.01,2.653,"septiembre,",0.8350,0.9229,SPEAKER_00
3.859,3.98,tu,0.8220,0.9969,SPEAKER_00
4.0,4.302,dolor,0.9620,1.0000,SPEAKER_00
4.402,4.643,marcó,0.9540,0.9985,SPEAKER_00
4.704,4.764,la,0.7940,1.0000,SPEAKER_00
4.844,5.246,partida,0.9800,1.0000,SPEAKER_00
5.307,5.448,del,0.7720,1.0000,SPEAKER_00
5.548,5.95,poeta,0.9880,0.9998,SPEAKER_00
6.01,6.071,de,0.7660,0.9999,SPEAKER_00
6.111,6.211,los,0.9620,0.9999,SPEAKER_00
6.292,6.714,"poetas,",0.9220,0.9998,SPEAKER_00
7.438,7.779,Pablo,0.8480,0.9999,SPEAKER_00
7.799,7.94,Neruda.,0.1430,0.9999,SPEAKER_00
8.84,9.809,Venciendo,0.9200,0.9976,SPEAKER_00
9.869,9.93,el,0.6520,0.9998,SPEAKER_00
10.01,10.333,"miedo,",0.9710,1.0000,SPEAKER_00
11.1,11.443,algunos,0.8600,1.0000,SPEAKER_00
11.463,11.887,llegaron,0.9430,1.0000,SPEAKER_00
12.452,12.654,hasta,0.8530,1.0000,SPEAKER_00
12.694,12.775,el,0.9570,1.0000,SPEAKER_00
12.835,13.38,"cementerio,",0.9410,0.9998,SPEAKER_00
14.24,14.623,otros,0.5450,0.9999,SPEAKER_00
15.229,15.693,supieron,0.9800,0.9997,SPEAKER_00
15.753,15.834,de,0.6960,1.0000,SPEAKER_00
15.895,15.975,su,0.9300,1.0000,SPEAKER_00
16.036,16.399,funeral,0.9710,0.9999,SPEAKER_00
16.439,17.186,por,0.5630,0.9996,SPEAKER_00
17.267,17.327,la,0.9920,1.0000,SPEAKER_00
17.388,17.912,transmisión,0.7300,1.0000,SPEAKER_00
17.933,17.973,de,0.4980,0.9997,SPEAKER_00
18.013,18.558,Radio,0.4290,0.9971,SPEAKER_00
18.578,18.78,Moscú.,0.4150,0.9986,SPEAKER_00
52.06,53.481,¡Gracias!,0.3650,0.7485,SPEAKER_02
60.0,62.495,¡Gracias,0.3680,0.5743,SPEAKER_02
62.515,62.535,a,0.0050,0.2707,SPEAKER_02
62.555,62.776,todos,0.4250,0.2371,SPEAKER_02
62.796,62.937,los,0.6610,0.5607,SPEAKER_02
63.018,63.561,pueblos,0.6100,0.8296,SPEAKER_02
63.681,64.003,con,0.5600,0.4213,SPEAKER_02
64.023,64.506,valor,0.6670,0.9819,SPEAKER_02
65.291,65.351,por,0.0060,0.6828,SPEAKER_02
65.371,65.834,la,0.7630,0.9845,SPEAKER_02
66.156,66.276,lucha,0.2250,0.4362,SPEAKER_02
66.498,66.9,nacional!,0.2860,0.7457,SPEAKER_02
68.3,69.16,¡Viva,0.4550,0.9224,UNKNOWN
69.303,69.487,el,0.5240,0.9569,UNKNOWN
69.549,69.835,partido,0.1990,0.6795,UNKNOWN
69.856,70.06,comunista!,0.1430,0.9884,UNKNOWN
70.2,70.642,¡Viva!,0.2950,0.8938,UNKNOWN
71.38,72.188,¡La,0.4200,0.7753,UNKNOWN
