start,end,word,alignment_score,probability,speaker
4.56,5.196,Bienvenidos,0.6830,0.8921,SPEAKER_06
5.216,5.278,al,0.5010,0.9779,SPEAKER_06
5.319,5.462,Centro,0.6260,0.9981,SPEAKER_06
5.483,5.524,de,0.1540,0.9724,SPEAKER_06
5.544,5.749,Estudios,0.9310,0.9994,SPEAKER_06
5.852,6.22,Públicos.,0.8370,0.9999,SPEAKER_06
10.16,10.805,Esta,0.7360,0.9993,SPEAKER_06
10.866,11.168,tarde,0.9900,1.0000,SPEAKER_06
11.39,11.45,el,0.9770,0.9987,SPEAKER_06
11.551,11.773,tema,0.9820,1.0000,SPEAKER_06
11.934,12.942,"es,",0.5080,1.0000,SPEAKER_06
12.962,13.083,como,0.9630,1.0000,SPEAKER_06
13.123,13.305,ustedes,0.8260,0.9997,SPEAKER_06
13.365,13.567,"saben,",0.7790,0.9999,SPEAKER_06
13.587,13.647,las,0.7460,0.9981,SPEAKER_06
13.688,14.232,tribulaciones,0.8310,0.9925,SPEAKER_06
14.292,14.454,del,0.8570,0.9999,SPEAKER_06
15.159,15.28,César.,0.1730,0.9995,SPEAKER_06
17.44,18.045,La,0.9800,1.0000,SPEAKER_06
18.106,18.267,semana,0.6950,1.0000,SPEAKER_06
18.368,18.631,pasada,0.8630,0.9999,SPEAKER_06
18.651,18.711,en,0.7260,0.9793,SPEAKER_06
18.732,18.772,el,0.9550,1.0000,SPEAKER_06
18.812,19.014,Instituto,0.2470,0.9997,SPEAKER_06
19.075,19.297,Chileno,0.7990,0.9955,SPEAKER_06
19.357,19.801,"Francés,",0.8400,0.7711,SPEAKER_06
19.821,20.931,algunos,0.8600,0.9999,SPEAKER_06
21.335,21.396,de,0.9280,1.0000,SPEAKER_06
21.416,21.476,los,0.9830,1.0000,SPEAKER_06
21.497,21.577,que,0.5670,1.0000,SPEAKER_06
21.597,21.819,estamos,0.6990,0.9858,SPEAKER_06
21.84,21.9,acá,0.3330,1.0000,SPEAKER_06
21.88,22.406,estábamos,0.2850,0.9548,SPEAKER_06
22.447,22.932,discutiendo,0.9080,1.0000,SPEAKER_06
22.952,22.973,a,0.9880,0.9689,SPEAKER_06
24.004,24.369,propósito,0.9820,1.0000,SPEAKER_06
24.409,24.45,de,0.9950,0.9999,SPEAKER_06
24.49,24.53,la,0.9910,1.0000,SPEAKER_06
24.611,24.713,obra,0.8270,0.9992,SPEAKER_06
24.733,24.793,de,0.7460,1.0000,SPEAKER_06
24.854,25.218,Michel,0.7910,0.9905,SPEAKER_06
25.239,25.38,"Serres,",0.1430,0.7642,SPEAKER_06
25.36,26.063,que,0.6600,0.9205,SPEAKER_06
26.104,26.244,tiene,0.6740,0.9977,SPEAKER_06
26.305,26.606,justamente,0.8850,0.9976,SPEAKER_06
26.666,26.727,un,0.7500,0.9999,SPEAKER_06
26.787,26.988,libro,0.9080,1.0000,SPEAKER_06
27.068,27.269,sobre,0.8280,0.9998,SPEAKER_06
27.41,27.691,"Roma,",0.8770,0.9982,SPEAKER_06
28.816,29.017,y,0.9770,0.9961,SPEAKER_06
29.239,29.319,que,0.7250,0.9996,SPEAKER_06
29.399,29.5,ve,0.8150,0.9999,SPEAKER_06
29.52,29.56,a,0.8180,0.9942,SPEAKER_06
29.661,29.882,Roma,0.9620,1.0000,SPEAKER_06
29.942,30.163,como,0.9850,0.9999,SPEAKER_06
31.449,31.67,un,0.8360,0.9987,SPEAKER_06
33.64,33.76,pueblo,0.1640,0.9993,SPEAKER_06
34.32,34.989,caracterizado,0.9350,0.9992,SPEAKER_06
