start,end,word,alignment_score,probability,speaker
0.0,0.262,En,0.8550,0.9975,SPEAKER_00
0.303,0.525,medio,0.9800,1.0000,SPEAKER_00
0.585,0.706,del,0.8170,1.0000,SPEAKER_00
0.767,1.19,doloroso,0.9060,1.0000,SPEAKER_00
1.291,1.755,"silencio,",0.9420,1.0000,SPEAKER_00
1.816,2.361,se,0.8360,1.0000,SPEAKER_00
2.401,2.704,alzó,0.6630,0.9999,SPEAKER_00
2.724,2.784,la,0.9020,1.0000,SPEAKER_00
2.845,2.986,voz,0.8450,1.0000,SPEAKER_00
3.026,3.087,de,0.9100,1.0000,SPEAKER_00
3.127,3.208,los,0.9340,1.0000,SPEAKER_00
3.309,3.692,obispos,0.9040,0.9947,SPEAKER_00
3.732,3.793,de,0.6040,1.0000,SPEAKER_00
3.833,3.874,la,0.9880,1.0000,SPEAKER_00
3.934,4.277,Iglesia,0.7780,0.9930,SPEAKER_00
4.439,4.62,"Católica,",0.1130,0.9997,SPEAKER_00
6.18,6.465,Cardenal,0.3830,0.9984,SPEAKER_00
7.136,7.502,Raúl,0.9140,0.9998,SPEAKER_00
7.787,8.133,Silva,0.9810,0.9985,SPEAKER_00
8.194,8.56,Enríquez.,0.2930,0.9942,SPEAKER_00
8.86,9.284,Nos,0.2950,0.9978,SPEAKER_01
9.304,9.627,duele,0.6820,0.9998,SPEAKER_01
9.687,10.434,inmensamente,0.6220,0.9993,SPEAKER_01
10.454,10.474,y,0.3430,0.9975,SPEAKER_01
10.495,10.575,nos,0.7820,0.9865,SPEAKER_01
10.656,11.1,oprime,0.8820,0.9933,SPEAKER_01
11.201,11.282,la,0.8200,0.7690,SPEAKER_01
11.302,11.746,sangre,0.5410,1.0000,SPEAKER_01
11.766,11.847,que,0.6190,1.0000,SPEAKER_01
11.968,12.008,ha,0.3560,0.9996,SPEAKER_01
12.048,12.553,enrojecido,0.7000,0.9911,SPEAKER_01
12.613,12.956,nuestras,0.7160,0.9978,SPEAKER_01
13.037,13.38,"calles,",0.7620,0.9999,SPEAKER_01
13.36,14.174,nuestras,0.4530,0.9997,SPEAKER_01
14.214,14.804,poblaciones,0.5440,1.0000,SPEAKER_01
14.885,14.906,y,0.6450,0.9999,SPEAKER_01
15.048,15.577,nuestras,0.5770,0.8619,SPEAKER_01
15.597,15.78,"fábricas,",0.1110,0.9999,SPEAKER_01
16.54,16.887,sangre,0.1800,0.9992,SPEAKER_01
16.907,16.969,de,0.0230,1.0000,SPEAKER_01
17.152,17.642,civiles,0.7180,0.9977,SPEAKER_01
17.662,17.683,y,0.0070,1.0000,SPEAKER_01
17.703,18.03,sangre,0.4480,0.9999,SPEAKER_01
18.091,18.234,de,0.4460,1.0000,SPEAKER_01
18.254,18.56,"soldados,",0.3900,0.9998,SPEAKER_01
19.26,19.444,y,0.6580,1.0000,SPEAKER_01
19.464,19.566,las,0.9370,0.6170,SPEAKER_01
