start,end,word,alignment_score,probability,speaker
2.84,3.53,Centro,0.6800,0.9618,SPEAKER_01
3.55,3.59,de,0.4340,0.9705,SPEAKER_01
3.631,3.813,Estudios,0.1630,0.9922,SPEAKER_01
3.874,4.178,"Públicos,",0.8950,0.9998,SPEAKER_01
4.28,4.543,tengo,0.6040,0.9988,SPEAKER_01
4.99,5.03,el,0.0020,0.9996,SPEAKER_01
5.05,5.253,agrado,0.1880,0.9873,SPEAKER_01
5.274,5.334,de,0.3500,0.9415,SPEAKER_01
5.375,5.76,saludarlos,0.3330,0.9986,SPEAKER_01
5.74,6.972,para,0.5160,0.9805,SPEAKER_01
6.992,7.154,esta,0.8740,1.0000,SPEAKER_01
7.234,7.618,tercera,0.8720,0.9998,SPEAKER_01
7.759,8.103,reunión,0.8110,1.0000,SPEAKER_01
8.123,8.163,de,0.4980,0.9999,SPEAKER_01
9.577,9.92,evaluación,0.1720,0.9999,SPEAKER_01
9.9,10.352,¿Qué,0.4190,0.5608,SPEAKER_01
10.414,10.558,pasó,0.9720,0.9998,SPEAKER_01
10.599,10.681,con,0.9100,1.0000,SPEAKER_01
10.702,10.743,la,0.3420,1.0000,SPEAKER_01
10.784,11.113,economía,0.8570,0.9996,SPEAKER_01
11.236,11.401,chilena?,0.1310,0.9998,SPEAKER_01
12.94,13.605,Con,0.9300,0.8201,SPEAKER_01
14.21,14.331,una,0.8750,1.0000,SPEAKER_01
14.452,14.856,"charla,",0.8660,0.9998,SPEAKER_01
15.521,15.682,ante,0.9650,0.9874,SPEAKER_01
15.743,15.884,todo,0.9570,0.9991,SPEAKER_01
15.904,15.924,a,0.3750,0.9204,SPEAKER_01
16.005,16.287,cargo,0.9880,0.9999,SPEAKER_01
16.307,16.731,del,0.5820,0.9899,SPEAKER_01
16.771,17.013,profesor,0.6470,0.9824,SPEAKER_01
17.053,17.396,Ricardo,0.6040,0.9998,SPEAKER_01
17.416,17.88,French-Navis,0.5410,0.9878,SPEAKER_01
17.86,18.878,Doctor,0.6780,0.8946,SPEAKER_01
18.918,18.979,en,0.4720,0.0311,SPEAKER_01
19.041,19.366,Economía,0.7750,0.9777,SPEAKER_01
19.387,19.427,de,0.5140,0.9962,SPEAKER_01
19.448,19.488,la,0.9880,0.9800,SPEAKER_01
19.529,19.956,Universidad,0.7910,1.0000,SPEAKER_01
19.977,20.018,de,0.0000,1.0000,SPEAKER_01
20.038,20.18,Chicago,0.1430,1.0000,SPEAKER_01
20.16,20.325,y,0.2270,0.9998,SPEAKER_01
20.345,20.777,actual,0.7480,0.9983,SPEAKER_01
20.818,21.25,investigador,0.6420,0.9995,SPEAKER_01
21.291,21.374,del,0.3390,0.9997,SPEAKER_01
21.394,21.621,CIEPLAN,0.2960,0.7111,SPEAKER_01
23.14,24.21,A,0.8880,0.8955,SPEAKER_01
24.251,24.311,la,0.5160,0.7632,SPEAKER_01
24.352,24.412,que,0.9750,0.9999,SPEAKER_01
24.473,24.735,seguirá,0.9170,1.0000,SPEAKER_01
24.857,24.897,un,0.7720,0.9995,SPEAKER_01
24.978,25.563,comentario,0.9330,1.0000,SPEAKER_01
25.583,26.492,del,0.4640,1.0000,SPEAKER_01
26.533,26.856,profesor,0.8570,0.9982,SPEAKER_01
26.896,27.179,Álvaro,0.6920,0.9998,SPEAKER_01
27.199,27.32,Zaguía,0.1660,0.9806,SPEAKER_01
27.3,27.792,Ingeniero,0.6910,0.5716,SPEAKER_01
27.853,28.16,Comercial,0.8380,0.7912,SPEAKER_01
28.222,28.263,de,0.8820,0.9931,SPEAKER_01
28.304,28.345,la,0.9790,0.9999,SPEAKER_01
28.386,28.816,Universidad,0.6780,1.0000,SPEAKER_01
28.837,28.878,de,0.0020,1.0000,SPEAKER_01
28.898,29.0,Chile,0.2000,1.0000,SPEAKER_01
28.98,30.541,Doctor,0.8510,0.9999,SPEAKER_01
30.562,30.622,en,0.2290,0.2160,SPEAKER_01
30.663,31.15,Economía,0.7800,0.9695,SPEAKER_01
31.19,31.251,de,0.7090,0.9860,SPEAKER_01
31.291,31.332,la,0.9780,0.9931,SPEAKER_01
31.373,31.717,Universidad,0.5320,0.9999,SPEAKER_01
31.738,31.778,de,0.0020,0.9993,SPEAKER_01
31.798,31.94,Chicago,0.1430,0.9998,SPEAKER_01
31.92,32.552,y,0.5140,0.9985,SPEAKER_01
32.675,32.94,profesor,0.6350,0.8781,SPEAKER_01
32.96,33.022,de,0.6890,0.6985,SPEAKER_01
33.042,33.328,Economía,0.8900,0.9918,SPEAKER_01
33.348,33.389,de,0.5970,0.9934,SPEAKER_01
33.409,33.45,la,0.5940,0.9468,SPEAKER_01
33.47,33.797,Universidad,0.3000,0.9999,SPEAKER_01
33.817,33.858,de,0.0020,0.9997,SPEAKER_01
33.878,33.98,Chile,0.2000,0.9977,SPEAKER_01
36.96,37.566,Con,0.7470,0.9458,SPEAKER_01
37.606,38.232,"posterioridad,",0.8350,0.0144,SPEAKER_01
38.596,38.636,la,0.8450,0.9982,SPEAKER_01
38.717,38.939,idea,0.9030,0.9987,SPEAKER_01
39.06,39.141,es,0.8880,0.9994,SPEAKER_01
39.403,39.626,armar,0.7670,0.9991,SPEAKER_01
39.686,39.747,un,0.7310,0.9922,SPEAKER_01
39.787,40.05,debate,0.7100,0.9997,SPEAKER_01
40.07,40.151,en,0.1570,0.9998,SPEAKER_01
40.272,40.575,torno,0.8650,0.9904,SPEAKER_01
40.655,40.696,a,0.7880,0.9999,SPEAKER_01
40.736,40.797,las,0.4730,0.9998,SPEAKER_01
40.817,41.16,proposiciones,0.2370,0.9963,SPEAKER_01
41.14,42.206,y,0.6360,0.9959,SPEAKER_01
42.226,42.347,para,0.7400,0.7316,SPEAKER_01
42.407,42.467,los,0.8880,0.9920,SPEAKER_01
42.508,42.749,efectos,0.6960,0.9985,SPEAKER_01
42.769,42.809,de,0.9600,0.9971,SPEAKER_01
42.849,43.352,"economía,",0.7760,0.9996,SPEAKER_01
44.056,44.599,propongo,0.9770,0.9160,SPEAKER_01
45.203,45.806,que,0.8820,0.9994,SPEAKER_01
47.837,47.958,los,0.7090,0.9989,SPEAKER_01
48.018,48.38,interesados,0.4250,0.9745,SPEAKER_01
