start,end,word,alignment_score,probability,speaker
2.12,2.825,Buenas,0.9240,0.9749,SPEAKER_04
2.886,3.147,"tardes,",0.9660,0.9999,SPEAKER_04
3.51,3.571,en,0.9860,0.9995,SPEAKER_04
3.631,3.812,nombre,0.7480,0.9997,SPEAKER_04
3.832,3.913,del,0.5200,0.9998,SPEAKER_04
3.953,4.175,Centro,0.7940,0.9971,SPEAKER_04
4.195,4.235,de,0.5940,0.9879,SPEAKER_04
4.256,4.518,Estudios,0.8270,0.9995,SPEAKER_04
4.618,4.92,Públicos,0.8510,0.9998,SPEAKER_04
4.961,5.243,les,0.7880,0.9859,SPEAKER_04
5.303,5.464,doy,0.9720,1.0000,SPEAKER_04
5.646,5.726,la,0.6390,1.0000,SPEAKER_04
5.767,6.27,bienvenida,0.7940,1.0000,SPEAKER_04
6.311,6.331,a,0.9980,0.9998,SPEAKER_04
6.915,7.499,este,0.8780,0.9998,SPEAKER_04
7.519,7.62,panel,0.2000,0.9999,SPEAKER_04
7.6,9.935,sobre,0.7600,0.9999,SPEAKER_04
9.975,10.016,la,0.9920,0.9936,SPEAKER_04
10.076,10.64,contaminación,0.9240,0.9999,SPEAKER_04
10.68,10.841,del,0.3830,0.9999,SPEAKER_04
10.881,11.042,medio,0.6240,0.9996,SPEAKER_04
11.083,11.405,"ambiente,",0.8080,0.9640,SPEAKER_04
11.445,11.868,problemas,0.5750,0.9999,SPEAKER_04
11.888,11.908,y,0.9310,0.9999,SPEAKER_04
11.928,12.653,soluciones.,0.6860,0.9998,SPEAKER_04
13.096,13.72,Especialmente,0.8010,0.9998,SPEAKER_04
13.74,13.8,les,0.3330,0.8070,SPEAKER_04
13.78,14.705,doy,0.6680,0.9999,SPEAKER_04
14.745,14.806,la,0.9780,1.0000,SPEAKER_04
14.826,15.228,bienvenida,0.7200,1.0000,SPEAKER_04
15.248,15.268,a,0.2310,1.0000,SPEAKER_04
15.289,15.409,los,0.7990,1.0000,SPEAKER_04
15.872,16.556,panelistas.,0.7990,1.0000,SPEAKER_04
18.024,18.105,La,0.9390,1.0000,SPEAKER_04
18.165,18.326,idea,0.9120,1.0000,SPEAKER_04
18.386,18.447,es,0.6700,1.0000,SPEAKER_04
18.467,18.527,que,0.5030,1.0000,SPEAKER_04
18.547,18.607,en,0.7460,1.0000,SPEAKER_04
18.628,18.768,este,0.8630,1.0000,SPEAKER_04
18.809,19.11,panel,0.9290,1.0000,SPEAKER_04
19.13,19.412,cada,0.7280,0.9993,SPEAKER_04
19.513,19.633,uno,0.7960,0.9999,SPEAKER_04
19.673,19.734,de,0.5310,1.0000,SPEAKER_04
19.794,19.935,los,0.7940,1.0000,SPEAKER_04
20.237,20.84,expositores,0.7440,0.9999,SPEAKER_04
21.9,22.804,exponga,0.9700,0.9195,SPEAKER_04
23.466,23.527,en,0.8820,0.9961,SPEAKER_04
23.567,23.667,una,0.9680,0.9988,SPEAKER_04
23.707,24.009,primera,0.9930,0.9998,SPEAKER_04
24.149,24.491,ronda,0.9700,0.9998,SPEAKER_04
24.511,25.314,20,0.9610,0.9685,SPEAKER_04
25.414,26.077,minutos,0.8280,0.9997,SPEAKER_04
26.097,26.117,y,0.9880,0.7500,SPEAKER_04
26.137,27.423,"20,",0.7890,0.9924,SPEAKER_04
27.463,27.563,no,0.8400,0.9979,SPEAKER_04
27.583,28.045,"21,",0.7540,0.9989,SPEAKER_04
28.748,29.19,respecto,0.8760,0.9993,SPEAKER_04
29.27,29.491,del,0.8220,0.9461,SPEAKER_04
29.913,30.555,diagnóstico,0.9280,0.9999,SPEAKER_04
30.575,30.636,del,0.3190,0.9891,SPEAKER_04
30.676,31.72,problema,0.2070,0.9997,SPEAKER_04
31.7,31.74,de,0.1760,0.9932,SPEAKER_04
31.76,31.801,la,0.1580,0.9903,SPEAKER_04
32.022,32.627,contaminación,0.5370,1.0000,SPEAKER_04
32.647,32.667,y,0.9990,0.9994,SPEAKER_04
32.688,32.748,sus,0.3320,0.9979,SPEAKER_04
32.788,34.179,soluciones,0.8060,0.9999,SPEAKER_04
34.199,34.219,o,0.9990,0.5598,SPEAKER_04
35.469,35.529,de,0.9140,0.9994,SPEAKER_04
35.57,35.61,la,0.9820,0.9998,SPEAKER_04
35.67,36.013,perspectiva,0.8310,0.9999,SPEAKER_04
36.053,36.134,que,0.8020,0.9987,SPEAKER_04
36.154,36.275,ellos,0.3870,0.9841,SPEAKER_04
36.315,36.557,estiman,0.7620,0.9942,SPEAKER_04
36.598,36.698,más,0.8010,0.9993,SPEAKER_04
36.718,36.94,conveniente,0.0910,0.9987,SPEAKER_04
36.92,37.564,abordarlo.,0.6470,0.9880,SPEAKER_04
38.45,39.034,Posteriormente,0.6680,0.9982,SPEAKER_04
39.054,39.476,dar,0.4560,0.4795,SPEAKER_04
39.597,39.859,paso,0.9950,0.9999,SPEAKER_04
39.879,39.899,a,1.0000,1.0000,SPEAKER_04
39.939,40.423,algunas,0.7560,0.9991,SPEAKER_04
40.483,40.886,preguntas,0.8600,0.9999,SPEAKER_04
41.872,41.932,de,0.9810,0.9990,SPEAKER_04
41.972,42.053,los,0.7610,0.9996,SPEAKER_04
42.113,42.556,asistentes,0.8660,0.9999,SPEAKER_04
42.697,42.818,para,0.9160,0.9964,SPEAKER_04
42.898,43.039,que,0.7520,0.9999,SPEAKER_04
43.059,43.16,luego,0.2000,0.9984,SPEAKER_04
43.14,43.864,terminen,0.5570,0.9727,SPEAKER_04
43.985,44.166,cada,0.5260,0.9976,SPEAKER_04
44.246,44.447,uno,0.8990,0.9998,SPEAKER_04
44.668,44.789,con,0.9520,0.9995,SPEAKER_04
44.869,45.151,5,0.6540,0.7139,SPEAKER_04
45.211,45.573,minutos,0.7840,0.9999,SPEAKER_04
45.593,45.634,de,0.4990,0.9984,SPEAKER_04
46.74,47.182,redondeo,0.8470,0.9991,SPEAKER_04
47.263,47.544,final.,0.9400,0.9997,SPEAKER_04
49.093,49.133,Lo,0.9920,0.9973,SPEAKER_04
49.173,49.334,vamos,0.9560,0.9999,SPEAKER_04
49.354,49.374,a,0.9860,0.9997,SPEAKER_04
49.394,49.676,hacer,0.7720,0.9996,SPEAKER_04
49.756,49.897,en,0.9460,0.9998,SPEAKER_04
49.998,50.339,estricto,0.5500,0.9662,SPEAKER_04
50.36,50.46,orden,0.1990,0.9957,SPEAKER_04
50.44,50.822,alfabético.,0.1220,0.8878,SPEAKER_04
50.82,50.881,En,0.1720,0.0216,SPEAKER_04
51.587,51.648,la,0.8800,0.1420,SPEAKER_04
51.688,51.951,primera,0.5930,0.9925,SPEAKER_04
51.991,52.274,vuelta,0.9440,0.9996,SPEAKER_04
52.294,52.314,y,0.9540,0.8698,SPEAKER_04
52.334,52.637,después,0.8410,0.9980,SPEAKER_04
52.738,53.324,posteriormente,0.8370,0.7370,SPEAKER_04
53.405,53.546,vamos,0.8670,0.9952,SPEAKER_04
53.566,53.586,a,0.7040,1.0000,SPEAKER_04
53.627,53.93,invertir,0.7790,0.9999,SPEAKER_04
53.97,54.071,el,0.6540,0.9995,SPEAKER_04
54.132,54.333,orden,0.8080,0.9999,SPEAKER_04
54.717,54.798,en,0.6070,0.9990,SPEAKER_04
54.818,54.858,la,0.2280,1.0000,SPEAKER_04
54.879,55.04,segunda.,0.1250,0.9999,SPEAKER_04
58.18,59.23,"Entonces,",0.1240,0.9947,SPEAKER_04
59.25,59.271,a,0.4460,0.9999,SPEAKER_04
59.331,59.513,pesar,0.9680,1.0000,SPEAKER_04
59.553,59.614,de,0.7860,1.0000,SPEAKER_04
59.654,59.695,la,0.9640,1.0000,SPEAKER_04
59.755,60.139,lluvia,0.8600,0.9999,SPEAKER_04
60.179,60.24,hoy,0.3300,0.3931,SPEAKER_04
60.442,60.624,"día,",0.9370,0.9946,SPEAKER_04
60.805,61.088,"digamos,",0.5010,0.5975,SPEAKER_04
61.108,61.512,probablemente,0.8150,0.9998,SPEAKER_04
61.533,61.573,el,0.0300,0.9404,SPEAKER_04
61.593,61.795,problema,0.1550,0.9851,SPEAKER_04
61.815,61.856,de,0.1920,0.9985,SPEAKER_04
61.876,61.936,la,0.6720,0.9915,SPEAKER_04
61.957,62.32,contaminación,0.3350,1.0000,SPEAKER_04
62.3,62.441,sigue,0.0760,0.9964,SPEAKER_04
62.763,62.904,siendo,0.8960,1.0000,SPEAKER_04
62.944,63.406,acucioso,0.8090,0.8465,SPEAKER_04
64.05,64.07,y,0.0200,0.6105,SPEAKER_04
64.09,64.131,es,0.0000,1.0000,SPEAKER_04
64.151,64.251,por,0.9910,1.0000,SPEAKER_04
64.292,64.412,eso,0.8770,1.0000,SPEAKER_04
64.493,64.613,que,0.7850,1.0000,SPEAKER_04
64.634,64.835,sigo,0.8180,0.7074,SPEAKER_04
64.855,64.895,de,0.4400,0.9930,SPEAKER_04
64.935,65.358,interés,0.9820,1.0000,SPEAKER_04
66.806,67.289,llevarlo,0.8140,0.9099,SPEAKER_04
68.516,68.577,en,0.9240,0.9999,SPEAKER_04
68.617,68.999,esta,0.6880,0.9996,SPEAKER_04
69.019,69.18,ocasión.,0.1250,1.0000,SPEAKER_04
69.66,70.266,En,0.6270,0.9993,SPEAKER_04
70.306,70.488,primer,0.7780,1.0000,SPEAKER_04
70.548,70.69,lugar,0.9250,1.0000,SPEAKER_04
70.75,70.811,voy,0.3080,0.9382,SPEAKER_04
