start,end,word,alignment_score,probability,speaker
0.0,0.384,Quiero,0.6560,0.9972,SPEAKER_07
0.405,0.567,darles,0.7630,0.8818,SPEAKER_07
0.607,0.648,la,0.9980,1.0000,SPEAKER_07
0.688,1.214,bienvenida,0.8900,1.0000,SPEAKER_07
1.234,1.275,al,0.4990,0.9999,SPEAKER_07
1.295,2.509,Centro,0.6460,0.9990,SPEAKER_07
2.53,2.57,de,0.1950,0.9965,SPEAKER_07
2.59,2.833,Estudios,0.8150,0.9995,SPEAKER_07
2.955,3.44,Públicos.,0.9270,0.9998,SPEAKER_07
4.38,5.145,Como,0.8810,0.9999,SPEAKER_07
5.206,5.427,ustedes,0.7480,0.9999,SPEAKER_07
5.528,5.77,"saben,",0.9350,1.0000,SPEAKER_07
6.012,6.092,el,0.9850,1.0000,SPEAKER_07
6.193,6.374,tema,0.8550,1.0000,SPEAKER_07
6.414,6.455,de,0.8160,0.9968,SPEAKER_07
6.475,6.636,esta,0.8230,1.0000,SPEAKER_07
6.696,7.039,tarde,0.9210,1.0000,SPEAKER_07
7.099,7.2,es,0.8160,1.0000,SPEAKER_07
7.361,7.522,el,0.7820,1.0000,SPEAKER_07
8.389,8.751,trabajo,0.9980,0.9859,SPEAKER_07
8.791,8.932,del,0.4600,1.0000,SPEAKER_07
8.993,9.396,profesor,0.9070,0.9961,SPEAKER_07
9.456,9.778,Ezequiel,0.5760,0.9998,SPEAKER_07
9.799,10.02,"Gallo,",0.4370,0.9860,SPEAKER_07
10.06,10.53,Notas,0.5300,0.9859,SPEAKER_07
10.918,11.081,sobre,0.7940,1.0000,SPEAKER_07
11.102,11.163,el,0.7460,0.9742,SPEAKER_07
11.183,11.817,Liberalismo,0.9050,0.9854,SPEAKER_07
11.837,12.0,Clásico.,0.1260,0.9996,SPEAKER_07
13.34,14.106,El,0.9290,0.9997,SPEAKER_07
14.146,14.469,profesor,0.6920,1.0000,SPEAKER_07
14.509,14.812,Gallo,0.8610,1.0000,SPEAKER_07
15.336,15.8,estudió,0.8300,0.9996,SPEAKER_07
16.082,16.243,en,0.8630,1.0000,SPEAKER_07
16.646,17.433,"Oxford,",0.4540,0.9998,SPEAKER_07
17.453,17.634,donde,0.3470,0.9999,SPEAKER_07
17.655,17.816,sacó,0.4440,1.0000,SPEAKER_07
17.836,17.917,su,0.6440,1.0000,SPEAKER_07
17.937,18.36,doctorado.,0.1750,0.9999,SPEAKER_07
18.42,18.763,Es,0.7540,0.9999,SPEAKER_07
18.823,19.287,investigador,0.7190,0.9999,SPEAKER_07
19.327,19.468,del,0.5690,1.0000,SPEAKER_07
19.549,19.771,Centro,0.7390,0.9999,SPEAKER_07
19.811,19.851,de,0.8350,1.0000,SPEAKER_07
21.121,21.605,Investigaciones,0.8390,0.9998,SPEAKER_07
21.665,22.048,Sociales,0.8090,0.9996,SPEAKER_07
22.069,22.129,del,0.3310,1.0000,SPEAKER_07
22.29,22.593,Instituto,0.5820,0.9999,SPEAKER_07
22.633,22.996,Doctor,0.4330,0.3337,SPEAKER_07
23.056,23.278,Cuato,0.6690,0.7680,SPEAKER_07
23.298,23.419,de,0.2920,0.8175,SPEAKER_07
23.439,23.54,Itela,0.1970,0.9911,SPEAKER_07
23.52,24.733,y,0.7700,0.9913,SPEAKER_07
24.834,24.915,del,0.7750,1.0000,SPEAKER_07
24.996,25.158,Centro,0.8160,1.0000,SPEAKER_07
25.198,25.239,de,0.9680,1.0000,SPEAKER_07
25.259,25.522,Estudios,0.6860,0.9998,SPEAKER_07
25.542,26.189,Internacionales,0.8230,0.9999,SPEAKER_07
26.25,26.29,de,0.1030,1.0000,SPEAKER_07
26.351,26.392,la,0.9980,1.0000,SPEAKER_07
26.432,26.796,Universidad,0.8020,1.0000,SPEAKER_07
26.816,26.978,de,0.5710,0.9920,SPEAKER_07
26.998,27.18,Belgrano.,0.1110,0.9997,SPEAKER_07
27.16,27.523,"Bueno,",0.6240,0.2471,SPEAKER_07
28.812,28.953,entre,0.9400,0.9973,SPEAKER_07
29.014,29.134,sus,0.8930,1.0000,SPEAKER_07
29.215,29.558,libros,0.8440,1.0000,SPEAKER_07
29.578,30.525,puedo,0.3830,0.9967,SPEAKER_07
30.585,30.847,citar,0.9230,0.9999,SPEAKER_07
30.907,30.948,la,0.9880,0.9779,SPEAKER_07
31.028,31.492,formación,0.9020,0.9962,SPEAKER_07
31.512,31.552,de,0.5000,0.9998,SPEAKER_07
31.774,31.874,la,0.9800,0.9999,SPEAKER_07
31.935,32.479,Argentina,0.8800,0.9999,SPEAKER_07
32.499,32.66,"Moderna,",0.1240,0.5989,SPEAKER_07
32.86,33.284,de,0.6940,0.9327,SPEAKER_07
33.304,33.344,la,0.9940,1.0000,SPEAKER_07
33.425,33.808,República,0.8410,0.9999,SPEAKER_07
33.849,34.535,"Conservadora,",0.8720,0.9997,SPEAKER_07
34.555,34.595,la,0.5000,0.9896,SPEAKER_07
34.696,35.282,Argentina,0.9210,1.0000,SPEAKER_07
35.483,35.605,del,0.9130,0.9978,SPEAKER_07
35.625,35.948,80,0.7320,0.9880,SPEAKER_07
35.988,36.069,al,0.2190,0.9162,SPEAKER_07
36.129,36.654,Centenario,0.9000,0.9178,SPEAKER_07
36.694,36.714,y,0.9960,0.9837,SPEAKER_07
36.977,37.219,varios,0.8790,1.0000,SPEAKER_07
37.239,37.36,otros.,0.1670,1.0000,SPEAKER_07
39.02,39.767,Es,0.9200,0.9994,SPEAKER_07
39.888,39.989,un,0.7650,0.9999,SPEAKER_07
40.029,40.291,agrado,0.9100,0.9970,SPEAKER_07
40.332,40.352,y,0.6590,1.0000,SPEAKER_07
40.372,40.493,un,0.2000,1.0000,SPEAKER_07
40.513,40.776,placer,0.8670,1.0000,SPEAKER_07
40.836,41.038,tener,0.9810,0.9999,SPEAKER_07
41.078,41.28,aquí,0.8360,0.9999,SPEAKER_07
41.321,41.603,con,0.9170,0.9997,SPEAKER_07
41.664,42.007,nosotros,0.7580,1.0000,SPEAKER_07
42.027,42.067,al,0.4940,0.9999,SPEAKER_07
42.108,43.379,profesor,0.9150,0.9232,SPEAKER_07
43.399,43.52,Gallo.,0.1650,0.9829,SPEAKER_07
43.56,43.781,De,0.2100,0.9982,SPEAKER_07
43.802,44.023,acuerdo,0.4210,1.0000,SPEAKER_07
44.043,44.063,a,0.6910,0.9998,SPEAKER_07
44.124,44.245,la,0.7960,1.0000,SPEAKER_07
45.392,45.775,tradición,0.9240,0.9999,SPEAKER_07
45.795,45.835,de,0.4960,0.9997,SPEAKER_07
45.855,46.198,nuestro,0.3450,0.9999,SPEAKER_07
46.278,46.62,"centro,",0.9320,0.9938,SPEAKER_07
47.486,47.526,va,0.9300,0.9997,SPEAKER_07
47.567,47.587,a,0.0110,1.0000,SPEAKER_07
47.627,47.748,ser,0.5970,0.7401,SPEAKER_07
47.828,48.07,primero,0.8890,0.9999,SPEAKER_07
48.09,48.13,su,0.4780,1.0000,SPEAKER_07
48.553,48.895,exposición,0.7380,0.9998,SPEAKER_07
48.956,49.016,el,0.6640,0.6052,SPEAKER_07
49.057,49.479,profesor,0.9400,0.9986,SPEAKER_07
49.499,49.6,Gallo,0.2000,0.9999,SPEAKER_07
49.58,50.023,y,0.5050,0.8653,SPEAKER_07
