start,end,word,alignment_score,probability,speaker
0.0,0.325,La,0.8660,0.9977,SPEAKER_01
0.427,0.854,situación,0.7620,0.9999,SPEAKER_01
0.874,0.915,se,0.5000,0.9992,SPEAKER_01
1.118,1.444,tornó,0.9020,0.9993,SPEAKER_01
1.484,1.789,cada,0.2970,1.0000,SPEAKER_01
1.891,2.054,día,0.9570,1.0000,SPEAKER_01
2.135,2.318,más,0.8810,1.0000,SPEAKER_01
2.338,2.46,grave.,0.1670,1.0000,SPEAKER_01
3.14,3.301,En,0.5540,0.9999,SPEAKER_01
3.341,3.624,acuerdo,0.9180,0.9988,SPEAKER_01
3.664,4.107,"unánime,",0.8130,0.9826,SPEAKER_01
4.168,4.772,la,0.9600,1.0000,SPEAKER_01
4.832,5.215,Central,0.8360,0.8429,SPEAKER_01
5.316,5.517,Única,0.9880,0.9991,SPEAKER_01
5.578,5.638,de,0.7300,1.0000,SPEAKER_01
5.679,6.303,"Trabajadores,",0.8590,0.9999,SPEAKER_01
6.323,6.404,"CUT,",0.4920,0.9967,SPEAKER_01
6.706,7.573,hizo,0.9300,1.0000,SPEAKER_01
7.653,7.714,un,0.9610,1.0000,SPEAKER_01
7.734,8.096,llamado,0.8760,1.0000,SPEAKER_01
8.137,8.197,de,0.9100,1.0000,SPEAKER_01
8.237,8.6,alerta.,0.8550,1.0000,SPEAKER_01
9.44,9.624,Su,0.7500,0.9999,SPEAKER_01
9.686,10.259,"presidente,",0.9640,0.9996,SPEAKER_01
10.3,10.893,Luis,0.6740,0.9998,SPEAKER_01
10.914,11.2,Figueroa.,0.5860,0.9998,SPEAKER_01
11.52,12.228,La,0.6540,0.9994,SPEAKER_00
12.309,12.694,situación,0.8910,1.0000,SPEAKER_00
12.775,12.917,del,0.8250,1.0000,SPEAKER_00
13.038,13.22,país,0.8120,1.0000,SPEAKER_00
13.261,14.111,adquiere,0.7510,0.9999,SPEAKER_00
14.131,14.536,extrema,0.8650,0.9999,SPEAKER_00
14.738,14.92,gravedad.,0.1150,0.9999,SPEAKER_00
15.54,16.447,En,0.8930,0.9999,SPEAKER_00
16.487,16.567,el,0.7420,1.0000,SPEAKER_00
16.628,16.729,día,0.8860,1.0000,SPEAKER_00
16.789,16.87,de,0.7520,1.0000,SPEAKER_00
16.91,17.212,"ayer,",0.8630,1.0000,SPEAKER_00
18.219,18.3,se,0.8840,1.0000,SPEAKER_00
18.361,18.602,sacó,0.7210,0.9999,SPEAKER_00
18.622,18.643,a,0.6840,0.9998,SPEAKER_00
18.683,18.763,las,0.6870,0.9843,SPEAKER_00
18.904,19.146,hordas,0.8550,0.9525,SPEAKER_00
19.247,19.771,fascistas,0.9200,0.9997,SPEAKER_00
19.791,19.831,al,0.4960,1.0000,SPEAKER_00
20.395,20.677,centro,0.7850,0.9999,SPEAKER_00
20.718,20.859,de,0.8790,1.0000,SPEAKER_00
20.879,21.06,Santiago.,0.1110,1.0000,SPEAKER_00
22.28,22.462,Se,0.7600,0.9998,SPEAKER_00
22.544,22.888,realizó,0.9740,1.0000,SPEAKER_00
22.908,23.071,una,0.2410,1.0000,SPEAKER_00
23.131,23.74,manifestación,0.9000,1.0000,SPEAKER_00
23.8,24.51,provocadora,0.9360,1.0000,SPEAKER_00
24.53,24.55,e,0.9980,1.0000,SPEAKER_00
24.895,25.28,insolente,0.2000,0.9999,SPEAKER_00
25.26,25.702,de,0.6300,0.7585,SPEAKER_00
26.727,27.048,gente,0.6720,0.9728,SPEAKER_00
27.108,27.229,del,0.8840,0.9970,SPEAKER_00
27.289,27.55,barrio,0.9020,0.8190,SPEAKER_00
27.611,27.892,Alto,0.9530,0.6167,SPEAKER_00
29.499,29.941,contra,0.9160,0.6146,SPEAKER_00
30.825,30.885,el,0.8700,0.9997,SPEAKER_00
30.966,31.548,comandante,0.9240,0.9873,SPEAKER_00
31.589,31.629,en,0.0060,0.9729,SPEAKER_00
31.749,31.97,jefe,0.8440,0.9985,SPEAKER_00
32.01,32.131,del,0.5370,0.9997,SPEAKER_00
32.191,32.693,"ejército,",0.9010,0.8246,SPEAKER_00
33.196,33.477,frente,0.8640,0.9989,SPEAKER_00
33.497,33.517,a,0.9980,1.0000,SPEAKER_00
33.638,33.698,su,0.7160,0.9999,SPEAKER_00
33.758,34.04,propia,0.9120,0.9999,SPEAKER_00
34.06,34.16,casa.,0.2000,0.9982,SPEAKER_00
35.14,35.462,Y,0.8860,0.9996,SPEAKER_00
35.523,35.603,el,0.9220,0.9999,SPEAKER_00
35.664,36.026,Partido,0.9280,0.9573,SPEAKER_00
36.107,36.49,Nacional,0.9090,0.9999,SPEAKER_00
37.255,37.839,patrocina,0.9890,0.9988,SPEAKER_00
37.98,38.746,públicamente,0.8190,0.9998,SPEAKER_00
38.786,39.431,la,0.9510,0.9997,SPEAKER_00
39.511,40.076,declaración,0.9380,1.0000,SPEAKER_00
40.176,40.237,de,0.6740,1.0000,SPEAKER_00
40.337,40.72,inhabilidad,0.1610,0.9989,SPEAKER_00
40.7,42.19,contra,0.8650,0.9997,SPEAKER_00
42.23,42.291,el,0.7840,0.9998,SPEAKER_00
42.351,42.774,presidente,0.8160,0.8143,SPEAKER_00
42.834,42.915,de,0.2560,0.9999,SPEAKER_00
42.975,43.016,la,0.9990,0.9999,SPEAKER_00
43.096,43.64,"República,",0.9030,0.9573,SPEAKER_00
44.103,44.727,pretendiendo,0.9530,0.9999,SPEAKER_00
44.848,45.17,darle,0.9890,1.0000,SPEAKER_00
45.432,45.533,un,0.8980,0.9999,SPEAKER_00
45.633,45.976,manto,0.9920,0.9998,SPEAKER_00
46.036,46.64,aparente,0.9050,1.0000,SPEAKER_00
46.62,47.793,de,0.8350,0.9999,SPEAKER_00
48.278,49.329,constitucionalidad,0.8380,0.9998,SPEAKER_00
49.349,49.39,al,0.4980,0.9998,SPEAKER_00
49.794,50.118,golpe,0.8300,0.9998,SPEAKER_00
50.138,50.198,de,0.3700,0.9999,SPEAKER_00
50.219,50.36,Estado.,0.1420,0.9725,SPEAKER_00
50.96,51.97,Por,0.7710,0.9966,SPEAKER_00
52.031,52.173,otro,0.8650,0.9999,SPEAKER_00
52.274,52.476,"lado,",0.9260,1.0000,SPEAKER_00
53.708,53.749,la,0.8490,0.9997,SPEAKER_00
53.85,54.153,prensa,0.7510,0.9998,SPEAKER_00
54.214,54.84,"reaccionaria,",0.5230,0.9996,SPEAKER_00
55.26,56.294,impulsa,0.9120,0.9748,SPEAKER_00
56.334,56.435,la,0.6290,0.9948,SPEAKER_00
56.496,56.881,división,0.9650,0.9999,SPEAKER_00
56.902,56.942,de,0.4990,0.9999,SPEAKER_00
56.962,57.226,las,0.7790,0.9999,SPEAKER_00
57.347,57.895,instituciones,0.8630,0.9996,SPEAKER_00
57.935,58.32,armadas.,0.4630,0.9998,SPEAKER_00
58.4,59.591,La,0.7500,0.9996,SPEAKER_00
59.652,60.419,característica,0.9030,0.9999,SPEAKER_00
60.56,60.903,general,0.9970,0.9998,SPEAKER_00
61.529,61.61,es,0.9700,0.9954,SPEAKER_00
61.65,61.751,que,0.7030,1.0000,SPEAKER_00
61.791,61.872,se,0.9560,0.9999,SPEAKER_00
61.933,62.357,prepara,0.9780,0.9999,SPEAKER_00
62.417,62.559,el,0.7640,0.9998,SPEAKER_00
62.579,62.74,ambiente,0.1250,0.9999,SPEAKER_00
62.72,63.949,para,0.9390,0.9987,SPEAKER_00
64.07,64.231,una,0.9470,0.9995,SPEAKER_00
64.272,64.695,azonada,0.9260,0.8413,SPEAKER_00
64.816,65.421,golpista,0.9600,0.9997,SPEAKER_00
65.461,65.904,de,0.9180,0.9993,SPEAKER_00
66.025,66.751,consecuencias,0.8350,0.9999,SPEAKER_00
66.811,68.0,imprevisibles.,0.5360,0.9996,SPEAKER_00
