start,end,word,alignment_score,probability,speaker
0.0,0.363,El,0.6390,0.9404,SPEAKER_00
0.403,0.706,destacado,0.8250,0.9895,SPEAKER_00
0.746,1.23,economista,0.5450,0.9991,SPEAKER_00
1.311,1.633,chileno,0.4870,0.9974,SPEAKER_00
1.714,1.754,se,0.6380,0.9944,SPEAKER_00
1.815,2.117,refiere,0.5820,0.9987,SPEAKER_00
2.138,2.158,a,0.9640,0.9993,SPEAKER_00
2.198,2.238,la,0.1500,0.9995,SPEAKER_00
2.359,2.843,reciente,0.5260,0.9995,SPEAKER_00
2.904,3.529,promulgación,0.6760,0.9969,SPEAKER_00
3.65,3.751,por,0.9460,0.9783,SPEAKER_00
3.872,4.154,parte,0.9150,0.9992,SPEAKER_00
4.215,4.336,del,0.9400,0.9990,SPEAKER_00
4.396,4.719,gobierno,0.7530,0.9620,SPEAKER_00
4.739,4.88,militar,0.1430,0.9999,SPEAKER_00
4.86,4.921,de,0.1820,0.9945,SPEAKER_00
5.607,5.708,una,0.8510,0.9990,SPEAKER_00
5.768,5.97,nueva,0.8530,0.9997,SPEAKER_00
6.071,6.192,ley,0.6990,0.9984,SPEAKER_00
6.334,6.576,minera,0.7840,0.9954,SPEAKER_00
6.818,6.899,que,0.9410,0.9685,SPEAKER_00
6.939,6.98,ha,0.5370,0.9992,SPEAKER_00
7.061,7.444,concitado,0.8840,0.8314,SPEAKER_00
7.464,7.505,el,0.4500,0.9178,SPEAKER_00
7.666,8.191,rechazo,0.6790,0.9992,SPEAKER_00
8.211,8.272,de,0.6960,0.9998,SPEAKER_00
8.292,8.353,la,0.7180,0.9999,SPEAKER_00
8.413,8.857,mayoría,0.7620,0.9998,SPEAKER_00
8.898,9.039,del,0.4460,0.9980,SPEAKER_00
9.059,9.16,país.,0.1910,0.9991,SPEAKER_00
9.56,10.066,José,0.1900,0.9453,SPEAKER_00
10.087,10.289,Cayo,0.4830,0.7870,SPEAKER_00
10.37,10.755,"Másteri,",0.6150,0.5185,SPEAKER_00
11.424,12.031,en,0.7520,0.9394,SPEAKER_00
12.052,12.578,Escucha,0.3820,0.8810,SPEAKER_00
12.599,12.72,Chile.,0.1530,0.9341,SPEAKER_00
13.04,14.106,Esta,0.9470,0.9976,SPEAKER_00
14.227,14.428,nueva,0.7710,1.0000,SPEAKER_00
14.528,14.79,ley,0.8890,1.0000,SPEAKER_00
15.514,15.755,que,0.7710,0.7380,SPEAKER_00
15.876,15.956,ha,0.8920,0.9999,SPEAKER_00
16.016,16.338,dictado,0.9920,0.9999,SPEAKER_00
