start,end,word,alignment_score,probability,speaker
0.0,0.782,Un,0.6140,0.9618,SPEAKER_00
0.903,1.786,80%,0.8290,0.9818,SPEAKER_00
1.866,1.906,de,0.7540,0.9993,SPEAKER_00
1.966,2.006,la,0.9520,0.9999,SPEAKER_00
2.067,2.428,población,0.7580,1.0000,SPEAKER_00
2.468,3.09,campesina,0.3190,0.9999,SPEAKER_00
3.11,3.571,chilena,0.4750,0.9535,SPEAKER_00
4.193,4.233,se,0.3420,0.9885,SPEAKER_00
4.294,4.615,debate,0.6510,0.7050,SPEAKER_00
4.675,4.735,en,0.7980,0.3307,SPEAKER_00
4.755,4.835,la,0.6280,0.9460,SPEAKER_00
4.855,4.976,más,0.4740,0.9999,SPEAKER_00
5.036,5.598,dramática,0.8730,0.9995,SPEAKER_00
5.658,6.16,"Nigeria,",0.5620,0.9994,SPEAKER_00
6.802,7.103,señala,0.7950,0.6473,SPEAKER_00
7.143,7.243,un,0.5970,0.9975,SPEAKER_00
7.263,7.664,informe,0.4230,0.9999,SPEAKER_00
7.684,7.825,del,0.6600,0.9999,SPEAKER_00
7.865,8.487,Departamento,0.6450,0.9998,SPEAKER_00
8.507,8.948,Femenino,0.7750,0.9807,SPEAKER_00
8.969,9.009,de,0.4960,0.9593,SPEAKER_00
9.55,9.59,la,0.8640,0.9851,SPEAKER_00
9.691,10.293,Confederación,0.8280,1.0000,SPEAKER_00
10.333,10.915,Campesina,0.4060,0.9993,SPEAKER_00
10.975,11.135,El,0.5170,0.9944,SPEAKER_00
11.155,11.476,"Surco,",0.7580,0.7497,SPEAKER_00
11.878,12.058,emitido,0.1050,0.9868,SPEAKER_00
12.078,12.119,en,0.0300,0.9809,SPEAKER_00
12.139,12.179,la,0.0000,0.9981,SPEAKER_00
12.199,12.6,capital.,0.3300,0.9956,SPEAKER_00
12.88,13.141,El,0.4670,0.9828,SPEAKER_01
13.161,13.562,documento,0.8470,0.9997,SPEAKER_01
13.602,13.963,denuncia,0.3840,1.0000,SPEAKER_01
14.043,14.104,la,0.7310,1.0000,SPEAKER_01
