start,end,word,alignment_score,probability,speaker
5.36,6.602,Encuentro,0.4240,0.9294,SPEAKER_06
6.663,7.498,con,0.5520,0.9972,SPEAKER_06
7.519,7.62,Chile,0.2000,0.9197,SPEAKER_06
30.0,30.121,En,0.2560,0.0038,SPEAKER_00
30.142,30.202,las,0.0380,0.9182,SPEAKER_00
30.223,30.607,"barricadas,",0.6480,0.9941,SPEAKER_00
31.356,31.598,cada,0.8690,0.9933,SPEAKER_00
31.679,32.165,chileno,0.4050,0.7205,SPEAKER_00
32.185,32.307,le,0.7350,0.9852,SPEAKER_00
32.327,32.489,da,0.7820,0.9934,SPEAKER_00
32.509,32.61,duro,0.6310,0.9855,SPEAKER_00
32.65,32.752,y,0.5980,0.9990,SPEAKER_00
32.772,33.156,fuerte,0.6850,0.9989,SPEAKER_00
33.177,33.237,a,0.4530,0.8131,SPEAKER_00
33.257,33.298,la,0.0000,0.9989,SPEAKER_00
33.318,33.5,dictadura,0.1150,0.9993,SPEAKER_00
33.48,34.533,con,0.5850,0.3733,SPEAKER_00
34.655,34.736,su,0.8500,0.9993,SPEAKER_00
34.796,34.999,propio,0.8850,0.9962,SPEAKER_00
35.08,35.505,malembe,0.9490,0.9106,SPEAKER_00
35.526,36.7,desestabilizador,0.3710,0.9667,SPEAKER_00
36.68,38.954,Aquí,0.7560,0.0411,SPEAKER_03
39.075,40.283,traigo,0.8300,0.9985,SPEAKER_03
40.303,40.484,mi,0.8890,0.9950,SPEAKER_03
40.564,41.229,malembe,0.9160,0.9985,SPEAKER_03
41.369,41.571,para,0.8780,0.9791,SPEAKER_03
41.772,42.174,darle,0.8680,0.9223,SPEAKER_03
42.235,42.456,duro,0.7290,0.9992,SPEAKER_03
42.476,42.738,y,0.6640,0.9986,SPEAKER_03
42.758,43.08,fuerte,0.3420,0.9919,SPEAKER_03
46.5,48.231,A,0.7750,0.5149,SPEAKER_03
48.272,48.473,esos,0.4600,0.9959,SPEAKER_03
