start,end,word,alignment_score,probability,speaker
0.0,1.067,Resulta,0.3440,0.9779,SPEAKER_00
1.087,1.691,francamente,0.6510,0.8924,SPEAKER_00
1.752,2.336,intolerable,0.9210,0.9901,SPEAKER_00
2.356,2.416,que,0.3330,0.9891,SPEAKER_00
2.98,3.121,el,0.2020,0.9967,SPEAKER_00
3.221,3.463,nazi,0.6840,0.9256,SPEAKER_00
3.584,3.906,ministro,0.4600,0.9764,SPEAKER_00
3.966,4.027,de,0.9610,0.9993,SPEAKER_00
4.067,4.127,la,0.8610,0.9997,SPEAKER_00
4.188,4.591,dictadura,0.9460,0.9996,SPEAKER_00
4.611,4.651,se,0.4940,0.9779,SPEAKER_00
4.872,5.154,vista,0.8380,0.7246,SPEAKER_00
5.255,5.356,con,0.5950,0.9989,SPEAKER_00
5.537,5.698,piel,0.5250,0.9986,SPEAKER_00
5.738,5.919,de,0.8680,0.9999,SPEAKER_00
5.939,6.04,oveja,0.1990,0.9996,SPEAKER_00
6.02,6.905,y,0.7100,0.9958,SPEAKER_00
6.925,7.287,trate,0.8830,0.9993,SPEAKER_00
7.568,7.649,de,0.8970,0.9999,SPEAKER_00
7.709,8.453,presentarse,0.8620,0.9997,SPEAKER_00
8.936,9.58,rasgándose,0.7260,0.9902,SPEAKER_00
9.68,9.74,las,0.5700,0.7650,SPEAKER_00
9.781,10.283,"vestiduras,",0.8290,0.9960,SPEAKER_00
10.967,11.47,clamando,0.9270,0.9798,SPEAKER_00
11.57,11.792,contra,0.8940,0.9997,SPEAKER_00
11.832,11.892,el,0.9880,0.9999,SPEAKER_00
11.953,12.455,"terrorismo,",0.9650,0.9999,SPEAKER_00
12.495,12.817,contra,0.5090,0.9999,SPEAKER_00
12.878,12.938,la,0.9910,0.9999,SPEAKER_00
12.958,13.34,violencia.,0.6390,0.9994,SPEAKER_00
14.42,14.723,Es,0.5420,0.9924,SPEAKER_00
14.744,14.804,el,0.7960,0.9998,SPEAKER_00
14.845,15.168,diablo,0.6540,0.9990,SPEAKER_00
15.209,15.552,vendiendo,0.9190,0.9998,SPEAKER_00
15.815,16.624,"cruces,",0.2240,0.9910,SPEAKER_00
16.644,16.665,y,0.6470,0.9951,SPEAKER_00
16.705,16.907,no,0.6400,0.9997,SPEAKER_00
17.089,17.231,solo,0.4420,0.8439,SPEAKER_00
17.251,17.291,en,0.1270,0.9985,SPEAKER_00
17.413,17.453,el,0.0000,0.9977,SPEAKER_00
17.473,17.756,sentido,0.6810,0.9939,SPEAKER_00
17.878,18.1,articulado.,0.0920,0.7462,SPEAKER_00
18.8,19.771,Sergio,0.3180,0.3780,SPEAKER_00
19.791,20.013,López,0.3030,0.9066,SPEAKER_00
20.034,20.256,"Arpa,",0.7000,0.8158,SPEAKER_00
20.357,20.418,en,0.5880,0.9932,SPEAKER_00
20.458,20.539,su,0.6250,0.9942,SPEAKER_00
20.559,20.863,calidad,0.7260,0.8304,SPEAKER_00
20.883,20.984,de,0.6760,0.9989,SPEAKER_00
21.045,21.631,presidente,0.4540,0.9814,SPEAKER_00
21.955,22.015,del,0.0010,0.9680,SPEAKER_00
22.036,22.177,partido,0.0050,0.7969,SPEAKER_00
22.197,22.238,de,0.0000,0.4625,SPEAKER_00
22.258,22.298,la,0.0000,0.3043,SPEAKER_00
22.319,22.46,"Cámara,",0.1420,0.6132,SPEAKER_00
23.2,23.462,fue,0.2150,0.9991,SPEAKER_00
23.482,23.865,uno,0.4510,0.9999,SPEAKER_00
23.885,23.925,de,0.0000,1.0000,SPEAKER_00
23.945,24.006,los,0.0000,1.0000,SPEAKER_00
24.026,24.106,que,0.4810,0.9999,SPEAKER_00
24.147,24.65,encabezó,0.9030,0.9999,SPEAKER_00
24.731,24.771,la,0.6310,0.9999,SPEAKER_00
24.852,25.073,parte,0.9920,0.9999,SPEAKER_00
25.114,25.557,civil,0.2940,1.0000,SPEAKER_00
25.597,25.657,de,0.8260,0.9999,SPEAKER_00
25.698,25.738,la,0.8430,0.9992,SPEAKER_00
25.839,26.423,conspiración,0.5410,0.9903,SPEAKER_00
26.584,27.108,sediciosa,0.7550,0.8673,SPEAKER_00
27.208,27.41,contra,0.7940,0.9977,SPEAKER_00
27.45,27.531,el,0.6660,1.0000,SPEAKER_00
27.591,27.893,gobierno,0.8120,0.9995,SPEAKER_00
27.934,28.095,del,0.4660,0.9995,SPEAKER_00
28.175,28.679,presidente,0.9260,0.9990,SPEAKER_00
28.699,28.86,Allende.,0.1320,0.9858,SPEAKER_00
30.22,30.868,Participó,0.8510,0.5914,SPEAKER_00
30.908,30.989,en,0.4400,0.9979,SPEAKER_00
31.05,31.091,la,0.9240,0.9984,SPEAKER_00
31.172,31.718,organización,0.8560,0.9924,SPEAKER_00
31.759,31.799,de,0.4980,0.9894,SPEAKER_00
31.921,31.961,la,0.0130,0.8929,SPEAKER_00
31.981,32.609,estrategia,0.7610,0.9137,SPEAKER_00
32.71,33.298,terrorista,0.2940,0.9931,SPEAKER_00
33.318,33.338,y,0.0150,0.9943,SPEAKER_00
33.358,33.52,criminal,0.1290,0.9992,SPEAKER_00
33.5,34.65,puesta,0.3850,0.8002,SPEAKER_00
34.691,34.731,en,0.7100,0.9983,SPEAKER_00
34.812,35.235,práctica,0.9130,0.9954,SPEAKER_00
35.336,35.538,para,0.5010,0.9963,SPEAKER_00
35.558,36.366,desestabilizar,0.7960,0.9986,SPEAKER_00
36.386,36.426,al,0.4960,0.9978,SPEAKER_00
37.032,37.435,gobierno,0.8230,0.8724,SPEAKER_00
37.496,38.0,"constitucional,",0.2760,0.9981,SPEAKER_00
38.14,38.844,para,0.9100,0.9973,SPEAKER_00
38.945,39.408,provocar,0.8020,0.9992,SPEAKER_00
39.448,39.468,a,0.3670,0.9923,SPEAKER_00
39.529,39.589,las,0.8160,0.9980,SPEAKER_00
39.629,39.831,Fuerzas,0.6900,0.9148,SPEAKER_00
39.931,40.253,"Armadas,",0.8730,0.9982,SPEAKER_00
40.817,40.998,para,0.9830,0.9991,SPEAKER_00
41.119,41.702,manipular,0.8730,0.9995,SPEAKER_00
41.763,41.823,la,0.6220,0.9888,SPEAKER_00
41.924,42.387,conciencia,0.3300,0.9851,SPEAKER_00
42.548,42.588,y,0.9020,0.9971,SPEAKER_00
42.648,42.729,las,0.7660,0.9987,SPEAKER_00
42.89,43.272,acciones,0.7930,0.9979,SPEAKER_00
43.312,43.393,de,0.8350,0.9994,SPEAKER_00
43.494,43.795,amplios,0.0920,0.9792,SPEAKER_00
43.816,44.158,sectores,0.6450,0.9968,SPEAKER_00
44.178,44.258,de,0.3260,0.9109,SPEAKER_00
44.278,44.319,la,0.0080,0.9988,SPEAKER_00
44.339,44.54,población.,0.1000,0.9988,SPEAKER_00
45.06,45.706,Su,0.4320,0.8074,SPEAKER_00
45.727,46.03,mano,0.4270,0.9883,SPEAKER_00
46.09,46.414,estaba,0.7660,0.5051,SPEAKER_00
46.454,46.818,detrás,0.6940,0.9994,SPEAKER_00
46.838,46.878,de,0.5760,0.9973,SPEAKER_00
47.02,47.08,los,0.0030,0.8687,SPEAKER_00
47.1,47.565,atentados,0.7300,0.8889,SPEAKER_00
47.767,48.171,terroristas,0.4940,0.7728,SPEAKER_00
48.595,48.797,en,0.2520,0.5404,SPEAKER_00
48.818,48.858,el,0.0010,0.3159,SPEAKER_00
48.878,48.959,dedo,0.0060,0.5431,SPEAKER_00
48.979,49.08,"base,",0.2000,0.7507,SPEAKER_00
49.28,49.745,con,0.2690,0.9980,SPEAKER_00
49.765,50.17,ráfagas,0.7540,0.9794,SPEAKER_00
50.21,50.311,de,0.7590,0.9467,SPEAKER_00
50.331,50.978,"ametralladora,",0.5670,0.6849,SPEAKER_00
51.059,51.666,con,0.8670,0.9988,SPEAKER_00
51.726,52.333,violencia,0.8750,0.9987,SPEAKER_00
52.393,52.454,en,0.8720,0.9991,SPEAKER_00
52.494,52.595,las,0.9100,0.9996,SPEAKER_00
52.717,53.04,"calles,",0.7260,0.9998,SPEAKER_00
53.02,53.713,con,0.3490,0.8562,SPEAKER_00
53.733,53.835,los,0.8090,0.9973,SPEAKER_00
53.917,54.284,crímenes,0.4640,0.9993,SPEAKER_00
54.345,54.61,contra,0.5680,0.9997,SPEAKER_00
54.63,54.712,los,0.6120,0.9992,SPEAKER_00
54.793,55.16,"pobladores,",0.2390,0.9993,SPEAKER_00
55.26,56.148,y,0.6940,0.9896,SPEAKER_00
56.169,56.492,hasta,0.8050,0.9977,SPEAKER_00
57.118,57.178,la,0.9840,0.9964,SPEAKER_00
57.219,57.481,muerte,0.8910,0.9998,SPEAKER_00
57.522,57.602,de,0.6560,0.9998,SPEAKER_00
57.622,58.127,policías,0.6690,0.9989,SPEAKER_00
58.148,58.168,y,0.9800,0.3716,SPEAKER_00
58.309,58.753,militares,0.8870,0.9963,SPEAKER_00
58.854,58.935,en,0.5800,0.9972,SPEAKER_00
58.955,59.016,el,0.5330,0.9986,SPEAKER_00
59.097,59.48,"periódico,",0.5180,0.8392,SPEAKER_00
59.46,62.72,1970-1973.,0.7530,0.8039,SPEAKER_00
63.86,64.807,Sergio,0.4320,0.9783,SPEAKER_00
65.673,65.773,López,0.0060,0.0353,SPEAKER_00
65.793,65.874,Arpa,0.0060,0.7390,SPEAKER_00
65.894,65.914,y,0.0140,0.5251,SPEAKER_00
65.934,65.995,sus,0.0760,0.9976,SPEAKER_00
66.015,66.962,"cómplices,",0.4050,0.9996,SPEAKER_00
66.982,67.405,actuando,0.4230,0.9988,SPEAKER_00
67.425,67.667,todos,0.6740,0.9851,SPEAKER_00
67.727,67.888,bajo,0.9620,0.9636,SPEAKER_00
67.989,68.029,la,0.9900,0.9994,SPEAKER_00
68.089,68.432,batuta,0.9570,0.9996,SPEAKER_00
68.472,68.553,de,0.6260,0.9638,SPEAKER_00
68.593,68.653,la,0.7080,0.9937,SPEAKER_00
68.754,69.237,ITT,0.7050,0.9997,SPEAKER_00
69.258,69.298,y,0.7440,0.9233,SPEAKER_00
69.338,69.459,de,0.7460,0.9993,SPEAKER_00
69.479,69.519,la,0.0020,0.9988,SPEAKER_00
69.54,69.62,"CIA,",0.2500,0.9736,SPEAKER_00
70.44,70.987,estuvieron,0.9100,0.9932,SPEAKER_00
71.068,71.697,comprometidos,0.9470,0.9995,SPEAKER_00
71.717,71.758,en,0.4890,0.9997,SPEAKER_00
71.839,72.123,el,0.3630,0.9996,SPEAKER_00
72.143,72.63,asesinato,0.6270,0.9962,SPEAKER_00
72.65,72.751,del,0.9330,0.9963,SPEAKER_00
72.792,73.076,general,0.8580,0.9980,SPEAKER_00
73.218,73.42,"Schneider,",0.0930,0.9675,SPEAKER_00
73.64,74.393,del,0.7300,0.7860,SPEAKER_00
74.433,75.064,comandante,0.5090,0.9990,SPEAKER_00
75.084,75.41,Araya,0.6260,0.9998,SPEAKER_00
75.43,75.491,y,0.3810,0.9609,SPEAKER_00
75.552,75.634,de,0.8140,0.9978,SPEAKER_00
75.654,75.898,muchos,0.2800,0.9998,SPEAKER_00
75.918,76.04,otros.,0.1690,0.9986,SPEAKER_00
76.64,77.631,Arpa,0.8170,0.9999,SPEAKER_00
77.652,77.672,y,0.0030,0.8775,SPEAKER_00
77.692,77.813,sus,0.7400,0.9999,SPEAKER_00
77.915,78.38,cómplices,0.9200,0.9998,SPEAKER_00
78.967,79.472,provocaron,0.8870,0.9998,SPEAKER_00
79.533,79.594,el,0.9640,0.9989,SPEAKER_00
79.654,80.019,mercado,0.9180,0.9975,SPEAKER_00
80.039,80.16,"linda,",0.1660,0.9953,SPEAKER_00
80.34,80.928,el,0.6880,0.4639,SPEAKER_00
81.049,82.144,"desabastecimiento,",0.4670,0.9991,SPEAKER_00
82.184,82.245,el,0.7920,0.9991,SPEAKER_00
82.346,82.853,sabotaje,0.8170,0.9994,SPEAKER_00
82.873,83.4,"económico,",0.4180,0.9993,SPEAKER_00
83.98,84.667,organizaron,0.8510,0.9996,SPEAKER_00
84.727,85.01,guardias,0.7990,0.9993,SPEAKER_00
85.091,85.474,"blancas,",0.8590,0.9297,SPEAKER_00
86.08,86.161,las,0.7650,0.9973,SPEAKER_00
86.262,86.504,tropas,0.8700,0.9852,SPEAKER_00
86.524,86.605,de,0.8470,0.9932,SPEAKER_00
86.646,87.009,asalto,0.7760,0.9992,SPEAKER_00
87.07,87.13,de,0.8500,0.9912,SPEAKER_00
87.251,87.494,paz,0.7430,0.7557,SPEAKER_00
87.534,87.554,y,0.9330,0.8860,SPEAKER_00
87.575,88.16,"libertad,",0.6760,0.9964,SPEAKER_00
88.18,88.886,los,0.2880,0.9993,SPEAKER_00
88.907,89.281,comandos...,0.5150,0.9968,SPEAKER_00
89.46,89.601,los,0.1340,0.7506,SPEAKER_00
89.642,89.985,terroristas,0.6150,0.0117,SPEAKER_00
90.025,90.106,de,0.7660,0.9402,SPEAKER_00
90.167,90.611,PROTECOS,0.7260,0.9678,SPEAKER_00
90.631,90.651,y,0.9800,0.5262,SPEAKER_00
91.237,91.439,otras,0.6330,0.7430,SPEAKER_00
