start,end,word,alignment_score,probability,speaker
2.14,3.669,Escucha,0.7340,0.9041,SPEAKER_00
4.138,4.26,Chile.,0.1230,0.7379,SPEAKER_00
30.0,30.16,La,0.5330,0.1208,SPEAKER_00
30.261,30.661,investigación,0.0860,0.1076,SPEAKER_00
30.681,30.722,es,0.0200,0.8395,SPEAKER_00
30.742,30.802,del,0.1140,0.9931,SPEAKER_00
30.822,31.102,dirigente,0.3000,0.9973,SPEAKER_00
31.142,31.223,de,0.7190,0.9917,SPEAKER_00
31.263,31.323,la,0.8610,0.9998,SPEAKER_00
31.403,31.984,Coordinadora,0.8860,0.9815,SPEAKER_00
32.064,32.445,Nacional,0.7590,0.9997,SPEAKER_00
32.565,33.006,Sindical,0.5040,0.9530,SPEAKER_00
33.207,33.588,Hernán,0.6910,0.9010,SPEAKER_00
33.608,33.888,"Mériz,",0.5350,0.5303,SPEAKER_00
34.65,34.951,dueño,0.4180,0.9985,SPEAKER_00
34.971,35.131,del,0.2930,0.9998,SPEAKER_00
35.151,35.812,"departamento,",0.9140,0.9961,SPEAKER_00
36.293,36.474,donde,0.6950,0.9991,SPEAKER_00
36.574,36.694,fue,0.6290,0.9995,SPEAKER_00
36.754,37.155,detenido,0.9350,0.9999,SPEAKER_00
37.195,38.117,ilegalmente,0.9110,0.9985,SPEAKER_00
38.238,38.318,por,0.9280,0.9996,SPEAKER_00
38.418,39.16,investigaciones,0.8910,0.9863,SPEAKER_00
39.48,39.56,el,0.4910,0.5677,SPEAKER_00
39.681,40.222,presidente,0.7180,0.9737,SPEAKER_00
40.262,40.362,del,0.7280,0.9997,SPEAKER_00
40.422,40.723,Comando,0.9240,0.9990,SPEAKER_00
40.763,41.204,Nacional,0.9470,1.0000,SPEAKER_00
41.244,41.324,de,0.7250,0.9999,SPEAKER_00
41.404,41.946,Trabajadores,0.8790,0.9998,SPEAKER_00
41.986,42.006,y,0.9720,0.8736,SPEAKER_00
42.607,42.687,de,0.7360,0.9207,SPEAKER_00
42.747,42.807,la,0.5730,0.9999,SPEAKER_00
42.928,43.649,Confederación,0.9020,0.9985,SPEAKER_00
43.709,43.769,de,0.7060,0.9999,SPEAKER_00
43.87,44.391,Trabajadores,0.8510,0.9999,SPEAKER_00
44.471,44.611,del,0.8800,0.9990,SPEAKER_00
44.691,44.992,"Cobre,",0.9190,0.9979,SPEAKER_00
45.493,45.994,Rodolfo,0.5880,0.9990,SPEAKER_00
46.014,47.718,"Zagallo,",0.5110,0.8056,SPEAKER_00
47.738,47.798,que,0.0040,0.9406,SPEAKER_00
47.818,47.918,lleva,0.1810,0.9996,SPEAKER_00
