start,end,word,alignment_score,probability,speaker
0.0,0.424,A,0.8700,0.9938,SPEAKER_00
0.444,1.171,propósito,0.7690,1.0000,SPEAKER_00
1.211,1.292,del,0.8170,0.9999,SPEAKER_00
1.352,1.877,atentado,0.9940,0.9999,SPEAKER_00
1.897,1.958,que,0.3340,0.9961,SPEAKER_00
2.301,2.604,culminó,0.9720,0.9999,SPEAKER_00
2.624,2.685,en,0.7440,1.0000,SPEAKER_00
2.725,2.785,la,0.7660,0.9999,SPEAKER_00
2.846,3.108,muerte,0.9010,1.0000,SPEAKER_00
3.149,3.29,del,0.5540,0.9999,SPEAKER_00
3.391,3.714,general,0.9580,0.9386,SPEAKER_00
3.896,4.138,Karol,0.7130,0.6785,SPEAKER_00
4.158,4.4,Urzúa,0.3600,0.8630,SPEAKER_00
4.38,5.171,y,0.6420,0.8897,SPEAKER_00
5.191,5.272,en,0.4160,0.9991,SPEAKER_00
5.292,5.414,las,0.4590,0.9997,SPEAKER_00
5.434,5.901,ceremonias,0.9220,0.9999,SPEAKER_00
6.002,6.103,que,0.6830,1.0000,SPEAKER_00
6.144,6.63,acompañaron,0.9510,1.0000,SPEAKER_00
6.671,6.833,sus,0.7410,0.9997,SPEAKER_00
6.894,7.36,"funerales,",0.9410,0.9957,SPEAKER_00
7.36,7.985,se,0.8650,1.0000,SPEAKER_00
8.005,8.106,han,0.7830,1.0000,SPEAKER_00
8.147,8.631,derramado,0.9650,1.0000,SPEAKER_00
8.671,9.316,verdaderos,0.8270,0.9998,SPEAKER_00
9.518,10.163,torrentes,0.9300,0.9993,SPEAKER_00
10.304,10.385,de,0.9260,1.0000,SPEAKER_00
10.486,10.889,saliva,0.9660,0.9994,SPEAKER_00
10.909,10.93,y,0.9990,1.0000,SPEAKER_00
11.071,11.615,retórica,0.9480,0.9999,SPEAKER_00
11.736,12.2,pomposa,0.6780,0.9998,SPEAKER_00
12.18,13.431,en,0.8890,0.9913,SPEAKER_00
13.491,13.572,los,0.6210,1.0000,SPEAKER_00
13.633,13.733,que,0.8800,1.0000,SPEAKER_00
13.814,13.955,han,0.9890,1.0000,SPEAKER_00
14.117,14.722,menudeado,0.9490,0.9993,SPEAKER_00
14.762,15.206,las,0.2750,1.0000,SPEAKER_00
15.327,16.094,condenaciones,0.9640,1.0000,SPEAKER_00
16.134,16.154,a,0.9810,1.0000,SPEAKER_00
16.316,16.376,la,0.9560,1.0000,SPEAKER_00
16.417,16.84,violencia.,0.8080,1.0000,SPEAKER_00
18.14,18.383,Al,0.7100,0.9998,SPEAKER_00
18.424,18.768,margen,0.8920,0.9979,SPEAKER_00
18.809,18.869,de,0.8650,1.0000,SPEAKER_00
18.93,19.011,las,0.7870,1.0000,SPEAKER_00
19.153,19.822,circunstancias,0.7770,1.0000,SPEAKER_00
19.964,20.491,concretas,0.7620,1.0000,SPEAKER_00
20.592,20.734,del,0.8340,1.0000,SPEAKER_00
20.835,21.24,"suceso,",0.6730,0.9731,SPEAKER_00
21.24,21.951,que,0.6170,1.0000,SPEAKER_00
21.991,22.194,algún,0.6810,1.0000,SPEAKER_00
22.215,22.397,día,0.8390,1.0000,SPEAKER_00
22.519,22.702,serán,0.7050,1.0000,SPEAKER_00
22.763,23.291,esclarecidas,0.7770,0.9997,SPEAKER_00
23.494,23.92,"plenamente,",0.4590,1.0000,SPEAKER_00
24.5,24.703,y,0.6970,0.9999,SPEAKER_00
24.723,24.824,que,0.8000,1.0000,SPEAKER_00
24.865,24.966,por,0.8150,0.9942,SPEAKER_00
25.088,25.391,cierto,0.9280,1.0000,SPEAKER_00
25.432,25.999,resultan,0.7630,0.9996,SPEAKER_00
26.182,26.668,turbias,0.7100,0.9696,SPEAKER_00
26.688,26.81,en,0.5250,1.0000,SPEAKER_00
26.87,27.012,más,0.5880,0.9997,SPEAKER_00
27.053,27.114,de,0.4740,0.9993,SPEAKER_00
27.134,27.174,un,0.1710,1.0000,SPEAKER_00
27.195,27.64,"aspecto,",0.4430,1.0000,SPEAKER_00
27.62,28.549,no,0.3760,0.0903,SPEAKER_00
28.569,28.67,es,0.2970,0.9983,SPEAKER_00
28.69,29.073,casual,0.8320,0.9992,SPEAKER_00
29.154,29.255,que,0.8490,0.9990,SPEAKER_00
29.336,29.578,muchos,0.8200,0.9996,SPEAKER_00
29.699,30.163,comparen,0.9320,0.9847,SPEAKER_00
30.184,30.446,este,0.2540,0.9972,SPEAKER_00
30.466,30.729,caso,0.9150,0.9996,SPEAKER_00
30.83,30.951,con,0.9390,0.9990,SPEAKER_00
30.971,31.031,el,0.8500,0.9998,SPEAKER_00
31.092,31.173,de,0.6420,0.9992,SPEAKER_00
31.193,31.799,Tucapel,0.9240,0.9689,SPEAKER_00
31.819,31.98,"Jiménez,",0.1250,0.9987,SPEAKER_00
33.08,33.324,se,0.4320,0.9978,SPEAKER_00
33.344,33.71,impone,0.8720,0.9999,SPEAKER_00
33.791,33.852,la,0.7980,0.9998,SPEAKER_00
33.933,34.441,evidencia,0.9530,0.9999,SPEAKER_00
34.522,34.644,del,0.8760,0.9997,SPEAKER_00
34.705,35.538,aprovechamiento,0.9220,0.9997,SPEAKER_00
35.558,35.72,político,0.1240,0.9997,SPEAKER_00
35.7,36.126,que,0.4890,0.9962,SPEAKER_00
36.633,36.815,el,0.6320,0.9997,SPEAKER_00
36.917,37.241,régimen,0.8860,0.9998,SPEAKER_00
37.282,37.769,fascista,0.7250,0.9997,SPEAKER_00
37.87,38.093,quiere,0.8210,0.9995,SPEAKER_00
38.154,38.478,hacer,0.9310,0.9999,SPEAKER_00
38.499,38.539,de,0.0000,0.9998,SPEAKER_00
38.559,38.62,él.,0.3330,0.9999,SPEAKER_00
39.9,40.627,El,0.9300,0.9995,SPEAKER_00
40.667,41.011,director,0.9420,0.9533,SPEAKER_00
41.132,41.435,general,0.9070,0.9995,SPEAKER_00
41.475,41.536,de,0.4860,0.9999,SPEAKER_00
41.576,42.343,"investigaciones,",0.8450,0.8814,SPEAKER_00
43.03,43.433,general,0.5540,0.9066,SPEAKER_00
43.454,43.958,Fernando,0.7770,0.9996,SPEAKER_00
43.979,44.14,"Paredes,",0.1260,0.9997,SPEAKER_00
44.24,44.907,ve,0.7720,0.9956,SPEAKER_00
44.967,45.088,por,0.8930,0.9997,SPEAKER_00
45.21,45.412,todas,0.7910,0.9999,SPEAKER_00
45.573,45.836,partes,0.9110,0.9999,SPEAKER_00
45.876,46.442,guerrilleros,0.6710,0.9998,SPEAKER_00
46.543,47.068,entrenados,0.8650,0.9997,SPEAKER_00
47.149,47.23,en,0.4500,0.9999,SPEAKER_00
47.29,47.351,los,0.9040,0.9998,SPEAKER_00
47.411,47.714,países,0.8910,0.9998,SPEAKER_00
47.815,48.3,socialistas.,0.6830,0.9986,SPEAKER_00
49.56,49.803,Un,0.6720,0.9982,SPEAKER_00
49.843,50.188,general,0.8330,1.0000,SPEAKER_00
50.208,50.309,en,0.4030,0.9997,SPEAKER_00
50.39,50.775,"retiro,",0.9700,0.9947,SPEAKER_00
51.2,51.281,de,0.9710,0.9996,SPEAKER_00
51.342,51.544,cuyo,0.8320,0.9999,SPEAKER_00
51.605,51.929,nombre,0.9780,0.9999,SPEAKER_00
51.969,52.111,ni,0.2520,0.9984,SPEAKER_00
52.192,52.415,quiero,0.7760,0.9998,SPEAKER_00
52.678,52.88,"acordarme,",0.1060,0.9997,SPEAKER_00
52.98,53.814,habla,0.8250,0.9992,SPEAKER_00
53.896,53.977,de,0.9910,0.9999,SPEAKER_00
54.038,54.099,la,0.8700,0.9997,SPEAKER_00
54.16,54.648,hiena,0.8100,0.9925,SPEAKER_00
54.77,55.36,comunista.,0.6980,1.0000,SPEAKER_00
56.06,56.799,El,0.8640,0.9887,SPEAKER_00
56.84,57.21,general,0.6740,0.9997,SPEAKER_00
57.23,57.395,Santiago,0.1240,0.9982,SPEAKER_00
57.415,57.621,"Rodríguez,",0.0970,0.7518,SPEAKER_00
58.94,59.667,retorna,0.9180,0.0013,SPEAKER_00
59.707,59.727,a,0.9840,0.0168,SPEAKER_00
