start,end,word,alignment_score,probability,speaker
0.56,1.413,Escucha,0.6340,0.8442,SPEAKER_00
1.433,1.718,cine,0.7800,0.3950,SPEAKER_00
2.266,2.388,en,0.8030,0.7517,SPEAKER_00
2.591,2.896,Radio,0.1880,0.9935,SPEAKER_00
2.916,3.18,Moscú.,0.4480,0.9954,SPEAKER_00
3.3,3.893,¿Qué,0.4840,0.9525,SPEAKER_01
3.913,3.995,les,0.4300,0.9665,SPEAKER_01
4.057,4.363,"parece,",0.9080,0.9999,SPEAKER_01
4.384,4.793,amigos,0.6130,0.9998,SPEAKER_01
4.813,5.14,auditores?,0.2420,0.9988,SPEAKER_01
5.16,5.584,Según,0.4890,0.9997,SPEAKER_01
5.604,5.645,el,0.4220,0.9988,SPEAKER_01
5.685,6.049,ministro,0.6520,0.9756,SPEAKER_01
6.089,6.493,secretario,0.9220,0.9822,SPEAKER_01
6.534,6.958,general,0.5770,0.9983,SPEAKER_01
6.999,7.079,de,0.9490,0.9996,SPEAKER_01
7.16,7.605,"gobierno,",0.8550,0.8908,SPEAKER_01
7.625,8.211,Alfonso,0.7620,0.9999,SPEAKER_01
8.271,8.615,Márquez,0.5410,0.9989,SPEAKER_01
8.655,8.736,de,0.9140,1.0000,SPEAKER_01
8.756,8.999,la,0.8530,0.9242,SPEAKER_01
9.019,9.14,"Plata,",0.1680,0.9917,SPEAKER_01
9.54,9.884,en,0.4200,0.9996,SPEAKER_01
9.905,9.986,las,0.8260,0.9999,SPEAKER_01
10.047,10.553,protestas,0.8390,0.9959,SPEAKER_01
10.675,10.796,en,0.5500,0.9997,SPEAKER_01
10.857,11.121,contra,0.9000,1.0000,SPEAKER_01
11.161,11.242,de,0.6000,1.0000,SPEAKER_01
11.364,11.566,su,0.7300,1.0000,SPEAKER_01
11.587,11.809,"jefe,",0.8370,0.9999,SPEAKER_01
11.87,11.931,el,0.7640,1.0000,SPEAKER_01
11.972,12.438,dictador,0.8840,0.9996,SPEAKER_01
12.458,12.64,"Pinochet,",0.1130,0.9975,SPEAKER_01
13.22,13.892,está,0.9070,1.0000,SPEAKER_01
13.994,14.055,la,0.9780,0.9371,SPEAKER_01
14.136,14.36,mano,0.8740,1.0000,SPEAKER_01
14.442,14.544,del,0.8830,1.0000,SPEAKER_01
14.625,15.053,Partido,0.9330,0.9428,SPEAKER_01
15.134,15.48,Comunista.,0.4530,0.9995,SPEAKER_01
15.62,16.388,"Bueno,",0.1790,0.9992,SPEAKER_00
16.408,16.59,esta,0.4100,0.7298,SPEAKER_00
16.61,16.65,es,0.0020,0.8457,SPEAKER_00
16.67,16.852,una,0.7590,0.9998,SPEAKER_00
16.872,17.438,afirmación,0.3330,0.9126,SPEAKER_00
17.478,17.539,que,0.7640,0.9999,SPEAKER_00
17.66,18.428,corresponde,0.9860,0.9994,SPEAKER_00
18.448,18.912,a,0.8680,0.9967,SPEAKER_00
18.933,19.013,los,0.8510,0.9957,SPEAKER_00
19.175,19.458,"hechos,",0.4590,0.9573,SPEAKER_00
19.478,19.539,¿no,0.0010,0.8073,SPEAKER_00
19.559,19.599,es,0.0200,0.9754,SPEAKER_00
19.619,19.7,así?,0.2440,0.9513,SPEAKER_00
20.42,20.968,Claro,0.8620,0.9994,SPEAKER_01
21.029,21.11,que,0.8250,1.0000,SPEAKER_01
21.253,21.354,"sí,",0.2220,0.9999,SPEAKER_01
21.374,21.659,Katia.,0.6440,0.9823,SPEAKER_01
21.699,21.74,En,0.4800,0.9995,SPEAKER_01
21.801,21.842,la,0.9800,0.7919,SPEAKER_01
21.902,22.248,protesta,0.9210,0.9611,SPEAKER_01
22.349,22.552,contra,0.9020,0.9999,SPEAKER_01
22.634,22.674,la,0.9700,1.0000,SPEAKER_01
22.735,23.08,"dictadura,",0.1700,0.9999,SPEAKER_01
23.1,23.463,en,0.8770,1.0000,SPEAKER_01
23.504,23.564,las,0.5480,1.0000,SPEAKER_01
23.665,24.009,acciones,0.6140,0.9912,SPEAKER_01
24.13,24.412,contra,0.9180,1.0000,SPEAKER_01
24.493,25.018,"Pinochet,",0.7760,1.0000,SPEAKER_01
25.402,26.351,efectivamente,0.8940,0.9998,SPEAKER_01
26.371,26.815,están,0.4390,0.9877,SPEAKER_01
26.835,26.936,los,0.7140,1.0000,SPEAKER_01
27.037,27.38,comunistas.,0.3150,0.9996,SPEAKER_01
27.44,28.042,De,0.3870,0.9596,SPEAKER_01
28.063,28.125,eso,0.0010,0.9987,SPEAKER_01
28.146,28.312,no,0.6900,0.9999,SPEAKER_01
28.333,28.416,cabe,0.0000,0.9993,SPEAKER_01
28.437,28.541,duda.,0.2000,0.9999,SPEAKER_01
28.52,29.268,Pero,0.7570,0.5792,SPEAKER_01
29.53,29.571,el,0.8200,0.9702,SPEAKER_01
29.631,29.914,problema,0.8660,0.9993,SPEAKER_01
29.954,30.076,es,0.5140,0.9988,SPEAKER_01
30.136,30.217,que,0.7850,0.9989,SPEAKER_01
30.278,30.338,se,0.7270,0.9992,SPEAKER_01
30.399,30.641,trata,0.8770,0.9994,SPEAKER_01
30.662,30.702,de,0.4990,0.9990,SPEAKER_01
30.884,31.369,utilizar,0.8780,0.9978,SPEAKER_01
31.409,31.752,el,0.8420,0.9952,SPEAKER_01
31.813,32.52,anticomunismo,0.5780,0.9938,SPEAKER_01
32.5,33.105,como,0.8800,0.9807,SPEAKER_01
33.146,33.307,una,0.4020,0.9986,SPEAKER_01
33.408,33.63,forma,0.9520,0.9998,SPEAKER_01
33.69,33.751,de,0.7480,0.9996,SPEAKER_01
33.872,34.276,provocar,0.8730,0.9998,SPEAKER_01
34.316,34.901,problemas,0.7720,0.9993,SPEAKER_01
34.941,34.982,en,0.4580,0.9953,SPEAKER_01
35.446,35.526,los,0.6600,0.9997,SPEAKER_01
35.567,35.89,sectores,0.8880,0.9991,SPEAKER_01
36.011,36.434,políticos,0.8820,0.9994,SPEAKER_01
36.455,36.495,de,0.4720,0.9979,SPEAKER_01
36.757,37.1,oposición.,0.3370,0.9996,SPEAKER_01
37.24,37.665,O,0.7880,0.9800,SPEAKER_00
37.685,37.928,"sea,",0.6560,0.9957,SPEAKER_00
38.353,38.474,el,0.5120,0.9975,SPEAKER_00
38.535,38.859,viejo,0.7330,0.9991,SPEAKER_00
38.879,39.162,mito,0.9010,0.9981,SPEAKER_00
39.223,39.284,de,0.8740,0.9991,SPEAKER_00
39.385,39.486,la,0.7440,0.9963,SPEAKER_00
39.689,40.012,mano,0.9000,0.9794,SPEAKER_00
40.154,40.68,"comunista,",0.6600,0.9997,SPEAKER_00
