start,end,word,alignment_score,probability,speaker
0.0,0.384,Las,0.5380,0.9852,SPEAKER_01
0.546,0.728,tres,0.3840,0.9104,SPEAKER_01
0.749,1.355,agrupaciones,0.5430,0.9998,SPEAKER_01
1.436,1.942,políticas,0.5470,0.9981,SPEAKER_01
1.962,2.67,opositoras,0.5800,0.9941,SPEAKER_01
2.691,2.711,a,0.6330,0.9983,SPEAKER_01
2.792,2.832,la,0.9680,0.9999,SPEAKER_01
2.913,3.358,dictadura,0.9430,0.9635,SPEAKER_01
3.378,3.54,"militar,",0.0940,0.9998,SPEAKER_01
3.74,4.406,la,0.6900,0.9954,SPEAKER_01
4.426,4.769,Alianza,0.9260,0.9987,SPEAKER_01
4.85,5.435,"Democrática,",0.9620,0.9998,SPEAKER_01
5.899,6.081,el,0.5640,1.0000,SPEAKER_01
6.121,6.565,Movimiento,0.8700,0.9993,SPEAKER_01
6.646,7.15,Democrático,0.9450,0.9999,SPEAKER_01
7.17,8.038,Popular,0.6110,0.9998,SPEAKER_01
8.058,8.078,y,0.0000,0.9997,SPEAKER_01
8.098,8.139,el,0.0120,1.0000,SPEAKER_01
8.159,8.3,"PRODEM,",0.1400,0.8429,SPEAKER_01
9.0,9.626,anunciaron,0.7510,1.0000,SPEAKER_01
9.686,9.747,la,0.7460,1.0000,SPEAKER_01
9.808,10.373,realización,0.8600,0.9999,SPEAKER_01
10.413,11.079,conjunta,0.6000,0.9999,SPEAKER_01
11.12,11.16,de,0.5000,1.0000,SPEAKER_01
11.18,12.069,nuevas,0.7850,0.9997,SPEAKER_01
12.23,12.694,jornadas,0.8850,0.9989,SPEAKER_01
12.775,12.856,de,0.8190,1.0000,SPEAKER_01
12.916,13.32,protestas.,0.2720,0.8767,SPEAKER_01
13.36,13.623,Las,0.6180,0.9909,SPEAKER_00
13.744,13.966,nuevas,0.7130,0.9998,SPEAKER_00
14.087,14.471,jornadas,0.7690,1.0000,SPEAKER_00
14.572,14.714,de,0.8450,1.0000,SPEAKER_00
14.734,15.118,protestas,0.7380,0.9981,SPEAKER_00
15.239,15.3,se,0.8620,0.9998,SPEAKER_00
15.36,15.866,inaugurarán,0.7170,0.9990,SPEAKER_00
15.946,16.047,con,0.9390,1.0000,SPEAKER_00
16.209,16.27,los,0.0020,1.0000,SPEAKER_00
16.29,16.734,cabildos,0.6880,0.9850,SPEAKER_00
16.876,17.3,"abiertos,",0.6640,0.9999,SPEAKER_00
17.28,18.188,anteriormente,0.9110,0.9999,SPEAKER_00
18.269,18.793,"programados,",0.9060,0.9999,SPEAKER_00
19.136,19.156,y,0.8820,0.6864,SPEAKER_00
19.197,19.277,que,0.9430,1.0000,SPEAKER_00
19.338,19.519,fueron,0.5230,0.9998,SPEAKER_00
19.661,20.125,prohibidos,0.8330,0.9994,SPEAKER_00
20.226,20.326,por,0.8870,1.0000,SPEAKER_00
20.367,20.427,el,0.8350,1.0000,SPEAKER_00
20.508,21.134,Intendente,0.8930,0.9793,SPEAKER_00
21.234,21.618,Militar,0.8940,0.9991,SPEAKER_00
21.638,21.698,de,0.4830,0.9999,SPEAKER_00
21.719,21.9,Santiago.,0.1110,0.9999,SPEAKER_00
22.52,23.349,Pese,0.2380,0.9988,SPEAKER_01
23.369,23.39,a,0.3240,1.0000,SPEAKER_01
23.41,23.471,la,0.7340,0.9999,SPEAKER_01
23.531,24.098,prohibición,0.4840,0.9988,SPEAKER_01
24.239,24.603,"oficial,",0.5120,0.9995,SPEAKER_01
25.129,25.149,y,0.1970,0.9953,SPEAKER_01
25.17,25.534,pasando,0.9070,0.9999,SPEAKER_01
25.635,25.736,por,0.9160,1.0000,SPEAKER_01
25.837,25.999,sobre,0.3210,0.9652,SPEAKER_01
