start,end,word,alignment_score,probability,speaker
0.0,0.484,La,0.9250,0.9952,SPEAKER_01
0.564,1.189,movilización,0.9720,0.9997,SPEAKER_01
1.209,1.35,de,0.2280,0.9996,SPEAKER_01
1.411,1.814,millones,0.8200,0.9995,SPEAKER_01
1.854,1.995,de,0.7230,0.9999,SPEAKER_01
2.015,2.418,chilenos,0.7540,0.9993,SPEAKER_01
2.439,2.459,y,0.7120,0.9959,SPEAKER_01
2.58,2.66,su,0.6890,0.9997,SPEAKER_01
2.801,3.245,actitud,0.9010,0.9997,SPEAKER_01
3.325,3.89,decidida,0.7900,0.9705,SPEAKER_01
3.95,4.01,de,0.5720,0.9995,SPEAKER_01
4.111,4.676,conquistar,0.8680,0.9998,SPEAKER_01
4.696,4.756,la,0.8630,0.9998,SPEAKER_01
4.817,5.28,democracia,0.4500,0.9993,SPEAKER_01
5.26,6.133,seguirá,0.7920,0.9778,SPEAKER_01
6.255,6.743,ampliándose,0.8020,0.9982,SPEAKER_01
6.986,7.007,y,0.0050,0.9998,SPEAKER_01
7.027,7.9,"profundizándose,",0.6260,0.9998,SPEAKER_01
7.98,8.667,señaló,0.7090,0.9945,SPEAKER_01
8.708,8.768,al,0.5670,0.4164,SPEAKER_01
8.829,9.213,Movimiento,0.9090,0.9101,SPEAKER_01
9.254,9.779,Democrático,0.9060,0.9997,SPEAKER_01
9.799,10.285,Popular,0.6140,0.9999,SPEAKER_01
10.325,10.426,en,0.4280,0.9990,SPEAKER_01
10.568,10.608,su,0.0340,0.9991,SPEAKER_01
10.628,11.073,manifiesto,0.8680,0.9951,SPEAKER_01
11.093,11.215,al,0.7500,0.9752,SPEAKER_01
11.275,11.558,pueblo,0.8200,0.9856,SPEAKER_01
11.578,11.619,de,0.0000,0.9999,SPEAKER_01
11.639,11.74,Chile,0.2000,0.9995,SPEAKER_01
11.72,12.408,dado,0.5630,0.5289,SPEAKER_01
12.428,12.448,a,0.9670,0.9999,SPEAKER_01
12.489,12.833,conocer,0.7900,0.9998,SPEAKER_01
12.873,12.914,en,0.3030,0.9770,SPEAKER_01
12.995,13.399,Santiago,0.9340,0.9997,SPEAKER_01
13.42,13.46,en,0.4880,0.9974,SPEAKER_01
13.723,13.946,el,0.3490,0.9999,SPEAKER_01
13.986,14.269,mes,0.3990,0.9982,SPEAKER_01
14.29,14.33,de,0.4750,1.0000,SPEAKER_01
14.35,14.674,septiembre,0.7140,0.9995,SPEAKER_01
14.836,15.058,recién,0.1340,0.9974,SPEAKER_01
15.079,15.22,pasado.,0.1420,0.9995,SPEAKER_01
15.52,15.983,La,0.7720,0.9995,SPEAKER_00
16.064,16.708,movilización,0.8920,1.0000,SPEAKER_00
16.749,16.869,de,0.5460,1.0000,SPEAKER_00
16.95,17.333,millones,0.8690,1.0000,SPEAKER_00
17.373,17.433,de,0.8870,1.0000,SPEAKER_00
17.554,17.917,chilenos,0.7750,1.0000,SPEAKER_00
17.937,17.957,y,0.9740,1.0000,SPEAKER_00
18.722,18.843,su,0.3380,1.0000,SPEAKER_00
18.863,19.407,actitud,0.7280,1.0000,SPEAKER_00
19.568,19.951,decidida,0.5370,1.0000,SPEAKER_00
19.991,20.051,de,0.7400,1.0000,SPEAKER_00
20.152,20.676,conquistar,0.8650,1.0000,SPEAKER_00
20.696,20.756,la,0.7810,1.0000,SPEAKER_00
20.837,21.32,democracia,0.6510,1.0000,SPEAKER_00
21.3,22.556,seguirá,0.5280,0.9995,SPEAKER_00
22.698,23.285,ampliándose,0.5560,0.9997,SPEAKER_00
23.366,23.508,y,0.7030,1.0000,SPEAKER_00
23.528,24.5,"profundizándose,",0.6010,1.0000,SPEAKER_00
25.64,25.904,sin,0.9480,0.9980,SPEAKER_00
25.945,26.31,"embargo,",0.9090,1.0000,SPEAKER_00
27.083,27.306,ello,0.8940,0.9995,SPEAKER_00
27.326,27.672,no,0.8990,1.0000,SPEAKER_00
27.875,27.977,es,0.2900,1.0000,SPEAKER_00
27.997,28.22,suficiente.,0.0900,0.9998,SPEAKER_00
28.2,28.663,El,0.5860,0.8156,SPEAKER_01
29.327,29.73,Movimiento,0.9180,0.5087,SPEAKER_01
29.831,30.354,Democrático,0.9110,0.9974,SPEAKER_01
30.395,30.918,Popular,0.5560,0.9997,SPEAKER_01
31.099,31.502,planteó,0.9540,0.9791,SPEAKER_01
31.603,31.723,con,0.9420,0.9966,SPEAKER_01
31.804,32.166,claridad,0.8820,0.9998,SPEAKER_01
32.408,32.468,sus,0.2160,0.9855,SPEAKER_01
32.589,32.851,puntos,0.9550,0.9991,SPEAKER_01
32.911,32.992,de,0.8900,0.9996,SPEAKER_01
33.072,33.314,vista,0.8230,0.9998,SPEAKER_01
33.415,33.696,desde,0.5070,0.9954,SPEAKER_01
33.717,33.817,un,0.9390,0.9986,SPEAKER_01
33.878,34.26,"comienzo,",0.4990,0.9997,SPEAKER_01
34.32,35.167,"señalando,",0.9020,0.9993,SPEAKER_01
35.792,36.619,Pinochet,0.3950,0.9613,SPEAKER_01
36.639,36.659,y,0.0010,0.9992,SPEAKER_01
36.68,36.74,su,0.3760,0.9995,SPEAKER_01
36.861,37.265,régimen,0.9250,0.9998,SPEAKER_01
37.285,38.233,permanecerán,0.7100,0.9994,SPEAKER_01
38.293,38.858,aterrados,0.7450,0.9982,SPEAKER_01
38.878,39.019,al,0.8280,0.9995,SPEAKER_01
39.039,39.14,poder,0.2000,0.9987,SPEAKER_01
39.12,39.847,en,0.6560,0.5080,SPEAKER_01
39.928,40.19,tanto,0.9090,0.8269,SPEAKER_01
40.311,40.412,no,0.9440,0.9985,SPEAKER_01
40.533,40.614,se,0.8080,0.9999,SPEAKER_01
40.675,40.957,logre,0.8280,0.9838,SPEAKER_01
41.058,41.119,la,0.8820,0.9997,SPEAKER_01
41.24,41.603,unidad,0.8240,1.0000,SPEAKER_01
41.886,41.967,de,0.9570,0.9996,SPEAKER_01
42.209,42.532,todas,0.5120,0.9839,SPEAKER_01
42.552,42.774,las,0.5270,0.9726,SPEAKER_01
42.794,43.077,fuerzas,0.3760,0.6634,SPEAKER_01
