start,end,word,alignment_score,probability,speaker
0.0,0.383,Un,0.8980,0.9140,SPEAKER_01
0.403,0.705,comité,0.5080,0.7663,SPEAKER_01
0.725,1.148,nacional,0.6000,0.9972,SPEAKER_01
1.168,1.249,de,0.8980,0.9988,SPEAKER_01
1.309,1.651,defensa,0.8030,0.9977,SPEAKER_01
1.712,1.772,del,0.6550,0.9969,SPEAKER_01
1.913,2.114,cobre,0.7710,0.9729,SPEAKER_01
2.135,2.195,se,0.6000,0.9576,SPEAKER_01
2.255,2.638,creó,0.6580,0.9985,SPEAKER_01
2.658,2.719,en,0.4790,0.9947,SPEAKER_01
2.779,3.242,Santiago,0.8680,0.9987,SPEAKER_01
3.323,3.444,con,0.9640,0.9910,SPEAKER_01
3.484,3.544,el,0.7200,0.9997,SPEAKER_01
3.625,3.927,objeto,0.8270,0.9806,SPEAKER_01
3.947,4.027,de,0.9510,0.9997,SPEAKER_01
4.128,4.531,defender,0.8810,0.9979,SPEAKER_01
4.551,4.752,la,0.4000,0.9942,SPEAKER_01
4.773,5.155,principal,0.8670,0.9987,SPEAKER_01
5.195,5.598,riqueza,0.7190,0.9896,SPEAKER_01
5.638,5.759,del,0.5100,0.9993,SPEAKER_01
5.779,5.88,"país,",0.2000,0.9993,SPEAKER_01
6.06,6.322,la,0.6530,0.8883,SPEAKER_01
6.382,6.463,que,0.3040,0.9985,SPEAKER_01
6.483,6.564,ha,0.7920,0.9720,SPEAKER_01
6.584,6.705,sido,0.7520,0.9998,SPEAKER_01
6.725,7.027,falta,0.4170,0.4287,SPEAKER_01
7.108,7.773,prácticamente,0.4800,0.9990,SPEAKER_01
7.853,7.873,a,0.6320,0.9993,SPEAKER_01
7.954,8.498,disposición,0.8820,0.9997,SPEAKER_01
8.518,8.558,de,0.5000,0.9999,SPEAKER_01
9.042,9.123,las,0.9180,0.9993,SPEAKER_01
9.243,9.505,tres,0.5650,0.8070,SPEAKER_01
9.526,10.009,nacionales,0.8840,0.9995,SPEAKER_01
10.372,10.553,por,0.8550,0.9312,SPEAKER_01
10.593,10.634,el,0.7880,0.9996,SPEAKER_01
10.734,11.077,régimen,0.8360,0.9823,SPEAKER_01
11.137,11.299,de,0.8790,0.9955,SPEAKER_01
11.319,11.5,Pinochet.,0.1110,0.9521,SPEAKER_01
11.72,12.466,Integran,0.5820,0.8325,SPEAKER_00
12.486,12.587,este,0.5800,0.8439,SPEAKER_00
12.668,13.011,comité,0.6500,0.9994,SPEAKER_00
13.031,13.152,en,0.6500,0.8371,SPEAKER_00
13.192,13.232,el,0.3780,0.0606,SPEAKER_00
13.273,13.495,"otro,",0.8090,0.4955,SPEAKER_00
13.938,13.999,el,0.5570,0.9922,SPEAKER_00
14.12,14.483,general,0.5090,0.9808,SPEAKER_00
14.503,14.583,en,0.5030,0.9467,SPEAKER_00
14.624,15.007,retiro,0.8900,0.9752,SPEAKER_00
15.027,15.693,Horacio,0.4600,0.9932,SPEAKER_00
15.814,16.257,Toro,0.5660,0.9743,SPEAKER_00
16.277,16.298,y,0.0080,0.6301,SPEAKER_00
16.318,16.62,"Torra,",0.5740,0.9351,SPEAKER_00
16.72,17.305,el,0.8020,0.9991,SPEAKER_00
17.386,18.051,catedrático,0.9000,0.8911,SPEAKER_00
18.071,18.092,y,0.9710,0.9999,SPEAKER_00
18.192,18.999,ex-secretario,0.5210,0.9692,SPEAKER_00
19.019,19.1,de,0.8490,0.6647,SPEAKER_00
19.14,19.201,la,0.6580,0.9978,SPEAKER_00
19.282,19.846,Universidad,0.2060,0.9999,SPEAKER_00
19.866,20.068,de,0.5620,0.9991,SPEAKER_00
20.088,20.351,"Chile,",0.5780,0.9677,SPEAKER_00
20.794,21.056,Juan,0.4740,0.9623,SPEAKER_00
21.077,21.359,Gómez,0.5840,0.9999,SPEAKER_00
21.379,21.5,"Villa,",0.1640,0.9997,SPEAKER_00
22.42,22.722,el,0.3270,0.2257,SPEAKER_00
22.742,23.467,ex-parlamentario,0.8640,0.9994,SPEAKER_00
23.507,24.111,Alberto,0.6850,0.9663,SPEAKER_00
24.131,25.097,"Solís,",0.6780,0.9341,SPEAKER_00
