start,end,word,alignment_score,probability,speaker
0.0,0.912,Escucha,0.7820,0.9181,SPEAKER_01
1.337,1.58,Chile,0.6120,0.8685,SPEAKER_01
2.269,2.35,en,0.9590,0.7113,SPEAKER_01
2.553,2.816,Radio,0.7140,0.9677,SPEAKER_01
2.837,3.12,Moscú,0.5080,0.9901,SPEAKER_01
3.1,4.13,al,0.4050,0.6044,SPEAKER_01
4.15,4.897,acercarse,0.5700,0.9836,SPEAKER_01
4.917,5.321,los,0.4040,0.9476,SPEAKER_01
5.341,5.442,10,0.2600,0.6091,SPEAKER_01
5.462,5.684,años,0.6340,0.9971,SPEAKER_01
5.725,5.826,de,0.7230,0.9967,SPEAKER_01
5.846,5.947,la,0.8030,0.9972,SPEAKER_01
5.967,6.411,heroica,0.5570,0.9672,SPEAKER_01
6.452,6.734,muerte,0.9010,0.9352,SPEAKER_01
6.754,6.795,en,0.4900,0.9855,SPEAKER_01
6.997,7.36,combate,0.3710,0.9984,SPEAKER_01
7.34,8.26,del,0.7220,0.9910,SPEAKER_01
8.362,8.956,compañero,0.8850,0.9977,SPEAKER_01
8.976,9.18,presidente,0.1040,0.9318,SPEAKER_01
9.16,10.333,y,0.6830,0.9771,SPEAKER_01
10.393,10.454,en,0.5260,0.9223,SPEAKER_01
10.515,10.879,medio,0.6900,0.9995,SPEAKER_01
10.939,11.02,del,0.7520,0.9976,SPEAKER_01
11.061,11.465,proceso,0.8810,0.9987,SPEAKER_01
11.485,11.546,de,0.4200,0.9633,SPEAKER_01
11.566,12.072,locas,0.4180,0.5935,SPEAKER_01
12.092,12.335,contra,0.4150,0.9976,SPEAKER_01
12.395,12.476,la,0.8900,0.9979,SPEAKER_01
12.516,12.86,dictadura,0.5800,0.9992,SPEAKER_01
12.84,13.559,que,0.4810,0.9858,SPEAKER_01
13.723,14.381,convoluciona,0.4570,0.9424,SPEAKER_01
14.36,16.203,sus,0.2790,0.6541,SPEAKER_01
16.223,16.487,figuras,0.6260,0.8342,SPEAKER_01
16.649,16.73,que,0.8840,0.5709,SPEAKER_01
16.75,17.155,hacían,0.7210,0.9042,SPEAKER_01
17.175,17.58,desesperar.,0.2130,0.3119,SPEAKER_01
18.62,19.712,Iniciamos,0.3560,0.9183,SPEAKER_01
19.732,19.793,hoy,0.1080,0.9948,SPEAKER_01
19.813,19.955,una,0.2500,0.9984,SPEAKER_01
19.975,20.137,serie,0.6830,0.9996,SPEAKER_01
20.197,20.238,de,0.5230,0.9960,SPEAKER_01
20.319,20.541,pruebas,0.4470,0.8427,SPEAKER_01
20.723,20.764,de,0.0050,0.9108,SPEAKER_01
20.784,21.047,estampas,0.6360,0.9654,SPEAKER_01
21.229,21.653,políticas,0.9240,0.9958,SPEAKER_01
