start,end,word,alignment_score,probability,speaker
0.0,1.026,Estimadas,0.5910,0.9613,SPEAKER_00
1.046,1.449,"amigas,",0.6260,0.9931,SPEAKER_00
1.469,1.791,"amigos,",0.8670,0.9998,SPEAKER_00
1.871,2.173,queremos,0.8360,0.9998,SPEAKER_00
2.415,2.938,recordarles,0.8550,0.9980,SPEAKER_00
3.058,3.199,que,0.4370,0.9961,SPEAKER_00
3.219,3.28,el,0.7080,0.9992,SPEAKER_00
3.3,3.501,11,0.6720,0.9980,SPEAKER_00
3.582,3.622,de,0.2820,0.9999,SPEAKER_00
3.763,4.085,septiembre,0.4790,0.9955,SPEAKER_00
4.185,4.588,próximo,0.9170,0.9939,SPEAKER_00
4.688,4.728,se,0.8300,0.9971,SPEAKER_00
4.809,5.191,cumplirán,0.7050,0.9968,SPEAKER_00
5.211,5.252,10,0.9780,0.9914,SPEAKER_00
5.835,6.016,años,0.7960,1.0000,SPEAKER_00
6.117,6.237,del,0.8240,0.9974,SPEAKER_00
6.278,6.378,golpe,0.0080,0.9974,SPEAKER_00
6.398,6.68,militar.,0.2310,0.9997,SPEAKER_00
6.96,7.489,10,0.7460,0.9962,SPEAKER_00
7.59,7.875,años,0.4960,1.0000,SPEAKER_00
7.977,8.078,de,0.4840,1.0000,SPEAKER_00
8.099,8.16,la,0.8370,0.9999,SPEAKER_00
8.22,8.525,muerte,0.9130,1.0000,SPEAKER_00
8.566,8.647,de,0.7010,1.0000,SPEAKER_00
8.81,9.217,Salvador,0.7740,0.9902,SPEAKER_00
9.237,9.44,Allende.,0.1990,0.9982,SPEAKER_00
9.5,9.81,10,0.3140,0.9998,SPEAKER_00
9.831,10.203,años,0.4630,1.0000,SPEAKER_00
10.223,10.327,de,0.6200,1.0000,SPEAKER_00
10.347,10.761,dictadura.,0.4020,0.9999,SPEAKER_00
10.9,11.611,10,0.5530,0.9999,SPEAKER_00
11.672,11.957,años,0.4870,1.0000,SPEAKER_00
11.977,12.099,de,0.3580,1.0000,SPEAKER_00
12.201,12.445,lucha,0.9180,0.9999,SPEAKER_00
12.648,12.912,contra,0.9600,1.0000,SPEAKER_00
12.953,13.034,el,0.6410,1.0000,SPEAKER_00
13.115,13.42,fascismo.,0.2810,0.9991,SPEAKER_00
13.54,13.885,¿Qué,0.5850,0.9998,SPEAKER_00
14.128,14.391,desearía,0.1880,0.9985,SPEAKER_00
14.432,14.695,usted,0.6480,0.9985,SPEAKER_00
14.715,15.121,decirle,0.4770,0.9999,SPEAKER_00
15.202,15.222,a,0.8710,1.0000,SPEAKER_00
15.263,15.344,los,0.9040,0.9999,SPEAKER_00
15.425,15.81,chilenos,0.4560,0.9864,SPEAKER_00
15.87,16.093,con,0.6650,0.9999,SPEAKER_00
16.235,16.458,este,0.5600,0.9984,SPEAKER_00
16.478,16.62,motivo?,0.1300,0.9809,SPEAKER_00
16.88,17.283,Usted,0.5430,0.7901,SPEAKER_00
17.303,17.384,que,0.5150,0.5486,SPEAKER_00
17.444,17.585,viva,0.9030,0.7808,SPEAKER_00
17.646,18.533,en,0.3840,0.9996,SPEAKER_00
18.553,18.654,Chile,0.0000,0.9952,SPEAKER_00
18.674,18.694,o,0.0080,0.9998,SPEAKER_00
18.714,18.755,en,0.0020,0.9999,SPEAKER_00
18.775,18.815,el,0.0100,0.9983,SPEAKER_00
18.835,19.057,"exilio,",0.1900,0.9901,SPEAKER_00
19.077,19.4,cuéntenos,0.4570,0.9979,SPEAKER_00
19.904,19.964,lo,0.9560,0.8376,SPEAKER_00
20.024,20.125,que,0.7290,1.0000,SPEAKER_00
20.206,20.448,ha,0.8040,1.0000,SPEAKER_00
20.528,20.75,visto,0.3900,0.9998,SPEAKER_00
20.77,20.79,y,0.0310,0.9999,SPEAKER_00
20.811,20.851,lo,0.9480,1.0000,SPEAKER_00
20.911,20.972,que,0.8400,1.0000,SPEAKER_00
21.032,21.093,ha,0.6070,1.0000,SPEAKER_00
21.194,21.496,sufrido,0.8140,0.9999,SPEAKER_00
21.516,21.556,en,0.1670,1.0000,SPEAKER_00
21.577,21.758,estos,0.1240,0.9999,SPEAKER_00
21.778,22.04,años.,0.3870,1.0000,SPEAKER_00
22.28,22.646,¿Qué,0.8250,0.9990,SPEAKER_01
22.829,23.359,significó,0.2750,0.9141,SPEAKER_01
23.379,23.521,para,0.9270,1.0000,SPEAKER_01
23.603,23.867,usted,0.8470,1.0000,SPEAKER_01
23.928,23.989,el,0.8300,0.9995,SPEAKER_01
24.03,24.437,gobierno,0.7710,0.9990,SPEAKER_01
24.458,24.62,popular?,0.1240,0.9997,SPEAKER_01
24.92,25.572,¿Cómo,0.2750,0.9990,SPEAKER_01
25.654,26.286,recuerda,0.7030,0.9122,SPEAKER_01
26.449,26.469,a,0.2000,0.9864,SPEAKER_01
26.53,26.836,Salvador,0.5070,0.9996,SPEAKER_01
26.856,27.08,Allende?,0.2100,0.9999,SPEAKER_01
27.06,27.847,Cuéntenos,0.5970,0.6921,SPEAKER_00
28.048,28.109,lo,0.7900,0.9851,SPEAKER_00
28.149,28.23,que,0.7940,0.9986,SPEAKER_00
28.291,28.533,vivió,0.6760,0.9955,SPEAKER_00
28.613,29.077,después,0.6630,0.9816,SPEAKER_00
29.097,29.178,del,0.5000,0.9946,SPEAKER_00
29.34,29.561,golpe,0.9020,0.9918,SPEAKER_00
29.622,29.945,militar,0.8920,0.9988,SPEAKER_00
30.005,30.126,del,0.8000,0.9838,SPEAKER_00
30.146,30.409,11,0.7790,0.9951,SPEAKER_00
30.449,30.51,de,0.2420,0.9978,SPEAKER_00
30.55,31.074,septiembre,0.7760,0.9927,SPEAKER_00
31.095,31.135,de,0.4820,0.9980,SPEAKER_00
31.155,31.74,1973.,0.7350,0.9980,SPEAKER_00
32.66,33.324,Esperamos,0.9060,0.7087,SPEAKER_01
33.505,33.666,su,0.6220,0.9949,SPEAKER_01
33.686,34.369,"carta,",0.8090,0.9978,SPEAKER_01
34.39,34.571,un,0.6900,0.9800,SPEAKER_01
34.591,35.114,"cassette,",0.6460,0.7549,SPEAKER_01
35.435,35.536,una,0.9790,0.9991,SPEAKER_01
35.636,36.32,canción,0.5990,0.9983,SPEAKER_01
36.34,36.361,o,0.0000,0.7059,SPEAKER_01
36.381,36.421,un,0.4680,0.9847,SPEAKER_01
36.481,36.823,poema,0.8010,0.9995,SPEAKER_01
36.944,37.205,que,0.7170,0.9448,SPEAKER_01
37.326,37.668,exprese,0.5280,0.9966,SPEAKER_01
37.708,37.768,lo,0.8670,0.9969,SPEAKER_01
37.829,37.929,que,0.8170,0.9996,SPEAKER_01
38.03,38.432,usted,0.5510,0.6385,SPEAKER_01
38.573,38.613,ha,0.2770,0.9983,SPEAKER_01
38.693,38.814,vivido,0.1240,0.9993,SPEAKER_01
38.854,38.874,y,0.0090,0.9977,SPEAKER_01
38.895,39.337,sufrido,0.7770,0.9998,SPEAKER_01
39.357,39.438,en,0.7220,0.9990,SPEAKER_01
39.478,39.779,estos,0.6340,0.9984,SPEAKER_01
39.8,39.9,años.,0.1900,0.9995,SPEAKER_01
40.16,40.623,Nuestra,0.3730,0.9788,SPEAKER_00
40.663,41.026,"dirección,",0.9890,0.9994,SPEAKER_00
41.066,42.092,Escucha,0.6220,0.9477,SPEAKER_00
42.113,42.354,Chile,0.5530,0.9780,SPEAKER_00
42.797,42.898,o,0.7630,0.9814,SPEAKER_00
43.28,43.622,Radio,0.9220,0.9959,SPEAKER_00
43.723,44.307,"Magallanes,",0.7020,0.8744,SPEAKER_00
44.609,45.192,"Moscú,",0.7670,0.9946,SPEAKER_00
45.212,45.555,Radio,0.9530,0.9967,SPEAKER_00
45.776,46.018,Unión,0.3060,0.9986,SPEAKER_00
46.038,46.4,Soviética.,0.2240,0.9932,SPEAKER_00
46.64,47.725,También,0.1820,0.9946,SPEAKER_01
47.786,47.906,puede,0.2390,0.9954,SPEAKER_01
48.027,48.188,escribir,0.1020,0.9997,SPEAKER_01
48.208,48.228,a,0.7690,0.8118,SPEAKER_01
48.248,48.65,apartado,0.8650,0.9869,SPEAKER_01
48.69,49.273,postal,0.5800,0.9927,SPEAKER_01
49.293,54.82,11-581-México11-DS-México,0.5000,0.9789,SPEAKER_01
54.8,55.842,o,0.7520,0.9687,SPEAKER_01
55.883,55.965,al,0.8350,0.6766,SPEAKER_01
56.006,56.619,apartado,0.8400,0.6131,SPEAKER_01
56.639,56.7,71.,0.3330,0.9505,SPEAKER_01
57.06,58.77,"61-038,",0.7580,0.7398,SPEAKER_01
59.574,59.796,zona,0.8670,0.9943,SPEAKER_01
59.856,60.399,postal,0.8650,0.9998,SPEAKER_01
60.419,60.842,"Chacao,",0.6800,0.7840,SPEAKER_01
60.862,62.089,"1060A,",0.8050,0.0002,SPEAKER_01
62.994,63.477,"Caracas,",0.8460,0.8444,SPEAKER_01
63.799,64.04,Venezuela.,0.2280,0.5528,SPEAKER_01
64.58,65.581,Repetimos.,0.3330,0.9020,SPEAKER_01
66.18,67.307,Apartado,0.8650,0.9894,SPEAKER_01
67.407,67.991,postal,0.4870,0.8177,SPEAKER_01
68.011,72.94,11-581-México11-DS-México,0.5480,0.9998,SPEAKER_01
72.92,73.744,o,0.7130,0.9984,SPEAKER_01
73.764,73.865,al,0.8340,0.9619,SPEAKER_01
73.885,74.327,apartado,0.9260,0.9889,SPEAKER_01
74.347,74.829,"61-038,",0.5910,0.2886,SPEAKER_01
76.256,77.763,zona,0.3630,0.9893,SPEAKER_01
77.824,78.145,postal,0.8420,0.9895,SPEAKER_01
78.266,78.768,"Chacao,",0.7230,0.5152,SPEAKER_01
78.849,80.275,"1060A,",0.7520,0.5651,SPEAKER_01
80.296,81.019,"Caracas,",0.6860,0.8604,SPEAKER_01
81.039,81.24,Venezuela.,0.1420,0.3840,SPEAKER_01
81.52,82.146,Nuestro,0.7290,0.9853,SPEAKER_00
82.227,82.691,teléfono,0.4300,0.9998,SPEAKER_00
82.711,82.852,es,0.5700,0.9980,SPEAKER_00
82.893,82.933,en,0.4320,0.9982,SPEAKER_00
83.196,85.84,233-6882.,0.8570,0.9996,SPEAKER_00
87.8,89.141,233-6882.,0.6900,0.9999,SPEAKER_00
89.28,90.084,Escucha,0.5790,0.9999,SPEAKER_01
90.164,90.506,Chile,0.4180,0.9642,SPEAKER_01
90.526,90.546,o,0.0340,0.9999,SPEAKER_01
90.566,90.828,Radio,0.8720,0.9999,SPEAKER_01
90.868,91.43,Magallanes,0.4620,0.9975,SPEAKER_01
91.832,91.953,en,0.2220,0.9995,SPEAKER_01
91.973,92.154,el,0.5040,0.9962,SPEAKER_01
92.174,92.395,décimo,0.3350,0.7818,SPEAKER_01
92.455,93.058,aniversario,0.8740,0.8264,SPEAKER_01
93.119,93.179,de,0.8280,0.9959,SPEAKER_01
93.219,93.28,la,0.8640,0.1143,SPEAKER_01
93.36,93.621,muerte,0.9380,0.9490,SPEAKER_01
93.661,93.702,en,0.4940,0.9798,SPEAKER_01
93.903,94.526,combate,0.8350,0.3451,SPEAKER_01
94.727,94.827,del,0.4290,0.0023,SPEAKER_01
94.847,95.229,presidente,0.3870,0.9493,SPEAKER_01
95.289,95.37,de,0.6740,0.9940,SPEAKER_01
95.49,95.752,"Chile,",0.7400,0.8528,SPEAKER_01
96.214,96.797,Salvador,0.9870,0.9683,SPEAKER_01
96.837,97.5,Allende.,0.3750,0.9554,SPEAKER_01
98.08,98.845,Esperamos,0.7480,0.9996,SPEAKER_01
98.927,99.072,sus,0.3070,0.9984,SPEAKER_01
99.093,99.341,cartas.,0.4640,0.9998,SPEAKER_01
99.8,100.669,Acá,0.2560,0.9998,SPEAKER_02
100.69,100.73,se,0.1920,0.9968,SPEAKER_02
100.75,101.438,puso,0.6260,0.9995,SPEAKER_02
101.519,101.68,el,0.3580,0.9248,SPEAKER_02
101.701,101.883,"motivo,",0.4690,0.9512,SPEAKER_02
101.984,102.186,pero,0.4170,0.9998,SPEAKER_02
102.206,102.287,eso,0.2700,0.9957,SPEAKER_02
102.368,102.853,también,0.5890,0.9993,SPEAKER_02
102.873,102.954,va,0.3970,0.9937,SPEAKER_02
102.975,102.995,a,0.6010,0.9987,SPEAKER_02
103.096,103.338,ser,0.4950,0.8137,SPEAKER_02
103.359,103.5,cierto.,0.2720,0.7768,SPEAKER_02
108.86,109.715,¿A,0.7740,0.3116,SPEAKER_02
109.756,109.837,qué,0.6060,0.8216,SPEAKER_02
109.878,109.939,me,0.7040,0.5470,SPEAKER_02
109.98,110.448,encontró,0.2740,0.4066,SPEAKER_02
110.55,111.018,tan,0.7410,0.9595,SPEAKER_02
111.038,111.16,lejos?,0.1670,0.7638,SPEAKER_02
112.94,113.736,Espera,0.6730,0.7209,SPEAKER_02
114.144,114.185,un,0.0010,0.9620,SPEAKER_02
114.206,114.798,"minuto,",0.2070,0.3281,SPEAKER_02
114.818,114.94,señor.,0.1660,0.9904,SPEAKER_02
115.04,115.297,Espera,0.1140,0.6300,SPEAKER_02
115.318,115.361,un,0.0280,0.3747,SPEAKER_02
115.382,115.532,"minuto,",0.0120,0.7664,SPEAKER_02
115.553,115.681,señor.,0.1600,0.7807,SPEAKER_02
117.06,117.444,Dime,0.1720,0.9934,SPEAKER_02
117.465,117.566,de,0.5190,0.9426,SPEAKER_02
117.586,117.91,forma,0.5700,0.8330,SPEAKER_02
118.477,118.638,corta,0.1530,0.9782,SPEAKER_02
118.659,118.8,que,0.6500,0.4183,SPEAKER_02
118.982,119.023,mi,0.0190,0.3447,SPEAKER_02
119.043,119.569,patria,0.4670,0.7851,SPEAKER_02
119.59,119.63,no,0.1640,0.5709,SPEAKER_02
