start,end,word,alignment_score,probability,speaker
0.0,0.725,Entre,0.8540,0.9957,SPEAKER_01
0.765,0.966,las,0.7580,1.0000,SPEAKER_01
1.067,1.329,últimas,0.8270,0.9997,SPEAKER_01
1.429,1.772,palabras,0.7570,1.0000,SPEAKER_01
1.792,1.832,de,0.4980,0.9999,SPEAKER_01
2.074,2.456,Salvador,0.7410,0.9971,SPEAKER_01
2.476,2.939,Allende,0.7140,0.9993,SPEAKER_01
2.959,2.979,y,0.9430,0.9913,SPEAKER_01
3.04,3.201,los,0.4340,0.9999,SPEAKER_01
3.261,3.523,primeros,0.8410,0.9999,SPEAKER_01
3.604,3.865,golpes,0.8910,0.9994,SPEAKER_01
3.906,4.046,de,0.6580,0.9998,SPEAKER_01
4.147,4.61,cacerolas,0.8270,0.9515,SPEAKER_01
4.671,5.073,vacías,0.8780,0.9993,SPEAKER_01
5.093,5.134,el,0.4960,0.8093,SPEAKER_01
5.154,5.295,11,0.7440,0.9977,SPEAKER_01
5.597,5.657,de,0.9570,1.0000,SPEAKER_01
5.717,5.979,mayo,0.9020,0.9999,SPEAKER_01
5.999,6.14,"pasado,",0.1440,0.9999,SPEAKER_01
6.78,7.518,transcurrieron,0.8410,0.9982,SPEAKER_01
7.64,7.927,casi,0.9150,1.0000,SPEAKER_01
7.948,8.296,10,0.8210,0.7645,SPEAKER_01
8.317,8.48,años.,0.3490,1.0000,SPEAKER_01
9.26,9.543,10,0.5480,0.8424,SPEAKER_01
9.624,9.826,años,0.9000,1.0000,SPEAKER_01
9.866,9.907,de,0.5010,1.0000,SPEAKER_01
10.27,10.493,paz,0.9690,1.0000,SPEAKER_01
10.675,10.755,y,0.6530,1.0000,SPEAKER_01
10.836,11.16,"orden,",0.9710,1.0000,SPEAKER_01
11.382,11.604,según,0.9410,1.0000,SPEAKER_01
11.685,11.746,la,0.9620,1.0000,SPEAKER_01
11.887,12.19,versión,0.9530,1.0000,SPEAKER_01
12.211,12.595,oficial,0.9250,1.0000,SPEAKER_01
12.615,12.958,del,0.4810,1.0000,SPEAKER_01
12.979,13.14,régimen.,0.1210,0.9996,SPEAKER_01
38.8,40.149,10,0.7520,0.3523,SPEAKER_01
40.229,40.471,años,0.9210,0.9961,SPEAKER_01
40.632,40.773,de,0.9840,0.9982,SPEAKER_01
40.914,41.417,felicidad,0.9720,0.9965,SPEAKER_01
41.437,41.457,y,0.9920,0.9986,SPEAKER_01
41.759,42.403,"sonrisas,",0.8770,0.9999,SPEAKER_01
42.846,43.007,pero,0.9750,0.9991,SPEAKER_01
