start,end,word,alignment_score,probability,speaker
7.2,8.065,Como,0.8990,0.4445,SPEAKER_00
8.125,8.387,todos,0.8550,0.9991,SPEAKER_00
8.528,8.588,los,0.2650,0.9983,SPEAKER_00
8.608,8.829,lunes,0.7500,0.9999,SPEAKER_00
8.85,8.89,a,0.8390,0.9998,SPEAKER_00
8.95,9.131,esta,0.5070,0.9998,SPEAKER_00
9.212,9.373,"hora,",0.9810,0.9999,SPEAKER_00
9.795,9.976,los,0.3180,0.9802,SPEAKER_00
9.996,10.378,invitamos,0.7250,1.0000,SPEAKER_00
10.459,10.539,a,0.6370,1.0000,SPEAKER_00
10.579,10.881,escuchar,0.7450,1.0000,SPEAKER_00
10.942,11.002,el,0.9500,0.9997,SPEAKER_00
11.062,11.485,comentario,0.9400,0.9990,SPEAKER_00
11.525,11.927,político,0.8840,0.9999,SPEAKER_00
11.967,12.068,de,0.6110,0.9999,SPEAKER_00
12.108,12.752,actualidad,0.8680,0.9983,SPEAKER_00
13.255,13.355,de,0.9550,0.9667,SPEAKER_00
13.557,13.939,Pedro,0.7470,0.9990,SPEAKER_00
13.959,14.16,Correa.,0.3370,0.9992,SPEAKER_00
14.96,15.641,...,0.6310,0.5181,SPEAKER_01
23.66,24.685,Hacia,0.5430,0.8368,SPEAKER_01
24.786,25.248,septiembre,0.8130,0.9883,SPEAKER_01
25.349,26.072,convergen,0.7630,0.9974,SPEAKER_01
26.092,26.112,y,0.0000,0.9994,SPEAKER_01
26.133,26.173,se,0.0050,0.9996,SPEAKER_01
26.193,26.514,anudan,0.9890,0.9988,SPEAKER_01
27.017,27.339,grandes,0.7180,0.9929,SPEAKER_01
27.479,27.761,luchas,0.7840,0.9999,SPEAKER_01
27.801,27.841,en,0.5000,0.9850,SPEAKER_01
28.324,28.484,el,0.6460,0.9998,SPEAKER_01
28.545,28.927,proceso,0.5190,0.9995,SPEAKER_01
28.947,29.469,ascendente,0.8240,0.9996,SPEAKER_01
29.51,29.63,de,0.5220,0.9991,SPEAKER_01
29.67,29.731,la,0.8920,0.9993,SPEAKER_01
29.791,30.394,movilización,0.8230,0.9996,SPEAKER_01
30.475,30.997,combativa,0.7940,0.9785,SPEAKER_01
31.057,31.118,de,0.5570,0.9997,SPEAKER_01
31.138,31.319,las,0.1510,0.9996,SPEAKER_01
31.339,31.58,masas,0.4910,0.9885,SPEAKER_01
31.56,32.304,y,0.6870,0.9849,SPEAKER_01
32.324,32.364,de,0.8740,0.9987,SPEAKER_01
32.405,32.465,la,0.9380,0.9998,SPEAKER_01
32.525,32.747,acción,0.7570,0.9995,SPEAKER_01
32.887,33.43,conjunta,0.9080,0.9999,SPEAKER_01
33.511,33.591,de,0.8980,0.9997,SPEAKER_01
33.631,33.732,los,0.8530,0.9992,SPEAKER_01
33.812,34.034,más,0.5180,0.9855,SPEAKER_01
34.054,34.416,vastos,0.5450,0.9981,SPEAKER_01
34.436,34.818,sectores,0.9760,0.9995,SPEAKER_01
35.401,35.502,con,0.9630,0.9635,SPEAKER_01
35.562,35.623,la,0.7620,0.9997,SPEAKER_01
35.703,36.246,consigna,0.9560,0.9996,SPEAKER_01
36.467,37.111,unificadora,0.9410,0.9992,SPEAKER_01
37.634,37.734,de,0.8180,0.9980,SPEAKER_01
37.815,38.659,democracia,0.4270,0.9761,SPEAKER_01
38.679,38.8,"ahora,",0.1640,0.9931,SPEAKER_01
39.0,39.565,que,0.4490,0.9584,SPEAKER_01
39.666,40.09,implica,0.8000,0.9523,SPEAKER_01
40.19,40.231,la,0.9490,0.9992,SPEAKER_01
40.352,40.897,decisión,0.8490,0.9996,SPEAKER_01
40.998,41.078,de,0.7400,0.9998,SPEAKER_01
41.159,41.381,poner,0.9070,0.9904,SPEAKER_01
41.522,41.865,término,0.9250,0.9990,SPEAKER_01
41.885,41.906,a,0.9980,0.9997,SPEAKER_01
42.35,42.41,la,0.8340,0.9989,SPEAKER_01
42.571,43.056,tiranía,0.9600,0.9983,SPEAKER_01
43.096,43.358,de,0.7250,0.9982,SPEAKER_01
43.379,43.56,Pinochet.,0.1120,0.9966,SPEAKER_01
45.62,45.761,y,0.2900,0.9882,SPEAKER_01
45.801,45.821,a,0.0130,0.9880,SPEAKER_01
45.841,46.042,comienzos,0.1680,0.8734,SPEAKER_01
46.083,46.203,del,0.7970,0.4972,SPEAKER_01
46.244,46.364,mes,0.8060,0.6403,SPEAKER_01
46.465,46.545,de,0.7710,0.9184,SPEAKER_01
46.646,47.048,septiembre,0.7190,0.2455,SPEAKER_01
47.068,47.873,está,0.3750,0.3400,SPEAKER_01
47.893,47.954,la,0.7900,0.3997,SPEAKER_01
48.095,48.316,fecha,0.7170,0.9631,SPEAKER_01
48.416,49.201,significativa,0.6190,0.9405,SPEAKER_01
49.543,49.623,del,0.6430,0.4941,SPEAKER_01
49.664,49.845,día,0.4890,0.7811,SPEAKER_01
49.865,50.328,"4,",0.7600,0.9993,SPEAKER_01
