start,end,word,alignment_score,probability,speaker
0.8,1.222,Estimados,0.7190,0.9911,SPEAKER_00
1.262,1.904,"compatriotas,",0.8080,0.9995,SPEAKER_00
2.687,2.747,la,0.7500,0.9872,SPEAKER_00
2.848,3.249,Sociedad,0.7340,0.9949,SPEAKER_00
3.269,3.37,de,0.3780,0.9995,SPEAKER_00
3.39,3.791,Escritores,0.5940,0.9994,SPEAKER_00
3.831,3.992,de,0.7360,0.9853,SPEAKER_00
4.012,4.273,Chile,0.8440,0.9998,SPEAKER_00
5.759,6.2,manifestó,0.8310,0.9991,SPEAKER_00
6.241,6.261,a,0.0850,0.9992,SPEAKER_00
6.321,6.562,través,0.7460,1.0000,SPEAKER_00
6.582,6.682,de,0.7160,1.0000,SPEAKER_00
6.722,6.783,un,0.7540,1.0000,SPEAKER_00
6.843,7.325,comunicado,0.9610,1.0000,SPEAKER_00
7.425,7.525,su,0.8650,0.9995,SPEAKER_00
7.586,8.168,protestante,0.6910,0.7332,SPEAKER_00
9.071,9.172,por,0.8970,0.9952,SPEAKER_00
9.232,9.272,la,0.9550,0.9999,SPEAKER_00
9.352,9.674,censura,0.7840,0.9998,SPEAKER_00
9.734,9.814,de,0.5170,0.9995,SPEAKER_00
9.834,10.115,libros,0.7140,0.9999,SPEAKER_00
10.256,10.838,imperante,0.9620,0.8359,SPEAKER_00
11.099,11.159,en,0.6140,0.9999,SPEAKER_00
11.179,11.28,el,0.6400,1.0000,SPEAKER_00
11.3,11.4,país.,0.2000,0.9996,SPEAKER_00
12.1,12.831,Señala,0.5690,0.9228,SPEAKER_00
12.871,12.932,el,0.5840,0.9530,SPEAKER_00
12.973,13.541,comunicado,0.5720,0.9998,SPEAKER_00
13.582,13.663,que,0.6730,0.9416,SPEAKER_00
13.805,13.866,hoy,0.0030,0.7548,SPEAKER_00
13.886,13.968,se,0.3420,0.9307,SPEAKER_00
13.988,14.435,medirá,0.5590,0.5893,SPEAKER_00
14.455,14.495,en,0.0720,0.6737,SPEAKER_00
14.516,14.556,el,0.0340,0.2188,SPEAKER_00
14.577,14.82,fundamental.,0.0960,0.1055,SPEAKER_00
15.78,16.544,Menuscaba,0.8740,0.7698,SPEAKER_00
16.564,16.584,e,0.9940,0.9946,SPEAKER_00
16.906,17.228,inhibe,0.5470,0.9149,SPEAKER_00
17.248,17.348,en,0.8640,1.0000,SPEAKER_00
17.429,17.69,Chile,0.8290,1.0000,SPEAKER_00
18.695,18.896,todos,0.8540,0.9997,SPEAKER_00
19.198,19.298,los,0.4770,1.0000,SPEAKER_00
19.318,19.52,logros,0.5850,0.9999,SPEAKER_00
19.54,19.62,de,0.9040,1.0000,SPEAKER_00
19.68,19.721,la,0.9950,1.0000,SPEAKER_00
19.801,20.103,libertad,0.8710,1.0000,SPEAKER_00
20.123,20.223,de,0.5000,0.9999,SPEAKER_00
20.284,21.007,pensamiento,0.7230,1.0000,SPEAKER_00
21.027,21.068,de,0.5040,0.9742,SPEAKER_00
21.832,21.912,que,0.6070,0.9808,SPEAKER_00
21.932,22.073,hoy,0.5980,0.9999,SPEAKER_00
22.133,22.455,gozan,0.6880,0.9989,SPEAKER_00
22.515,22.636,los,0.2450,1.0000,SPEAKER_00
22.656,22.957,estados,0.8070,0.8796,SPEAKER_00
23.058,23.46,modernos.,0.6350,0.9987,SPEAKER_00
24.52,25.223,Manifiesta,0.6330,0.8412,SPEAKER_00
25.283,25.363,que,0.7540,0.9958,SPEAKER_00
25.383,25.463,la,0.8790,0.9995,SPEAKER_00
25.544,26.066,censura,0.8580,0.9984,SPEAKER_00
26.086,26.929,impuesta,0.8680,0.9899,SPEAKER_00
26.969,26.989,a,0.8310,0.9976,SPEAKER_00
27.029,27.089,la,0.7290,1.0000,SPEAKER_00
27.17,27.651,circulación,0.8710,0.9998,SPEAKER_00
27.712,27.772,de,0.7720,0.9993,SPEAKER_00
27.812,28.073,libros,0.5860,0.9986,SPEAKER_00
28.173,28.233,en,0.9480,0.9997,SPEAKER_00
28.334,28.595,Chile,0.9200,0.9997,SPEAKER_00
29.518,29.598,es,0.8100,0.9813,SPEAKER_00
29.679,29.859,fiel,0.7480,0.9960,SPEAKER_00
29.94,30.341,reflejo,0.9370,0.9982,SPEAKER_00
30.401,30.441,de,0.9590,0.9999,SPEAKER_00
30.502,30.542,la,0.9840,0.9999,SPEAKER_00
30.622,30.863,falta,0.9040,0.9999,SPEAKER_00
30.883,30.963,de,0.8780,1.0000,SPEAKER_00
31.024,31.365,libertad,0.9850,0.9999,SPEAKER_00
31.385,31.445,que,0.3320,0.9996,SPEAKER_00
31.485,32.007,sufren,0.7820,0.9953,SPEAKER_00
32.047,32.168,hoy,0.8070,0.9997,SPEAKER_00
32.208,32.268,en,0.6560,0.9999,SPEAKER_00
32.328,32.409,el,0.5840,0.9999,SPEAKER_00
32.469,32.649,país,0.7440,0.9998,SPEAKER_00
32.69,33.693,las,0.3170,0.9491,SPEAKER_00
33.794,34.456,tradicionales,0.8520,0.9957,SPEAKER_00
34.596,35.179,instituciones,0.6960,0.9997,SPEAKER_00
35.199,35.6,democráticas.,0.1770,0.9990,SPEAKER_00
36.38,37.144,Afirma,0.4360,0.9829,SPEAKER_00
37.164,37.224,que,0.2300,0.9997,SPEAKER_00
37.245,37.426,estas,0.8890,0.9988,SPEAKER_00
37.526,38.129,instituciones,0.9250,1.0000,SPEAKER_00
38.994,39.054,que,0.1150,0.8284,SPEAKER_00
39.074,39.677,significaron,0.9330,0.9999,SPEAKER_00
39.718,39.758,el,0.4250,0.9998,SPEAKER_00
40.1,40.462,honor,0.8820,0.9995,SPEAKER_00
40.502,40.522,y,0.5760,0.9999,SPEAKER_00
40.622,40.683,el,0.9620,1.0000,SPEAKER_00
40.763,41.226,prestigio,0.7770,0.9946,SPEAKER_00
41.266,41.346,de,0.9390,0.9997,SPEAKER_00
41.467,41.748,Chile,0.8690,0.9991,SPEAKER_00
42.271,42.352,en,0.9800,0.9993,SPEAKER_00
42.392,42.452,el,0.8770,0.9998,SPEAKER_00
42.613,43.035,panorama,0.9610,0.9998,SPEAKER_00
43.075,43.136,de,0.5440,0.9999,SPEAKER_00
43.196,43.236,la,0.8020,1.0000,SPEAKER_00
43.317,43.618,cultura,0.8190,0.9997,SPEAKER_00
43.739,43.779,de,0.0420,0.9999,SPEAKER_00
43.799,43.98,"América,",0.1380,0.9998,SPEAKER_00
44.2,45.205,se,0.6610,0.9962,SPEAKER_00
45.245,45.426,ven,0.7650,0.9977,SPEAKER_00
45.487,45.587,hoy,0.5090,0.9998,SPEAKER_00
45.627,46.009,atacadas,0.8300,0.9996,SPEAKER_00
46.049,46.411,en,0.8610,0.9991,SPEAKER_00
46.472,46.632,sus,0.6320,0.9873,SPEAKER_00
46.652,47.919,cimientos,0.6500,0.9979,SPEAKER_00
47.939,48.08,por,0.6780,0.9953,SPEAKER_00
48.1,48.24,el,0.4200,0.9995,SPEAKER_00
48.321,48.502,uso,0.7960,0.9995,SPEAKER_00
48.542,49.386,indiscriminado,0.8160,0.9997,SPEAKER_00
49.989,50.07,de,0.8960,0.9998,SPEAKER_00
50.17,50.813,facultades,0.8890,0.9997,SPEAKER_00
51.437,51.537,de,0.8760,0.9999,SPEAKER_00
51.618,52.12,excepción.,0.1820,0.9994,SPEAKER_00
53.44,53.842,Eso,0.2020,0.8674,SPEAKER_00
53.862,54.826,"sí,",0.8030,0.9997,SPEAKER_00
54.846,54.886,y,0.7840,0.9999,SPEAKER_00
54.987,55.288,contra,0.9390,1.0000,SPEAKER_00
55.308,55.469,esta,0.7760,0.9993,SPEAKER_00
55.569,55.931,situación,0.9410,1.0000,SPEAKER_00
55.971,56.353,también,0.8500,0.9999,SPEAKER_00
56.373,56.514,se,0.5970,1.0000,SPEAKER_00
56.594,57.096,manifestó,0.9260,0.9999,SPEAKER_00
57.116,57.156,el,0.5000,0.9992,SPEAKER_00
57.639,57.819,pueblo,0.8870,0.9994,SPEAKER_00
57.86,58.241,entero,0.7420,0.9998,SPEAKER_00
58.301,58.362,de,0.7460,0.9997,SPEAKER_00
58.502,58.743,Chile,0.8980,0.9995,SPEAKER_00
58.764,58.804,el,0.4650,0.9694,SPEAKER_00
59.467,59.929,pasado,0.8740,0.9995,SPEAKER_00
59.949,60.451,11,0.6860,0.9976,SPEAKER_00
60.632,60.712,de,0.8570,1.0000,SPEAKER_00
60.772,61.034,mayo,0.7760,0.9988,SPEAKER_00
61.074,61.234,en,0.3530,0.5389,SPEAKER_00
61.255,61.516,el,0.6480,0.9999,SPEAKER_00
61.536,61.696,Día,0.8610,0.8748,SPEAKER_00
61.737,61.817,de,0.6540,0.9995,SPEAKER_00
61.837,61.897,la,0.7320,0.9998,SPEAKER_00
61.938,62.319,Protesta,0.3800,0.7797,SPEAKER_00
62.339,62.52,Nacional.,0.2140,0.9964,SPEAKER_00
63.12,63.884,Al,0.6590,0.9971,SPEAKER_00
63.925,64.045,fin,0.8220,0.9999,SPEAKER_00
64.066,64.086,y,0.4980,1.0000,SPEAKER_00
64.166,64.226,al,0.8140,1.0000,SPEAKER_00
64.307,64.568,"cabo,",0.9650,1.0000,SPEAKER_00
64.83,65.232,también,0.8290,0.9998,SPEAKER_00
65.253,65.293,la,0.4960,0.9999,SPEAKER_00
65.353,65.997,cultura,0.9290,0.9995,SPEAKER_00
66.017,66.057,se,0.4960,0.9998,SPEAKER_00
66.379,66.963,defendía,0.8060,0.9989,SPEAKER_00
66.983,67.244,y,0.7140,0.5746,SPEAKER_00
67.264,67.566,sabía,0.9100,0.9240,SPEAKER_00
67.948,68.089,como,0.9950,0.5678,SPEAKER_00
68.17,68.371,debe,0.9800,0.9999,SPEAKER_00
68.431,69.015,defenderse,0.9020,0.9980,SPEAKER_00
69.276,69.377,cada,0.3890,0.2605,SPEAKER_00
69.417,69.558,día,0.1880,0.9981,SPEAKER_00
69.578,69.96,siempre.,0.3510,0.6093,SPEAKER_00
70.98,71.302,Porque,0.3700,0.9875,SPEAKER_00
71.322,71.362,la,0.9000,0.9999,SPEAKER_00
71.402,71.684,cultura,0.7380,0.9999,SPEAKER_00
71.724,71.805,de,0.7560,0.9968,SPEAKER_00
71.865,71.966,un,0.6300,1.0000,SPEAKER_00
71.986,72.267,pueblo,0.7620,1.0000,SPEAKER_00
72.348,72.891,representa,0.9400,0.9998,SPEAKER_00
73.495,73.575,una,0.8760,0.9983,SPEAKER_00
73.716,73.977,suma,0.8240,0.9919,SPEAKER_00
73.997,74.018,o,0.9940,0.9996,SPEAKER_00
74.661,74.762,una,0.9040,0.9999,SPEAKER_00
74.822,75.506,multiplicación,0.8790,1.0000,SPEAKER_00
75.567,75.627,de,0.6050,0.9999,SPEAKER_00
75.667,76.029,valores,0.8630,0.9998,SPEAKER_00
76.069,76.975,imprescindibles,0.7680,0.9583,SPEAKER_00
77.015,77.035,e,0.9930,0.7244,SPEAKER_00
77.297,77.92,irreemplazables.,0.3760,0.9056,SPEAKER_00
78.82,79.022,Sin,0.4900,0.7330,SPEAKER_00
79.062,79.143,los,0.6550,0.9857,SPEAKER_00
79.224,79.466,cuales,0.7780,0.9996,SPEAKER_00
79.547,79.789,ese,0.6320,0.9780,SPEAKER_00
79.809,80.072,pueblo,0.8170,1.0000,SPEAKER_00
80.092,80.738,renunciaría,0.5730,0.9604,SPEAKER_00
80.859,80.879,a,0.0320,0.9741,SPEAKER_00
80.899,80.94,su,0.3210,0.9999,SPEAKER_00
80.98,81.485,"identidad,",0.9460,0.9997,SPEAKER_00
81.565,81.585,a,0.0000,0.9424,SPEAKER_00
81.606,81.727,su,0.4680,0.9996,SPEAKER_00
81.747,82.171,"dignidad,",0.8430,0.9800,SPEAKER_00
82.554,82.595,a,0.8110,1.0000,SPEAKER_00
82.756,82.797,su,0.0180,0.9989,SPEAKER_00
82.817,83.18,"expresión,",0.2590,0.9478,SPEAKER_00
83.44,83.865,y,0.8140,0.8991,SPEAKER_00
83.885,84.269,perdería,0.8440,0.9937,SPEAKER_00
84.37,84.451,su,0.8250,0.9958,SPEAKER_00
84.532,84.775,razón,0.5900,0.9919,SPEAKER_00
84.795,84.977,de,0.7960,0.9987,SPEAKER_00
84.997,85.099,ser,0.8330,0.9952,SPEAKER_00
85.179,85.361,como,0.2360,0.9669,SPEAKER_00
85.463,85.685,una,0.3580,0.9429,SPEAKER_00
85.705,85.948,unidad,0.8460,0.9313,SPEAKER_00
86.049,86.393,propia,0.8760,0.9982,SPEAKER_00
86.454,86.757,dentro,0.7070,0.9936,SPEAKER_00
86.777,86.899,del,0.4670,0.9989,SPEAKER_00
86.919,87.04,mundo.,0.1660,0.9933,SPEAKER_00
