start,end,word,alignment_score,probability,speaker
0.0,1.006,Sacando,0.9390,0.8015,SPEAKER_00
1.067,1.127,de,0.8810,0.9997,SPEAKER_00
1.167,1.228,la,0.8220,0.9998,SPEAKER_00
1.288,1.59,moneda,0.9440,0.9997,SPEAKER_00
1.65,2.334,"incendiada,",0.9610,0.9993,SPEAKER_00
2.355,3.32,envuelto,0.8270,0.9996,SPEAKER_00
3.401,3.481,en,0.8110,0.9999,SPEAKER_00
3.522,3.602,un,0.9380,0.9998,SPEAKER_00
3.723,4.125,"poncho,",0.8350,0.9652,SPEAKER_00
5.152,5.232,el,0.5850,0.9963,SPEAKER_00
5.313,5.715,cadáver,0.5680,0.9993,SPEAKER_00
5.816,5.937,de,0.7900,0.9999,SPEAKER_00
6.017,6.379,Salvador,0.8150,0.9890,SPEAKER_00
6.4,6.5,Allá.,0.2000,0.4885,SPEAKER_00
7.3,7.984,Diez,0.4360,0.9914,SPEAKER_00
8.005,8.186,años,0.6710,1.0000,SPEAKER_00
8.307,9.555,"después,",0.5500,1.0000,SPEAKER_00
9.575,9.736,llegó,0.1330,0.7964,SPEAKER_00
9.796,9.857,la,0.8740,0.9962,SPEAKER_00
9.897,10.078,hora,0.9810,0.9998,SPEAKER_00
10.138,10.199,de,0.8220,0.9998,SPEAKER_00
10.279,10.521,poder,0.8140,0.8158,SPEAKER_00
10.581,11.004,decirle,0.5560,0.7575,SPEAKER_00
11.024,11.065,en,0.2360,0.8613,SPEAKER_00
11.165,11.487,Chile,0.8230,0.9908,SPEAKER_00
12.373,12.554,toda,0.6720,0.9578,SPEAKER_00
12.615,12.655,la,0.9140,1.0000,SPEAKER_00
12.715,12.997,verdad,0.8990,1.0000,SPEAKER_00
13.078,13.198,de,0.6380,0.8621,SPEAKER_00
13.219,13.259,su,0.1080,0.9518,SPEAKER_00
13.279,13.46,respecto.,0.1120,0.7661,SPEAKER_00
14.96,15.563,Quisiera,0.2880,0.7535,SPEAKER_00
15.584,16.167,especificar,0.6450,0.9906,SPEAKER_00
16.308,16.408,algo,0.5070,1.0000,SPEAKER_00
16.489,16.75,sobre,0.9180,1.0000,SPEAKER_00
16.77,17.233,"él,",0.7900,0.9995,SPEAKER_00
17.253,17.957,en,0.7260,0.9999,SPEAKER_00
17.977,18.198,vista,0.8990,0.9998,SPEAKER_00
18.259,18.359,que,0.8670,0.9973,SPEAKER_00
18.42,18.741,nuestra,0.2850,0.9999,SPEAKER_00
18.762,19.124,relación,0.6760,0.9998,SPEAKER_00
19.184,19.586,personal,0.9880,1.0000,SPEAKER_00
19.647,19.667,y,0.8970,1.0000,SPEAKER_00
19.747,20.23,política,0.8910,0.9996,SPEAKER_00
20.33,20.612,duró,0.8640,0.9999,SPEAKER_00
20.632,21.095,casi,0.6820,1.0000,SPEAKER_00
21.477,21.859,40,0.7500,0.9020,SPEAKER_00
21.879,22.04,años.,0.3500,1.0000,SPEAKER_00
22.48,23.225,Se,0.4570,0.9953,SPEAKER_00
23.245,23.487,hizo,0.6540,1.0000,SPEAKER_00
23.507,23.608,más,0.7120,0.9999,SPEAKER_00
23.668,23.971,directa,0.9870,0.9997,SPEAKER_00
23.991,24.011,a,0.9750,1.0000,SPEAKER_00
24.031,24.394,partir,0.8000,1.0000,SPEAKER_00
24.434,24.515,de,0.8440,0.8307,SPEAKER_00
24.535,25.683,"1952,",0.7530,0.9921,SPEAKER_00
25.723,25.763,de,0.4990,0.7989,SPEAKER_00
25.884,26.025,Carlos,0.2220,0.9837,SPEAKER_00
26.831,26.952,Ibañez,0.0470,0.8758,SPEAKER_00
26.972,27.053,del,0.4650,0.9589,SPEAKER_00
27.133,28.1,"Cámara,",0.6850,0.7872,SPEAKER_00
28.08,28.723,que,0.6980,0.8842,SPEAKER_00
28.764,28.904,como,0.8740,0.6729,SPEAKER_00
29.005,29.246,se,0.6860,0.9582,SPEAKER_00
29.266,29.508,"sabe,",0.8590,0.9996,SPEAKER_00
30.292,30.533,había,0.9440,0.9993,SPEAKER_00
30.654,30.815,sido,0.6820,0.9998,SPEAKER_00
30.895,31.016,en,0.6900,0.9881,SPEAKER_00
31.036,31.257,Chile,0.6230,0.9799,SPEAKER_00
31.317,31.378,un,0.9840,0.9990,SPEAKER_00
31.418,31.8,dictador,0.9210,0.9998,SPEAKER_00
31.9,32.282,militar,0.8790,1.0000,SPEAKER_00
32.323,33.489,derrocado,0.7780,0.8666,SPEAKER_00
33.569,33.61,el,0.8460,0.9997,SPEAKER_00
33.63,34.092,26,0.7180,0.9984,SPEAKER_00
34.173,34.213,de,0.7620,0.9999,SPEAKER_00
34.333,34.555,julio,0.6240,0.9942,SPEAKER_00
34.575,34.615,de,0.5640,0.9988,SPEAKER_00
34.635,35.58,1931,0.7260,0.9985,SPEAKER_00
35.56,35.783,por,0.1300,0.9922,SPEAKER_00
35.945,36.046,un,0.4660,0.9997,SPEAKER_00
37.039,37.202,gran,0.9530,0.9997,SPEAKER_00
37.283,37.769,movimiento,0.9160,0.9996,SPEAKER_00
37.85,37.931,de,0.7420,0.9999,SPEAKER_00
37.992,38.418,protesta,0.7580,0.9993,SPEAKER_00
38.438,38.62,nacional.,0.1130,0.9996,SPEAKER_00
39.56,40.425,No,0.7580,0.9966,SPEAKER_00
40.525,41.068,olvidaba,0.7700,0.9997,SPEAKER_00
41.109,41.209,que,0.8410,0.9999,SPEAKER_00
41.27,41.491,bajo,0.7640,0.9997,SPEAKER_00
41.551,41.813,ese,0.2280,0.9989,SPEAKER_00
41.833,42.396,régimen,0.6860,0.9999,SPEAKER_00
42.416,43.08,"tiránico,",0.9380,0.9991,SPEAKER_00
43.743,44.266,perseguido,0.8200,0.9978,SPEAKER_00
44.347,44.427,por,0.8870,0.9999,SPEAKER_00
44.488,44.528,la,0.8520,0.9999,SPEAKER_00
44.588,44.99,policía,0.9300,0.9966,SPEAKER_00
45.091,45.191,como,0.9820,0.9994,SPEAKER_00
45.232,45.674,dirigente,0.8410,0.9995,SPEAKER_00
45.694,46.237,estudiantil,0.6710,0.9968,SPEAKER_00
46.318,46.74,"subversivo,",0.3930,0.9814,SPEAKER_00
47.48,48.267,repudiaba,0.7060,0.9967,SPEAKER_00
48.309,48.454,el,0.8500,0.9995,SPEAKER_00
48.474,48.661,golpillo.,0.1110,0.8073,SPEAKER_00
49.44,50.206,Sustentaba,0.7640,0.9529,SPEAKER_00
50.306,50.387,que,0.9150,0.9999,SPEAKER_00
50.447,50.508,la,0.7220,0.9982,SPEAKER_00
50.568,51.173,"democracia,",0.8880,0.9999,SPEAKER_00
52.019,52.16,una,0.5260,0.9988,SPEAKER_00
52.261,52.825,democracia,0.8780,1.0000,SPEAKER_00
52.865,53.168,que,0.3960,0.9991,SPEAKER_00
53.188,53.268,él,0.8320,0.9996,SPEAKER_00
53.309,53.772,entendía,0.8760,0.9999,SPEAKER_00
53.833,53.873,en,0.9430,0.9989,SPEAKER_00
53.933,54.014,su,0.8810,0.7563,SPEAKER_00
54.115,54.437,sentido,0.7850,0.9983,SPEAKER_00
54.679,54.86,"prístino,",0.1250,0.7374,SPEAKER_00
54.9,55.406,el,0.3670,0.1325,SPEAKER_00
55.427,55.812,gobierno,0.4420,0.9777,SPEAKER_00
55.872,56.439,"español,",0.8000,0.8511,SPEAKER_00
57.088,57.148,no,0.8280,0.9970,SPEAKER_00
57.25,57.533,podía,0.4640,0.9965,SPEAKER_00
57.716,57.797,ser,0.3300,0.9986,SPEAKER_00
57.817,58.08,inmolada.,0.1850,0.6718,SPEAKER_00
58.08,58.262,El,0.3600,0.0194,SPEAKER_00
58.868,59.293,alcalde,0.6510,0.6807,SPEAKER_00
59.333,59.374,de,0.5000,0.9505,SPEAKER_00
59.394,59.475,las,0.8150,0.8702,SPEAKER_00
59.536,60.162,"conveniencias,",0.9140,0.8627,SPEAKER_00
61.092,61.638,demócrata,0.4160,0.9249,SPEAKER_00
61.658,61.82,"medular,",0.1230,0.9793,SPEAKER_00
62.62,63.003,tenía,0.7510,0.9907,SPEAKER_00
63.084,63.366,algo,0.8570,0.9993,SPEAKER_00
63.407,63.487,de,0.8140,0.9989,SPEAKER_00
63.729,63.85,su,0.4520,0.9565,SPEAKER_00
63.87,64.395,bisabuelo,0.7480,0.9809,SPEAKER_00
64.435,65.081,"paterno,",0.6540,0.9988,SPEAKER_00
65.746,66.27,guerrillero,0.5490,0.9987,SPEAKER_00
66.351,66.472,por,0.7940,0.9820,SPEAKER_00
66.512,66.553,la,0.9550,0.9998,SPEAKER_00
66.593,67.178,independencia,0.9140,0.9992,SPEAKER_00
67.218,67.299,de,0.5460,0.7641,SPEAKER_00
67.319,67.44,Chile.,0.1660,0.9508,SPEAKER_00
68.34,69.064,Aprendió,0.8110,0.9923,SPEAKER_00
69.125,69.185,de,0.9200,0.9998,SPEAKER_00
69.286,69.527,todas,0.8830,0.9838,SPEAKER_00
70.373,70.393,y,0.1760,0.8548,SPEAKER_00
70.413,70.876,propuso,0.4950,0.9966,SPEAKER_00
70.956,71.077,para,0.8670,0.9997,SPEAKER_00
71.218,71.379,Chile,0.4320,0.9845,SPEAKER_00
71.459,71.54,un,0.8690,0.9997,SPEAKER_00
71.6,71.942,camino,0.9570,0.9999,SPEAKER_00
71.983,72.888,hacia,0.4930,0.9984,SPEAKER_00
73.029,73.069,la,0.9800,0.9999,SPEAKER_00
73.15,73.512,sociedad,0.8140,0.9996,SPEAKER_00
73.713,74.015,justa,0.8690,0.9980,SPEAKER_00
74.156,74.297,con,0.7910,0.9990,SPEAKER_00
74.317,74.498,que,0.5710,0.9536,SPEAKER_00
74.518,74.82,"soñaba,",0.5990,0.9988,SPEAKER_00
74.98,76.026,la,0.8160,0.9995,SPEAKER_00
76.107,77.253,"cual,",0.9190,0.9999,SPEAKER_00
77.273,78.038,acogiendo,0.9110,0.9999,SPEAKER_00
78.601,79.104,contenidos,0.8960,0.9998,SPEAKER_00
79.144,79.889,"universales,",0.7310,0.9981,SPEAKER_00
80.673,81.176,adoptaría,0.9460,0.9993,SPEAKER_00
81.257,81.619,formas,0.7250,0.9828,SPEAKER_00
81.639,81.8,propias.,0.1230,0.9997,SPEAKER_00
82.66,83.346,Pensó,0.4480,0.9912,SPEAKER_00
83.366,83.446,en,0.5790,0.9997,SPEAKER_00
83.487,83.567,una,0.7930,0.9931,SPEAKER_00
83.648,84.233,transformación,0.8130,0.9994,SPEAKER_00
84.354,84.575,social,0.8720,0.9975,SPEAKER_00
84.636,84.696,de,0.7680,0.9982,SPEAKER_00
84.837,85.2,"fondo,",0.9830,0.9974,SPEAKER_00
85.987,86.471,realizada,0.9260,0.9902,SPEAKER_00
86.531,86.612,por,0.9880,0.9990,SPEAKER_00
86.692,86.753,un,0.8990,0.9944,SPEAKER_00
86.773,86.934,gran,0.7400,0.9971,SPEAKER_00
86.995,87.378,movimiento,0.9330,0.9940,SPEAKER_00
87.418,87.459,de,0.0210,0.9988,SPEAKER_00
87.479,87.66,"millones,",0.1110,0.9948,SPEAKER_00
87.64,88.083,de,0.2930,0.1705,SPEAKER_00
88.123,88.486,"chilenos,",0.8630,0.9490,SPEAKER_00
88.909,89.009,que,0.7020,0.9870,SPEAKER_00
89.07,89.412,pasara,0.5100,0.9280,SPEAKER_00
89.472,89.573,por,0.9930,0.9918,SPEAKER_00
89.634,89.694,las,0.6670,0.9842,SPEAKER_00
89.815,90.077,"urnas,",0.8300,0.9980,SPEAKER_00
91.144,91.365,haciendo,0.4300,0.9878,SPEAKER_00
91.406,91.547,del,0.8440,0.8966,SPEAKER_00
91.627,91.849,voto,0.8530,0.9934,SPEAKER_00
91.949,92.251,título,0.6060,0.7629,SPEAKER_00
92.372,92.815,legítimo,0.9050,0.9920,SPEAKER_00
92.835,92.896,y,0.3180,0.9939,SPEAKER_00
92.976,93.54,"constitucional,",0.3420,0.9941,SPEAKER_00
93.66,94.505,que,0.8140,0.9810,SPEAKER_00
94.686,95.21,refrendara,0.6890,0.7758,SPEAKER_00
96.256,96.377,una,0.8990,0.9702,SPEAKER_00
96.458,96.981,revolución,0.9870,0.9692,SPEAKER_00
97.021,98.49,verdaderamente,0.8710,0.9732,SPEAKER_00
98.511,98.611,en,0.3460,0.9930,SPEAKER_00
98.631,99.114,libertad,0.6670,0.9946,SPEAKER_00
99.155,99.175,y,0.9400,0.9807,SPEAKER_00
99.195,99.235,en,0.4450,0.9900,SPEAKER_00
99.698,100.04,democracia.,0.2270,0.9987,SPEAKER_00
101.24,101.927,Nadie,0.8110,0.9967,SPEAKER_00
102.048,102.25,puede,0.8810,0.9964,SPEAKER_00
102.33,102.613,negar,0.9660,0.9884,SPEAKER_00
102.674,102.775,que,0.6550,0.7042,SPEAKER_00
102.856,102.977,se,0.6180,0.3485,SPEAKER_00
102.997,103.219,atiene,0.8510,0.7620,SPEAKER_00
103.259,103.34,a,0.6380,0.9959,SPEAKER_00
103.36,103.502,los,0.6480,0.9940,SPEAKER_00
103.522,103.744,hechos,0.8320,0.9984,SPEAKER_00
103.825,103.926,que,0.6670,0.9315,SPEAKER_00
104.067,104.229,fue,0.4190,0.9543,SPEAKER_00
104.269,104.35,un,0.9300,0.9978,SPEAKER_00
104.431,105.077,pluralista,0.7640,0.9630,SPEAKER_00
105.097,105.42,decidido.,0.2880,0.8997,SPEAKER_00
105.68,106.326,Bajo,0.7350,0.9845,SPEAKER_00
106.528,106.568,su,0.2820,0.9778,SPEAKER_00
106.609,106.972,gobierno,0.6970,0.9749,SPEAKER_00
107.012,107.598,actuaron,0.5190,0.8597,SPEAKER_00
107.618,107.759,en,0.6060,0.9886,SPEAKER_00
107.78,108.022,"Chile,",0.9140,0.9791,SPEAKER_00
108.526,108.728,sin,0.6650,0.7781,SPEAKER_00
108.769,109.193,"limitaciones,",0.3640,0.7987,SPEAKER_00
109.415,109.576,todos,0.7740,0.9931,SPEAKER_00
109.637,109.758,los,0.5260,0.9994,SPEAKER_00
109.778,110.0,partidos.,0.2660,0.9973,SPEAKER_00
110.62,111.325,Según,0.7910,0.9977,SPEAKER_00
111.385,111.446,la,0.8590,0.9950,SPEAKER_00
111.506,111.869,certera,0.8400,0.9350,SPEAKER_00
111.929,112.292,ironía,0.9390,0.9964,SPEAKER_00
112.332,112.413,de,0.9270,0.9870,SPEAKER_00
112.594,112.654,Luz,0.0000,0.4920,SPEAKER_00
112.674,113.158,"Corbalán,",0.9410,0.9671,SPEAKER_00
114.004,114.084,el,0.7600,0.9214,SPEAKER_00
114.145,114.507,nuestro,0.7670,0.8936,SPEAKER_00
114.548,114.628,era,0.3760,0.9913,SPEAKER_00
114.668,115.232,entonces,0.7600,0.9965,SPEAKER_00
115.333,115.454,el,0.6760,0.9895,SPEAKER_00
115.494,115.736,único,0.9150,0.9993,SPEAKER_00
115.816,115.998,país,0.7060,0.9963,SPEAKER_00
116.058,116.219,del,0.8520,0.9980,SPEAKER_00
116.239,116.34,mundo,0.2000,0.9968,SPEAKER_00
116.32,116.444,donde,0.1620,0.8184,SPEAKER_00
116.464,116.506,la,0.0750,0.6404,SPEAKER_00
116.568,117.249,democracia,0.1520,0.5779,SPEAKER_00
117.269,117.31,no,0.0020,0.3060,SPEAKER_00
117.331,117.372,se,0.0310,0.3564,SPEAKER_00
117.393,117.496,podía,0.0060,0.1247,SPEAKER_00
117.517,117.641,hacer.,0.1640,0.1709,SPEAKER_00
117.62,117.805,La,0.4750,0.3745,SPEAKER_00
117.887,118.379,oposición,0.8880,0.9973,SPEAKER_00
118.502,118.954,perseguía,0.4880,0.9976,SPEAKER_00
118.974,119.015,al,0.0010,0.9084,SPEAKER_00
119.036,119.221,gobierno.,0.1120,0.8852,SPEAKER_00
120.48,120.661,La,0.4310,0.9836,SPEAKER_00
120.762,121.164,libertad,0.7440,0.9968,SPEAKER_00
121.184,121.466,fue,0.8310,0.9930,SPEAKER_00
121.486,121.728,tan,0.9340,0.9689,SPEAKER_00
121.909,121.969,en,0.8080,0.6523,SPEAKER_00
122.05,122.372,corta,0.9140,0.8565,SPEAKER_00
122.392,123.016,pieza,0.5910,0.6770,SPEAKER_00
123.338,123.438,que,0.4490,0.8906,SPEAKER_00
123.458,123.519,los,0.7580,0.9829,SPEAKER_00
123.559,123.76,que,0.6550,0.9995,SPEAKER_00
123.8,124.183,reparaban,0.7710,0.7443,SPEAKER_00
