start,end,word,alignment_score,probability,speaker
0.0,0.484,En,0.5830,0.3794,SPEAKER_01
0.544,1.471,Escuchachime,0.5120,0.6446,SPEAKER_01
1.532,2.036,"Noticias,",0.7730,0.6272,SPEAKER_01
2.64,2.781,una,0.8400,0.9977,SPEAKER_01
2.862,3.225,sucesión,0.8060,0.9976,SPEAKER_01
3.285,3.325,de,0.6120,1.0000,SPEAKER_01
3.487,3.97,explosiones,0.3660,0.9976,SPEAKER_01
3.991,4.716,eficientemente,0.6060,0.7674,SPEAKER_01
4.797,5.24,sincronizadas,0.2360,0.9938,SPEAKER_01
5.22,5.805,que,0.4840,0.9627,SPEAKER_01
5.866,5.906,se,0.9380,1.0000,SPEAKER_01
5.946,6.431,produjeron,0.6790,0.9642,SPEAKER_01
6.471,6.632,entre,0.8520,0.9999,SPEAKER_01
6.693,6.754,las,0.3810,0.9999,SPEAKER_01
6.774,7.641,5.19,0.8290,0.9959,SPEAKER_01
7.904,7.924,y,0.0170,0.9971,SPEAKER_01
7.944,8.025,las,0.5920,0.9995,SPEAKER_01
8.045,8.872,5.41,0.6860,0.9991,SPEAKER_01
8.933,8.993,de,0.8830,1.0000,SPEAKER_01
9.034,9.074,la,0.9780,0.9999,SPEAKER_01
9.114,9.599,madrugada,0.6250,1.0000,SPEAKER_01
9.619,9.659,de,0.0070,1.0000,SPEAKER_01
9.679,9.76,"hoy,",0.2470,1.0000,SPEAKER_01
9.84,10.829,paralizaron,0.8470,1.0000,SPEAKER_01
10.889,11.091,durante,0.8100,1.0000,SPEAKER_01
11.192,11.354,varias,0.8500,0.9996,SPEAKER_01
11.434,11.717,horas,0.6400,1.0000,SPEAKER_01
11.777,11.818,el,0.8740,0.9012,SPEAKER_01
11.858,12.403,funcionamiento,0.6670,0.9983,SPEAKER_01
12.423,12.484,del,0.1540,0.9988,SPEAKER_01
12.686,12.908,Metro,0.6250,0.9977,SPEAKER_01
12.948,13.008,de,0.7920,0.9999,SPEAKER_01
13.089,13.553,Santiago,0.7480,0.6457,SPEAKER_01
13.573,13.614,en,0.4350,1.0000,SPEAKER_01
13.735,13.795,sus,0.0150,0.9999,SPEAKER_01
13.816,14.159,tres,0.3360,0.9996,SPEAKER_01
14.179,14.32,líneas.,0.1640,0.9926,SPEAKER_01
14.32,14.966,Al,0.8100,0.9723,SPEAKER_01
15.027,15.269,cierre,0.6440,0.9996,SPEAKER_01
15.329,15.511,de,0.6700,0.9999,SPEAKER_01
15.531,15.612,este,0.2320,0.9995,SPEAKER_01
15.673,16.197,"informativo,",0.8500,0.9993,SPEAKER_01
16.218,16.258,la,0.4600,0.9978,SPEAKER_01
16.702,17.106,circulación,0.8910,0.9999,SPEAKER_01
17.146,17.247,del,0.4940,1.0000,SPEAKER_01
17.288,17.469,paro,0.6550,0.9995,SPEAKER_01
17.489,17.691,carril,0.7560,0.9995,SPEAKER_01
17.792,18.317,subterráneo,0.8870,0.8609,SPEAKER_01
18.358,18.418,de,0.6720,0.6515,SPEAKER_01
18.438,18.479,la,0.0260,0.9997,SPEAKER_01
18.499,18.64,capital,0.1420,0.9991,SPEAKER_01
18.62,19.31,había,0.6280,0.9998,SPEAKER_01
19.452,19.554,sido,0.3580,0.9731,SPEAKER_01
19.676,20.305,restablecida,0.7260,0.9805,SPEAKER_01
20.345,20.711,solo,0.7520,1.0000,SPEAKER_01
20.772,20.812,en,0.5880,0.9903,SPEAKER_01
20.873,21.178,forma,0.8720,0.6856,SPEAKER_01
