start,end,word,alignment_score,probability,speaker
0.0,0.402,Las,0.9000,0.9904,SPEAKER_00
0.463,0.845,protestas,0.6770,0.9984,SPEAKER_00
0.965,1.146,contra,0.9200,0.9997,SPEAKER_00
1.186,1.267,el,0.2860,0.9994,SPEAKER_00
1.367,1.689,general,0.7890,0.6552,SPEAKER_00
1.77,2.534,"Pinochet,",0.4310,0.9932,SPEAKER_00
2.554,2.976,estableció,0.8060,0.9810,SPEAKER_00
3.016,3.117,por,0.7540,0.9998,SPEAKER_00
3.157,3.238,su,0.9710,1.0000,SPEAKER_00
3.298,3.459,parte,0.8170,0.9999,SPEAKER_00
3.499,3.6,el,0.6660,0.9995,SPEAKER_00
3.66,4.022,presidente,0.7560,0.9988,SPEAKER_00
4.062,4.143,de,0.2420,0.9999,SPEAKER_00
4.183,4.243,la,0.7490,1.0000,SPEAKER_00
4.263,4.605,Alianza,0.8110,0.9972,SPEAKER_00
4.645,5.168,Democrática,0.8510,0.9996,SPEAKER_00
5.188,5.208,y,0.9980,0.9971,SPEAKER_00
5.309,5.45,del,0.6320,0.9999,SPEAKER_00
5.49,5.751,Partido,0.9370,0.9543,SPEAKER_00
5.772,6.315,Democrata,0.3850,0.7061,SPEAKER_00
6.335,6.737,"Cristiano,",0.8440,0.9974,SPEAKER_00
6.817,6.978,Gabriel,0.0690,0.9981,SPEAKER_00
6.998,7.34,"Valdés,",0.4510,0.9855,SPEAKER_00
7.92,8.467,prosiguirán,0.7300,0.8676,SPEAKER_00
8.508,8.711,sin,0.4610,0.9150,SPEAKER_00
8.751,9.177,desmayos,0.7290,0.9987,SPEAKER_00
9.38,9.684,hasta,0.5080,0.9996,SPEAKER_00
9.704,10.049,lograr,0.8810,1.0000,SPEAKER_00
10.15,10.211,la,0.9640,0.9971,SPEAKER_00
10.252,10.678,democracia,0.7340,1.0000,SPEAKER_00
10.698,10.738,en,0.0000,0.8500,SPEAKER_00
10.759,10.88,Chile.,0.1670,0.9995,SPEAKER_00
11.08,11.462,El,0.4580,0.9843,SPEAKER_01
11.482,11.783,gobierno,0.2590,0.9971,SPEAKER_01
11.804,11.984,sería,0.6010,0.9930,SPEAKER_01
12.045,12.648,insensato,0.6210,0.9923,SPEAKER_01
12.668,12.688,y,0.9820,0.9966,SPEAKER_01
12.969,13.251,ciego,0.8240,0.9959,SPEAKER_01
13.793,13.833,si,0.4460,0.9595,SPEAKER_01
13.894,13.954,no,0.9520,0.9998,SPEAKER_01
14.054,14.557,reacciona,0.6970,0.9335,SPEAKER_01
14.577,14.718,ante,0.7340,0.9998,SPEAKER_01
14.778,14.838,la,0.7930,0.9954,SPEAKER_01
14.898,15.24,"masiva,",0.8570,0.9995,SPEAKER_01
15.361,16.024,generalizada,0.7810,0.9998,SPEAKER_01
16.104,16.124,y,0.1790,1.0000,SPEAKER_01
16.145,16.607,pacífica,0.6970,0.9999,SPEAKER_01
16.667,17.049,"protesta,",0.9140,0.9997,SPEAKER_01
17.109,18.194,subrayó,0.4420,0.8924,SPEAKER_01
18.215,18.255,el,0.0080,0.8310,SPEAKER_01
