start,end,word,alignment_score,probability,speaker
0.62,1.425,Como,0.7940,0.9763,SPEAKER_00
1.485,1.545,un,0.9580,0.9997,SPEAKER_00
1.646,2.048,completo,0.9910,0.9998,SPEAKER_00
2.169,2.491,éxito,0.9930,0.9999,SPEAKER_00
2.531,3.215,calificó,0.4800,0.9968,SPEAKER_00
3.235,3.275,el,0.4950,0.9994,SPEAKER_00
3.315,4.18,Movimiento,0.8730,0.8673,SPEAKER_00
4.261,4.784,Democrático,0.9090,0.9997,SPEAKER_00
4.844,5.367,Popular,0.6410,0.9994,SPEAKER_00
5.97,6.031,la,0.8580,0.9287,SPEAKER_00
6.131,6.493,Jornada,0.8790,0.9443,SPEAKER_00
6.513,6.956,Nacional,0.7690,0.9998,SPEAKER_00
7.016,7.076,de,0.7780,1.0000,SPEAKER_00
7.157,7.559,Protesta,0.7830,0.9821,SPEAKER_00
7.579,7.62,de,0.0000,0.9998,SPEAKER_00
7.64,7.72,"hoy,",0.2500,0.9961,SPEAKER_00
7.84,8.464,la,0.6130,0.9999,SPEAKER_00
8.564,8.906,primera,0.9670,1.0000,SPEAKER_00
8.967,9.088,del,0.8890,0.9999,SPEAKER_00
9.148,9.53,presente,0.8770,1.0000,SPEAKER_00
9.57,9.812,año,0.8840,1.0000,SPEAKER_00
9.832,9.872,en,0.4880,0.4629,SPEAKER_00
10.516,10.617,que,0.8920,0.9997,SPEAKER_00
10.677,11.14,nuevamente,0.7200,0.9999,SPEAKER_00
11.18,11.764,millones,0.7620,0.9994,SPEAKER_00
11.784,11.824,de,0.4760,0.9917,SPEAKER_00
12.025,12.327,chilenos,0.7170,0.8892,SPEAKER_00
12.347,12.931,demandaron,0.7310,0.9994,SPEAKER_00
12.971,13.051,el,0.8700,0.9169,SPEAKER_00
13.152,13.434,término,0.8400,0.9996,SPEAKER_00
13.454,13.494,de,0.4890,0.9999,SPEAKER_00
13.635,13.675,la,0.9810,0.9981,SPEAKER_00
13.736,14.118,dictadura,0.9700,0.9970,SPEAKER_00
14.259,14.299,de,0.0000,0.9998,SPEAKER_00
14.319,14.5,"Pinochet,",0.1110,0.9424,SPEAKER_00
14.7,15.325,la,0.7360,1.0000,SPEAKER_00
15.446,16.01,constitución,0.7740,0.9992,SPEAKER_00
16.03,16.07,de,0.4980,1.0000,SPEAKER_00
16.231,16.292,un,0.9380,1.0000,SPEAKER_00
16.372,16.755,gobierno,0.8960,0.9998,SPEAKER_00
16.856,17.42,provisional,0.9090,0.9961,SPEAKER_00
17.461,17.481,y,0.9960,0.9971,SPEAKER_00
17.501,18.025,la,0.4620,1.0000,SPEAKER_00
18.105,18.67,elección,0.8610,1.0000,SPEAKER_00
18.73,18.79,de,0.8830,1.0000,SPEAKER_00
18.851,18.952,una,0.9570,0.9985,SPEAKER_00
19.073,19.476,asamblea,0.8300,0.8999,SPEAKER_00
19.516,20.1,constituyente.,0.2130,0.9999,SPEAKER_00
20.26,20.684,Por,0.6500,0.9997,SPEAKER_00
20.765,20.806,su,0.0080,0.9992,SPEAKER_00
20.826,21.008,parte,0.7820,0.9998,SPEAKER_00
21.048,21.149,el,0.3660,0.6858,SPEAKER_00
21.19,21.533,presidente,0.9210,0.9381,SPEAKER_00
21.614,21.735,del,0.6680,1.0000,SPEAKER_00
21.776,22.059,Comando,0.9600,0.9989,SPEAKER_00
22.099,22.503,Nacional,0.7320,0.9998,SPEAKER_00
22.524,22.584,de,0.2440,1.0000,SPEAKER_00
22.685,23.191,"Trabajadores,",0.8500,0.9999,SPEAKER_00
23.231,23.938,Rodolfo,0.4420,0.9996,SPEAKER_00
23.959,24.12,"Seguiel,",0.2080,0.8342,SPEAKER_00
24.1,25.127,calificó,0.7470,0.8775,SPEAKER_00
25.167,25.329,este,0.3160,0.9846,SPEAKER_00
25.349,25.792,mediodía,0.7120,0.9960,SPEAKER_00
25.933,26.094,como,0.9510,0.9963,SPEAKER_00
26.195,26.295,de,0.8720,0.9937,SPEAKER_00
26.376,26.497,un,0.9300,0.9835,SPEAKER_00
26.779,27.161,éxito,0.7940,0.9897,SPEAKER_00
27.222,27.725,completo,0.9220,0.9994,SPEAKER_00
