start,end,word,alignment_score,probability,speaker
0.0,0.242,...con,0.1750,0.5741,SPEAKER_00
0.262,0.343,la,0.8980,0.9993,SPEAKER_00
0.383,0.584,parte,0.8470,0.9998,SPEAKER_00
0.645,0.866,del,0.6250,0.9997,SPEAKER_00
0.907,1.33,programa,0.7960,0.9999,SPEAKER_00
1.39,1.874,Escucha,0.6100,0.9784,SPEAKER_00
1.894,2.156,"Chivo,",0.7790,0.6173,SPEAKER_00
2.499,2.579,que,0.4110,1.0000,SPEAKER_00
2.64,2.821,llega,0.5990,0.9971,SPEAKER_00
2.861,2.881,a,0.0170,0.9946,SPEAKER_00
2.902,3.365,ustedes,0.4450,0.7132,SPEAKER_00
3.385,3.949,diariamente,0.8110,0.9999,SPEAKER_00
4.03,4.131,por,0.8670,0.9999,SPEAKER_00
4.171,4.272,las,0.7070,0.9744,SPEAKER_00
4.373,4.574,ondas,0.5110,0.8878,SPEAKER_00
4.594,4.776,de,0.2990,0.9978,SPEAKER_00
4.796,5.259,Radio,0.7820,0.9894,SPEAKER_00
5.279,5.4,Moscú.,0.1700,0.9947,SPEAKER_00
5.68,6.504,Parece,0.9380,0.9999,SPEAKER_00
6.584,6.645,un,0.8710,1.0000,SPEAKER_00
6.685,6.846,poco,0.9040,0.9985,SPEAKER_00
6.926,7.348,increíble,0.9360,1.0000,SPEAKER_00
7.368,7.429,que,0.3200,1.0000,SPEAKER_00
7.449,7.469,a,0.9950,0.9999,SPEAKER_00
7.549,7.971,estas,0.2660,1.0000,SPEAKER_00
7.991,8.253,alturas,0.9110,1.0000,SPEAKER_00
8.293,8.353,de,0.8630,1.0000,SPEAKER_00
8.393,8.434,la,0.9480,1.0000,SPEAKER_00
8.514,8.876,situación,0.9760,1.0000,SPEAKER_00
8.916,9.418,haya,0.3760,0.9509,SPEAKER_00
9.479,9.8,quienes,0.1770,0.9993,SPEAKER_00
9.82,10.162,piensen,0.5700,0.9997,SPEAKER_00
10.464,10.524,en,0.6820,0.9958,SPEAKER_00
10.564,10.604,la,0.8180,1.0000,SPEAKER_00
10.685,11.147,oposición,0.9380,0.9999,SPEAKER_00
11.167,11.649,chilena,0.3760,0.9998,SPEAKER_00
11.69,11.951,en,0.8420,0.8905,SPEAKER_00
12.011,12.232,nuevos,0.8310,1.0000,SPEAKER_00
12.252,12.654,diálogos,0.8500,1.0000,SPEAKER_00
12.775,12.916,con,0.9450,1.0000,SPEAKER_00
12.956,13.036,el,0.7280,1.0000,SPEAKER_00
13.117,13.398,régimen,0.8540,1.0000,SPEAKER_00
13.438,13.599,de,0.8900,1.0000,SPEAKER_00
13.619,13.8,Pinochet.,0.1110,0.9997,SPEAKER_00
14.2,14.854,Pijarpa,0.5940,0.5527,SPEAKER_00
14.915,14.976,lo,0.6170,0.9902,SPEAKER_00
15.038,15.365,"repita,",0.8210,0.9972,SPEAKER_00
15.426,15.671,"claro,",0.7760,0.9999,SPEAKER_00
15.691,15.957,es,0.3020,1.0000,SPEAKER_00
15.977,16.12,lógico.,0.1450,1.0000,SPEAKER_00
16.2,16.783,El,0.6660,1.0000,SPEAKER_00
16.844,16.944,año,0.8870,1.0000,SPEAKER_00
17.025,17.367,"pasado,",0.9970,1.0000,SPEAKER_00
17.387,17.507,el,0.4760,0.9965,SPEAKER_00
17.588,17.87,truco,0.8470,0.9998,SPEAKER_00
17.91,18.03,del,0.7830,1.0000,SPEAKER_00
18.091,18.392,diálogo,0.9780,1.0000,SPEAKER_00
18.413,18.453,le,0.5000,0.3265,SPEAKER_00
18.895,19.056,sirvió,0.5480,0.9998,SPEAKER_00
19.097,19.117,a,0.2040,1.0000,SPEAKER_00
19.157,19.197,la,0.9640,1.0000,SPEAKER_00
19.257,19.599,dictadura,0.9110,0.9998,SPEAKER_00
19.66,19.76,para,0.9280,1.0000,SPEAKER_00
19.841,20.042,ganar,0.7990,1.0000,SPEAKER_00
20.223,20.525,tiempo,0.9820,1.0000,SPEAKER_00
20.545,20.565,y,0.9970,1.0000,SPEAKER_00
20.706,20.826,para,0.9700,1.0000,SPEAKER_00
20.927,21.329,debilitar,0.8540,0.9999,SPEAKER_00
21.45,22.073,temporalmente,0.9260,0.9999,SPEAKER_00
22.234,22.275,la,0.8400,1.0000,SPEAKER_00
22.355,22.596,lucha,0.8640,1.0000,SPEAKER_00
22.637,22.697,de,0.7460,1.0000,SPEAKER_00
22.737,22.777,la,0.7980,1.0000,SPEAKER_00
22.898,23.24,oposición.,0.2540,1.0000,SPEAKER_00
23.7,24.345,Leyendo,0.7690,0.9728,SPEAKER_00
24.406,24.466,la,0.8480,1.0000,SPEAKER_00
24.527,24.89,entrevista,0.7400,0.9998,SPEAKER_00
24.95,25.031,que,0.7780,1.0000,SPEAKER_00
25.071,25.676,Pinochet,0.4340,1.0000,SPEAKER_00
25.817,26.22,concedió,0.4900,0.9871,SPEAKER_00
26.24,26.261,a,0.5300,0.9994,SPEAKER_00
26.281,26.321,la,0.5050,1.0000,SPEAKER_00
26.361,26.664,revista,0.8220,1.0000,SPEAKER_00
26.704,27.591,Newsweek,0.2000,0.9982,SPEAKER_00
27.612,27.672,el,0.9520,0.7842,SPEAKER_00
27.692,28.075,19,0.6440,0.9999,SPEAKER_00
28.136,28.196,de,0.9250,1.0000,SPEAKER_00
28.257,28.519,marzo,0.8430,1.0000,SPEAKER_00
28.539,28.68,"pasado,",0.1430,0.9997,SPEAKER_00
28.66,29.024,uno,0.7060,0.0327,SPEAKER_00
29.71,29.771,se,0.5800,0.9433,SPEAKER_00
29.791,29.872,da,0.4160,0.9955,SPEAKER_00
29.933,30.094,cuenta,0.8230,0.9996,SPEAKER_00
30.114,30.175,que,0.3150,0.9396,SPEAKER_00
30.195,30.377,no,0.5180,0.9979,SPEAKER_00
30.417,30.518,hay,0.3760,0.9992,SPEAKER_00
30.579,30.882,diálogo,0.8420,0.9876,SPEAKER_00
30.963,31.327,posible,0.8490,0.9972,SPEAKER_00
31.428,31.892,con,0.7820,0.9910,SPEAKER_00
31.912,32.215,semejante,0.4460,0.9971,SPEAKER_00
32.236,32.7,"energúmeno,",0.4020,0.9695,SPEAKER_00
32.86,33.564,que,0.8570,0.9948,SPEAKER_00
33.604,33.664,no,0.7980,0.9994,SPEAKER_00
33.765,33.905,solo,0.6720,0.4674,SPEAKER_00
34.046,34.107,es,0.4660,0.9990,SPEAKER_00
34.569,34.609,un,0.0190,0.9983,SPEAKER_00
34.629,34.871,fascista,0.2760,0.9968,SPEAKER_00
34.991,35.514,"fanático,",0.9910,0.9968,SPEAKER_00
35.534,36.539,contumaz,0.7160,0.9603,SPEAKER_00
36.841,36.901,e,0.8150,0.9973,SPEAKER_00
36.982,37.625,"irracional,",0.8470,0.9998,SPEAKER_00
38.148,38.268,sino,0.5010,0.9989,SPEAKER_00
38.309,38.369,que,0.8810,0.9998,SPEAKER_00
38.469,38.691,encima,0.8320,0.9994,SPEAKER_00
38.731,38.791,de,0.6130,0.9998,SPEAKER_00
38.871,39.052,eso,0.5760,0.9939,SPEAKER_00
39.073,39.193,se,0.7240,0.9956,SPEAKER_00
39.213,39.455,siente,0.7900,0.9998,SPEAKER_00
39.635,39.756,un,0.7960,0.9992,SPEAKER_00
39.816,40.319,enviado,0.7700,0.9985,SPEAKER_00
40.339,40.399,de,0.5250,0.9998,SPEAKER_00
40.42,40.52,Dios.,0.1960,0.9879,SPEAKER_00
40.82,41.523,Por,0.6900,0.9985,SPEAKER_00
41.564,41.624,lo,0.8540,1.0000,SPEAKER_00
41.684,41.905,"demás,",0.8730,0.9998,SPEAKER_00
42.146,42.247,él,0.5030,0.9960,SPEAKER_00
42.287,42.448,está,0.4300,0.9976,SPEAKER_00
42.468,42.97,demostrando,0.7290,0.9993,SPEAKER_00
43.071,43.171,con,0.9020,0.9961,SPEAKER_00
43.272,43.513,"hechos,",0.6920,0.9981,SPEAKER_00
43.814,44.015,con,0.8100,0.9999,SPEAKER_00
44.035,44.337,"balas,",0.8490,0.9918,SPEAKER_00
44.658,44.819,con,0.9340,0.9999,SPEAKER_00
44.879,45.382,"violencia,",0.9570,0.9998,SPEAKER_00
45.542,45.683,con,0.8700,0.9996,SPEAKER_00
45.703,46.145,"represión,",0.6270,0.9994,SPEAKER_00
46.567,46.748,con,0.5920,0.9998,SPEAKER_00
46.768,47.029,censura,0.7080,0.9986,SPEAKER_00
47.07,47.15,de,0.8750,0.9999,SPEAKER_00
47.21,47.532,"prensa,",0.6660,0.9998,SPEAKER_00
47.934,48.014,que,0.8960,0.9991,SPEAKER_00
48.054,48.115,no,0.8080,0.9999,SPEAKER_00
48.175,48.436,está,0.6780,0.9991,SPEAKER_00
48.476,48.818,dispuesto,0.5220,0.9998,SPEAKER_00
48.838,48.858,a,0.0530,0.9997,SPEAKER_00
48.878,49.099,ceder,0.6350,0.9588,SPEAKER_00
49.119,49.16,en,0.0000,0.9994,SPEAKER_00
49.18,49.28,nada.,0.2010,0.9999,SPEAKER_00
49.56,50.064,Sus,0.6370,0.9868,SPEAKER_00
50.105,50.589,declaraciones,0.7440,0.9999,SPEAKER_00
50.67,50.71,a,0.5130,0.3365,SPEAKER_00
50.73,50.811,la,0.7580,0.9993,SPEAKER_00
50.872,51.638,revista,0.7860,0.9997,SPEAKER_00
51.659,51.82,Newsweek,0.0140,0.9960,SPEAKER_00
51.84,51.941,son,0.4880,0.9970,SPEAKER_00
51.981,52.143,como,0.7970,0.9999,SPEAKER_00
52.224,52.345,para,0.8810,1.0000,SPEAKER_00
52.486,53.192,reproducirlas,0.8530,0.9983,SPEAKER_00
53.495,53.596,en,0.9260,0.5212,SPEAKER_00
53.656,54.1,extenso.,0.6520,0.9993,SPEAKER_00
54.22,54.955,Son,0.5890,0.9905,SPEAKER_00
55.037,55.221,toda,0.9340,0.9961,SPEAKER_00
55.405,55.507,una,0.8540,0.9998,SPEAKER_00
55.589,55.936,lección,0.8430,0.8688,SPEAKER_00
55.957,56.14,política.,0.1110,0.9996,SPEAKER_00
56.92,57.186,Y,0.4470,0.9817,SPEAKER_00
57.207,57.37,son,0.3580,0.9982,SPEAKER_00
57.411,57.616,también,0.7870,0.9983,SPEAKER_00
57.657,57.862,como,0.6110,0.9994,SPEAKER_00
57.903,58.026,para,0.6600,0.9997,SPEAKER_00
58.169,58.66,someterlas...,0.3590,0.6915,SPEAKER_00
58.66,58.847,...a,0.1680,0.2833,SPEAKER_00
58.868,58.91,un,0.2290,0.9934,SPEAKER_00
58.93,59.18,estudio,0.4380,0.9994,SPEAKER_00
59.305,59.721,psiquiátrico.,0.3190,0.9996,SPEAKER_00
59.82,61.174,Por,0.6960,0.9900,SPEAKER_00
61.214,61.437,"ejemplo,",0.8600,0.9995,SPEAKER_00
61.477,61.659,mire,0.3510,0.8794,SPEAKER_00
61.679,61.861,estas,0.7080,0.9737,SPEAKER_00
62.002,62.265,frases,0.5660,0.9994,SPEAKER_00
62.326,62.427,para,0.9300,0.9760,SPEAKER_00
62.467,62.528,el,0.6450,0.7635,SPEAKER_00
62.588,63.174,bronce,0.3550,0.9523,SPEAKER_00
63.195,63.296,del,0.8110,0.8712,SPEAKER_00
63.376,63.538,señor,0.4280,0.9745,SPEAKER_00
63.558,63.74,Pinochet.,0.1110,0.9885,SPEAKER_00
64.26,64.802,Comillas.,0.2080,0.8644,SPEAKER_00
65.24,66.04,Mi,0.4400,0.4515,SPEAKER_00
66.061,66.409,fuerza,0.6110,0.9975,SPEAKER_00
66.43,66.676,viene,0.5560,0.9619,SPEAKER_00
66.696,66.737,de,0.0060,0.9961,SPEAKER_00
66.758,66.861,Dios.,0.1980,0.9780,SPEAKER_00
67.42,68.107,Y,0.7090,0.9985,SPEAKER_00
68.127,68.309,más,0.5860,0.9997,SPEAKER_00
68.329,68.632,adelante,0.9060,1.0000,SPEAKER_00
68.753,69.056,"dice,",0.7880,0.9843,SPEAKER_00
69.783,69.925,¿qué,0.3810,0.9956,SPEAKER_00
69.985,70.026,es,0.5000,0.9999,SPEAKER_00
70.046,70.127,esta,0.3910,0.9999,SPEAKER_00
70.228,70.733,enfermedad,0.6920,0.9999,SPEAKER_00
70.813,70.914,por,0.9740,0.8937,SPEAKER_00
70.975,71.015,la,0.6800,0.9999,SPEAKER_00
71.278,71.5,democracia?,0.0920,1.0000,SPEAKER_00
71.68,72.319,No,0.9370,0.9975,SPEAKER_00
72.381,72.443,la,0.4220,0.9997,SPEAKER_00
72.505,73.021,entiendo.,0.4650,1.0000,SPEAKER_00
73.12,73.764,Yo,0.5890,0.9971,SPEAKER_00
73.845,74.006,creo,0.9100,0.9999,SPEAKER_00
74.046,74.087,en,0.6300,1.0000,SPEAKER_00
74.147,74.208,la,0.3130,1.0000,SPEAKER_00
74.248,74.812,"democracia,",0.8740,1.0000,SPEAKER_00
75.194,75.315,pero,0.9650,0.9992,SPEAKER_00
75.416,75.617,también,0.8470,0.9999,SPEAKER_00
75.779,75.98,creo,0.9310,1.0000,SPEAKER_00
76.06,76.141,que,0.9090,0.9979,SPEAKER_00
76.181,76.524,dentro,0.6650,0.9988,SPEAKER_00
