start,end,word,alignment_score,probability,speaker
0.0,1.731,En,0.3550,0.7580,SPEAKER_00
1.751,1.791,el,0.0140,0.9895,SPEAKER_00
1.811,2.073,centro,0.3400,0.9935,SPEAKER_00
2.093,2.134,de,0.0840,0.9993,SPEAKER_00
2.154,2.234,la,0.3630,0.9804,SPEAKER_00
2.254,2.516,"ciudad,",0.2300,0.9976,SPEAKER_00
2.536,2.939,distintos,0.2580,0.5182,SPEAKER_00
3.059,4.025,"grupos,",0.3510,0.9925,SPEAKER_00
4.046,4.992,integrados,0.2860,0.9989,SPEAKER_00
5.012,5.052,en,0.0160,0.9895,SPEAKER_00
5.072,5.112,su,0.0560,0.9324,SPEAKER_00
5.132,5.595,mayoría,0.4820,0.9998,SPEAKER_00
5.897,6.159,por,0.6590,0.9758,SPEAKER_00
6.179,6.34,"jóvenes,",0.1220,0.9993,SPEAKER_00
6.64,8.135,gritaron,0.5060,0.7135,SPEAKER_00
8.155,8.701,exigiendo,0.2050,0.9754,SPEAKER_00
8.721,8.781,la,0.7920,0.9982,SPEAKER_00
8.822,9.307,vuelta,0.4400,0.9856,SPEAKER_00
9.327,9.872,inmediata,0.5950,0.8547,SPEAKER_00
9.953,9.993,a,0.5840,0.8875,SPEAKER_00
10.034,10.094,la,0.6960,0.9999,SPEAKER_00
10.135,10.68,democracia.,0.5410,0.9993,SPEAKER_00
11.64,12.165,Cerca,0.3410,0.9696,SPEAKER_00
12.186,12.327,del,0.4960,0.9985,SPEAKER_00
12.529,13.035,"mediodía,",0.3390,0.9994,SPEAKER_00
13.055,13.176,los,0.3030,0.9214,SPEAKER_00
13.196,13.58,locales,0.5570,0.8904,SPEAKER_00
13.621,14.53,comerciales,0.4250,0.9990,SPEAKER_00
14.55,15.237,cerraron,0.2680,0.9954,SPEAKER_00
15.258,15.318,sus,0.0030,0.9991,SPEAKER_00
15.339,15.5,puertas.,0.1340,0.8731,SPEAKER_00
16.22,16.987,En,0.3120,0.9999,SPEAKER_00
17.007,17.067,las,0.0030,0.9948,SPEAKER_00
17.087,17.208,calles,0.1640,0.9992,SPEAKER_00
17.229,18.076,"céntricas,",0.4330,0.9817,SPEAKER_00
18.096,18.157,los,0.4210,0.9973,SPEAKER_00
18.358,18.641,municipios,0.1640,0.5120,SPEAKER_00
18.661,19.831,tantos,0.5640,0.5891,SPEAKER_00
19.851,19.892,se,0.0590,0.9268,SPEAKER_00
19.912,20.537,trasladaban,0.4190,0.9780,SPEAKER_00
20.557,20.638,unos,0.0160,0.4238,SPEAKER_00
20.658,20.678,a,0.0030,0.8213,SPEAKER_00
20.698,20.759,los,0.0370,0.5626,SPEAKER_00
20.779,20.9,"otros,",0.1660,0.9412,SPEAKER_00
21.04,22.031,quitando,0.4770,0.8236,SPEAKER_00
22.132,22.172,en,0.0050,0.6734,SPEAKER_00
22.192,22.738,contra,0.6980,0.9965,SPEAKER_00
22.759,22.819,del,0.0020,0.9893,SPEAKER_00
22.839,23.406,"gobierno,",0.4210,0.9971,SPEAKER_00
23.77,24.235,mientras,0.3840,0.9977,SPEAKER_00
24.255,24.376,la,0.6300,0.9219,SPEAKER_00
24.396,24.76,"policía,",0.2260,0.9973,SPEAKER_00
25.0,26.173,haciendo,0.4740,0.9791,SPEAKER_00
26.193,26.254,uso,0.0080,0.5010,SPEAKER_00
26.274,26.315,de,0.0550,0.9970,SPEAKER_00
26.335,26.719,carros,0.2530,0.9902,SPEAKER_00
26.739,27.346,lanzadores,0.6180,0.5439,SPEAKER_00
27.852,27.872,y,0.1220,0.9958,SPEAKER_00
27.892,28.6,"bastonazos,",0.5510,0.7892,SPEAKER_00
28.58,29.023,los,0.2430,0.9572,SPEAKER_00
29.043,30.676,distorsionaban,0.2530,0.4709,SPEAKER_00
30.716,30.857,entre,0.2080,0.9963,SPEAKER_00
30.877,31.139,decenas,0.3850,0.9919,SPEAKER_00
31.18,31.26,de,0.6120,0.9996,SPEAKER_00
31.542,32.328,periodistas,0.4030,1.0000,SPEAKER_00
32.348,32.369,y,0.2060,0.9843,SPEAKER_00
32.389,33.114,corresponsales,0.4490,0.9596,SPEAKER_00
33.215,33.9,extranjeros.,0.3790,0.9985,SPEAKER_00
34.02,35.033,En,0.6030,0.9995,SPEAKER_00
35.073,35.175,el,0.2300,0.9993,SPEAKER_00
35.195,35.539,campus,0.2900,0.7666,SPEAKER_00
35.6,36.025,"Macor,",0.6070,0.4889,SPEAKER_00
36.289,36.39,al,0.4340,0.9947,SPEAKER_00
36.41,36.917,oriente,0.5260,0.9977,SPEAKER_00
36.937,36.998,de,0.6540,0.9995,SPEAKER_00
37.018,37.2,"Santiago,",0.1040,0.9955,SPEAKER_00
37.62,38.708,se,0.5810,0.9978,SPEAKER_00
38.748,39.574,produjeron,0.2660,0.7762,SPEAKER_00
39.594,40.501,enfrentamientos,0.2610,0.9768,SPEAKER_00
41.005,41.327,entre,0.3350,0.9999,SPEAKER_00
41.347,41.528,los,0.3120,0.9996,SPEAKER_00
41.549,42.455,estudiantes,0.4360,0.9987,SPEAKER_00
42.475,42.495,y,0.1970,0.9999,SPEAKER_00
42.516,42.717,la,0.6120,0.9998,SPEAKER_00
42.737,43.14,"policía,",0.2620,0.9984,SPEAKER_00
43.26,44.451,resultando,0.2620,0.9361,SPEAKER_00
44.652,45.238,herido,0.6450,0.7716,SPEAKER_00
45.258,45.621,de,0.6810,0.7813,SPEAKER_00
45.641,45.722,edad,0.0840,0.7517,SPEAKER_00
45.742,45.783,en,0.0400,0.1276,SPEAKER_00
45.803,45.924,la,0.5380,0.9731,SPEAKER_00
45.944,46.55,cabeza,0.8070,0.5929,SPEAKER_00
46.913,46.953,un,0.0300,0.7980,SPEAKER_00
46.973,47.74,universitario.,0.4590,0.9994,SPEAKER_00
48.5,48.642,En,0.2660,0.9992,SPEAKER_00
48.662,48.865,este,0.2200,0.9994,SPEAKER_00
49.109,49.921,"momento,",0.5760,0.9998,SPEAKER_00
49.941,50.063,en,0.2280,0.9943,SPEAKER_00
50.083,50.124,la,0.5800,0.9990,SPEAKER_00
50.164,50.651,población,0.4320,0.0777,SPEAKER_00
50.712,50.793,de,0.3610,0.9096,SPEAKER_00
50.814,50.956,Las,0.5950,0.3177,SPEAKER_00
50.976,51.28,"Madenas,",0.3050,0.6214,SPEAKER_00
51.46,52.305,varios,0.2460,0.9458,SPEAKER_00
52.325,53.11,habladores,0.3220,0.6643,SPEAKER_00
53.13,53.894,organizan,0.4400,0.9819,SPEAKER_00
53.915,55.182,barricadas,0.6000,0.9986,SPEAKER_00
55.202,55.524,sin,0.2920,0.5628,SPEAKER_00
55.544,56.289,registrarse,0.2710,0.8563,SPEAKER_00
56.309,56.47,hasta,0.2260,0.9817,SPEAKER_00
56.49,57.073,ahora,0.3040,0.9990,SPEAKER_00
57.093,57.476,mayores,0.3030,0.9839,SPEAKER_00
57.496,58.22,incidentes.,0.4090,0.9951,SPEAKER_00
