start,end,word,alignment_score,probability,speaker
0.0,0.645,Y,0.7390,0.8983,SPEAKER_01
0.686,1.472,"ahora,",0.7560,0.9997,SPEAKER_01
1.492,1.653,en,0.7180,0.4377,SPEAKER_01
1.916,2.279,Escucha,0.2020,0.9894,SPEAKER_01
2.299,2.5,Chile,0.5870,0.9818,SPEAKER_01
2.521,2.621,de,0.8080,0.9683,SPEAKER_01
2.702,2.924,Radio,0.7940,0.9997,SPEAKER_01
3.771,3.892,"Moscú,",0.0110,0.9979,SPEAKER_01
3.912,4.436,boletín,0.6150,0.8934,SPEAKER_01
4.477,4.577,de,0.7260,1.0000,SPEAKER_01
4.598,4.92,noticias.,0.3770,0.9999,SPEAKER_01
5.28,6.024,Lo,0.6940,0.9869,SPEAKER_01
6.065,6.165,que,0.8050,1.0000,SPEAKER_01
6.226,6.568,persigue,0.8010,0.9986,SPEAKER_01
6.628,6.709,la,0.5700,0.9999,SPEAKER_01
6.749,7.232,ofensiva,0.7780,0.9821,SPEAKER_01
7.272,8.016,intervencionista,0.6000,0.9932,SPEAKER_01
8.077,8.137,de,0.8440,1.0000,SPEAKER_01
8.157,8.318,los,0.2790,0.9997,SPEAKER_01
8.338,8.6,Estados,0.7380,0.9995,SPEAKER_01
9.485,9.606,Unidos,0.0040,1.0000,SPEAKER_01
9.626,9.747,en,0.5020,0.9995,SPEAKER_01
9.767,9.868,Chile,0.0320,0.9999,SPEAKER_01
9.888,9.928,no,0.0060,0.9783,SPEAKER_01
9.948,9.988,es,0.1360,1.0000,SPEAKER_01
10.008,10.049,un,0.0620,0.9983,SPEAKER_01
10.069,10.411,supuesto,0.7040,0.9998,SPEAKER_01
10.491,11.256,restablecimiento,0.8310,0.9994,SPEAKER_01
11.316,11.377,de,0.7310,1.0000,SPEAKER_01
11.417,11.497,la,0.8670,0.9999,SPEAKER_01
11.558,11.96,"democracia,",0.4940,1.0000,SPEAKER_01
12.04,12.625,sino,0.7140,0.9994,SPEAKER_01
12.665,12.746,una,0.8940,0.9943,SPEAKER_01
12.806,13.169,defensa,0.8110,1.0000,SPEAKER_01
13.21,13.331,de,0.5760,1.0000,SPEAKER_01
13.492,13.553,sus,0.0300,1.0000,SPEAKER_01
13.573,13.956,"intereses,",0.7300,1.0000,SPEAKER_01
14.481,14.864,advirtió,0.5410,0.9960,SPEAKER_01
14.884,14.924,en,0.3920,0.9991,SPEAKER_01
14.985,15.368,Santiago,0.8070,0.9999,SPEAKER_01
15.428,15.489,el,0.8680,0.9362,SPEAKER_01
15.549,15.993,Movimiento,0.9110,0.9968,SPEAKER_01
16.114,16.639,Democrático,0.7830,0.9999,SPEAKER_01
16.659,16.82,Popular.,0.1250,0.9997,SPEAKER_01
17.2,17.584,En,0.6440,0.9997,SPEAKER_00
17.665,17.766,una,0.9030,1.0000,SPEAKER_00
17.807,18.352,declaración,0.9350,1.0000,SPEAKER_00
18.413,18.595,dada,0.8330,0.9999,SPEAKER_00
18.615,18.636,a,0.9810,0.9855,SPEAKER_00
18.656,19.181,conocer,0.6120,0.9999,SPEAKER_00
19.343,19.485,por,0.5560,1.0000,SPEAKER_00
19.505,19.545,el,0.6460,1.0000,SPEAKER_00
19.566,20.051,Movimiento,0.7630,0.9998,SPEAKER_00
