start,end,word,alignment_score,probability,speaker
0.0,1.202,Como,0.6920,0.7590,SPEAKER_00
1.345,1.529,todo,0.4700,0.9895,SPEAKER_00
1.61,1.651,el,0.3680,0.9912,SPEAKER_00
1.692,1.895,país,0.6370,0.9805,SPEAKER_00
1.916,2.038,lo,0.8530,0.9951,SPEAKER_00
2.058,2.16,"sabe,",0.1990,0.9989,SPEAKER_00
2.7,3.409,de,0.6310,0.2576,SPEAKER_00
3.449,3.551,un,0.7560,0.9943,SPEAKER_00
3.753,4.057,ardero,0.5020,0.6553,SPEAKER_00
4.077,4.361,golpe,0.6180,0.7990,SPEAKER_00
4.421,4.685,contra,0.6540,0.9905,SPEAKER_00
4.766,4.806,un,0.8920,0.9999,SPEAKER_00
4.867,5.171,gobierno,0.8050,0.9981,SPEAKER_00
5.211,5.94,constitucional,0.2860,0.9996,SPEAKER_00
5.92,7.087,que,0.4360,0.8574,SPEAKER_00
7.288,11.07,arrastró,0.6170,0.9563,SPEAKER_00
11.09,11.432,con,0.5820,0.9865,SPEAKER_00
11.472,11.532,la,0.8730,0.9999,SPEAKER_00
11.653,12.317,institucionalidad,0.5960,0.9999,SPEAKER_00
12.337,12.9,construida,0.1480,0.9974,SPEAKER_00
12.88,13.875,en,0.7910,0.9992,SPEAKER_00
13.997,14.301,decenas,0.8250,0.9992,SPEAKER_00
14.342,14.423,de,0.8870,1.0000,SPEAKER_00
14.504,14.707,años,0.8230,1.0000,SPEAKER_00
14.829,14.931,por,0.7730,0.9999,SPEAKER_00
14.971,15.032,el,0.8620,1.0000,SPEAKER_00
15.113,15.398,pueblo,0.8660,1.0000,SPEAKER_00
15.418,15.58,chileno.,0.1250,0.9989,SPEAKER_00
17.08,17.828,Almeida,0.9020,0.9993,SPEAKER_00
17.909,18.253,"dijo,",0.9370,0.9999,SPEAKER_00
19.164,19.184,y,0.0190,0.9854,SPEAKER_00
19.204,19.265,lo,0.9680,0.9987,SPEAKER_00
19.305,19.366,ha,0.6310,0.9996,SPEAKER_00
19.447,19.952,reiterado,0.8600,0.9999,SPEAKER_00
19.993,20.175,desde,0.5830,0.9981,SPEAKER_00
20.215,20.458,la,0.8640,1.0000,SPEAKER_00
20.478,20.64,"prisión,",0.1250,0.9993,SPEAKER_00
20.7,21.733,que,0.6850,0.9999,SPEAKER_00
21.773,21.834,lo,0.9700,0.9999,SPEAKER_00
21.875,21.956,que,0.9450,1.0000,SPEAKER_00
22.016,22.219,quiere,0.6650,0.9974,SPEAKER_00
22.239,22.28,el,0.4490,0.9994,SPEAKER_00
22.401,22.826,pueblo,0.7730,1.0000,SPEAKER_00
22.847,22.887,es,0.0000,0.9997,SPEAKER_00
22.907,23.009,dar,0.7670,0.9989,SPEAKER_00
23.029,23.069,un,0.4940,0.7689,SPEAKER_00
23.414,23.657,nuevo,0.4920,0.9995,SPEAKER_00
23.677,23.94,gobierno,0.3200,0.9997,SPEAKER_00
24.52,25.355,que,0.7330,0.6627,SPEAKER_00
25.376,25.661,ofrece,0.6270,0.8039,SPEAKER_00
25.722,25.783,la,0.4320,0.6474,SPEAKER_00
25.824,26.313,emergencia,0.5490,0.8866,SPEAKER_00
26.394,26.415,y,0.8590,0.5323,SPEAKER_00
26.435,26.537,que,0.6310,0.9174,SPEAKER_00
26.557,26.598,se,0.0010,0.8997,SPEAKER_00
26.619,26.72,vive.,0.1870,0.9515,SPEAKER_00
31.24,31.973,Que,0.2590,0.0411,SPEAKER_00
31.993,32.177,se,0.3630,0.1530,SPEAKER_00
32.197,32.421,vuelva,0.5810,0.6017,SPEAKER_00
32.462,32.482,a,0.7450,0.8710,SPEAKER_00
32.523,32.584,las,0.6810,0.9772,SPEAKER_00
32.645,33.093,libertades,0.7860,0.9945,SPEAKER_00
33.174,33.52,democráticas.,0.2510,0.9975,SPEAKER_00
34.3,35.228,Manuel,0.5600,0.9199,SPEAKER_00
35.268,35.753,"Almeida,",0.9090,0.9990,SPEAKER_00
35.773,35.813,en,0.4980,0.9973,SPEAKER_00
37.024,37.064,el,0.0080,0.9995,SPEAKER_00
37.084,37.125,ya,0.0110,0.9828,SPEAKER_00
37.145,37.508,histórico,0.7010,0.9997,SPEAKER_00
37.589,37.851,acto,0.9540,0.9996,SPEAKER_00
37.892,37.992,del,0.8250,0.9973,SPEAKER_00
