start,end,word,alignment_score,probability,speaker
0.0,0.187,...,0.5360,0.0838,UNKNOWN
7.4,8.249,Dejamos,0.6180,0.7476,SPEAKER_00
8.309,8.43,con,0.7780,0.9987,SPEAKER_00
8.491,8.814,ustedes,0.8390,0.9975,SPEAKER_00
9.097,9.178,el,0.9360,0.9886,SPEAKER_00
9.239,9.723,comentario,0.8390,0.9984,SPEAKER_00
9.865,10.309,político,0.9740,0.9945,SPEAKER_00
10.41,10.491,de,0.8980,0.9995,SPEAKER_00
10.633,11.219,Pedro,0.7330,0.9868,SPEAKER_00
11.239,11.38,Correa.,0.1390,0.9894,SPEAKER_00
20.56,21.305,Dentro,0.8510,0.7612,SPEAKER_00
21.365,21.466,de,0.6160,0.9993,SPEAKER_00
21.486,21.989,Cocasorat,0.8530,0.7005,SPEAKER_00
22.533,22.956,comienza,0.4880,0.8128,SPEAKER_00
22.976,23.056,la,0.8060,0.9999,SPEAKER_00
23.076,23.298,más,0.1850,0.9701,SPEAKER_00
23.318,23.56,amplia,0.4920,0.9886,SPEAKER_00
23.64,23.66,y,0.9720,0.9999,SPEAKER_00
23.68,24.184,superior,0.6640,1.0000,SPEAKER_00
24.284,24.687,jornada,0.8610,0.9933,SPEAKER_00
24.707,25.17,nacional,0.7610,0.9998,SPEAKER_00
25.231,25.291,de,0.5180,0.9998,SPEAKER_00
25.351,25.834,protesta,0.8400,0.9141,SPEAKER_00
25.855,26.438,realizada,0.3510,0.9992,SPEAKER_00
26.459,26.559,hasta,0.0270,0.9998,SPEAKER_00
26.579,26.7,ahora.,0.1340,0.9999,SPEAKER_00
27.44,28.145,De,0.7060,0.8155,SPEAKER_00
28.165,29.031,"hecho,",0.5180,0.9990,SPEAKER_00
29.051,29.112,el,0.4980,0.9267,SPEAKER_00
29.172,29.353,país,0.8600,0.9982,SPEAKER_00
29.414,29.494,se,0.3640,0.9990,SPEAKER_00
29.534,29.978,encuentra,0.8310,0.9994,SPEAKER_00
29.998,30.119,ya,0.9250,0.9976,SPEAKER_00
30.199,31.105,protagonizando,0.6940,0.9991,SPEAKER_00
31.146,31.77,este,0.4810,0.9554,SPEAKER_00
31.79,32.273,inminente,0.8950,0.9984,SPEAKER_00
32.495,32.676,gran,0.6800,0.9799,SPEAKER_00
32.717,33.24,acontecimiento.,0.2780,0.9998,SPEAKER_00
34.32,34.561,Lo,0.7650,0.9973,SPEAKER_00
34.581,34.662,que,0.4700,0.9998,SPEAKER_00
34.762,34.903,cada,0.7520,0.9961,SPEAKER_00
34.983,35.144,cual,0.9020,0.8654,SPEAKER_00
35.184,35.325,haga,0.7440,0.9998,SPEAKER_00
35.385,35.626,mañana,0.9140,0.9879,SPEAKER_00
35.646,35.707,"27,",0.8860,0.6079,SPEAKER_00
37.033,37.093,lo,0.8710,0.9993,SPEAKER_00
37.153,37.254,que,0.8730,1.0000,SPEAKER_00
37.314,37.676,aporte,0.9370,0.9949,SPEAKER_00
37.696,38.018,cada,0.1430,0.9998,SPEAKER_00
38.138,38.52,"chileno,",0.8950,0.9998,SPEAKER_00
39.123,39.263,será,0.7170,0.9992,SPEAKER_00
39.344,39.826,importante,0.9380,0.9999,SPEAKER_00
39.866,39.927,en,0.5820,0.9998,SPEAKER_00
39.967,40.007,la,0.9330,0.9999,SPEAKER_00
40.067,40.509,contienda,0.8590,0.9807,SPEAKER_00
40.59,41.072,histórica,0.8350,0.9999,SPEAKER_00
41.112,41.353,por,0.8370,0.9989,SPEAKER_00
41.434,42.157,reconquistar,0.8190,0.9995,SPEAKER_00
42.258,42.318,la,0.9160,0.9998,SPEAKER_00
42.378,42.78,libertad.,0.7380,0.9998,SPEAKER_00
44.02,44.305,El,0.4300,0.9993,SPEAKER_00
44.325,44.549,pueblo,0.5820,0.9990,SPEAKER_00
44.651,44.895,ocupa,0.7580,0.9997,SPEAKER_00
44.936,44.977,el,0.9950,0.9999,SPEAKER_00
45.017,45.241,primer,0.9780,1.0000,SPEAKER_00
45.363,45.567,plano,0.9610,0.9993,SPEAKER_00
45.628,45.689,de,0.8900,0.9999,SPEAKER_00
45.73,45.77,la,0.8360,0.9999,SPEAKER_00
45.832,46.055,vida,0.5650,0.9998,SPEAKER_00
46.076,46.34,nacional.,0.2950,0.9996,SPEAKER_00
47.12,47.966,Absolutamente,0.8900,0.9166,SPEAKER_00
