start,end,word,alignment_score,probability,speaker
0.0,0.424,Y,0.7960,0.3997,SPEAKER_01
0.445,1.071,estableció,0.5350,0.9980,SPEAKER_01
1.091,1.536,censura,0.6660,0.9762,SPEAKER_01
1.577,1.88,previa,0.9070,0.9955,SPEAKER_01
1.9,1.92,a,0.9610,0.3525,SPEAKER_01
2.425,2.648,cuatro,0.5560,0.9110,SPEAKER_01
2.809,3.113,revistas,0.7140,0.9166,SPEAKER_01
3.133,3.84,opositoras.,0.6730,0.9981,SPEAKER_01
3.86,4.364,La,0.6860,0.9981,SPEAKER_01
4.425,4.788,Policía,0.4300,0.8527,SPEAKER_01
4.808,5.273,Estiliana,0.5680,0.6221,SPEAKER_01
5.494,5.959,registró,0.3760,0.8162,SPEAKER_01
6.019,6.342,parte,0.6440,0.9983,SPEAKER_01
6.362,6.443,de,0.6910,0.9998,SPEAKER_01
6.483,6.544,la,0.7400,0.9998,SPEAKER_01
6.604,6.867,última,0.3520,0.9993,SPEAKER_01
6.887,7.189,elección,0.7800,0.7931,SPEAKER_01
7.23,7.311,del,0.4520,0.9092,SPEAKER_01
7.432,7.754,periodo,0.6030,0.6055,SPEAKER_01
7.795,8.057,sin,0.4730,0.5519,SPEAKER_01
8.077,8.4,interés.,0.4700,0.5582,SPEAKER_01
8.38,8.827,Esta,0.6740,0.4181,SPEAKER_01
8.867,9.273,serie,0.5170,0.6220,SPEAKER_01
9.293,9.334,de,0.3710,0.8600,SPEAKER_01
9.354,10.065,conferencias,0.4180,0.5464,SPEAKER_01
10.105,10.166,se,0.1730,0.3207,SPEAKER_01
10.187,10.247,han,0.0170,0.1255,SPEAKER_01
10.268,10.491,terminado,0.1960,0.8335,SPEAKER_01
10.552,10.653,por,0.8320,0.9726,SPEAKER_01
10.735,11.059,tema,0.7370,0.2076,SPEAKER_01
11.08,11.12,8.,0.5000,0.7929,SPEAKER_01
11.42,11.809,Su,0.5940,0.8663,SPEAKER_01
12.096,12.465,portada,0.8920,0.9996,SPEAKER_01
12.65,13.1,"titulaba,",0.5390,0.9378,SPEAKER_01
13.2,13.956,¿Nada,0.6640,0.7679,SPEAKER_01
14.018,14.529,detiene,0.8380,0.9784,SPEAKER_01
14.611,14.672,a,0.6090,0.9861,SPEAKER_01
14.692,14.754,la,0.6050,0.7145,SPEAKER_01
14.876,15.06,protesta?,0.1090,0.9923,SPEAKER_01
15.44,16.128,Para,0.3980,0.9860,SPEAKER_01
16.148,16.209,que,0.1430,0.2229,SPEAKER_01
16.229,16.29,no,0.5810,0.1913,SPEAKER_01
16.391,16.431,se,0.0840,0.6458,SPEAKER_01
16.452,16.532,nos,0.4350,0.2668,SPEAKER_01
16.573,16.897,"maldice,",0.1990,0.4835,SPEAKER_01
16.917,17.362,desde,0.5350,0.9581,SPEAKER_01
17.402,17.524,hoy,0.7460,0.9999,SPEAKER_01
17.585,17.686,el,0.2120,0.9971,SPEAKER_01
17.706,18.009,gobierno,0.4680,0.9960,SPEAKER_01
18.05,18.171,del,0.8080,1.0000,SPEAKER_01
18.232,18.758,presidente,0.9170,0.9889,SPEAKER_01
18.778,18.96,"Pinochet,",0.1110,0.9764,SPEAKER_01
19.04,19.343,lo,0.3440,0.5767,SPEAKER_01
19.363,19.828,"recordemos,",0.6270,0.9709,SPEAKER_01
20.233,20.617,detectó,0.5730,0.9381,SPEAKER_01
20.657,20.778,el,0.7150,0.9999,SPEAKER_01
20.9,21.203,sábado,0.4900,0.9999,SPEAKER_01
21.223,21.546,pasado,0.9060,1.0000,SPEAKER_01
21.567,21.688,el,0.7130,0.9973,SPEAKER_01
21.749,21.971,estado,0.9470,0.9918,SPEAKER_01
22.052,22.274,legal,0.9650,0.9938,SPEAKER_01
22.335,22.395,de,0.8780,1.0000,SPEAKER_01
22.416,22.86,"emergencia,",0.4590,0.9831,SPEAKER_01
22.94,23.831,entregando,0.7530,0.9981,SPEAKER_01
23.892,23.952,el,0.6960,0.9990,SPEAKER_01
24.013,24.277,control,0.8600,0.9999,SPEAKER_01
24.337,24.479,del,0.6770,1.0000,SPEAKER_01
24.54,24.783,país,0.8550,1.0000,SPEAKER_01
24.803,24.823,a,0.9170,1.0000,SPEAKER_01
25.086,25.35,las,0.4510,0.8274,SPEAKER_01
25.37,25.734,Fuerzas,0.5630,0.8844,SPEAKER_01
26.038,26.2,Armadas.,0.1250,0.9999,SPEAKER_01
30.0,31.823,"Pinañosradio.cl,",0.6230,0.5557,SPEAKER_00
32.167,32.592,guárdalo,0.7670,0.9963,SPEAKER_00
32.633,32.693,en,0.7480,0.9940,SPEAKER_00
32.734,32.815,tu,0.5980,1.0000,SPEAKER_00
32.855,33.24,memoria.,0.6670,1.0000,SPEAKER_00
