start,end,word,alignment_score,probability,speaker
2.66,3.404,En,0.7830,0.8647,SPEAKER_01
3.444,3.645,Buenos,0.7770,0.9946,SPEAKER_01
3.746,4.047,Aires,0.8750,1.0000,SPEAKER_01
4.067,4.088,y,0.9950,0.9332,SPEAKER_01
4.208,4.429,en,0.6080,0.9998,SPEAKER_01
4.55,4.751,Sao,0.6770,0.9790,SPEAKER_01
4.832,5.214,"Paulo,",0.8020,0.9957,SPEAKER_01
5.575,5.656,en,0.7930,0.9997,SPEAKER_01
5.736,6.018,Londres,0.8510,0.9999,SPEAKER_01
6.038,6.058,y,0.9890,0.9993,SPEAKER_01
6.078,6.118,en,0.4990,0.9992,SPEAKER_01
6.5,6.661,Nueva,0.8650,0.9999,SPEAKER_01
6.742,6.963,"York,",0.8270,0.9997,SPEAKER_01
7.285,7.365,en,0.7590,0.9998,SPEAKER_01
7.405,7.908,Estocolmo,0.8230,0.9913,SPEAKER_01
7.928,7.988,y,0.3140,0.9998,SPEAKER_01
8.049,8.431,"Caracas,",0.8760,0.9997,SPEAKER_01
8.893,8.953,en,0.8310,0.9998,SPEAKER_01
9.014,9.376,decenas,0.9020,0.9999,SPEAKER_01
9.456,9.516,de,0.8490,1.0000,SPEAKER_01
9.577,9.999,capitales,0.9020,0.9995,SPEAKER_01
10.019,10.079,del,0.0050,1.0000,SPEAKER_01
10.099,10.22,"mundo,",0.1670,1.0000,SPEAKER_01
10.46,10.944,la,0.8760,0.9988,SPEAKER_01
11.025,11.348,jornada,0.8940,0.9830,SPEAKER_01
11.388,11.449,de,0.9260,1.0000,SPEAKER_01
11.509,11.832,protesta,0.8870,0.9995,SPEAKER_01
11.872,11.993,en,0.4570,0.9998,SPEAKER_01
12.013,12.235,Chile,0.7920,0.9999,SPEAKER_01
12.619,12.72,fue,0.6310,0.9972,SPEAKER_01
12.76,13.325,acompañada,0.9410,1.0000,SPEAKER_01
13.385,13.446,de,0.7340,1.0000,SPEAKER_01
13.567,13.748,vivas,0.7920,0.9987,SPEAKER_01
13.849,14.576,expresiones,0.6020,0.9999,SPEAKER_01
14.616,14.656,de,0.3160,1.0000,SPEAKER_01
14.697,15.1,"solidaridad,",0.3330,0.9998,SPEAKER_01
