start,end,word,alignment_score,probability,speaker
0.0,0.411,Escucha,0.5610,0.9675,SPEAKER_00
0.493,0.76,Chile,0.4670,0.9762,SPEAKER_00
0.78,0.862,en,0.8200,0.9991,SPEAKER_00
1.15,1.294,Radio,0.1370,0.9962,SPEAKER_00
1.314,1.561,Mocil.,0.4350,0.2727,SPEAKER_00
2.38,2.583,Si,0.6280,0.7785,SPEAKER_00
2.644,2.705,la,0.8830,0.9981,SPEAKER_00
2.746,2.929,banca,0.9750,0.9986,SPEAKER_00
3.03,3.335,chilena,0.7630,0.9990,SPEAKER_00
3.416,3.477,se,0.8850,0.9701,SPEAKER_00
3.538,3.925,encuentra,0.7470,1.0000,SPEAKER_00
3.985,4.107,con,0.9140,1.0000,SPEAKER_00
4.148,4.189,la,0.8080,0.9984,SPEAKER_00
4.331,4.494,soga,0.7320,0.9745,SPEAKER_00
4.534,4.758,al,0.8980,0.9965,SPEAKER_00
4.778,4.92,"cuello,",0.1360,0.9978,SPEAKER_00
4.94,5.304,lo,0.6610,0.9999,SPEAKER_00
5.364,5.465,ha,0.7460,1.0000,SPEAKER_00
5.485,6.051,constatado,0.6620,0.9996,SPEAKER_00
6.132,6.718,recientemente,0.6520,0.9987,SPEAKER_00
6.819,6.859,la,0.8920,0.9863,SPEAKER_00
6.94,7.223,revista,0.7650,0.9999,SPEAKER_00
7.304,7.889,oficialista,0.8430,0.9995,SPEAKER_00
7.93,7.97,y,0.3520,1.0000,SPEAKER_00
8.011,8.758,"empresarial,",0.7060,1.0000,SPEAKER_00
8.778,8.859,¿qué,0.0100,0.9918,SPEAKER_00
8.879,8.98,pasa?,0.1980,0.9999,SPEAKER_00
9.28,9.687,En,0.3590,0.9076,SPEAKER_00
9.707,9.748,su,0.0100,0.7805,SPEAKER_00
9.768,10.094,edición,0.5720,0.9997,SPEAKER_00
10.114,10.155,de,0.0540,0.9962,SPEAKER_00
10.175,10.481,Empresa,0.4370,0.8040,SPEAKER_00
10.501,10.562,de,0.5590,0.9991,SPEAKER_00
10.644,11.071,Octubre,0.7720,0.9928,SPEAKER_00
11.152,11.458,recién,0.5380,0.9820,SPEAKER_00
11.478,11.62,"pasado,",0.1910,0.6197,SPEAKER_00
12.46,12.622,la,0.5810,1.0000,SPEAKER_00
12.662,13.209,publicación,0.4480,0.9999,SPEAKER_00
13.229,13.512,señala,0.6830,0.8228,SPEAKER_00
13.634,13.796,que,0.7360,1.0000,SPEAKER_00
14.039,14.12,la,0.8640,0.9996,SPEAKER_00
14.18,14.97,desconfianza,0.9460,0.9999,SPEAKER_00
15.03,15.091,de,0.8750,1.0000,SPEAKER_00
15.131,15.192,los,0.5380,1.0000,SPEAKER_00
15.233,15.88,"ahorrantes,",0.6070,0.8563,SPEAKER_00
15.98,16.668,la,0.7030,1.0000,SPEAKER_00
16.748,17.011,caída,0.8710,1.0000,SPEAKER_00
17.072,17.133,de,0.9200,1.0000,SPEAKER_00
17.193,17.254,la,0.9680,1.0000,SPEAKER_00
17.375,17.76,cantidad,0.8680,1.0000,SPEAKER_00
17.78,17.901,de,0.5160,1.0000,SPEAKER_00
17.962,18.205,dinero,0.9420,1.0000,SPEAKER_00
18.467,18.912,circulante,0.5780,0.9999,SPEAKER_00
18.953,19.054,en,0.4460,1.0000,SPEAKER_00
19.074,19.438,la,0.7280,1.0000,SPEAKER_00
19.458,19.62,economía,0.1250,1.0000,SPEAKER_00
19.6,20.266,y,0.7280,0.8876,SPEAKER_00
20.326,20.387,la,0.9700,0.9999,SPEAKER_00
20.467,20.709,falta,0.9240,0.9999,SPEAKER_00
20.75,20.83,de,0.6880,0.9998,SPEAKER_00
20.931,21.133,pago,0.9380,0.9997,SPEAKER_00
21.173,21.254,de,0.5950,0.9999,SPEAKER_00
21.294,21.476,los,0.4670,0.9986,SPEAKER_00
21.496,21.899,deudores,0.7060,0.9958,SPEAKER_00
22.464,22.968,provocaron,0.8770,0.9316,SPEAKER_00
23.029,23.19,un,0.6990,1.0000,SPEAKER_00
23.271,23.493,ciclo,0.9270,0.9999,SPEAKER_00
23.513,24.098,difícil,0.8430,1.0000,SPEAKER_00
24.138,24.239,de,0.8160,1.0000,SPEAKER_00
24.259,24.4,cortar.,0.1430,0.8144,SPEAKER_00
24.66,25.205,Resulta,0.6350,0.9981,SPEAKER_00
25.286,25.851,prácticamente,0.8840,0.9999,SPEAKER_00
25.891,26.376,difícil,0.7150,0.9999,SPEAKER_00
26.416,26.477,de,0.8300,0.9996,SPEAKER_00
26.557,27.042,calcular,0.9340,0.9999,SPEAKER_00
27.082,27.446,la,0.4090,0.9967,SPEAKER_00
27.546,27.97,cartera,0.8670,0.9993,SPEAKER_00
28.051,28.495,vencida,0.8630,0.9996,SPEAKER_00
28.536,29.04,acumulada,0.3470,0.9944,SPEAKER_00
29.02,29.384,en,0.5600,0.1598,SPEAKER_00
29.404,29.444,el,0.9800,0.9861,SPEAKER_00
29.464,29.747,sistema,0.6650,0.9831,SPEAKER_00
29.848,30.333,financiero,0.8290,0.9983,SPEAKER_00
30.373,30.394,y,0.0230,0.9797,SPEAKER_00
30.474,30.535,los,0.6590,0.9951,SPEAKER_00
30.616,30.919,créditos,0.8700,0.9992,SPEAKER_00
31.04,31.484,impagos,0.7490,0.8625,SPEAKER_00
31.505,31.525,o,0.8980,0.9567,SPEAKER_00
31.989,32.05,de,0.4800,0.9964,SPEAKER_00
32.131,32.515,difícil,0.8660,0.9933,SPEAKER_00
32.616,33.08,recuperación,0.5000,0.9989,SPEAKER_00
33.06,34.105,traspasados,0.5350,0.8011,SPEAKER_00
34.269,34.33,al,0.8850,0.9979,SPEAKER_00
34.351,34.576,Banco,0.8330,0.8751,SPEAKER_00
34.597,34.76,Central.,0.1230,0.9986,SPEAKER_00
34.98,35.424,Ellos,0.4910,0.9232,SPEAKER_00
35.444,35.908,superan,0.3810,0.9965,SPEAKER_00
