start,end,word,alignment_score,probability,speaker
7.58,8.446,En,0.3640,0.8372,SPEAKER_00
8.466,8.587,medios,0.2520,0.8008,SPEAKER_00
8.768,9.252,sindicales,0.5920,0.9991,SPEAKER_00
9.272,9.333,y,0.6630,0.9990,SPEAKER_00
9.353,9.796,"políticos,",0.8610,0.9957,SPEAKER_00
9.816,9.856,se,0.4960,0.7925,SPEAKER_00
10.239,10.481,estiman,0.5480,0.8506,SPEAKER_00
10.622,11.105,fracasados,0.8540,0.9961,SPEAKER_00
11.125,11.407,los,0.4380,0.9977,SPEAKER_00
11.488,11.851,intentos,0.8640,0.9823,SPEAKER_00
11.871,12.133,del,0.1100,0.9983,SPEAKER_00
12.213,12.495,régimen,0.8680,0.9979,SPEAKER_00
12.636,12.918,militar,0.5520,0.9995,SPEAKER_00
12.938,13.019,de,0.7500,0.9979,SPEAKER_00
13.039,13.2,Pinochet,0.1250,0.9739,SPEAKER_00
13.18,13.543,de,0.6600,0.8638,SPEAKER_00
13.987,14.451,paralizar,0.9440,0.9995,SPEAKER_00
14.532,14.592,la,0.9640,0.9995,SPEAKER_00
14.693,15.036,jornada,0.9870,0.9481,SPEAKER_00
15.117,15.48,nacional,0.9120,0.9971,SPEAKER_00
15.54,15.621,de,0.9160,0.9998,SPEAKER_00
15.702,16.166,"protesta,",0.8740,0.9979,SPEAKER_00
16.488,16.912,prevista,0.9500,0.9996,SPEAKER_00
16.993,17.154,para,0.9220,0.9997,SPEAKER_00
17.215,17.537,mañana,0.9380,0.9996,SPEAKER_00
17.638,17.86,martes.,0.3460,0.8485,SPEAKER_00
18.0,18.705,Hechos,0.4000,0.9993,SPEAKER_00
18.725,18.846,como,0.7890,0.9997,SPEAKER_00
18.926,18.987,el,0.6820,0.9997,SPEAKER_00
19.047,19.41,cobarde,0.8190,0.9989,SPEAKER_00
19.43,19.873,atentado,0.8970,0.9984,SPEAKER_00
19.893,20.397,realizado,0.6740,0.9974,SPEAKER_00
20.437,20.759,contra,0.8770,0.9996,SPEAKER_00
20.86,20.94,el,0.9640,0.9998,SPEAKER_00
21.001,21.444,presidente,0.8660,0.9980,SPEAKER_00
21.484,21.625,del,0.4060,0.9962,SPEAKER_00
21.685,22.048,"PRODEL,",0.8020,0.9235,SPEAKER_00
22.451,22.551,el,0.7170,0.9985,SPEAKER_00
22.572,22.712,ex,0.5360,0.9979,SPEAKER_00
22.733,23.015,senador,0.8950,0.9499,SPEAKER_00
23.055,23.478,Jorge,0.2290,0.9095,SPEAKER_00
23.498,23.82,"Lavandero,",0.3670,0.9496,SPEAKER_00
23.94,24.508,los,0.5830,0.9771,SPEAKER_00
24.569,25.097,allanamientos,0.8340,0.9729,SPEAKER_00
25.219,25.3,a,0.4630,0.6283,SPEAKER_00
25.341,25.645,algunas,0.7550,0.9992,SPEAKER_00
25.726,26.214,poblaciones,0.9370,0.9997,SPEAKER_00
26.275,26.417,en,0.2800,0.9553,SPEAKER_00
26.437,26.478,la,0.0010,0.9998,SPEAKER_00
26.498,26.66,"capital,",0.1260,0.9992,SPEAKER_00
30.92,31.905,los,0.4960,0.0020,SPEAKER_00
31.986,32.388,atentados,0.8540,0.7580,SPEAKER_00
32.408,32.468,con,0.3310,0.8684,SPEAKER_00
32.529,33.152,bombas,0.4720,0.9893,SPEAKER_00
33.172,33.192,y,0.7940,0.9410,SPEAKER_00
33.232,33.534,ataques,0.8120,0.9991,SPEAKER_00
