start,end,word,alignment_score,probability,speaker
0.0,0.302,El,0.8160,0.9981,SPEAKER_00
0.343,0.746,terremoto,0.9450,0.9989,SPEAKER_00
0.806,0.927,del,0.7010,0.9992,SPEAKER_00
0.987,1.209,3,0.5520,0.8902,SPEAKER_00
1.249,1.33,del,0.8090,0.9927,SPEAKER_00
1.37,1.733,presente,0.6540,0.9948,SPEAKER_00
1.753,2.196,agravó,0.7960,0.9994,SPEAKER_00
2.217,2.277,las,0.3350,0.9993,SPEAKER_00
2.317,2.902,dificultades,0.8740,1.0000,SPEAKER_00
3.043,3.123,que,0.9320,0.9987,SPEAKER_00
3.164,3.264,ya,0.9600,0.9999,SPEAKER_00
3.285,3.627,hacían,0.6140,0.9983,SPEAKER_00
3.708,3.808,muy,0.5330,1.0000,SPEAKER_00
3.909,4.252,precaria,0.9790,0.9944,SPEAKER_00
4.272,4.373,la,0.5340,0.9997,SPEAKER_00
4.473,4.796,situación,0.8540,0.9995,SPEAKER_00
4.836,4.897,de,0.7980,1.0000,SPEAKER_00
4.917,5.017,los,0.5700,1.0000,SPEAKER_00
5.199,5.38,chilenos.,0.1280,0.9997,SPEAKER_00
5.5,6.085,Ya,0.9220,1.0000,SPEAKER_00
6.186,6.368,antes,0.8290,1.0000,SPEAKER_00
6.409,6.53,del,0.6880,1.0000,SPEAKER_00
6.732,6.913,"sismo,",0.6740,0.9986,SPEAKER_00
7.156,7.6,señalaron,0.8410,0.9999,SPEAKER_00
7.66,7.761,en,0.5240,1.0000,SPEAKER_00
7.781,8.125,Santiago,0.8560,1.0000,SPEAKER_00
8.205,8.286,los,0.7510,0.9942,SPEAKER_00
8.387,8.872,obispos,0.6370,0.9923,SPEAKER_00
8.892,9.417,católicos,0.6980,0.9999,SPEAKER_00
9.437,9.78,chilenos.,0.5860,0.9998,SPEAKER_00
9.84,10.224,En,0.9080,0.9992,SPEAKER_01
10.284,10.385,una,0.9960,1.0000,SPEAKER_01
10.446,10.931,declaración,0.9290,1.0000,SPEAKER_01
10.951,11.133,del,0.3740,1.0000,SPEAKER_01
11.173,11.456,Comité,0.8670,0.9901,SPEAKER_01
11.537,11.961,Permanente,0.9160,0.9999,SPEAKER_01
12.001,12.163,del,0.2960,0.9996,SPEAKER_01
12.223,12.829,"Episcopado,",0.8300,0.9997,SPEAKER_01
