start,end,word,alignment_score,probability,speaker
0.0,0.443,En,0.4650,0.9477,SPEAKER_00
0.947,1.208,los,0.3440,0.9980,SPEAKER_00
1.229,1.511,últimos,0.4900,0.9941,SPEAKER_00
1.531,1.732,días,0.6440,0.9981,SPEAKER_00
2.175,2.216,se,0.7950,0.7595,SPEAKER_00
2.256,2.316,han,0.6590,0.9981,SPEAKER_00
2.377,2.9,multiplicado,0.7200,0.9963,SPEAKER_00
2.92,3.122,las,0.2090,0.9989,SPEAKER_00
3.142,3.746,denuncias,0.4840,0.9986,SPEAKER_00
4.008,4.189,sobre,0.7510,0.9951,SPEAKER_00
4.23,4.27,la,0.9110,0.9974,SPEAKER_00
4.351,4.612,acción,0.5090,0.9966,SPEAKER_00
4.653,4.713,de,0.8180,0.9996,SPEAKER_00
4.753,5.237,audaces,0.4930,0.8501,SPEAKER_00
5.257,5.72,especuladores,0.2180,0.9625,SPEAKER_00
5.7,6.363,que,0.4840,0.9857,SPEAKER_00
6.403,6.463,han,0.2580,0.5056,SPEAKER_00
6.504,6.684,estado,0.4550,0.9993,SPEAKER_00
6.745,7.247,vendiendo,0.4350,0.9980,SPEAKER_00
7.267,7.488,"pan,",0.8080,0.3037,SPEAKER_00
7.689,8.191,"aceite,",0.8230,0.9699,SPEAKER_00
8.211,8.613,"harina,",0.9090,0.9950,SPEAKER_00
9.055,9.316,"velas,",0.7120,0.7624,SPEAKER_00
9.658,10.2,linterna,0.8320,0.7763,SPEAKER_00
10.22,10.24,e,0.9760,0.9930,SPEAKER_00
10.562,11.185,incluso,0.4470,0.9996,SPEAKER_00
11.205,11.526,agua,0.8700,0.9930,SPEAKER_00
11.546,11.566,a,0.9370,0.9913,SPEAKER_00
12.209,12.45,precios,0.5130,0.9994,SPEAKER_00
12.812,12.892,que,0.6650,0.9945,SPEAKER_00
13.033,13.314,superan,0.7200,0.9652,SPEAKER_00
13.475,13.756,muchas,0.3140,0.9804,SPEAKER_00
13.776,13.977,veces,0.6190,0.9999,SPEAKER_00
14.058,14.218,los,0.5610,0.9761,SPEAKER_00
14.258,14.62,habituales.,0.2850,0.9983,SPEAKER_00
15.6,15.843,El,0.7820,0.9767,SPEAKER_00
15.883,16.268,presidente,0.6940,0.9847,SPEAKER_00
16.328,16.369,de,0.8320,1.0000,SPEAKER_00
16.389,16.45,la,0.8940,1.0000,SPEAKER_00
16.49,17.077,Confederación,0.5210,0.9863,SPEAKER_00
17.117,17.198,del,0.8380,0.9957,SPEAKER_00
17.259,17.643,Gobierno,0.7660,0.3625,SPEAKER_00
17.663,17.744,de,0.6160,0.6757,SPEAKER_00
17.765,18.21,"Taiza,",0.8450,0.3566,SPEAKER_00
18.533,18.978,Elías,0.7940,0.9458,SPEAKER_00
18.999,19.14,"Rubier,",0.1430,0.5238,SPEAKER_00
19.28,20.206,calificó,0.6620,0.7922,SPEAKER_00
20.227,20.247,a,0.0090,0.9989,SPEAKER_00
20.267,20.73,estos,0.5180,0.9350,SPEAKER_00
20.811,21.375,individuos,0.1670,0.9275,SPEAKER_00
21.395,21.495,de,0.7580,0.9866,SPEAKER_00
21.576,22.12,terroristas,0.6660,0.9637,SPEAKER_00
22.14,22.16,y,0.9910,0.9995,SPEAKER_00
22.684,23.127,expresó,0.5900,0.9990,SPEAKER_00
23.187,23.268,el,0.4180,0.9659,SPEAKER_00
23.288,23.771,rechazo,0.3580,0.9999,SPEAKER_00
23.792,23.993,gánime,0.3290,0.7362,SPEAKER_00
24.033,24.134,del,0.7510,0.9975,SPEAKER_00
24.376,24.557,gremio,0.5360,0.9973,SPEAKER_00
24.758,24.778,a,0.0000,0.9997,SPEAKER_00
24.799,24.839,su,0.0020,0.9954,SPEAKER_00
24.859,25.02,actitud.,0.1250,0.9975,SPEAKER_00
25.0,25.343,Los,0.5730,0.8358,SPEAKER_00
26.01,26.333,mayores,0.5590,0.9965,SPEAKER_00
26.555,26.879,abusos,0.6670,0.9926,SPEAKER_00
27.282,27.343,se,0.8640,0.9910,SPEAKER_00
27.404,27.868,registran,0.7060,0.9982,SPEAKER_00
27.888,28.03,en,0.5120,0.9995,SPEAKER_00
28.07,28.272,zonas,0.5170,0.9950,SPEAKER_00
28.333,28.737,alejadas,0.8120,0.9961,SPEAKER_00
28.777,28.838,de,0.7660,0.9993,SPEAKER_00
28.858,28.898,la,0.0580,0.9995,SPEAKER_00
28.919,29.08,"capital,",0.1250,0.9976,SPEAKER_00
