start,end,word,alignment_score,probability,speaker
0.0,0.403,El,0.8160,0.9950,SPEAKER_00
0.464,0.766,Comando,0.9330,0.9991,SPEAKER_00
0.846,1.229,Nacional,0.6190,0.9999,SPEAKER_00
1.25,1.33,de,0.9090,1.0000,SPEAKER_00
1.411,1.955,Trabajadores,0.8450,0.9998,SPEAKER_00
2.056,2.519,convocó,0.2370,0.9995,SPEAKER_00
2.539,2.741,para,0.9470,0.9999,SPEAKER_00
2.801,2.922,una,0.8790,0.9999,SPEAKER_00
3.084,3.487,jornada,0.9290,0.9029,SPEAKER_00
3.567,3.97,nacional,0.6060,0.9999,SPEAKER_00
4.031,4.111,de,0.9070,0.9999,SPEAKER_00
4.212,4.676,protesta,0.9410,0.9890,SPEAKER_00
4.817,5.059,por,0.9260,0.9999,SPEAKER_00
5.079,5.159,la,0.6980,1.0000,SPEAKER_00
5.18,5.26,vida,0.2500,0.9995,SPEAKER_00
5.24,6.287,para,0.5680,0.9576,SPEAKER_00
6.347,6.448,el,0.5770,1.0000,SPEAKER_00
6.488,6.851,próximo,0.8560,1.0000,SPEAKER_00
6.992,7.213,jueves,0.8170,0.9999,SPEAKER_00
7.233,7.274,11,0.9800,0.9991,SPEAKER_00
7.636,7.696,de,0.7460,1.0000,SPEAKER_00
7.757,8.019,"abril,",0.7410,1.0000,SPEAKER_00
8.643,8.683,a,0.6780,0.9944,SPEAKER_00
8.744,8.864,fin,0.9180,0.9985,SPEAKER_00
8.884,8.945,de,0.8530,0.9999,SPEAKER_00
9.005,9.086,que,0.5870,1.0000,SPEAKER_00
9.106,9.146,el,0.4620,1.0000,SPEAKER_00
9.307,9.448,país,0.8890,1.0000,SPEAKER_00
9.489,9.972,condene,0.7850,0.9988,SPEAKER_00
10.052,10.133,los,0.7830,1.0000,SPEAKER_00
10.213,10.676,recientes,0.5450,0.9975,SPEAKER_00
10.717,11.22,asesinatos,0.3510,0.9999,SPEAKER_00
11.2,12.154,perpetrados,0.5470,0.9995,SPEAKER_00
12.215,12.256,en,0.7520,1.0000,SPEAKER_00
12.337,12.641,contra,0.8630,1.0000,SPEAKER_00
12.702,12.763,de,0.9040,1.0000,SPEAKER_00
12.864,13.433,dirigentes,0.6730,0.9998,SPEAKER_00
13.473,13.94,humanitarios.,0.7250,0.9999,SPEAKER_00
14.56,15.287,Manuel,0.6630,0.9998,SPEAKER_00
15.348,15.651,"Bustos,",0.6980,0.9099,SPEAKER_00
15.833,16.297,presidente,0.8290,0.9954,SPEAKER_00
16.358,16.398,en,0.6460,0.9993,SPEAKER_00
16.439,17.004,ejercicio,0.2410,0.9855,SPEAKER_00
17.045,17.226,del,0.8120,1.0000,SPEAKER_00
17.368,17.691,Comando,0.9310,0.9998,SPEAKER_00
17.731,18.115,Nacional,0.7260,1.0000,SPEAKER_00
18.156,18.277,de,0.5260,1.0000,SPEAKER_00
18.297,18.62,"Trabajadores,",0.1670,1.0000,SPEAKER_00
18.8,19.707,indicó,0.7920,1.0000,SPEAKER_00
19.727,19.788,en,0.8680,1.0000,SPEAKER_00
19.808,20.352,conferencia,0.8100,0.9950,SPEAKER_00
20.433,20.534,de,0.6520,0.9999,SPEAKER_00
20.554,20.896,prensa,0.6910,0.9986,SPEAKER_00
20.977,21.098,que,0.9060,1.0000,SPEAKER_00
21.179,21.32,esta,0.9520,0.9807,SPEAKER_00
21.4,21.824,decisión,0.6740,1.0000,SPEAKER_00
21.904,22.025,fue,0.6010,1.0000,SPEAKER_00
22.066,22.449,adoptada,0.8240,0.9993,SPEAKER_00
22.489,22.569,tras,0.3760,0.9999,SPEAKER_00
22.872,22.993,una,0.9790,1.0000,SPEAKER_00
23.114,23.416,reunión,0.9200,1.0000,SPEAKER_00
23.638,23.94,urgente,0.3700,0.9985,SPEAKER_00
23.92,24.001,del,0.1710,0.9997,SPEAKER_00
24.062,24.793,Consejo,0.2070,0.9984,SPEAKER_00
24.834,25.24,Máximo,0.8980,0.9998,SPEAKER_00
25.301,25.382,de,0.9180,0.9999,SPEAKER_00
25.484,25.748,este,0.7480,0.9996,SPEAKER_00
25.768,26.357,organismo,0.7220,0.9997,SPEAKER_00
26.378,26.56,sindical.,0.1130,0.9993,SPEAKER_00
27.22,28.009,Para,0.6840,0.9218,SPEAKER_00
28.029,28.09,el,0.7800,0.9995,SPEAKER_00
28.11,28.434,día,0.7720,0.9858,SPEAKER_00
28.454,28.595,"11,",0.8100,0.9755,SPEAKER_00
28.676,28.737,las,0.3600,0.9986,SPEAKER_00
28.818,29.04,fuerzas,0.6880,0.9605,SPEAKER_00
29.182,29.546,políticas,0.8850,0.9995,SPEAKER_00
29.748,29.769,y,0.0000,0.9996,SPEAKER_00
29.789,30.072,sociales,0.7130,0.9997,SPEAKER_00
30.092,30.173,de,0.6780,0.9996,SPEAKER_00
30.214,30.416,la,0.5900,0.9999,SPEAKER_00
30.436,30.8,oposición,0.1920,0.9998,SPEAKER_00
30.78,32.017,acudirán,0.6610,0.9936,SPEAKER_00
32.037,32.159,al,0.5600,0.9998,SPEAKER_00
32.219,32.605,Ministerio,0.8460,0.9886,SPEAKER_00
32.645,32.787,del,0.5890,0.9954,SPEAKER_00
32.848,33.213,Interior,0.8240,0.9997,SPEAKER_00
33.253,33.375,de,0.6110,0.9976,SPEAKER_00
33.416,33.558,la,0.8520,0.9992,SPEAKER_00
33.578,33.76,dictadura,0.1110,0.8445,SPEAKER_00
33.74,34.871,para,0.7140,0.9026,SPEAKER_00
34.992,35.355,exigir,0.9740,0.9985,SPEAKER_00
35.517,35.598,del,0.8340,0.9917,SPEAKER_00
35.678,36.002,régimen,0.8310,0.9995,SPEAKER_00
36.082,36.446,militar,0.9140,1.0000,SPEAKER_00
36.547,36.648,que,0.8690,0.9994,SPEAKER_00
36.688,36.769,se,0.7380,0.9997,SPEAKER_00
36.829,37.213,realicen,0.6330,0.9974,SPEAKER_00
37.233,37.96,investigaciones,0.4020,0.9999,SPEAKER_00
37.94,38.627,a,0.7670,0.8055,SPEAKER_00
38.647,38.829,fin,0.6580,0.9654,SPEAKER_00
38.849,38.89,de,0.4270,0.9998,SPEAKER_00
38.93,39.051,que,0.5730,1.0000,SPEAKER_00
