start,end,word,alignment_score,probability,speaker
0.0,2.169,El,0.7320,0.5455,SPEAKER_00
3.695,4.157,intendente,0.8870,0.9550,SPEAKER_00
4.197,4.258,de,0.8620,0.9997,SPEAKER_00
4.378,4.86,"Santiago,",0.8780,0.9999,SPEAKER_00
4.9,5.342,General,0.3840,0.5979,SPEAKER_00
5.402,5.744,Roberto,0.9650,0.9995,SPEAKER_00
5.824,6.266,"Lillard,",0.6500,0.5879,SPEAKER_00
6.768,7.009,dijo,0.8570,0.9997,SPEAKER_00
7.049,7.149,que,0.4720,0.9999,SPEAKER_00
7.17,7.29,era,0.8810,0.9998,SPEAKER_00
7.39,7.491,muy,0.8460,0.9999,SPEAKER_00
7.571,7.933,probable,0.9200,1.0000,SPEAKER_00
7.973,8.093,que,0.5210,0.9999,SPEAKER_00
8.113,8.214,el,0.7940,1.0000,SPEAKER_00
8.274,8.616,próximo,0.8600,0.9998,SPEAKER_00
8.696,9.178,"martes,",0.3430,0.9877,SPEAKER_00
9.198,9.399,día,0.7450,0.9988,SPEAKER_00
9.419,9.72,"27,",0.9050,0.9991,SPEAKER_00
10.06,10.826,fecha,0.4770,0.9886,SPEAKER_00
10.886,10.987,para,0.9430,0.9972,SPEAKER_00
11.048,11.088,la,0.7880,1.0000,SPEAKER_00
11.189,11.411,cual,0.5910,0.9998,SPEAKER_00
11.431,11.471,ha,0.0020,0.9981,SPEAKER_00
11.491,11.652,sido,0.7640,0.9999,SPEAKER_00
11.834,12.398,reiterada,0.9620,0.9999,SPEAKER_00
12.479,12.519,la,0.9710,1.0000,SPEAKER_00
12.58,13.225,convocatoria,0.7560,1.0000,SPEAKER_00
13.265,13.346,de,0.8780,0.9999,SPEAKER_00
13.386,13.426,la,0.8100,1.0000,SPEAKER_00
13.507,13.769,primera,0.8730,0.9155,SPEAKER_00
13.91,14.212,jornada,0.8870,0.9450,SPEAKER_00
14.313,14.595,nacional,0.9620,0.9999,SPEAKER_00
14.636,14.696,de,0.5140,0.9999,SPEAKER_00
14.797,15.22,"protesta,",0.5170,0.9994,SPEAKER_00
15.24,15.772,se,0.3910,0.8425,SPEAKER_00
15.792,16.017,le,0.6780,0.4643,SPEAKER_00
16.038,16.202,cruce,0.2840,0.5394,SPEAKER_00
16.263,16.549,el,0.2570,0.7905,SPEAKER_00
16.57,16.815,coche,0.3440,0.6491,SPEAKER_00
16.836,16.877,de,0.0760,0.9924,SPEAKER_00
16.897,17.04,tierra.,0.1420,0.8441,SPEAKER_00
17.88,18.564,Lo,0.8700,0.9998,SPEAKER_00
18.625,18.866,mismo,0.9900,1.0000,SPEAKER_00
19.007,19.248,había,0.4500,0.9864,SPEAKER_00
