start,end,word,alignment_score,probability,speaker
5.0,5.806,Un,0.6750,0.8544,SPEAKER_00
6.048,6.23,país,0.9130,0.9996,SPEAKER_00
6.31,6.754,pequeño,0.6730,1.0000,SPEAKER_00
7.298,7.399,que,0.7050,0.9319,SPEAKER_00
7.459,7.56,ya,0.7360,0.9999,SPEAKER_00
7.6,8.104,entonces,0.8050,1.0000,SPEAKER_00
8.145,8.225,se,0.9020,0.9999,SPEAKER_00
8.286,8.83,desgarraba,0.9510,0.9989,SPEAKER_00
8.951,9.032,en,0.9940,1.0000,SPEAKER_00
9.072,9.132,el,0.9240,1.0000,SPEAKER_00
9.233,9.677,conflicto,0.8810,0.9995,SPEAKER_00
9.939,10.12,profundo.,0.1140,0.9999,SPEAKER_00
11.0,11.664,Conflicto,0.8310,0.9996,SPEAKER_00
11.684,11.745,que,0.3370,1.0000,SPEAKER_00
12.248,12.329,se,0.5940,1.0000,SPEAKER_00
12.469,12.852,inició,0.9620,0.9999,SPEAKER_00
12.953,13.033,en,0.9770,1.0000,SPEAKER_00
13.073,13.134,el,0.8660,1.0000,SPEAKER_00
13.214,13.536,momento,0.9270,1.0000,SPEAKER_00
13.637,13.899,mismo,0.9350,0.9999,SPEAKER_00
13.939,13.979,en,0.5000,0.9998,SPEAKER_00
14.482,14.563,que,0.7570,1.0000,SPEAKER_00
14.603,15.006,Salvador,0.9140,0.9995,SPEAKER_00
15.046,15.449,Allende,0.7880,0.9996,SPEAKER_00
15.489,15.771,ganó,0.9100,1.0000,SPEAKER_00
15.831,15.912,las,0.9180,1.0000,SPEAKER_00
15.992,16.475,elecciones,0.9090,1.0000,SPEAKER_00
16.495,16.536,de,0.5000,1.0000,SPEAKER_00
16.556,17.24,1970.,0.9150,0.9997,SPEAKER_00
19.0,19.322,Porque,0.9580,0.9999,SPEAKER_00
19.383,19.484,ya,0.9620,1.0000,SPEAKER_00
19.544,20.008,entonces,0.8770,1.0000,SPEAKER_00
20.512,20.753,Chile,0.7910,0.6863,SPEAKER_00
20.854,21.237,conoció,0.9590,0.9999,SPEAKER_00
21.298,21.358,lo,0.9850,1.0000,SPEAKER_00
21.419,21.499,que,0.9670,1.0000,SPEAKER_00
21.6,21.781,fue,0.8120,1.0000,SPEAKER_00
21.862,21.922,el,0.9780,1.0000,SPEAKER_00
21.983,22.305,inicio,0.9260,1.0000,SPEAKER_00
22.366,22.447,de,0.6710,1.0000,SPEAKER_00
22.487,22.547,la,0.7060,1.0000,SPEAKER_00
22.567,22.91,acción,0.8850,1.0000,SPEAKER_00
23.071,23.636,terrorista,0.9210,1.0000,SPEAKER_00
23.757,23.837,de,0.8840,1.0000,SPEAKER_00
23.857,24.039,la,0.6800,1.0000,SPEAKER_00
24.059,24.22,derecha.,0.1280,0.9999,SPEAKER_00
24.2,24.522,En,0.7330,0.9824,SPEAKER_00
25.286,25.648,octubre,0.9430,0.9993,SPEAKER_00
25.708,25.768,de,0.7660,0.9999,SPEAKER_00
25.788,26.492,1970,0.8400,0.9991,SPEAKER_00
27.558,27.699,fue,0.8470,0.5116,SPEAKER_00
27.779,28.262,asesinado,0.9170,0.9999,SPEAKER_00
28.282,28.422,el,0.6030,0.9883,SPEAKER_00
28.483,28.985,comandante,0.9580,0.9941,SPEAKER_00
29.006,29.126,en,0.6850,0.9995,SPEAKER_00
29.187,29.408,jefe,0.9170,0.9995,SPEAKER_00
29.448,29.548,del,0.3880,0.9998,SPEAKER_00
29.609,30.111,"ejército,",0.9430,0.9810,SPEAKER_00
30.132,30.876,general,0.5110,0.6937,SPEAKER_00
30.976,31.358,René,0.8520,0.9982,SPEAKER_00
31.378,31.74,Schneider.,0.1560,0.9987,SPEAKER_00
32.38,32.602,Un,0.6510,0.9991,SPEAKER_00
32.663,33.046,intento,0.9270,0.9997,SPEAKER_00
33.107,33.611,frustrado,0.9520,0.9997,SPEAKER_00
33.651,33.914,por,0.8450,0.9994,SPEAKER_00
34.015,34.418,impedir,0.9640,0.9998,SPEAKER_00
34.519,34.62,que,0.9030,0.9999,SPEAKER_00
34.681,35.125,Allende,0.8940,0.9992,SPEAKER_00
35.569,36.093,asumiera,0.9340,0.9999,SPEAKER_00
36.154,36.235,la,0.5860,0.9998,SPEAKER_00
36.295,36.84,presidencia.,0.8000,0.9994,SPEAKER_00
54.2,54.24,En,0.0080,0.0012,SPEAKER_01
54.261,54.402,octubre,0.0170,0.6642,SPEAKER_01
54.422,54.462,de,0.0220,0.8881,SPEAKER_01
54.482,54.967,1976,0.7660,0.9603,SPEAKER_01
55.189,55.31,al,0.7920,0.3121,SPEAKER_01
56.399,56.924,ciudadano,0.9220,0.9983,SPEAKER_01
57.549,58.134,Salvador,0.9200,0.9762,SPEAKER_01
58.175,58.679,Allende,0.6710,0.9923,SPEAKER_01
58.699,58.8,gozó.,0.2000,0.3646,SPEAKER_01
59.48,60.063,Juráis,0.2690,0.9311,SPEAKER_01
61.008,61.069,o,0.7860,0.9977,SPEAKER_01
61.129,61.833,prometéis,0.6530,0.9998,SPEAKER_01
63.2,63.985,desempeñar,0.8410,0.9996,SPEAKER_01
64.085,64.628,fielmente,0.8960,0.9995,SPEAKER_01
