start,end,word,alignment_score,probability,speaker
1.36,2.143,...en,0.7250,0.6718,SPEAKER_05
2.224,2.465,esta,0.9460,0.9999,SPEAKER_05
2.525,2.887,ocasión,0.9030,1.0000,SPEAKER_05
3.067,3.208,para,0.9790,1.0000,SPEAKER_05
3.288,3.851,presentar,0.8730,1.0000,SPEAKER_05
3.871,3.911,un,0.4990,1.0000,SPEAKER_05
4.775,5.377,interesante,0.9010,0.9995,SPEAKER_05
5.417,5.879,estudio,0.8270,1.0000,SPEAKER_05
5.94,6.0,que,0.5950,0.9980,SPEAKER_05
6.04,6.161,han,0.8320,1.0000,SPEAKER_05
6.201,6.422,hecho,0.8840,1.0000,SPEAKER_05
6.462,6.582,los,0.8080,0.9999,SPEAKER_05
6.623,7.245,economistas,0.9250,0.9998,SPEAKER_05
7.406,7.607,Claudio,0.4840,0.9982,SPEAKER_05
7.687,8.45,Agostini,0.6720,0.9979,SPEAKER_05
9.776,9.816,y,0.9150,0.9987,SPEAKER_05
9.856,10.258,Eduardo,0.6930,0.9991,SPEAKER_05
10.318,10.72,"Saavedra,",0.4610,0.9949,SPEAKER_05
12.1,12.912,que,0.7520,0.9996,SPEAKER_05
12.993,13.094,se,0.8670,1.0000,SPEAKER_05
13.196,13.622,denomina,0.8630,0.9998,SPEAKER_05
13.662,13.743,la,0.6590,0.9789,SPEAKER_05
13.804,14.109,industria,0.9340,0.9785,SPEAKER_05
14.129,14.21,del,0.8890,1.0000,SPEAKER_05
14.271,14.717,petróleo,0.4910,0.9999,SPEAKER_05
14.738,14.778,en,0.0000,1.0000,SPEAKER_05
14.799,14.92,Chile.,0.1660,1.0000,SPEAKER_05
15.42,16.129,Ambos,0.7970,0.9998,SPEAKER_05
16.17,16.271,son,0.8420,1.0000,SPEAKER_05
16.352,16.818,profesores,0.9000,1.0000,SPEAKER_05
16.899,16.94,de,0.8650,1.0000,SPEAKER_05
17.001,17.041,la,0.9700,1.0000,SPEAKER_05
17.102,17.71,Universidad,0.8380,0.9978,SPEAKER_05
17.751,18.095,Alberto,0.6220,0.9668,SPEAKER_05
18.115,18.48,Hurtado.,0.4750,0.9075,SPEAKER_05
19.36,20.231,Claudio,0.2890,0.9999,SPEAKER_05
20.251,20.393,es,0.8290,1.0000,SPEAKER_05
20.697,21.082,doctorado,0.6550,0.9923,SPEAKER_05
21.102,21.143,en,0.4040,0.9999,SPEAKER_05
21.204,21.629,Economía,0.8850,0.8858,SPEAKER_05
21.649,21.69,en,0.1220,0.8382,SPEAKER_05
21.811,21.852,la,0.9270,1.0000,SPEAKER_05
21.913,22.237,Universidad,0.2300,0.9989,SPEAKER_05
22.257,22.298,de,0.0100,0.9824,SPEAKER_05
22.318,22.5,Michigan.,0.1060,0.9978,SPEAKER_05
24.24,24.724,Eduardo,0.3680,0.9996,SPEAKER_05
26.6,26.701,es,0.1630,0.9998,SPEAKER_05
26.721,27.145,doctorado,0.7990,0.9997,SPEAKER_05
27.185,27.226,en,0.0920,0.9999,SPEAKER_05
27.246,27.286,la,0.0010,0.9705,SPEAKER_05
27.306,27.589,Universidad,0.1230,0.9999,SPEAKER_05
27.669,28.033,"Cornell,",0.4880,0.6435,SPEAKER_05
28.053,28.275,también,0.7830,1.0000,SPEAKER_05
28.315,28.355,en,0.3120,0.9999,SPEAKER_05
28.375,28.92,Economía.,0.2720,0.9997,SPEAKER_05
29.4,30.03,Además,0.4040,0.3696,SPEAKER_05
30.05,30.192,tiene,0.5090,0.9874,SPEAKER_05
30.233,30.273,el,0.9660,0.9931,SPEAKER_05
30.334,30.537,mérito,0.7200,0.9989,SPEAKER_05
30.558,30.598,de,0.4300,0.9983,SPEAKER_05
30.618,30.72,haber,0.1830,0.9490,SPEAKER_05
30.74,30.822,sido,0.4540,0.9999,SPEAKER_05
30.882,31.309,compañero,0.9390,0.9977,SPEAKER_05
31.39,31.512,mío,0.5970,0.9989,SPEAKER_05
31.532,31.593,en,0.6700,0.9943,SPEAKER_05
31.634,31.674,la,0.0010,0.9987,SPEAKER_05
31.695,32.06,Universidad.,0.3450,0.5454,SPEAKER_05
35.02,35.773,Un,0.4790,0.2768,SPEAKER_05
35.793,37.136,mérito.,0.6950,0.9978,SPEAKER_05
37.157,37.197,Se,0.0000,0.9781,SPEAKER_05
37.218,37.38,iluminó.,0.1250,0.9999,SPEAKER_05
38.18,39.09,Y,0.8470,0.9959,SPEAKER_05
39.13,39.352,la,0.9540,0.9947,SPEAKER_05
39.494,40.12,comentarista,0.9510,0.9995,SPEAKER_05
40.141,40.201,va,0.3560,0.9981,SPEAKER_05
40.221,40.242,a,0.8850,1.0000,SPEAKER_05
40.383,40.565,ser,0.9540,1.0000,SPEAKER_05
40.686,40.767,la,0.9920,0.9999,SPEAKER_05
40.868,41.212,señora,0.9870,0.9992,SPEAKER_05
41.313,41.879,Soleare,0.9130,0.8579,SPEAKER_05
41.899,42.02,"Llano,",0.2130,0.9828,SPEAKER_05
43.58,44.327,quien,0.8150,0.9982,SPEAKER_05
44.347,44.408,es,0.6800,1.0000,SPEAKER_05
44.488,45.134,profesora,0.8910,0.9999,SPEAKER_05
45.235,45.821,de,0.7780,0.9995,SPEAKER_05
45.841,45.881,la,0.0090,1.0000,SPEAKER_05
45.902,46.225,Universidad,0.2500,0.9997,SPEAKER_05
46.265,46.729,Olfigaño,0.8070,0.4957,SPEAKER_05
46.749,46.77,y,0.9720,0.7609,SPEAKER_05
46.81,47.153,doctorada,0.2070,0.6168,SPEAKER_05
47.173,47.214,en,0.7000,0.9996,SPEAKER_05
47.274,47.678,Economía,0.8000,0.9917,SPEAKER_05
47.698,47.739,en,0.0050,0.1908,SPEAKER_05
47.759,47.799,la,0.0180,0.3729,SPEAKER_05
47.819,47.9,MIT.,0.2460,0.9807,SPEAKER_05
48.32,48.925,Así,0.7760,0.9982,SPEAKER_05
48.946,49.026,que,0.7260,1.0000,SPEAKER_05
49.107,49.269,sin,0.9120,0.9666,SPEAKER_05
49.369,49.511,más,0.6150,0.9999,SPEAKER_05
49.551,49.632,los,0.9880,0.8796,SPEAKER_05
49.652,50.056,dejo,0.7080,0.9999,SPEAKER_05
50.076,50.197,con,0.6510,0.9996,SPEAKER_05
50.883,51.367,Claudio,0.5720,0.9795,SPEAKER_05
51.388,51.408,y,0.2070,0.5703,SPEAKER_05
51.428,51.731,Eduardo.,0.5180,0.9983,SPEAKER_05
51.912,52.094,Muchas,0.8340,0.9992,SPEAKER_05
52.134,52.397,gracias,0.6260,1.0000,SPEAKER_05
52.437,52.518,por,0.2000,0.9996,SPEAKER_05
52.538,52.699,estar,0.4540,0.9999,SPEAKER_05
52.719,52.8,acá.,0.2500,0.9992,SPEAKER_05
55.72,56.35,"Bueno,",0.6680,0.9745,SPEAKER_01
56.371,56.554,muchas,0.7650,0.9981,SPEAKER_01
56.594,56.838,gracias,0.8090,1.0000,SPEAKER_01
56.899,56.96,por,0.8360,0.9997,SPEAKER_01
57.001,57.041,la,0.9820,1.0000,SPEAKER_01
57.082,57.489,"invitación,",0.8590,1.0000,SPEAKER_01
57.672,58.2,Harald.,0.3580,0.8572,SPEAKER_01
59.02,59.508,Y,0.8950,0.4492,SPEAKER_01
59.529,59.57,a,0.5890,0.9506,SPEAKER_01
59.61,59.773,Soleare,0.2650,0.0080,SPEAKER_01
59.834,59.875,le,0.0020,0.6358,SPEAKER_01
59.895,59.997,vamos,0.4320,0.9589,SPEAKER_01
60.017,60.038,a,0.0860,0.9980,SPEAKER_01
60.058,60.119,dar,0.0220,0.9980,SPEAKER_01
60.139,60.201,las,0.4590,0.7999,SPEAKER_01
60.241,60.526,gracias,0.8570,0.9999,SPEAKER_01
60.608,60.872,después,0.7840,0.9927,SPEAKER_01
60.893,60.954,de,0.6290,0.9997,SPEAKER_01
60.974,61.076,los,0.6990,0.9998,SPEAKER_01
61.096,61.34,comentarios.,0.0840,0.9999,SPEAKER_01
63.08,63.69,Vamos,0.8710,0.9913,SPEAKER_01
63.751,63.914,a,0.9840,0.9998,SPEAKER_01
64.097,64.503,"tomarnos,",0.8610,0.9760,SPEAKER_01
64.625,64.951,son,0.3180,0.9981,SPEAKER_01
64.971,65.012,45,0.6460,0.9906,SPEAKER_01
65.093,65.439,"minutos,",0.4830,1.0000,SPEAKER_01
65.459,65.54,¿no?,0.2500,0.9260,SPEAKER_01
65.58,65.862,En,0.5740,0.1255,SPEAKER_01
65.983,66.125,mitad,0.8650,0.9778,SPEAKER_01
66.165,66.205,de,0.9990,0.9998,SPEAKER_01
66.246,66.548,tiempo,0.9590,1.0000,SPEAKER_01
66.568,66.609,yo,0.4990,0.9259,SPEAKER_01
67.839,67.98,voy,0.6530,1.0000,SPEAKER_01
68.001,68.021,a,0.5690,1.0000,SPEAKER_01
68.081,68.303,hacer,0.6860,0.9972,SPEAKER_01
68.747,68.807,la,0.9390,0.9997,SPEAKER_01
68.868,69.13,parte,0.9450,0.9998,SPEAKER_01
69.251,69.352,más,0.8900,0.9998,SPEAKER_01
69.372,69.836,descriptiva,0.8880,0.9996,SPEAKER_01
69.877,69.917,de,0.5090,0.9993,SPEAKER_01
69.957,69.998,la,0.7260,0.9999,SPEAKER_01
