start,end,word,alignment_score,probability,speaker
4.8,5.683,Muy,0.9670,0.9702,SPEAKER_00
5.703,5.909,buenas,0.7250,0.9999,SPEAKER_00
6.032,6.361,tardes.,0.5890,1.0000,SPEAKER_00
8.58,9.407,A,0.8390,0.9991,SPEAKER_00
9.488,9.73,nombre,0.9450,1.0000,SPEAKER_00
9.75,9.851,del,0.5880,1.0000,SPEAKER_00
9.952,10.134,Centro,0.7150,0.9994,SPEAKER_00
10.174,10.214,de,0.9680,1.0000,SPEAKER_00
10.235,10.517,Estudios,0.6720,0.9999,SPEAKER_00
10.638,11.082,"Públicos,",0.9180,0.9999,SPEAKER_00
11.143,11.526,les,0.8940,0.9999,SPEAKER_00
11.586,11.708,doy,0.7350,1.0000,SPEAKER_00
11.788,11.829,la,0.9150,1.0000,SPEAKER_00
11.889,12.394,bienvenida,0.7750,1.0000,SPEAKER_00
12.414,12.434,a,0.9240,1.0000,SPEAKER_00
12.494,12.676,este,0.8200,0.9999,SPEAKER_00
12.737,13.14,seminario,0.6200,0.9996,SPEAKER_00
13.12,14.478,Líderes,0.8720,0.9820,SPEAKER_00
14.6,15.127,Políticos,0.8530,0.9943,SPEAKER_00
15.167,15.411,de,0.8660,1.0000,SPEAKER_00
15.492,15.674,Cara,0.9640,0.9596,SPEAKER_00
15.755,15.836,al,0.6110,1.0000,SPEAKER_00
15.998,16.14,Futuro.,0.1420,0.9996,SPEAKER_00
17.24,17.504,Hoy,0.8180,0.9999,SPEAKER_00
17.564,17.767,día,0.9550,0.9999,SPEAKER_00
18.011,18.396,tendremos,0.8140,0.9982,SPEAKER_00
18.477,18.578,con,0.8240,1.0000,SPEAKER_00
18.639,19.045,nosotros,0.8180,1.0000,SPEAKER_00
19.085,19.106,a,0.9630,1.0000,SPEAKER_00
19.126,19.917,Andrés,0.7830,0.9994,SPEAKER_00
19.937,20.18,"Alamán,",0.2450,0.8375,SPEAKER_00
21.12,21.564,mañana,0.7790,0.9999,SPEAKER_00
