start,end,word,alignment_score,probability,speaker
0.6,1.184,Hoy,0.7810,0.9967,SPEAKER_02
1.244,1.405,día,0.9380,0.9995,SPEAKER_02
1.446,1.667,está,0.8400,1.0000,SPEAKER_02
1.728,1.808,con,0.9890,1.0000,SPEAKER_02
1.889,2.231,nosotros,0.9680,1.0000,SPEAKER_02
2.251,2.594,Jaime,0.6240,0.9994,SPEAKER_02
2.634,2.996,"Guzmán,",0.9330,0.9999,SPEAKER_02
3.016,3.822,Secretario,0.9250,0.9687,SPEAKER_02
3.943,4.285,General,0.9890,0.9999,SPEAKER_02
4.325,4.607,de,0.8360,1.0000,SPEAKER_02
4.668,4.708,la,0.9970,1.0000,SPEAKER_02
4.768,4.95,Unión,0.8270,0.9997,SPEAKER_02
5.091,5.574,Democrata,0.8930,0.9782,SPEAKER_02
5.936,6.5,Independiente.,0.6340,0.9995,SPEAKER_02
9.26,10.008,La,0.6690,1.0000,SPEAKER_02
10.089,10.352,idea,0.7820,1.0000,SPEAKER_02
10.372,10.534,es,0.8220,1.0000,SPEAKER_02
10.635,11.02,continuar,0.9250,1.0000,SPEAKER_02
11.1,11.181,en,0.9910,1.0000,SPEAKER_02
11.222,11.282,el,0.8800,1.0000,SPEAKER_02
11.343,11.505,mismo,0.8600,1.0000,SPEAKER_02
11.545,11.909,espíritu,0.8630,1.0000,SPEAKER_02
11.99,12.051,de,0.8390,1.0000,SPEAKER_02
12.132,12.375,ayer,0.9000,0.9999,SPEAKER_02
12.395,12.415,y,0.9990,0.9999,SPEAKER_02
12.536,12.597,de,0.8940,0.9899,SPEAKER_02
12.638,12.88,"anteayer,",0.1790,0.8537,SPEAKER_02
15.94,17.112,escuchando,0.0860,1.0000,SPEAKER_02
17.132,17.234,las,0.9530,1.0000,SPEAKER_02
17.355,17.779,opiniones,0.9440,0.9999,SPEAKER_02
17.82,17.901,de,0.6980,1.0000,SPEAKER_02
18.103,18.365,"Jaime,",0.5500,1.0000,SPEAKER_02
18.426,18.527,que,0.9250,1.0000,SPEAKER_02
18.588,18.648,va,0.8950,1.0000,SPEAKER_02
18.669,18.689,a,0.9730,1.0000,SPEAKER_02
18.749,19.174,desarrollar,0.8770,1.0000,SPEAKER_02
19.255,19.517,su,0.7980,1.0000,SPEAKER_02
19.538,19.78,"pensamiento,",0.0840,1.0000,SPEAKER_02
19.9,20.631,permitiéndole,0.6910,0.9998,SPEAKER_02
20.651,20.733,que,0.6700,1.0000,SPEAKER_02
20.773,20.834,se,0.9160,1.0000,SPEAKER_02
20.854,21.301,explaye,0.8680,0.8888,SPEAKER_02
21.342,21.403,en,0.9000,1.0000,SPEAKER_02
21.443,21.525,los,0.8950,1.0000,SPEAKER_02
21.606,21.809,puntos,0.8950,1.0000,SPEAKER_02
21.87,21.951,que,0.7510,1.0000,SPEAKER_02
22.012,22.093,nos,0.7550,1.0000,SPEAKER_02
22.134,22.56,interesan.,0.6060,0.9293,SPEAKER_02
23.08,23.806,Jaime,0.7290,0.9996,SPEAKER_02
23.846,24.229,Guzmán,0.7560,1.0000,SPEAKER_02
24.511,24.592,es,0.9620,1.0000,SPEAKER_02
24.653,24.733,un,0.9590,1.0000,SPEAKER_02
24.753,25.257,"abogado,",0.9380,1.0000,SPEAKER_02
25.56,25.963,profesor,0.7550,0.9989,SPEAKER_02
