start,end,word,alignment_score,probability,speaker
0.0,0.869,Seguimos,0.8840,0.9987,SPEAKER_01
0.91,1.638,"entonces,",0.6800,0.9977,SPEAKER_01
2.002,2.103,hoy,0.9810,1.0000,SPEAKER_01
2.143,2.285,día,0.7030,1.0000,SPEAKER_01
2.305,2.345,en,0.9940,0.9995,SPEAKER_01
2.406,2.467,la,0.9500,1.0000,SPEAKER_01
2.527,2.77,"tarde,",0.9940,1.0000,SPEAKER_01
2.811,2.932,con,0.7300,1.0000,SPEAKER_01
2.972,3.255,nuestro,0.5300,1.0000,SPEAKER_01
3.296,3.7,seminario,0.6580,0.9999,SPEAKER_01
3.68,4.427,Líderes,0.8460,0.9958,SPEAKER_01
4.548,4.971,Políticos,0.9280,0.9585,SPEAKER_01
5.052,5.092,de,0.7040,1.0000,SPEAKER_01
5.173,5.314,Cara,0.8390,0.9856,SPEAKER_01
5.395,5.456,al,0.9320,0.9999,SPEAKER_01
5.536,5.839,"Futuro,",0.8850,0.9996,SPEAKER_01
6.646,6.747,con,0.9230,1.0000,SPEAKER_01
6.808,6.848,la,0.8790,1.0000,SPEAKER_01
6.908,7.352,presencia,0.9550,0.9995,SPEAKER_01
7.373,7.413,de,0.4990,0.9999,SPEAKER_01
7.594,7.978,Ricardo,0.9010,1.0000,SPEAKER_01
7.998,8.24,"Núñez,",0.2980,0.9968,SPEAKER_01
9.06,9.608,Secretario,0.6870,0.9728,SPEAKER_01
9.669,10.076,General,0.9220,0.9999,SPEAKER_01
10.116,10.462,del,0.8850,1.0000,SPEAKER_01
10.522,10.868,Partido,0.8910,0.9996,SPEAKER_01
10.949,11.457,Socialista,0.8440,0.9999,SPEAKER_01
11.477,11.538,de,0.4980,1.0000,SPEAKER_01
11.558,11.68,Chile.,0.1670,0.9999,SPEAKER_01
14.5,15.406,Ricardo,0.9510,1.0000,SPEAKER_01
15.487,15.789,Núñez,0.7350,0.9999,SPEAKER_01
15.829,16.816,nació,0.5330,0.9948,SPEAKER_01
16.837,16.877,en,0.4940,1.0000,SPEAKER_01
16.998,17.381,"Súbel,",0.8980,0.7131,SPEAKER_01
18.65,19.113,estudió,0.8760,0.9995,SPEAKER_01
19.214,19.254,en,0.7180,1.0000,SPEAKER_01
19.314,19.375,la,0.8020,1.0000,SPEAKER_01
19.435,19.939,Universidad,0.8000,1.0000,SPEAKER_01
19.959,19.999,de,0.0000,1.0000,SPEAKER_01
20.019,20.14,"Chile,",0.1660,1.0000,SPEAKER_01
20.3,21.05,donde,0.9560,1.0000,SPEAKER_01
21.273,21.354,se,0.7940,1.0000,SPEAKER_01
21.435,21.719,tituló,0.9440,1.0000,SPEAKER_01
21.78,21.821,de,0.7600,0.9254,SPEAKER_01
21.902,22.246,profesor,0.8140,0.8057,SPEAKER_01
22.267,22.327,de,0.7460,1.0000,SPEAKER_01
22.348,22.632,Historia,0.7660,0.9991,SPEAKER_01
22.652,22.672,y,0.7720,0.9852,SPEAKER_01
22.753,23.28,"Geografía,",0.8380,0.9999,SPEAKER_01
