start,end,word,alignment_score,probability,speaker
1.5,2.347,A,0.7830,0.9717,SPEAKER_07
2.367,2.669,nombre,0.9640,0.9992,SPEAKER_07
2.77,2.891,del,0.7420,0.9999,SPEAKER_07
2.971,3.173,Centro,0.9220,0.9987,SPEAKER_07
3.193,3.233,de,0.9240,0.9999,SPEAKER_07
3.254,3.556,Estudios,0.7260,0.9999,SPEAKER_07
3.697,4.12,"Públicos,",0.7880,0.9988,SPEAKER_07
4.544,4.644,les,0.9100,0.9999,SPEAKER_07
4.705,4.826,doy,0.9120,1.0000,SPEAKER_07
4.886,4.947,la,0.8260,1.0000,SPEAKER_07
4.987,5.511,bienvenida,0.8360,1.0000,SPEAKER_07
5.531,5.552,y,0.9990,0.9990,SPEAKER_07
5.612,5.814,les,0.7130,0.9996,SPEAKER_07
5.874,6.257,agradezco,0.9140,1.0000,SPEAKER_07
6.338,6.459,su,0.8520,0.9998,SPEAKER_07
6.479,6.66,presencia,0.1110,1.0000,SPEAKER_07
6.64,7.123,aquí,0.5850,0.9992,SPEAKER_07
7.284,7.345,en,0.8700,0.6720,SPEAKER_07
7.385,7.445,el,0.8400,1.0000,SPEAKER_07
7.546,7.808,panel,0.9080,0.9992,SPEAKER_07
7.848,8.835,Sector,0.9530,0.9944,SPEAKER_07
8.916,9.439,"Informal,",0.8860,0.9932,SPEAKER_07
9.479,10.708,Economía,0.7740,0.9999,SPEAKER_07
10.829,11.171,Popular,0.8350,0.9998,SPEAKER_07
11.211,11.231,y,0.9990,1.0000,SPEAKER_07
11.251,11.936,Mercados,0.9070,0.9996,SPEAKER_07
11.956,12.52,Abiertos.,0.8570,0.9997,SPEAKER_07
14.02,14.866,Tenemos,0.8220,0.9999,SPEAKER_07
14.926,15.047,hoy,0.9340,1.0000,SPEAKER_07
15.107,15.329,día,0.9500,0.9999,SPEAKER_07
15.993,16.053,el,0.9920,1.0000,SPEAKER_07
16.114,16.315,honor,0.9700,0.9999,SPEAKER_07
16.375,16.436,de,0.3900,1.0000,SPEAKER_07
16.536,16.859,contar,0.9700,0.9999,SPEAKER_07
16.919,17.02,con,0.9470,1.0000,SPEAKER_07
17.08,17.12,la,0.9870,1.0000,SPEAKER_07
17.181,17.684,presencia,0.9220,1.0000,SPEAKER_07
17.704,17.744,de,0.5000,0.9998,SPEAKER_07
18.107,18.368,don,0.4480,0.7173,SPEAKER_07
18.389,18.771,Hernando,0.9000,0.9985,SPEAKER_07
18.831,18.912,de,0.8540,0.9817,SPEAKER_07
18.992,19.315,"Soto,",0.8600,0.9991,SPEAKER_07
19.677,19.818,del,0.5700,0.9982,SPEAKER_07
19.979,20.16,Instituto,0.0770,1.0000,SPEAKER_07
20.14,20.663,Libertad,0.2790,0.9957,SPEAKER_07
20.703,20.743,y,0.4130,1.0000,SPEAKER_07
20.763,21.347,"Democracia,",0.6650,0.9995,SPEAKER_07
22.533,22.976,Manfred,0.6790,0.9993,SPEAKER_07
23.016,23.519,"Maxneff,",0.6100,0.9038,SPEAKER_07
23.74,23.82,de,0.7830,0.9961,SPEAKER_07
23.881,24.343,"CEPAUR,",0.8560,0.9286,SPEAKER_07
25.268,25.55,Víctor,0.5100,0.9784,SPEAKER_07
25.711,26.193,"Tocman,",0.7130,0.9224,SPEAKER_07
26.213,26.294,de,0.8200,0.9987,SPEAKER_07
26.354,27.299,"PREALC,",0.4580,0.9419,SPEAKER_07
27.319,27.44,Manuel,0.1500,0.9962,SPEAKER_07
27.42,28.004,Mora,0.6670,0.5158,SPEAKER_07
28.065,28.105,y,0.7550,0.7788,SPEAKER_07
28.166,28.589,"Araujo,",0.9500,0.9931,SPEAKER_07
28.77,28.891,del,0.6920,0.9774,SPEAKER_07
28.972,29.536,Instituto,0.7170,0.9908,SPEAKER_07
29.556,30.0,Torcuato,0.9080,0.9824,SPEAKER_07
30.04,30.08,de,0.9640,0.9852,SPEAKER_07
30.161,30.463,Itela,0.9310,0.9789,SPEAKER_07
30.483,30.503,y,0.9830,0.4486,SPEAKER_07
30.544,31.632,Cristian,0.4420,0.9558,SPEAKER_07
31.672,32.196,"Larrulé,",0.7150,0.7407,SPEAKER_07
32.216,32.337,del,0.8830,0.9992,SPEAKER_07
32.378,32.72,Ministerio,0.2380,0.9988,SPEAKER_07
32.7,32.744,de,0.1030,0.9996,SPEAKER_07
32.766,33.142,Hacienda.,0.1810,0.9999,SPEAKER_07
33.92,34.784,Vamos,0.9240,0.9985,SPEAKER_07
34.805,34.825,a,1.0000,0.9997,SPEAKER_07
35.689,36.031,iniciar,0.9280,0.9995,SPEAKER_07
36.071,36.352,nuestro,0.8380,0.9995,SPEAKER_07
36.413,36.694,panel,0.9670,0.9997,SPEAKER_07
37.116,37.237,con,0.9970,0.9954,SPEAKER_07
37.297,37.398,una,0.9570,0.9998,SPEAKER_07
37.438,37.941,exposición,0.8630,0.9995,SPEAKER_07
37.961,38.001,de,0.4990,0.9992,SPEAKER_07
38.021,38.504,alrededor,0.6990,0.9994,SPEAKER_07
38.544,38.584,de,0.9980,0.9996,SPEAKER_07
38.604,38.885,20,0.6390,0.9826,SPEAKER_07
38.946,39.308,minutos,0.9060,0.9996,SPEAKER_07
39.348,39.388,de,0.5000,0.9825,SPEAKER_07
40.856,41.559,don,0.5330,0.8849,SPEAKER_07
41.579,41.74,Hernando,0.1250,0.9974,SPEAKER_07
41.72,41.832,de,0.1700,0.9714,SPEAKER_07
41.855,42.102,Soto.,0.3270,0.9991,SPEAKER_07
43.14,43.866,Enseguida,0.8400,0.9959,SPEAKER_07
44.068,44.29,harán,0.9050,0.9951,SPEAKER_07
44.371,44.512,uso,0.9930,1.0000,SPEAKER_07
44.573,44.613,de,0.9920,0.9999,SPEAKER_07
44.653,44.694,la,0.7560,0.9996,SPEAKER_07
44.775,45.118,palabra,0.8470,0.9998,SPEAKER_07
45.138,45.299,los,0.3890,0.9985,SPEAKER_07
45.34,45.541,demás,0.8270,0.9991,SPEAKER_07
45.602,46.187,panelistas,0.8800,1.0000,SPEAKER_07
46.328,46.429,por,0.6930,0.9831,SPEAKER_07
46.51,46.57,un,0.7470,0.9998,SPEAKER_07
46.611,46.974,espacio,0.9370,0.9999,SPEAKER_07
47.014,47.075,de,0.7770,0.9999,SPEAKER_07
47.095,47.277,10,0.6780,0.9887,SPEAKER_07
47.297,47.559,minutos,0.8220,0.9999,SPEAKER_07
47.579,47.66,cada,0.2500,0.9995,SPEAKER_07
47.64,48.143,uno,0.5480,0.9995,SPEAKER_07
48.505,48.545,y,0.9140,0.7525,SPEAKER_07
48.605,48.907,luego,0.9810,0.9995,SPEAKER_07
49.651,50.295,interrumpiremos,0.9090,0.9998,SPEAKER_07
50.415,51.139,brevemente,0.9530,0.9995,SPEAKER_07
51.763,52.024,para,0.9950,0.9939,SPEAKER_07
52.567,52.728,hacer,0.5920,0.9984,SPEAKER_07
52.788,52.889,una,0.9360,0.9996,SPEAKER_07
52.949,53.231,"pausa,",0.6980,0.9998,SPEAKER_07
53.331,53.512,tomar,0.9420,0.9980,SPEAKER_07
53.573,53.633,un,0.8900,0.9997,SPEAKER_07
53.653,54.759,café,0.4300,0.9987,SPEAKER_07
54.779,54.799,y,0.0000,0.4105,SPEAKER_07
54.819,54.96,después,0.1400,0.9979,SPEAKER_07
54.94,55.063,de,0.3100,0.9997,SPEAKER_07
55.125,55.433,eso,0.7000,0.9989,SPEAKER_07
55.474,55.844,entonces,0.8240,0.6811,SPEAKER_07
55.946,56.481,reiniciamos.,0.6540,0.9932,SPEAKER_07
56.46,56.723,Estamos,0.5640,0.2418,SPEAKER_07
57.308,57.955,ofreciéndoles,0.9680,0.9994,SPEAKER_07
57.995,58.035,a,0.0050,0.9987,SPEAKER_07
58.116,58.419,ustedes,0.6610,0.9990,SPEAKER_07
58.5,58.54,la,0.8030,0.9996,SPEAKER_07
58.621,58.924,palabra,0.9170,0.9997,SPEAKER_07
59.005,59.126,para,0.7430,0.9983,SPEAKER_07
59.187,59.247,que,0.8650,0.9999,SPEAKER_07
59.288,59.47,puedan,0.7410,0.9999,SPEAKER_07
59.51,59.692,hacer,0.7980,0.9999,SPEAKER_07
59.793,60.136,preguntas,0.9520,0.9999,SPEAKER_07
60.156,60.176,y,0.9760,0.9995,SPEAKER_07
60.338,60.56,comentarios,0.0870,1.0000,SPEAKER_07
60.54,61.104,por,0.1360,0.9937,SPEAKER_07
61.164,61.245,un,0.8000,1.0000,SPEAKER_07
61.325,61.668,"plazo,",0.8810,0.9111,SPEAKER_07
62.252,62.353,por,0.9390,0.9999,SPEAKER_07
62.413,62.473,un,0.9700,1.0000,SPEAKER_07
62.514,62.816,periodo,0.8220,0.9808,SPEAKER_07
62.856,62.896,de,0.7990,1.0000,SPEAKER_07
62.957,63.098,unos,0.8560,0.9998,SPEAKER_07
63.118,63.34,15,0.6260,0.9979,SPEAKER_07
63.36,63.38,a,0.7030,0.9977,SPEAKER_07
63.4,63.722,20,0.6040,1.0000,SPEAKER_07
63.803,64.165,minutos,0.9740,1.0000,SPEAKER_07
64.206,64.226,y,0.9860,0.2347,SPEAKER_07
65.011,65.192,luego,0.8760,0.9998,SPEAKER_07
65.233,65.354,los,0.6820,0.9999,SPEAKER_07
65.414,65.857,panelistas,0.9270,1.0000,SPEAKER_07
65.938,66.3,procederán,0.2820,0.9997,SPEAKER_07
66.28,66.321,a,0.0810,1.0000,SPEAKER_07
66.402,66.972,contestar,0.8130,0.9998,SPEAKER_07
67.033,67.115,en,0.9820,0.9999,SPEAKER_07
67.176,67.298,una,0.7240,0.9999,SPEAKER_07
67.379,67.705,segunda,0.7830,1.0000,SPEAKER_07
67.807,68.011,ronda,0.9470,0.9999,SPEAKER_07
68.051,68.092,de,0.5060,1.0000,SPEAKER_07
68.153,68.56,intervenciones.,0.3270,0.9997,SPEAKER_07
71.46,72.165,En,0.7580,0.9923,SPEAKER_07
72.226,72.468,primer,0.7800,1.0000,SPEAKER_07
72.528,72.729,"lugar,",0.8550,1.0000,SPEAKER_07
74.583,74.745,hará,0.6440,0.9749,SPEAKER_07
74.825,74.986,uso,0.9680,1.0000,SPEAKER_07
75.027,75.087,de,0.7440,1.0000,SPEAKER_07
75.127,75.168,la,0.9760,1.0000,SPEAKER_07
75.228,75.591,palabra,0.9740,1.0000,SPEAKER_07
75.611,76.659,Hernando,0.7850,0.9974,SPEAKER_07
76.679,76.719,de,0.0000,0.9690,SPEAKER_07
76.739,76.84,Soto.,0.2000,0.9978,SPEAKER_07
77.2,77.946,Él,0.9190,0.9740,SPEAKER_07
78.147,79.215,es,0.9360,0.9999,SPEAKER_07
79.235,79.699,vastamente,0.8170,0.9869,SPEAKER_07
79.8,80.243,conocido,0.9780,1.0000,SPEAKER_07
80.263,80.283,a,0.9900,0.9996,SPEAKER_07
80.525,80.747,estas,0.8380,0.9999,SPEAKER_07
80.848,81.21,alturas,0.8930,1.0000,SPEAKER_07
81.291,81.331,de,0.7620,0.9999,SPEAKER_07
81.392,81.432,la,0.9810,0.9998,SPEAKER_07
81.533,81.835,semana,0.8870,0.9992,SPEAKER_07
81.855,81.916,acá,0.3130,0.9613,SPEAKER_07
81.956,82.279,en,0.3490,0.9999,SPEAKER_07
82.299,82.48,Santiago.,0.1160,0.9997,SPEAKER_07
85.06,85.843,Es,0.8880,0.8253,SPEAKER_07
86.131,86.193,un,0.4920,0.9925,SPEAKER_07
86.213,86.461,emprendedor.,0.0830,0.7588,SPEAKER_07
86.46,86.501,Es,0.0180,0.2963,SPEAKER_07
86.521,86.562,un,0.2990,0.3879,SPEAKER_07
86.582,86.948,empresario,0.7980,0.9943,SPEAKER_07
