start,end,word,alignment_score,probability,speaker
0.0,0.648,En,0.6500,0.2300,SPEAKER_07
0.709,0.972,ciertas,0.5190,0.9359,SPEAKER_07
1.134,1.964,especializaciones,0.3800,0.9998,SPEAKER_07
1.984,2.025,se,0.0180,0.9997,SPEAKER_07
2.045,2.085,va,0.3580,0.9987,SPEAKER_07
2.227,2.267,a,0.8960,0.7822,SPEAKER_07
2.308,2.389,los,0.6090,0.6295,SPEAKER_07
2.672,2.915,requisitos,0.0820,0.5719,SPEAKER_07
2.936,3.32,estatales.,0.4650,0.9863,SPEAKER_07
3.44,4.151,Nosotros,0.2690,0.9836,SPEAKER_07
4.212,4.273,ya,0.6220,0.9985,SPEAKER_07
4.436,4.578,hemos,0.2750,0.9915,SPEAKER_07
4.598,4.781,vivido,0.5040,0.9989,SPEAKER_07
4.801,4.862,una,0.3210,0.9997,SPEAKER_07
4.923,5.35,experiencia,0.8120,1.0000,SPEAKER_07
5.391,5.696,bastante,0.3310,1.0000,SPEAKER_07
5.716,6.0,"grande,",0.5090,0.9664,SPEAKER_07
6.84,7.187,como,0.8830,0.9921,SPEAKER_07
7.289,7.453,para,0.8680,1.0000,SPEAKER_07
7.493,7.902,hablar,0.8230,1.0000,SPEAKER_07
7.963,8.045,de,0.8080,0.9999,SPEAKER_07
8.167,8.331,uno,0.7670,0.5537,SPEAKER_07
8.372,8.392,u,0.9870,0.9175,SPEAKER_07
8.453,8.678,otra,0.7840,0.9985,SPEAKER_07
8.698,8.8,cosa.,0.2000,0.9988,SPEAKER_07
9.62,9.983,Mi,0.5090,0.9867,SPEAKER_07
10.084,10.549,posición,0.2710,0.9991,SPEAKER_07
10.569,10.69,"es,",0.7550,1.0000,SPEAKER_07
11.377,11.457,aquí,0.1400,0.9997,SPEAKER_07
11.478,11.902,tenemos,0.5800,1.0000,SPEAKER_07
11.922,12.063,bien,0.2890,0.9980,SPEAKER_07
12.265,12.669,organizados,0.5070,0.9960,SPEAKER_07
12.81,12.851,a,0.7390,0.9847,SPEAKER_07
12.911,13.012,los,0.8040,1.0000,SPEAKER_07
13.234,13.86,"agricultores,",0.4260,0.9999,SPEAKER_07
13.88,14.387,tenemos,0.1320,0.9999,SPEAKER_07
14.428,14.509,bien,0.6630,1.0000,SPEAKER_07
14.59,15.077,organizados,0.6660,0.9993,SPEAKER_07
15.097,15.178,los,0.3510,0.6471,SPEAKER_07
15.26,15.746,"industriales,",0.5010,0.9974,SPEAKER_07
15.787,16.071,tenemos,0.2580,0.9946,SPEAKER_07
16.091,16.233,bien,0.3230,0.9999,SPEAKER_07
16.477,16.72,"organizados,",0.0890,0.9992,SPEAKER_07
16.84,17.364,o,0.8380,0.9991,SPEAKER_07
17.384,17.586,sea,0.8450,0.9999,SPEAKER_07
17.686,17.807,que,0.8230,0.9989,SPEAKER_07
18.291,18.452,los,0.7270,0.9987,SPEAKER_07
18.493,18.976,elementos,0.8730,1.0000,SPEAKER_07
19.057,19.44,"están,",0.8570,0.9999,SPEAKER_07
20.065,20.186,no,0.8540,1.0000,SPEAKER_07
20.206,20.367,sé,0.9140,0.9995,SPEAKER_07
20.448,20.609,si,0.9310,1.0000,SPEAKER_07
21.012,21.476,"mixtos,",0.8310,0.8926,SPEAKER_07
21.556,21.617,no,0.7660,1.0000,SPEAKER_07
21.677,21.778,sé,0.6150,1.0000,SPEAKER_07
21.798,21.959,cómo,0.1440,0.9995,SPEAKER_07
21.979,22.08,"será,",0.1990,0.9441,SPEAKER_07
22.28,22.666,no,0.5220,0.7569,SPEAKER_07
22.706,22.747,le,0.2240,0.9866,SPEAKER_07
22.828,22.97,doy,0.2890,0.9998,SPEAKER_07
23.052,23.092,la,0.7160,0.9997,SPEAKER_07
23.153,23.722,importancia,0.9320,1.0000,SPEAKER_07
23.742,23.782,al,0.4980,0.9964,SPEAKER_07
24.188,24.412,rubro,0.6080,0.9240,SPEAKER_07
24.452,24.615,que,0.4760,0.9986,SPEAKER_07
24.635,24.838,se,0.4600,0.9991,SPEAKER_07
24.858,24.98,"reúna,",0.1660,0.9930,SPEAKER_07
25.04,25.606,porque,0.7450,0.9994,SPEAKER_07
25.707,26.253,necesita,0.6730,0.9964,SPEAKER_07
26.274,26.435,mucha,0.3950,0.9982,SPEAKER_07
26.496,26.961,técnica,0.9450,0.9998,SPEAKER_07
26.981,27.002,y,0.9970,0.6993,SPEAKER_07
27.487,27.932,necesita,0.9090,0.9999,SPEAKER_07
28.013,28.68,proyectarse.,0.6700,0.9991,SPEAKER_07
29.24,29.887,Yo,0.7800,0.7499,SPEAKER_07
29.927,30.069,creo,0.5970,0.9995,SPEAKER_07
30.109,30.19,que,0.6190,0.9998,SPEAKER_07
30.251,30.413,Chile,0.5940,0.9889,SPEAKER_07
30.473,30.595,no,0.4920,0.9374,SPEAKER_07
30.675,30.878,sale,0.7360,0.8770,SPEAKER_07
30.898,31.221,avante,0.8320,0.6834,SPEAKER_07
31.262,31.322,si,0.5920,0.9848,SPEAKER_07
31.343,31.403,no,0.8860,0.9996,SPEAKER_07
31.484,31.666,tiene,0.5270,0.9967,SPEAKER_07
31.727,32.131,crédito,0.5520,0.9840,SPEAKER_07
32.192,32.212,a,0.9310,0.9989,SPEAKER_07
32.273,32.758,mediano,0.7550,0.9682,SPEAKER_07
32.778,32.98,plazo.,0.3990,0.9980,SPEAKER_07
33.06,33.653,A,0.7880,0.2456,SPEAKER_07
33.714,33.918,plazo,0.9820,0.6863,SPEAKER_07
33.939,33.98,de,0.3560,0.7570,SPEAKER_07
34.021,34.062,la,0.9060,0.3718,SPEAKER_07
34.143,34.307,vista,0.7810,0.8917,SPEAKER_07
34.348,34.389,es,0.4720,0.9759,SPEAKER_07
34.45,34.94,imposible.,0.6290,0.9999,SPEAKER_07
35.9,36.942,Entonces,0.8180,0.9515,SPEAKER_07
37.065,37.106,mi,0.2520,0.9241,SPEAKER_07
37.147,37.555,posición,0.7230,0.9993,SPEAKER_07
37.576,37.698,es,0.8200,1.0000,SPEAKER_07
37.719,37.8,esa.,0.2500,0.7292,SPEAKER_07
38.66,39.226,Respecto,0.6200,0.9995,SPEAKER_07
39.247,39.287,a,0.6950,1.0000,SPEAKER_07
39.327,39.631,la,0.7520,0.9998,SPEAKER_07
39.651,40.44,"deuda,",0.4820,0.9994,SPEAKER_07
40.46,40.541,los,0.8120,0.9833,SPEAKER_07
40.581,40.804,demás,0.7410,0.9999,SPEAKER_07
40.925,41.229,"países,",0.7060,0.9999,SPEAKER_07
41.269,41.593,estaba,0.6000,0.8713,SPEAKER_07
41.613,41.755,viendo,0.5960,0.9960,SPEAKER_07
41.835,42.26,"estadísticas,",0.2600,0.9435,SPEAKER_07
