start,end,word,alignment_score,probability,speaker
3.78,4.891,Buenas,0.7660,0.9959,SPEAKER_08
4.951,5.234,tardes.,0.8150,1.0000,SPEAKER_08
6.446,6.809,Bienvenido,0.7700,0.9180,SPEAKER_08
6.87,6.93,al,0.9100,0.9996,SPEAKER_08
6.971,7.132,Centro,0.8930,0.9953,SPEAKER_08
7.152,7.193,de,0.4290,0.9922,SPEAKER_08
7.233,7.496,Estudios,0.6860,0.9998,SPEAKER_08
7.637,7.96,Públicos.,0.5170,0.9973,SPEAKER_08
8.24,9.328,El,0.6930,0.9965,SPEAKER_08
9.368,9.55,Centro,0.5040,1.0000,SPEAKER_08
9.57,9.61,de,0.0590,0.9999,SPEAKER_08
9.63,9.852,Estudios,0.9160,1.0000,SPEAKER_08
9.973,10.315,Públicos,0.9750,1.0000,SPEAKER_08
10.335,10.376,ha,0.4940,0.9999,SPEAKER_08
10.799,11.162,recibido,0.7440,0.9998,SPEAKER_08
11.222,11.323,la,0.6060,1.0000,SPEAKER_08
11.363,11.806,visita,0.9500,1.0000,SPEAKER_08
12.068,12.33,de,0.9170,0.9992,SPEAKER_08
12.532,12.653,dos,0.8830,0.9981,SPEAKER_08
12.713,13.176,economistas,0.8730,0.9998,SPEAKER_08
13.297,13.68,"polacos,",0.7600,0.9999,SPEAKER_08
13.68,14.886,designados,0.8730,0.9998,SPEAKER_08
14.946,15.027,por,0.8940,1.0000,SPEAKER_08
15.067,15.147,el,0.5170,1.0000,SPEAKER_08
15.208,15.469,gobierno,0.8540,0.9858,SPEAKER_08
15.569,15.951,"polaco,",0.8570,0.9999,SPEAKER_08
17.74,17.821,los,0.9850,0.9998,SPEAKER_08
17.881,18.183,señores,0.8510,0.9999,SPEAKER_08
19.067,19.389,Jacek,0.6160,0.9647,SPEAKER_08
19.409,19.891,Korpala,0.9810,0.9893,SPEAKER_08
19.911,19.931,y,0.9900,0.9999,SPEAKER_08
20.896,21.298,Jacek,0.6040,0.9982,SPEAKER_08
21.318,21.66,"Fedoruk,",0.5530,0.9878,SPEAKER_08
21.78,22.668,quienes,0.6250,0.9986,SPEAKER_08
22.729,22.83,son,0.8940,1.0000,SPEAKER_08
22.911,23.456,asesores,0.9660,1.0000,SPEAKER_08
24.364,24.425,de,0.9720,1.0000,SPEAKER_08
24.465,24.526,la,0.9520,1.0000,SPEAKER_08
24.587,25.293,Subsecretaría,0.9080,0.9780,SPEAKER_08
25.374,25.414,de,0.8680,1.0000,SPEAKER_08
25.495,26.02,"Privatizaciones,",0.5200,0.9975,SPEAKER_08
26.0,26.809,dependiente,0.3400,0.5317,SPEAKER_08
26.85,26.93,del,0.8040,0.9961,SPEAKER_08
26.971,27.355,Ministerio,0.7910,0.9783,SPEAKER_08
27.396,27.436,de,0.9450,0.9993,SPEAKER_08
27.517,28.043,Finanzas,0.9130,0.9892,SPEAKER_08
29.216,29.297,de,0.5950,0.9815,SPEAKER_08
29.338,29.58,Polonia.,0.4480,0.9992,SPEAKER_08
31.0,31.262,Esta,0.8280,0.9991,SPEAKER_08
31.302,31.625,visita,0.9660,0.9998,SPEAKER_08
31.645,31.685,ha,0.4990,0.9974,SPEAKER_08
31.725,32.149,sido,0.8710,1.0000,SPEAKER_08
32.229,32.753,posible,0.8770,0.9998,SPEAKER_08
33.458,33.761,gracias,0.8090,0.9948,SPEAKER_08
33.801,33.862,al,0.3400,0.9995,SPEAKER_08
33.922,34.486,financiamiento,0.7940,0.9990,SPEAKER_08
34.527,34.788,del,0.8050,0.9968,SPEAKER_08
34.889,35.373,National,0.6920,0.9926,SPEAKER_08
35.393,35.917,Endowment,0.4320,0.9985,SPEAKER_08
35.937,36.058,for,0.4900,0.9988,SPEAKER_08
36.078,36.34,Democracy.,0.2360,0.9991,SPEAKER_08
38.0,38.504,Los,0.7940,0.9994,SPEAKER_08
38.544,38.806,señores,0.8570,0.9993,SPEAKER_08
38.927,39.37,Korpala,0.9240,0.6777,SPEAKER_08
39.41,39.43,y,0.7410,0.9997,SPEAKER_08
39.511,39.954,Fedoruk,0.8370,0.9774,SPEAKER_08
40.82,40.9,han,0.9440,0.9936,SPEAKER_08
40.941,41.162,venido,0.9330,1.0000,SPEAKER_08
41.182,41.203,a,0.0650,0.9997,SPEAKER_08
41.223,41.686,analizar,0.9290,1.0000,SPEAKER_08
41.726,42.754,la,0.9150,0.9994,SPEAKER_08
42.794,43.237,experiencia,0.8240,0.9999,SPEAKER_08
43.358,43.68,"chilena,",0.5810,0.9975,SPEAKER_08
45.0,45.322,la,0.7150,0.9997,SPEAKER_08
45.342,45.664,experiencia,0.8280,0.9998,SPEAKER_08
45.704,46.107,económica,0.8760,0.9997,SPEAKER_08
46.248,46.63,"chilena,",0.7720,0.9999,SPEAKER_08
47.234,47.295,en,0.9300,0.9995,SPEAKER_08
47.355,47.798,particular,0.9700,1.0000,SPEAKER_08
47.838,48.261,temas,0.8410,0.9911,SPEAKER_08
48.341,48.844,relacionados,0.9460,1.0000,SPEAKER_08
48.985,49.146,con,0.9300,0.9999,SPEAKER_08
50.374,50.435,el,0.9880,0.9998,SPEAKER_08
50.475,50.797,sistema,0.8970,0.9995,SPEAKER_08
50.898,51.3,"financiero,",0.5410,0.9996,SPEAKER_08
52.0,52.366,las,0.8780,0.9733,SPEAKER_08
52.407,53.18,"privatizaciones,",0.9320,0.9979,SPEAKER_08
53.22,53.892,inversión,0.8180,0.9666,SPEAKER_08
53.973,54.42,"extranjera,",0.2670,0.9992,SPEAKER_08
54.4,55.93,todo,0.8980,0.5939,SPEAKER_08
55.97,56.031,el,0.5090,0.9998,SPEAKER_08
56.111,56.393,sistema,0.9080,0.9972,SPEAKER_08
56.454,56.494,de,0.5260,0.9993,SPEAKER_08
56.574,56.896,pagarés,0.7500,0.9124,SPEAKER_08
56.937,56.977,de,0.9560,0.9903,SPEAKER_08
56.997,57.259,deuda,0.4410,0.9613,SPEAKER_08
57.279,57.782,externa,0.9140,0.9997,SPEAKER_08
57.802,57.823,y,0.9860,0.9833,SPEAKER_08
57.843,57.883,la,0.4800,0.9971,SPEAKER_08
57.984,58.608,aplicación,0.8630,0.9999,SPEAKER_08
58.628,58.688,vía,0.3200,0.9859,SPEAKER_08
58.708,59.373,capítulo,0.6280,0.9945,SPEAKER_08
59.393,59.876,"19,",0.7030,0.9877,SPEAKER_08
60.057,60.42,capítulo,0.8860,0.9989,SPEAKER_08
60.44,60.5,"18,",0.3290,0.9999,SPEAKER_08
61.12,61.888,el,0.7330,0.9996,SPEAKER_08
61.929,62.293,desarrollo,0.9110,0.9999,SPEAKER_08
