start,end,word,alignment_score,probability,speaker
0.0,0.725,"Chile,",0.6720,0.9931,SPEAKER_00
2.215,2.517,nuestro,0.8600,0.9986,SPEAKER_00
2.597,2.9,pequeño,0.8860,0.9999,SPEAKER_00
3.02,3.222,país,0.8690,0.9999,SPEAKER_00
3.262,3.785,volvió,0.8880,0.9987,SPEAKER_00
3.826,3.846,a,0.0090,1.0000,SPEAKER_00
3.947,4.027,la,0.9310,1.0000,SPEAKER_00
4.088,4.551,Asamblea,0.7250,0.9924,SPEAKER_00
4.591,5.014,General,0.8770,0.9998,SPEAKER_00
5.114,5.195,de,0.9060,1.0000,SPEAKER_00
5.215,5.316,las,0.7100,0.9999,SPEAKER_00
5.416,5.678,Naciones,0.8250,0.9999,SPEAKER_00
5.759,5.96,Unidas.,0.2360,1.0000,SPEAKER_00
6.12,6.824,El,0.4540,1.0000,SPEAKER_00
6.884,7.307,canciller,0.9380,0.9585,SPEAKER_00
7.387,7.508,del,0.9700,1.0000,SPEAKER_00
7.629,7.951,régimen,0.9700,0.9997,SPEAKER_00
8.031,8.393,"militar,",0.8700,1.0000,SPEAKER_00
8.755,9.238,almirante,0.9340,0.8524,SPEAKER_00
9.338,9.701,Ismael,0.8120,0.9993,SPEAKER_00
9.801,10.123,"Huerta,",0.7990,0.9989,SPEAKER_00
10.626,10.928,trató,0.9270,1.0000,SPEAKER_00
10.968,11.048,de,0.8790,1.0000,SPEAKER_00
11.068,11.571,explicar,0.7670,1.0000,SPEAKER_00
11.591,11.632,lo,0.5000,0.9998,SPEAKER_00
12.557,13.1,inexplicable.,0.6980,0.9999,SPEAKER_00
13.66,14.183,Llegando,0.7940,0.9420,SPEAKER_01
14.203,14.223,a,0.5930,0.9997,SPEAKER_01
14.263,14.364,los,0.8030,0.9999,SPEAKER_01
14.444,14.847,"extremos,",0.8680,0.9809,SPEAKER_01
14.867,14.907,de,0.4960,0.9929,SPEAKER_01
15.51,16.295,desconocer,0.8790,0.9998,SPEAKER_01
16.375,16.415,y,0.9630,1.0000,SPEAKER_01
16.436,17.562,atropellar,0.8030,0.9996,SPEAKER_01
17.582,18.628,sistemáticamente,0.7060,0.9999,SPEAKER_01
18.708,18.809,las,0.8940,0.9993,SPEAKER_01
18.889,19.573,atribuciones,0.5050,0.9997,SPEAKER_01
19.633,19.734,de,0.7120,0.9999,SPEAKER_01
19.754,19.915,los,0.4490,0.9983,SPEAKER_01
19.935,19.995,más,0.2030,0.9998,SPEAKER_01
20.116,20.538,poderes,0.5200,0.9973,SPEAKER_01
20.559,20.679,del,0.3570,0.9998,SPEAKER_01
20.699,20.84,Estado.,0.1390,0.9982,SPEAKER_01
21.74,22.33,De,0.4130,0.9981,SPEAKER_01
