start,end,word,alignment_score,probability,speaker
0.0,0.887,23,0.6980,0.9217,SPEAKER_00
0.99,1.052,de,0.8180,0.9999,SPEAKER_00
1.093,1.341,agosto,0.4720,0.9963,SPEAKER_00
1.32,1.729,el,0.6260,0.0917,SPEAKER_00
2.466,2.958,general,0.9410,0.9541,SPEAKER_00
2.978,3.08,Prats,0.2000,0.9470,SPEAKER_00
3.06,4.338,renunció,0.8220,0.9956,SPEAKER_00
4.378,4.419,a,0.4330,0.9997,SPEAKER_00
4.48,4.52,la,0.9960,0.9999,SPEAKER_00
4.581,5.068,comandancia,0.8520,0.9900,SPEAKER_00
5.108,5.149,en,0.4820,0.9960,SPEAKER_00
5.169,5.514,jefe,0.6350,0.9990,SPEAKER_00
5.575,5.798,del,0.6360,0.9993,SPEAKER_00
5.818,5.98,ejército,0.1250,0.9988,SPEAKER_00
5.96,6.021,en,0.2540,0.7557,SPEAKER_00
7.527,7.588,su,0.9300,0.9999,SPEAKER_00
7.669,7.893,carta,0.9150,0.9997,SPEAKER_00
8.015,8.34,renuncia,0.3480,0.9892,SPEAKER_00
8.32,9.422,dijo,0.9320,0.9755,SPEAKER_00
9.503,9.605,al,0.8760,0.9995,SPEAKER_00
9.687,10.115,presidente,0.8310,0.9985,SPEAKER_00
10.238,10.38,Allende,0.1690,0.9915,SPEAKER_00
10.36,10.684,he,0.6790,0.7088,SPEAKER_01
10.987,11.573,estimado,0.9120,0.9997,SPEAKER_01
11.614,11.654,un,0.4930,0.9994,SPEAKER_01
11.675,12.119,deber,0.8850,0.9985,SPEAKER_01
12.18,12.281,de,0.7220,0.9996,SPEAKER_01
12.301,12.746,soldado,0.9580,0.9995,SPEAKER_01
12.847,12.908,de,0.6740,0.9987,SPEAKER_01
13.009,13.373,sólidos,0.8790,0.9995,SPEAKER_01
13.495,14.0,principios,0.9360,0.9998,SPEAKER_01
13.98,14.828,no,0.7820,0.9883,SPEAKER_01
14.97,15.596,constituirme,0.9620,0.9981,SPEAKER_01
15.616,15.657,en,0.4660,0.9528,SPEAKER_01
15.798,16.101,factor,0.9750,0.9983,SPEAKER_01
16.162,16.202,de,0.8740,0.9999,SPEAKER_01
16.323,16.647,quiebre,0.9120,0.9997,SPEAKER_01
16.687,16.748,de,0.8960,0.9998,SPEAKER_01
16.808,16.869,la,0.7320,0.9999,SPEAKER_01
16.909,17.434,disciplina,0.7610,0.9999,SPEAKER_01
17.475,18.02,institucional,0.3760,0.9999,SPEAKER_01
18.0,18.325,ni,0.6580,0.9965,SPEAKER_01
19.035,19.136,de,0.9220,0.9994,SPEAKER_01
19.197,19.846,dislocación,0.9000,0.8277,SPEAKER_01
19.887,20.09,del,0.6040,0.9995,SPEAKER_01
20.151,20.516,estado,0.9120,0.9600,SPEAKER_01
20.577,20.678,de,0.6620,0.9996,SPEAKER_01
20.698,20.84,derecho,0.1570,0.9998,SPEAKER_01
20.82,22.131,y,0.7140,0.9982,SPEAKER_01
22.151,22.413,menos,0.8220,0.9992,SPEAKER_01
22.494,22.816,servir,0.8260,0.9994,SPEAKER_01
22.857,22.937,de,0.4820,0.9999,SPEAKER_01
22.978,23.462,pretexto,0.9020,0.9999,SPEAKER_01
23.482,23.502,a,0.9970,0.9990,SPEAKER_01
23.926,24.168,quienes,0.6650,0.9998,SPEAKER_01
24.309,24.611,buscan,0.9890,0.9997,SPEAKER_01
24.652,24.752,el,0.5600,0.9995,SPEAKER_01
24.793,25.438,derrocamiento,0.9370,0.9995,SPEAKER_01
25.458,25.519,del,0.0000,0.9995,SPEAKER_01
25.539,25.7,gobierno,0.1250,0.9999,SPEAKER_01
25.68,26.601,constitucional,0.2250,0.9997,SPEAKER_01
