start,end,word,alignment_score,probability,speaker
0.0,0.402,Ese,0.8920,0.9993,SPEAKER_00
0.463,0.724,mismo,0.9860,1.0000,SPEAKER_00
0.785,1.006,"día,",0.9870,0.9998,SPEAKER_00
1.71,2.032,asumió,0.9080,0.9996,SPEAKER_00
2.112,2.153,la,0.9880,0.9998,SPEAKER_00
2.213,2.716,comandancia,0.9130,0.9974,SPEAKER_00
2.736,2.776,en,0.4420,0.9994,SPEAKER_00
2.937,3.158,jefe,0.9030,0.9752,SPEAKER_00
3.199,3.319,del,0.7320,0.9999,SPEAKER_00
3.36,3.822,ejército,0.9720,0.9921,SPEAKER_00
3.863,3.903,el,0.4990,0.6711,SPEAKER_00
4.526,4.889,general,0.9860,0.9903,SPEAKER_00
5.331,5.874,Augusto,0.9210,0.9999,SPEAKER_00
5.975,6.478,Pinochet,0.8040,0.9983,SPEAKER_00
6.599,6.86,Ugarte.,0.4830,0.9811,SPEAKER_00
7.86,8.624,Ordeno.,0.8850,0.9946,SPEAKER_01
9.911,9.971,A,0.8110,1.0000,SPEAKER_01
10.052,10.374,partir,0.8510,1.0000,SPEAKER_01
10.434,10.494,de,0.7280,1.0000,SPEAKER_01
10.535,10.876,esta,0.7500,0.9998,SPEAKER_01
10.937,11.198,"fecha,",0.7750,1.0000,SPEAKER_01
11.238,12.224,asumo,0.5450,0.9857,SPEAKER_01
12.364,12.405,el,0.0260,0.9952,SPEAKER_01
12.425,12.726,mando,0.8010,1.0000,SPEAKER_01
12.847,12.928,en,0.2070,0.9996,SPEAKER_01
12.948,13.209,jefe,0.5020,1.0000,SPEAKER_01
13.249,13.45,del,0.5380,1.0000,SPEAKER_01
13.47,14.275,ejército,0.6130,1.0000,SPEAKER_01
14.295,14.335,en,0.0230,0.9997,SPEAKER_01
14.355,14.878,carácter,0.6220,0.9999,SPEAKER_01
14.898,15.059,de,0.7510,0.9992,SPEAKER_01
15.079,15.24,titular.,0.1250,1.0000,SPEAKER_01
16.46,16.742,La,0.7200,0.9998,SPEAKER_01
16.802,17.225,presente,0.8910,0.9999,SPEAKER_01
17.266,17.648,orden,0.5250,0.9998,SPEAKER_01
17.668,17.749,de,0.7960,0.9997,SPEAKER_01
17.809,18.333,comando,0.6970,0.9998,SPEAKER_01
19.058,19.38,será,0.8150,0.9990,SPEAKER_01
19.4,19.642,dada,0.3870,0.9883,SPEAKER_01
19.662,19.703,a,0.8090,0.9999,SPEAKER_01
19.783,20.246,conocer,0.9400,1.0000,SPEAKER_01
20.267,20.287,a,0.9900,1.0000,SPEAKER_01
20.649,20.871,todo,0.6480,0.9999,SPEAKER_01
20.931,21.012,el,0.5750,1.0000,SPEAKER_01
21.092,21.596,personal,0.8730,1.0000,SPEAKER_01
21.616,21.676,de,0.7650,0.9999,SPEAKER_01
21.717,21.817,la,0.4190,0.9996,SPEAKER_01
21.837,22.22,institución.,0.2710,1.0000,SPEAKER_01
23.56,24.008,"Anótese,",0.4200,0.9937,SPEAKER_01
24.7,25.311,comuníquese,0.3340,0.9998,SPEAKER_01
25.331,25.351,y,0.4750,0.9999,SPEAKER_01
25.392,25.86,públiquese.,0.2560,0.9522,SPEAKER_01
