start,end,word,alignment_score,probability,speaker
2.76,3.346,"...análisis,",0.5190,0.7798,SPEAKER_07
4.134,4.174,la,0.9790,0.9977,SPEAKER_07
4.255,4.639,"segunda,",0.9560,1.0000,SPEAKER_07
4.74,5.043,sobre,0.9900,1.0000,SPEAKER_07
5.225,5.265,la,0.9490,1.0000,SPEAKER_07
5.326,5.427,ley,0.7960,0.9672,SPEAKER_07
5.487,5.911,orgánica,0.8410,0.9999,SPEAKER_07
5.932,6.033,de,0.3820,0.9030,SPEAKER_07
6.113,6.396,partidos,0.8380,0.9942,SPEAKER_07
6.457,6.8,políticos.,0.3670,1.0000,SPEAKER_07
8.42,9.208,La,0.6890,0.9993,SPEAKER_07
9.248,9.592,primera,0.9270,1.0000,SPEAKER_07
10.522,10.905,expuso,0.9600,0.9921,SPEAKER_07
10.946,11.128,el,0.3840,0.9821,SPEAKER_07
11.148,11.471,profesor,0.5120,0.9987,SPEAKER_07
11.613,12.017,Francisco,0.7110,1.0000,SPEAKER_07
12.037,12.34,"Cumplido,",0.2770,0.9958,SPEAKER_07
14.0,14.282,quien,0.5000,0.5584,SPEAKER_07
14.302,14.363,se,0.2520,1.0000,SPEAKER_07
14.443,14.826,refirió,0.7960,0.9996,SPEAKER_07
17.585,17.847,también,0.8720,0.9995,SPEAKER_07
17.867,17.907,al,0.4960,0.9999,SPEAKER_07
18.672,19.075,proyecto,0.9130,0.9999,SPEAKER_07
19.116,19.196,del,0.6440,0.9755,SPEAKER_07
19.257,19.418,Grupo,0.8810,0.9433,SPEAKER_07
19.438,19.478,de,0.4230,0.4485,SPEAKER_07
19.498,19.7,los,0.2600,0.9873,SPEAKER_07
19.72,19.78,"24,",0.3330,0.9937,SPEAKER_07
20.06,20.102,de,0.0920,0.2497,SPEAKER_07
20.123,20.29,estudios,0.0640,0.7509,SPEAKER_07
20.31,21.041,constitucionales.,0.1430,0.9967,SPEAKER_07
22.32,23.007,Y,0.9610,0.9995,SPEAKER_07
23.027,23.088,en,0.9740,0.9999,SPEAKER_07
23.129,23.25,esta,0.9590,1.0000,SPEAKER_07
23.31,23.614,segunda,0.9780,1.0000,SPEAKER_07
23.654,24.2,"exposición,",0.6940,0.9999,SPEAKER_07
24.24,25.109,la,0.8220,1.0000,SPEAKER_07
25.19,25.473,señora,0.9840,0.9999,SPEAKER_07
25.756,26.14,Lugunles,0.3360,0.7646,SPEAKER_07
26.12,26.423,va,0.5860,0.8683,SPEAKER_07
27.189,27.209,a,0.9630,1.0000,SPEAKER_07
27.29,27.673,exponer,0.9470,0.9995,SPEAKER_07
27.694,28.38,sobre,0.9380,0.9996,SPEAKER_07
28.844,28.924,los,0.9320,0.9999,SPEAKER_07
29.005,29.651,fundamentos,0.8850,0.9998,SPEAKER_07
29.671,29.691,y,0.9890,0.9943,SPEAKER_07
30.256,30.558,el,0.7860,1.0000,SPEAKER_07
30.579,30.76,contenido,0.1110,0.9999,SPEAKER_07
30.74,31.083,y,0.2880,0.9973,SPEAKER_07
31.103,31.164,las,0.2700,0.9999,SPEAKER_07
31.79,32.8,razones,0.8510,0.9999,SPEAKER_07
32.84,32.921,que,0.8070,0.9996,SPEAKER_07
32.941,33.102,están,0.7520,0.9998,SPEAKER_07
33.163,33.446,detrás,0.9530,1.0000,SPEAKER_07
33.506,33.688,del,0.7550,0.9998,SPEAKER_07
34.354,34.98,anteproyecto,0.7560,0.9997,SPEAKER_07
34.96,35.283,que,0.3880,0.9991,SPEAKER_07
35.768,35.991,ella,0.5780,0.9996,SPEAKER_07
36.031,36.395,preparó,0.9380,0.9999,SPEAKER_07
