start,end,word,alignment_score,probability,speaker
0.0,0.404,La,0.8160,0.8929,SPEAKER_01
0.465,1.011,historia,0.9640,0.9779,SPEAKER_01
1.031,1.071,es,0.4940,0.9975,SPEAKER_01
1.192,1.92,nuestra,0.8590,0.9945,SPEAKER_01
1.94,1.96,y,0.9600,0.8194,SPEAKER_01
2.89,3.112,la,0.9180,0.9977,SPEAKER_01
3.133,3.254,hacen,0.4280,0.9975,SPEAKER_01
3.315,3.395,los,0.8530,0.9991,SPEAKER_01
3.517,3.86,pueblos.,0.6760,0.9981,SPEAKER_01
4.0,4.887,Trabajadores,0.8230,0.9893,SPEAKER_01
4.947,5.008,de,0.9310,0.9996,SPEAKER_01
5.068,5.149,mi,0.7700,0.9991,SPEAKER_01
5.209,5.613,"patria,",0.8400,0.9964,SPEAKER_01
6.641,6.923,tengo,0.8970,0.9973,SPEAKER_01
7.064,7.185,fe,0.9070,0.9965,SPEAKER_01
8.112,8.394,en,0.4020,0.9499,SPEAKER_01
8.414,8.697,Chile,0.4890,0.9898,SPEAKER_01
8.717,8.737,y,0.0060,0.9894,SPEAKER_01
8.757,8.797,su,0.0050,0.9986,SPEAKER_01
8.818,9.14,destino.,0.3240,0.9990,SPEAKER_01
10.78,11.323,¿Superará,0.2640,0.8008,SPEAKER_01
12.328,12.489,otros,0.5890,0.9252,SPEAKER_01
12.69,12.951,hombres,0.6180,0.9999,SPEAKER_01
12.971,14.198,este,0.6360,0.9936,SPEAKER_01
14.258,14.64,momento,0.9030,0.9998,SPEAKER_01
14.68,14.902,gris,0.3110,0.9815,SPEAKER_01
14.922,14.942,y,0.2950,0.9997,SPEAKER_01
14.962,15.364,amargo,0.8680,0.9999,SPEAKER_01
16.228,16.43,donde,0.8180,0.9843,SPEAKER_01
16.47,16.51,la,0.8440,0.9991,SPEAKER_01
16.55,17.756,traición,0.1890,0.9994,SPEAKER_01
17.777,17.957,pretende,0.1750,0.6867,SPEAKER_01
17.978,18.46,imponer?,0.5340,0.9938,SPEAKER_01
18.92,19.908,Sigan,0.4720,0.7899,SPEAKER_01
19.948,21.198,ustedes,0.4790,0.9990,SPEAKER_01
21.258,21.702,sabiendo,0.9080,0.9338,SPEAKER_01
22.649,22.75,que,0.5220,0.9971,SPEAKER_01
22.77,22.992,mucho,0.5000,0.9957,SPEAKER_01
23.012,23.173,más,0.4070,0.9995,SPEAKER_01
