start,end,word,alignment_score,probability,speaker
0.54,1.404,Por,0.9500,0.9953,SPEAKER_01
1.625,1.906,tercer,0.8300,0.9985,SPEAKER_01
1.947,2.087,año,0.9280,0.9998,SPEAKER_01
2.168,2.791,"consecutivo,",0.9480,0.9998,SPEAKER_01
2.831,2.871,el,0.4860,1.0000,SPEAKER_01
2.911,3.514,Centro,0.5940,0.9984,SPEAKER_01
3.534,3.574,de,0.0680,0.9927,SPEAKER_01
3.594,3.815,Estudios,0.3640,0.9993,SPEAKER_01
3.936,4.418,Públicos,0.8210,0.9933,SPEAKER_01
6.247,6.287,da,0.8380,0.9332,SPEAKER_01
6.347,6.448,por,0.9130,0.9999,SPEAKER_01
6.508,7.05,iniciado,0.8270,1.0000,SPEAKER_01
7.071,7.111,el,0.4910,0.9998,SPEAKER_01
7.271,7.834,Seminario,0.9060,0.8956,SPEAKER_01
7.955,8.095,de,0.9540,1.0000,SPEAKER_01
8.296,8.638,Formación,0.8460,0.9808,SPEAKER_01
8.879,9.12,"Democrática,",0.0810,0.9999,SPEAKER_01
9.36,10.344,que,0.6560,1.0000,SPEAKER_01
10.404,10.565,tiene,0.8810,1.0000,SPEAKER_01
10.625,10.705,por,0.9390,0.9912,SPEAKER_01
10.766,11.167,objeto,0.9270,0.9986,SPEAKER_01
11.207,11.73,entregar,0.5890,0.9958,SPEAKER_01
11.75,11.77,a,0.1590,0.9974,SPEAKER_01
11.81,12.232,estudiantes,0.6630,0.9998,SPEAKER_01
12.252,12.995,universitarios,0.5630,0.9383,SPEAKER_01
14.059,14.521,elementos,0.9730,0.9999,SPEAKER_01
14.561,15.324,conceptuales,0.9380,0.9997,SPEAKER_01
15.465,15.605,para,0.8970,0.9999,SPEAKER_01
15.686,15.806,que,0.8420,1.0000,SPEAKER_01
16.208,16.288,se,0.9910,1.0000,SPEAKER_01
16.368,16.649,vayan,0.9760,0.9992,SPEAKER_01
16.951,17.513,formando,0.9720,1.0000,SPEAKER_01
