start,end,word,alignment_score,probability,speaker
3.8,4.324,...y,0.7440,0.4860,SPEAKER_08
4.364,4.606,aquí,0.8520,0.8282,SPEAKER_08
4.646,4.988,en,0.9240,0.8796,SPEAKER_08
5.029,5.331,especial,0.8830,0.9998,SPEAKER_08
5.391,5.472,del,0.8810,0.9602,SPEAKER_08
5.492,5.774,profesor,0.8500,0.9980,SPEAKER_08
6.096,6.338,Juan,0.7390,0.9999,SPEAKER_08
6.358,6.66,Lins,0.7600,0.9708,SPEAKER_08
7.244,7.385,sobre,0.7320,0.5272,SPEAKER_08
7.426,7.486,el,0.4420,1.0000,SPEAKER_08
7.587,7.869,tema,0.8420,1.0000,SPEAKER_08
7.909,8.715,parlamentarismo,0.6580,0.9833,SPEAKER_08
8.735,8.755,y,0.9950,1.0000,SPEAKER_08
8.775,9.5,presidencialismo.,0.4470,0.9998,SPEAKER_08
10.92,11.061,Yo,0.8200,0.9998,SPEAKER_08
11.081,11.222,quiero,0.7530,1.0000,SPEAKER_08
11.243,11.726,agradecer,0.5160,1.0000,SPEAKER_08
11.767,12.089,antes,0.3020,0.9481,SPEAKER_08
12.13,12.23,que,0.5500,1.0000,SPEAKER_08
12.251,12.452,nada,0.7780,1.0000,SPEAKER_08
12.472,12.492,a,0.4380,0.9997,SPEAKER_08
12.553,12.916,Óscar,0.8040,0.7765,SPEAKER_08
12.956,13.279,"Godoy,",0.8660,0.8962,SPEAKER_08
14.166,14.488,director,0.8950,0.7590,SPEAKER_08
14.529,14.609,del,0.0360,0.6728,SPEAKER_08
14.629,14.932,Instituto,0.3170,0.9984,SPEAKER_08
14.972,15.033,de,0.6130,1.0000,SPEAKER_08
15.053,15.234,Ciencia,0.5120,0.9846,SPEAKER_08
15.295,15.577,Política,0.7490,0.9996,SPEAKER_08
15.637,15.678,de,0.8620,0.9990,SPEAKER_08
15.698,15.779,la,0.8060,0.9977,SPEAKER_08
15.799,15.98,"Católica,",0.1110,0.9993,SPEAKER_08
16.0,16.466,gracias,0.5710,0.9991,SPEAKER_08
16.486,16.507,a,0.5730,1.0000,SPEAKER_08
16.628,16.79,quien,0.8530,0.9943,SPEAKER_08
16.831,17.804,estas,0.8510,0.9991,SPEAKER_08
17.865,18.128,figuras,0.9870,1.0000,SPEAKER_08
18.169,18.412,están,0.6740,1.0000,SPEAKER_08
18.473,18.777,aquí,0.8290,1.0000,SPEAKER_08
18.797,18.918,en,0.8590,0.9999,SPEAKER_08
18.939,19.06,Chile.,0.1670,1.0000,SPEAKER_08
20.74,21.345,Nosotros,0.8670,0.9998,SPEAKER_08
21.426,21.931,publicamos,0.8900,1.0000,SPEAKER_08
21.951,21.991,el,0.4960,1.0000,SPEAKER_08
22.012,22.778,"año,",0.9220,1.0000,SPEAKER_08
22.799,22.819,y,0.9700,0.9985,SPEAKER_08
