start,end,word,alignment_score,probability,speaker
4.44,5.225,El,0.5920,0.8296,SPEAKER_02
5.305,5.829,comentario,0.9520,0.9977,SPEAKER_02
5.909,5.949,lo,0.8660,0.9993,SPEAKER_02
6.03,6.272,hará,0.8300,0.9623,SPEAKER_02
6.533,6.996,Rodrigo,0.8950,0.9999,SPEAKER_02
7.117,7.62,"Manuels,",0.6680,0.7257,SPEAKER_02
8.143,8.264,creo,0.9480,0.9985,SPEAKER_02
8.304,8.385,que,0.7380,0.9999,SPEAKER_02
8.425,8.546,todos,0.4750,0.9997,SPEAKER_02
8.586,8.848,ustedes,0.6530,0.9991,SPEAKER_02
8.928,9.291,conocen,0.9060,0.9999,SPEAKER_02
9.391,9.592,quienes,0.8500,0.5314,SPEAKER_02
9.673,9.834,"son,",0.8390,1.0000,SPEAKER_02
10.74,10.82,debo,0.1810,0.9745,SPEAKER_02
10.8,11.263,cumplir,0.6680,0.9993,SPEAKER_02
13.698,13.758,con,0.0000,1.0000,SPEAKER_02
13.778,13.839,"él,",0.0000,0.6959,SPEAKER_02
13.859,13.98,con,0.8280,0.9999,SPEAKER_02
14.02,14.1,el,0.9270,1.0000,SPEAKER_02
14.181,14.382,rito,0.9650,0.9997,SPEAKER_02
14.422,14.503,de,0.1920,0.9997,SPEAKER_02
14.583,14.845,decir,0.9510,1.0000,SPEAKER_02
15.026,15.167,que,0.9420,0.9003,SPEAKER_02
15.207,15.69,Francisco,0.6270,1.0000,SPEAKER_02
15.71,15.912,"Pérez,",0.6380,0.9993,SPEAKER_02
15.952,16.274,ingeniero,0.5230,0.9843,SPEAKER_02
16.334,16.777,comercial,0.8150,1.0000,SPEAKER_02
16.817,16.858,de,0.4980,1.0000,SPEAKER_02
16.978,17.019,la,0.0000,1.0000,SPEAKER_02
17.039,17.26,Universidad,0.0910,0.9993,SPEAKER_02
17.24,17.924,"Católica,",0.7170,0.9999,SPEAKER_02
18.688,18.749,se,0.8550,1.0000,SPEAKER_02
18.809,19.171,graduó,0.8680,0.9995,SPEAKER_02
19.191,19.332,en,0.4960,1.0000,SPEAKER_02
19.413,19.815,Business,0.8740,0.9480,SPEAKER_02
20.117,20.238,en,0.9400,1.0000,SPEAKER_02
20.298,20.358,la,0.9980,1.0000,SPEAKER_02
20.398,20.821,Universidad,0.7990,1.0000,SPEAKER_02
20.861,20.982,de,0.5530,1.0000,SPEAKER_02
21.062,21.565,"Chicago,",0.8250,0.9999,SPEAKER_02
21.585,21.626,es,0.4460,0.9935,SPEAKER_02
22.511,22.913,profesor,0.9660,0.9999,SPEAKER_02
22.933,22.974,de,0.5000,1.0000,SPEAKER_02
22.994,23.356,la,0.8140,1.0000,SPEAKER_02
23.396,23.597,Escuela,0.9210,0.9952,SPEAKER_02
23.617,23.678,de,0.7200,1.0000,SPEAKER_02
23.698,24.1,Administración,0.5660,0.9997,SPEAKER_02
24.08,24.12,de,0.0920,0.9261,SPEAKER_02
24.423,24.483,la,0.6900,0.9995,SPEAKER_02
24.503,24.785,Universidad,0.6650,0.9878,SPEAKER_02
24.825,25.269,"Católica,",0.9590,0.9999,SPEAKER_02
25.309,27.666,actualmente,0.9140,0.9988,SPEAKER_02
27.747,27.828,se,0.9820,0.9995,SPEAKER_02
27.888,28.311,desempeña,0.8190,0.9996,SPEAKER_02
28.372,28.472,como,0.9570,0.9997,SPEAKER_02
28.492,28.936,gerente,0.7610,0.9503,SPEAKER_02
28.976,29.036,de,0.1220,0.9998,SPEAKER_02
29.057,29.5,Administración,0.4590,0.8188,SPEAKER_02
29.52,29.54,y,1.0000,0.9984,SPEAKER_02
29.52,30.164,Finanzas,0.6460,0.9745,SPEAKER_02
30.385,30.506,en,0.9030,0.9990,SPEAKER_02
30.666,31.209,"Provida,",0.9870,0.9108,SPEAKER_02
32.255,32.296,ha,0.0080,0.4583,SPEAKER_02
32.316,32.637,escrito,0.9370,0.9998,SPEAKER_02
32.678,33.04,distintos,0.8630,0.9999,SPEAKER_02
33.14,33.663,artículos,0.9520,0.9999,SPEAKER_02
35.192,35.292,para,0.9640,0.9996,SPEAKER_02
35.312,35.594,estudios,0.8100,0.9985,SPEAKER_02
35.715,36.077,"públicos,",0.8210,0.9999,SPEAKER_02
36.097,36.137,de,0.5190,0.5288,SPEAKER_02
36.157,36.218,lo,0.8320,0.5071,SPEAKER_02
36.278,36.419,cual,0.7600,0.9998,SPEAKER_02
36.439,36.499,nos,0.0050,0.9750,SPEAKER_02
36.519,36.68,honramos,0.1300,0.9998,SPEAKER_02
36.66,38.47,mucho.,0.6370,0.9989,SPEAKER_02
38.53,38.812,Rodrigo,0.8430,0.9990,SPEAKER_02
38.892,39.355,Manuels,0.8620,0.4416,SPEAKER_02
39.536,39.616,es,0.9380,0.9902,SPEAKER_02
39.696,39.998,ingeniero,0.8300,0.9807,SPEAKER_02
40.078,40.541,"comercial,",0.9210,0.9999,SPEAKER_02
40.581,41.245,Escuela,0.4950,0.9912,SPEAKER_02
41.265,41.305,de,0.4750,0.9999,SPEAKER_02
41.345,41.667,Negocios,0.8060,0.9906,SPEAKER_02
41.727,42.351,"Valparaíso,",0.9290,0.8880,SPEAKER_02
42.391,43.256,Máster,0.6960,0.8432,SPEAKER_02
43.276,43.376,en,0.7760,0.9996,SPEAKER_02
43.437,44.08,Finanzas,0.9060,0.9988,SPEAKER_02
44.06,44.584,del,0.6010,0.4983,SPEAKER_02
44.644,44.926,London,0.8200,0.9992,SPEAKER_02
44.987,45.269,School,0.4310,0.9999,SPEAKER_02
45.37,45.41,of,0.0160,0.9999,SPEAKER_02
45.43,45.934,Economics,0.7880,0.9994,SPEAKER_02
46.639,46.74,and,0.7110,0.9949,SPEAKER_02
46.78,47.123,Political,0.7310,0.9985,SPEAKER_02
47.183,47.566,"Science,",0.5390,0.9956,SPEAKER_02
48.372,48.815,profesor,0.9260,0.9940,SPEAKER_02
48.835,48.916,de,0.6620,0.9999,SPEAKER_02
48.936,48.976,la,0.9500,1.0000,SPEAKER_02
49.016,49.238,Escuela,0.9710,0.9999,SPEAKER_02
49.258,49.339,de,0.5760,0.9999,SPEAKER_02
49.359,49.52,Negocios,0.1250,0.9992,SPEAKER_02
49.5,50.348,Valparaíso,0.4830,0.9967,SPEAKER_02
50.368,50.388,y,0.9970,0.5822,SPEAKER_02
50.428,51.074,se,0.8300,0.9998,SPEAKER_02
51.135,51.578,"desempeña,",0.8150,0.9997,SPEAKER_02
51.639,51.74,como,0.7730,0.9996,SPEAKER_02
51.78,52.002,ustedes,0.8050,0.9983,SPEAKER_02
52.103,52.305,"saben,",0.9590,0.9984,SPEAKER_02
52.365,52.446,como,0.7400,0.9990,SPEAKER_02
52.587,52.93,gerente,0.9050,0.9851,SPEAKER_02
53.011,53.314,general,0.9630,0.9993,SPEAKER_02
53.475,53.536,de,0.9680,0.9994,SPEAKER_02
53.576,53.677,la,0.8090,0.9985,SPEAKER_02
53.758,54.02,Asociación,0.2860,0.9419,SPEAKER_02
