start,end,word,alignment_score,probability,speaker
0.0,0.322,El,0.8540,0.9924,SPEAKER_00
0.383,0.705,masivo,0.9510,0.9948,SPEAKER_00
0.805,1.168,respaldo,0.9500,0.9998,SPEAKER_00
1.248,1.651,popular,0.9480,0.9997,SPEAKER_00
2.215,2.739,manifestado,0.9320,0.9930,SPEAKER_00
2.779,2.839,en,0.9860,0.9999,SPEAKER_00
2.9,3.02,la,0.9960,0.9700,SPEAKER_00
3.061,3.443,Alameda,0.9600,0.9982,SPEAKER_00
4.068,4.188,no,0.9900,0.9735,SPEAKER_00
4.249,4.611,detuvo,0.9400,0.9992,SPEAKER_00
4.692,4.752,el,0.8200,0.9982,SPEAKER_00
4.833,5.235,complot,0.8470,0.9809,SPEAKER_00
5.296,5.92,antidemocrático.,0.3620,0.9995,SPEAKER_00
6.92,7.061,El,0.5780,0.9999,SPEAKER_00
7.122,7.465,senador,0.9290,0.9995,SPEAKER_00
7.546,7.647,del,0.6850,0.9999,SPEAKER_00
7.728,8.031,Partido,0.9240,0.9441,SPEAKER_00
8.111,8.475,"Nacional,",0.9430,0.9999,SPEAKER_00
8.515,9.585,Francisco,0.7080,1.0000,SPEAKER_00
9.686,10.07,"Bulnes,",0.9400,0.8937,SPEAKER_00
10.474,10.656,así,0.8540,0.9997,SPEAKER_00
10.696,10.757,lo,0.9700,1.0000,SPEAKER_00
10.817,11.14,demostró.,0.3020,0.9999,SPEAKER_00
11.7,12.527,Allende,0.8560,0.9978,SPEAKER_01
12.567,12.628,es,0.1580,0.9999,SPEAKER_01
12.648,12.708,un,0.6850,1.0000,SPEAKER_01
12.749,13.152,presidente,0.8410,0.9999,SPEAKER_01
13.233,13.878,fracasado,0.8570,0.9998,SPEAKER_01
15.612,15.632,y,0.0070,0.5500,SPEAKER_01
15.652,15.693,ha,0.3640,0.9981,SPEAKER_01
15.713,15.834,hecho,0.9210,0.9998,SPEAKER_01
15.935,16.318,fracasar,0.7700,0.9994,SPEAKER_01
16.358,16.479,al,0.8560,1.0000,SPEAKER_01
16.499,16.6,país.,0.2000,1.0000,SPEAKER_01
17.22,18.064,Y,0.8280,0.9995,SPEAKER_01
18.084,18.164,yo,0.8520,1.0000,SPEAKER_01
18.245,18.426,creo,0.8620,1.0000,SPEAKER_01
18.526,18.667,que,0.4720,1.0000,SPEAKER_01
18.687,18.747,lo,0.7280,0.9999,SPEAKER_01
18.808,18.928,que,0.6400,0.9999,SPEAKER_01
18.948,19.209,más,0.6870,0.9930,SPEAKER_01
19.752,19.812,lo,0.9310,0.9876,SPEAKER_01
19.893,20.234,podría,0.9210,0.9999,SPEAKER_01
20.254,20.757,honrar,0.8510,0.9998,SPEAKER_01
21.279,21.36,en,0.9700,0.9989,SPEAKER_01
21.4,21.541,este,0.8430,1.0000,SPEAKER_01
21.601,21.963,momento,0.8870,1.0000,SPEAKER_01
22.003,22.043,es,0.4700,0.9994,SPEAKER_01
23.188,23.45,que,0.7560,0.9999,SPEAKER_01
23.47,23.51,él,0.3180,0.9997,SPEAKER_01
24.736,24.876,se,0.5330,0.9996,SPEAKER_01
24.917,25.399,retirara,0.7580,0.9996,SPEAKER_01
25.419,25.459,de,0.0000,0.9712,SPEAKER_01
25.479,25.519,su,0.0000,0.9962,SPEAKER_01
25.54,25.66,"cargo,",0.1660,0.9992,SPEAKER_01
