start,end,word,alignment_score,probability,speaker
5.78,6.589,Buenas,0.7370,0.9477,SPEAKER_04
6.609,6.852,tardes,0.9190,1.0000,SPEAKER_04
6.892,6.912,a,0.3580,0.9988,SPEAKER_04
6.973,7.236,"todos,",0.9700,1.0000,SPEAKER_04
7.276,7.418,en,0.8000,0.9996,SPEAKER_04
7.479,7.661,nombre,0.7840,0.9996,SPEAKER_04
7.681,7.742,del,0.5500,0.9995,SPEAKER_04
7.782,7.984,Centro,0.6420,0.9936,SPEAKER_04
8.004,8.045,de,0.1640,0.9839,SPEAKER_04
8.065,8.267,Estudios,0.3760,0.9984,SPEAKER_04
8.389,8.732,Públicos,0.7800,0.9997,SPEAKER_04
8.793,8.975,les,0.1820,0.9058,SPEAKER_04
8.995,9.056,doy,0.0130,0.9996,SPEAKER_04
9.076,9.137,la,0.7830,0.9999,SPEAKER_04
9.177,9.44,bienvenida,0.2970,0.9999,SPEAKER_04
9.42,9.601,a,0.2150,0.9999,SPEAKER_04
9.621,9.722,este,0.4290,0.9999,SPEAKER_04
9.782,9.964,nuevo,0.2840,0.9998,SPEAKER_04
9.984,10.427,seminario,0.8830,0.9999,SPEAKER_04
10.447,10.507,que,0.3350,0.9899,SPEAKER_04
11.594,11.896,versará,0.6530,0.9946,SPEAKER_04
12.017,12.42,sobre,0.9220,0.9999,SPEAKER_04
13.366,13.446,una,0.9950,0.9998,SPEAKER_04
13.507,14.03,interpretación,0.9690,1.0000,SPEAKER_04
14.07,14.735,alternativa,0.8350,1.0000,SPEAKER_04
15.057,15.137,de,0.9020,1.0000,SPEAKER_04
15.158,15.359,los,0.9190,0.9997,SPEAKER_04
15.379,15.54,orígenes,0.1260,0.9996,SPEAKER_04
15.52,15.56,de,0.1140,1.0000,SPEAKER_04
15.58,15.621,la,0.1090,0.9999,SPEAKER_04
15.641,15.762,crisis,0.0840,0.9995,SPEAKER_04
15.782,15.822,de,0.1780,0.9986,SPEAKER_04
15.883,16.145,la,0.2900,0.9994,SPEAKER_04
16.225,16.911,deuda.,0.6350,1.0000,SPEAKER_04
16.931,16.991,En,0.9440,0.9999,SPEAKER_04
17.032,17.132,este,0.7800,1.0000,SPEAKER_04
17.213,17.717,"seminario,",0.9310,1.0000,SPEAKER_04
18.16,18.543,Salvador,0.5840,0.9982,SPEAKER_04
18.564,19.007,"Valdés,",0.8890,0.9761,SPEAKER_04
19.733,20.196,profesor,0.9420,0.9985,SPEAKER_04
20.236,20.277,e,0.3510,0.9996,SPEAKER_04
20.337,20.66,investigador,0.5000,0.9998,SPEAKER_04
20.68,20.72,de,0.3850,0.9999,SPEAKER_04
20.7,20.74,la,0.0850,0.9779,SPEAKER_04
20.801,21.122,Universidad,0.0920,0.9990,SPEAKER_04
21.987,22.53,"Católica,",0.9680,0.9993,SPEAKER_04
23.114,23.436,doctor,0.8930,0.9662,SPEAKER_04
23.456,23.516,en,0.5060,0.9985,SPEAKER_04
23.536,23.979,Economía,0.8710,0.9662,SPEAKER_04
24.039,24.14,del,0.6800,0.6230,SPEAKER_04
24.26,24.783,"MIT,",0.7260,0.9994,SPEAKER_04
24.803,25.246,expondrá,0.8540,0.9976,SPEAKER_04
25.869,25.95,su,0.8080,0.9998,SPEAKER_04
26.01,26.513,trabajo,0.8740,1.0000,SPEAKER_04
26.573,27.7,Orígenes,0.2210,0.9136,SPEAKER_04
27.72,27.76,de,0.5000,1.0000,SPEAKER_04
27.74,27.8,la,0.1150,0.0426,SPEAKER_04
28.082,28.323,crisis,0.5710,0.9980,SPEAKER_04
28.364,28.424,de,0.6920,0.9968,SPEAKER_04
28.464,28.545,la,0.7330,0.9976,SPEAKER_04
28.605,28.866,deuda.,0.8380,0.9999,SPEAKER_04
29.269,29.369,Nos,0.7550,0.9756,SPEAKER_04
29.43,29.912,prestaron,0.8270,0.9991,SPEAKER_04
29.973,30.033,en,0.5300,0.9902,SPEAKER_04
30.093,30.435,"exceso,",0.9070,0.9999,SPEAKER_04
30.496,30.616,nos,0.6670,0.9638,SPEAKER_04
30.677,34.237,sobreendeudamos.,0.7470,0.8944,SPEAKER_04
34.257,34.297,Él,0.0000,0.9910,SPEAKER_04
34.317,34.478,expondrá,0.0000,0.9757,SPEAKER_04
34.498,34.8,aproximadamente,0.0880,0.9993,SPEAKER_04
34.78,35.383,35,0.3480,0.9889,SPEAKER_04
36.027,36.409,minutos,0.8340,1.0000,SPEAKER_04
36.429,36.449,y,0.9990,0.8465,SPEAKER_04
37.334,37.656,luego,0.8650,0.9998,SPEAKER_04
37.756,38.34,comentará,0.9630,0.9995,SPEAKER_04
38.702,39.084,Francisco,0.6870,0.9832,SPEAKER_04
39.104,39.526,Rosende,0.8680,0.8557,SPEAKER_04
39.586,39.888,primero,0.8870,0.8883,SPEAKER_04
39.908,40.19,15,0.7080,0.9310,SPEAKER_04
40.29,40.572,minutos,0.8690,1.0000,SPEAKER_04
40.592,40.612,y,0.9990,0.9950,SPEAKER_04
40.672,40.894,luego,0.8730,0.9994,SPEAKER_04
40.934,41.437,Ricardo,0.7030,0.9992,SPEAKER_04
41.577,42.06,French-Davis,0.4640,0.9807,SPEAKER_04
42.04,42.322,15,0.1940,0.6161,SPEAKER_04
42.544,42.746,minutos,0.6850,0.9913,SPEAKER_04
42.847,42.948,para,0.9040,1.0000,SPEAKER_04
43.028,43.392,terminar,0.9830,0.9780,SPEAKER_04
43.432,44.4,Salvador,0.7730,0.9999,SPEAKER_04
44.844,44.985,con,0.9540,0.9363,SPEAKER_04
45.187,45.429,5,0.5550,0.9987,SPEAKER_04
45.489,45.832,minutos.,0.7040,0.9916,SPEAKER_04
46.579,46.74,Gracias.,0.1300,1.0000,SPEAKER_04
53.08,54.105,"Bueno,",0.5380,0.9936,SPEAKER_03
54.126,54.249,en,0.4520,0.8535,SPEAKER_03
54.31,54.577,primer,0.8570,0.9994,SPEAKER_03
54.597,54.721,"lugar,",0.1670,1.0000,SPEAKER_03
55.56,56.295,en,0.2410,1.0000,SPEAKER_03
56.316,57.01,primer,0.3450,0.9831,SPEAKER_03
57.092,57.52,"lugar,",0.4660,0.9997,SPEAKER_03
57.74,58.162,quiero,0.5360,1.0000,SPEAKER_03
58.967,59.51,agradecer,0.8240,0.2582,SPEAKER_03
59.571,59.651,al,0.9800,0.9998,SPEAKER_03
59.711,59.892,Centro,0.7150,0.9997,SPEAKER_03
59.933,59.973,de,0.8100,0.9863,SPEAKER_03
59.993,60.295,Estudios,0.6460,0.9996,SPEAKER_03
60.436,60.838,Públicos,0.8530,0.9998,SPEAKER_03
60.858,60.918,por,0.3240,0.9998,SPEAKER_03
61.26,61.522,la,0.9960,0.9979,SPEAKER_03
62.105,62.709,oportunidad,0.7890,0.9999,SPEAKER_03
62.83,62.99,de,0.8080,0.9998,SPEAKER_03
63.795,64.258,presentar,0.9880,0.9994,SPEAKER_03
64.338,64.499,este,0.6980,0.9995,SPEAKER_03
64.519,64.66,trabajo,0.1420,0.9997,SPEAKER_03
64.64,65.081,a,0.4120,0.9998,SPEAKER_03
65.222,65.623,ustedes.,0.9450,0.9936,SPEAKER_03
70.275,70.957,"Básicamente,",0.9640,0.9982,SPEAKER_03
72.681,72.741,lo,0.9800,0.9838,SPEAKER_03
72.802,72.882,que,0.8690,0.9995,SPEAKER_03
72.942,73.042,yo,0.9720,1.0000,SPEAKER_03
73.102,73.203,voy,0.9540,0.9965,SPEAKER_03
73.243,73.263,a,0.0190,1.0000,SPEAKER_03
73.343,73.985,pretender,0.9370,1.0000,SPEAKER_03
74.025,75.609,mostrarles,0.8920,0.9999,SPEAKER_03
75.629,75.649,a,0.9970,0.9994,SPEAKER_03
75.789,76.251,ustedes,0.8450,0.9997,SPEAKER_03
77.173,77.293,es,0.8570,0.9999,SPEAKER_03
77.454,77.755,que,0.7560,0.7602,SPEAKER_03
79.219,79.359,son,0.9740,0.9999,SPEAKER_03
79.419,79.64,dos,0.9230,0.9884,SPEAKER_03
79.66,79.8,"cosas,",0.3430,0.9996,SPEAKER_03
79.82,80.203,dos,0.7540,0.9945,SPEAKER_03
80.263,80.505,ideas,0.8750,0.9738,SPEAKER_03
80.586,81.19,principales.,0.9140,0.9988,SPEAKER_03
81.573,81.613,La,0.8350,0.9996,SPEAKER_03
81.673,81.976,primera,0.9790,0.9982,SPEAKER_03
82.036,82.117,de,0.9840,0.9999,SPEAKER_03
82.197,82.399,ellas,0.7390,0.9989,SPEAKER_03
82.56,82.62,es,0.8730,0.9995,SPEAKER_03
82.681,82.781,que,0.7520,0.9998,SPEAKER_03
82.862,82.922,la,0.7520,0.9999,SPEAKER_03
83.023,83.285,banca,0.9670,0.9996,SPEAKER_03
83.345,83.869,internacional,0.9320,0.7444,SPEAKER_03
84.01,84.333,prestó,0.8320,0.9998,SPEAKER_03
84.373,84.453,en,0.6400,0.9987,SPEAKER_03
84.494,84.957,exceso,0.8500,0.9959,SPEAKER_03
84.977,84.997,a,0.5630,0.9982,SPEAKER_03
85.279,85.38,Chile,0.0890,0.9998,SPEAKER_03
85.36,86.44,entre,0.9360,0.9996,SPEAKER_03
86.542,86.624,los,0.8470,0.8609,SPEAKER_03
86.726,86.889,años,0.7220,0.9999,SPEAKER_03
86.909,86.95,79,0.9250,0.9999,SPEAKER_03
86.97,86.99,y,0.9930,0.9962,SPEAKER_03
87.031,87.52,79.,0.8680,0.1170,SPEAKER_03
89.9,91.167,Lo,0.7700,0.2159,SPEAKER_03
91.228,91.328,que,0.7840,0.2180,SPEAKER_03
91.389,91.691,pretendo,0.8760,0.9993,SPEAKER_03
91.731,92.093,explicar,0.9020,0.9992,SPEAKER_03
92.133,92.214,es,0.4540,0.9986,SPEAKER_03
92.314,92.415,por,0.9780,0.9921,SPEAKER_03
92.656,92.817,qué,0.7560,0.9982,SPEAKER_03
92.898,92.978,lo,0.9870,0.9995,SPEAKER_03
93.059,93.32,hizo,0.8320,0.9989,SPEAKER_03
93.34,93.36,y,0.9970,0.9999,SPEAKER_03
93.622,93.823,cómo,0.9650,0.9979,SPEAKER_03
93.883,93.964,lo,0.9790,0.9998,SPEAKER_03
94.044,94.266,hizo.,0.8050,0.9999,SPEAKER_03
95.453,95.533,La,0.9480,1.0000,SPEAKER_03
95.654,95.835,otra,0.9910,0.9996,SPEAKER_03
95.895,96.076,idea,0.8560,0.9996,SPEAKER_03
96.197,96.66,principal,0.8570,0.9996,SPEAKER_03
96.68,96.72,de,0.5000,0.9995,SPEAKER_03
96.7,97.082,este,0.4260,0.9999,SPEAKER_03
97.122,97.504,trabajo,0.8220,0.9998,SPEAKER_03
97.706,97.826,es,0.9180,0.9999,SPEAKER_03
100.863,100.944,"que,",0.0040,0.9996,SPEAKER_03
100.964,101.104,sin,0.7880,0.9951,SPEAKER_03
