start,end,word,alignment_score,probability,speaker
0.0,0.464,La,0.7080,0.7143,SPEAKER_05
1.009,1.635,"construcción,",0.8650,0.9994,SPEAKER_05
1.655,1.676,o,0.9960,0.5991,SPEAKER_05
1.716,2.281,"digamos,",0.4520,0.9996,SPEAKER_05
2.322,2.402,al,0.9480,0.9975,SPEAKER_05
2.443,2.645,marco,0.9300,1.0000,SPEAKER_05
2.746,3.271,jurídico,0.6220,1.0000,SPEAKER_05
3.311,3.351,de,0.4720,1.0000,SPEAKER_05
3.372,3.412,la,0.4980,1.0000,SPEAKER_05
3.432,4.118,democracia,0.7420,1.0000,SPEAKER_05
4.139,4.179,en,0.0000,1.0000,SPEAKER_05
4.199,4.3,Chile,0.2000,1.0000,SPEAKER_05
5.3,5.965,era,0.7790,0.8165,SPEAKER_05
6.025,6.065,la,0.9920,1.0000,SPEAKER_05
6.106,6.529,pregunta,0.8910,1.0000,SPEAKER_05
6.549,7.455,acerca,0.9580,1.0000,SPEAKER_05
7.516,7.576,de,0.7320,1.0000,SPEAKER_05
7.697,7.959,cómo,0.9730,1.0000,SPEAKER_05
8.865,9.228,debían,0.9380,0.9998,SPEAKER_05
9.329,9.752,"funcionar,",0.8120,1.0000,SPEAKER_05
10.114,10.276,"digamos,",0.0040,1.0000,SPEAKER_05
10.296,10.376,los,0.7590,1.0000,SPEAKER_05
10.417,10.658,partidos,0.5120,0.9996,SPEAKER_05
10.678,10.92,políticos.,0.2300,0.9997,SPEAKER_05
12.2,12.806,En,0.7770,1.0000,SPEAKER_05
12.846,12.907,el,0.8450,1.0000,SPEAKER_05
12.927,13.068,"fondo,",0.9280,0.9999,SPEAKER_05
13.129,13.351,ustedes,0.7140,0.9997,SPEAKER_05
13.412,13.694,"saben,",0.8970,1.0000,SPEAKER_05
13.715,13.795,hay,0.8330,1.0000,SPEAKER_05
13.836,14.018,varias,0.9320,1.0000,SPEAKER_05
14.179,14.603,"preguntas,",0.8540,1.0000,SPEAKER_05
14.644,15.068,"digamos,",0.7000,1.0000,SPEAKER_05
15.108,15.189,que,0.8510,1.0000,SPEAKER_05
15.209,15.431,están,0.8060,1.0000,SPEAKER_05
15.512,15.976,íntimamente,0.9240,0.9998,SPEAKER_05
16.158,16.36,vinculadas,0.0950,1.0000,SPEAKER_05
16.34,17.716,con,0.9700,1.0000,SPEAKER_05
17.777,17.817,el,0.9220,0.9993,SPEAKER_05
17.898,18.424,funcionamiento,0.8110,1.0000,SPEAKER_05
18.464,18.545,de,0.3930,1.0000,SPEAKER_05
18.586,18.626,un,0.6780,1.0000,SPEAKER_05
18.667,19.011,sistema,0.7920,1.0000,SPEAKER_05
19.051,19.84,democrático.,0.2660,1.0000,SPEAKER_05
21.76,22.345,Una,0.9170,0.9978,SPEAKER_05
22.446,22.526,"es,",0.7950,1.0000,SPEAKER_05
22.607,22.929,"digamos,",0.9400,1.0000,SPEAKER_05
23.312,23.373,el,0.9530,1.0000,SPEAKER_05
23.413,23.696,problema,0.9020,1.0000,SPEAKER_05
23.776,23.817,de,0.5000,1.0000,SPEAKER_05
23.917,24.058,cómo,0.9810,1.0000,SPEAKER_05
24.119,24.179,se,0.9800,1.0000,SPEAKER_05
24.26,24.764,constituyen,0.8060,0.9997,SPEAKER_05
24.825,24.845,y,0.9940,1.0000,SPEAKER_05
24.905,25.046,cómo,0.8930,1.0000,SPEAKER_05
25.127,25.611,funcionan,0.8460,1.0000,SPEAKER_05
25.954,26.317,legalmente,0.9570,0.9999,SPEAKER_05
26.357,26.559,los,0.3270,1.0000,SPEAKER_05
26.579,26.76,partidos.,0.1040,1.0000,SPEAKER_05
28.1,28.603,Otro,0.6120,0.9679,SPEAKER_05
28.684,28.804,es,0.8630,0.9996,SPEAKER_05
29.368,29.428,el,0.9030,0.9952,SPEAKER_05
29.489,30.233,problema,0.8470,0.9990,SPEAKER_05
30.253,31.903,"de,",0.9490,0.4391,SPEAKER_05
31.924,32.004,que,0.4620,0.9747,SPEAKER_05
32.024,32.085,es,0.6980,1.0000,SPEAKER_05
32.105,32.145,el,0.9720,1.0000,SPEAKER_05
32.185,32.407,problema,0.8360,0.9999,SPEAKER_05
32.447,32.749,básico,0.7780,1.0000,SPEAKER_05
32.789,32.829,en,0.9660,0.9708,SPEAKER_05
32.869,32.93,el,0.9510,1.0000,SPEAKER_05
32.99,33.211,"fondo,",0.9850,0.9983,SPEAKER_05
33.574,33.634,el,0.7930,0.9991,SPEAKER_05
33.674,33.896,problema,0.8750,0.9955,SPEAKER_05
33.956,34.077,del,0.6440,1.0000,SPEAKER_05
34.117,34.359,sistema,0.9500,0.9999,SPEAKER_05
34.419,34.62,"electoral,",0.1000,1.0000,SPEAKER_05
34.74,35.123,vale,0.2940,0.9141,SPEAKER_05
35.163,35.365,"decir,",0.6470,0.9905,SPEAKER_05
35.385,35.748,cómo,0.8810,0.9892,SPEAKER_05
35.848,35.949,se,0.9030,1.0000,SPEAKER_05
36.05,36.392,eligen,0.9760,0.9993,SPEAKER_05
36.433,37.299,los,0.9410,0.9996,SPEAKER_05
37.38,38.005,representantes,0.8440,0.9999,SPEAKER_05
