start,end,word,alignment_score,probability,speaker
3.82,4.432,Junto,0.8680,0.5850,SPEAKER_01
4.472,4.554,con,0.9680,0.1736,SPEAKER_01
4.615,4.921,agradecer,0.2770,0.9743,SPEAKER_01
4.962,5.023,la,0.7700,0.6051,SPEAKER_01
5.064,5.533,presencia,0.7510,0.8236,SPEAKER_01
5.553,5.594,de,0.0290,0.9836,SPEAKER_01
5.614,5.757,todos,0.3610,0.8096,SPEAKER_01
5.777,5.94,"ustedes,",0.1240,0.9975,SPEAKER_01
8.6,9.607,quiero,0.1820,0.9958,SPEAKER_01
9.627,9.949,partir,0.9630,0.9968,SPEAKER_01
10.09,10.251,por,0.9340,0.9996,SPEAKER_01
10.976,11.48,presentar,0.9880,0.8569,SPEAKER_01
11.5,11.52,a,0.9940,0.9971,SPEAKER_01
11.56,12.124,los,0.7580,0.9998,SPEAKER_01
12.426,12.95,expositores,0.8740,0.9999,SPEAKER_01
12.99,13.755,del,0.5540,0.9992,SPEAKER_01
13.916,14.319,seminario,0.5570,0.9999,SPEAKER_01
14.339,14.38,de,0.0040,1.0000,SPEAKER_01
14.4,14.46,hoy,0.3310,1.0000,SPEAKER_01
14.44,15.467,que,0.6050,1.0000,SPEAKER_01
15.548,15.87,va,0.9370,0.9999,SPEAKER_01
15.89,15.91,a,0.9960,1.0000,SPEAKER_01
16.978,17.26,tratar,0.9490,0.9992,SPEAKER_01
17.28,17.3,o,0.9590,1.0000,SPEAKER_01
17.582,17.723,estar,0.7930,1.0000,SPEAKER_01
17.763,18.126,relacionado,0.9140,0.4754,SPEAKER_01
18.226,18.367,con,0.9300,0.9998,SPEAKER_01
18.649,18.71,el,0.9300,1.0000,SPEAKER_01
18.77,19.132,sistema,0.9900,0.9963,SPEAKER_01
19.354,19.495,de,0.9780,0.8909,SPEAKER_01
19.757,20.24,"privatización,",0.5190,0.8742,SPEAKER_01
20.4,20.785,o,0.6880,1.0000,SPEAKER_01
20.805,20.846,el,0.8950,1.0000,SPEAKER_01
20.866,21.089,proceso,0.7830,1.0000,SPEAKER_01
21.109,21.17,de,0.7420,0.9989,SPEAKER_01
21.19,21.717,privatización,0.8910,1.0000,SPEAKER_01
21.738,21.798,que,0.3330,0.9998,SPEAKER_01
21.819,22.183,está,0.5790,0.9526,SPEAKER_01
22.244,22.447,viviendo,0.8610,0.9932,SPEAKER_01
22.487,22.548,la,0.3930,1.0000,SPEAKER_01
22.569,22.832,economía,0.5860,1.0000,SPEAKER_01
22.893,23.116,chilena,0.5050,1.0000,SPEAKER_01
23.136,23.46,actualmente.,0.4420,0.9940,SPEAKER_01
25.84,26.545,Siguiendo,0.8880,0.9999,SPEAKER_01
26.606,26.666,el,0.6580,0.9999,SPEAKER_01
26.747,27.009,orden,0.8690,1.0000,SPEAKER_01
27.029,27.19,de,0.7480,1.0000,SPEAKER_01
27.251,27.311,las,0.9930,0.9998,SPEAKER_01
27.372,28.097,"presentaciones,",0.9360,1.0000,SPEAKER_01
28.984,29.125,va,0.9920,0.9663,SPEAKER_01
29.145,29.165,a,0.9370,0.9998,SPEAKER_01
29.185,29.649,abrir,0.8950,1.0000,SPEAKER_01
29.689,30.697,este,0.9170,0.9998,SPEAKER_01
30.737,31.12,seminario,0.6700,0.9998,SPEAKER_01
31.1,31.565,Don,0.6320,0.9999,SPEAKER_01
31.585,31.868,Ervin,0.7210,0.9994,SPEAKER_01
31.888,32.07,"Han,",0.8920,1.0000,SPEAKER_01
32.11,33.141,quien,0.6350,1.0000,SPEAKER_01
33.262,33.303,es,0.4940,0.9997,SPEAKER_01
33.585,33.909,ingeniero,0.7480,0.9997,SPEAKER_01
33.99,34.232,civil,0.8860,0.7000,SPEAKER_01
34.313,34.353,de,0.9160,0.5714,SPEAKER_01
34.394,34.434,la,0.7580,0.7506,SPEAKER_01
34.454,34.818,Universidad,0.3240,0.9194,SPEAKER_01
34.838,35.02,"Católica,",0.1110,0.9999,SPEAKER_01
36.32,37.091,MBA,0.5860,0.9656,SPEAKER_01
37.497,37.558,en,0.9200,0.9997,SPEAKER_01
37.599,37.964,Administración,0.4740,1.0000,SPEAKER_01
38.005,38.045,de,0.9330,1.0000,SPEAKER_01
38.065,38.35,Empresa,0.8490,0.9950,SPEAKER_01
38.37,38.411,de,0.4880,0.9998,SPEAKER_01
38.451,38.492,la,0.9030,0.9982,SPEAKER_01
38.512,38.837,Universidad,0.4960,0.9990,SPEAKER_01
38.857,38.898,de,0.0060,0.9855,SPEAKER_01
38.918,39.08,"Chicago,",0.1250,1.0000,SPEAKER_01
39.94,40.788,director,0.9570,0.8864,SPEAKER_01
40.808,40.869,de,0.7440,0.9995,SPEAKER_01
40.889,40.93,la,0.9540,1.0000,SPEAKER_01
40.95,41.111,Escuela,0.4840,0.9999,SPEAKER_01
41.132,41.172,de,0.3030,0.9999,SPEAKER_01
41.192,41.616,Administración,0.7860,0.9989,SPEAKER_01
41.657,41.717,de,0.7420,0.9532,SPEAKER_01
41.737,41.798,la,0.2770,0.9999,SPEAKER_01
41.838,42.161,Católica,0.8380,1.0000,SPEAKER_01
42.182,42.323,entre,0.1400,0.9993,SPEAKER_01
42.363,42.444,los,0.8090,0.9944,SPEAKER_01
42.505,42.646,años,0.7480,0.9943,SPEAKER_01
42.666,42.707,82,0.9700,0.9995,SPEAKER_01
42.727,42.747,y,0.9400,0.9998,SPEAKER_01
42.767,44.1,"85,",0.7900,0.9996,SPEAKER_01
45.02,45.646,actualmente,0.9070,0.9985,SPEAKER_01
45.686,46.191,asesor,0.5740,1.0000,SPEAKER_01
46.211,46.292,del,0.6040,0.9999,SPEAKER_01
46.352,46.594,ministro,0.6910,0.9795,SPEAKER_01
46.615,46.655,de,0.5020,1.0000,SPEAKER_01
46.675,47.059,Economía,0.8540,0.9996,SPEAKER_01
47.079,47.119,en,0.4970,0.9997,SPEAKER_01
47.906,48.068,el,0.4030,0.9998,SPEAKER_01
48.149,48.351,tema,0.9870,0.9983,SPEAKER_01
48.431,48.512,de,0.8540,0.7538,SPEAKER_01
48.552,48.653,la,0.7060,0.9999,SPEAKER_01
49.057,49.4,"privatización,",0.2680,0.9991,SPEAKER_01
49.98,50.688,y,0.8700,0.9987,SPEAKER_01
50.708,50.891,también,0.9970,0.9999,SPEAKER_01
50.911,51.356,profesor,0.4910,0.9999,SPEAKER_01
51.376,51.963,de,0.7800,1.0000,SPEAKER_01
51.983,52.024,la,0.9710,0.9999,SPEAKER_01
52.044,52.246,Escuela,0.7660,0.9786,SPEAKER_01
52.267,52.307,de,0.0390,0.9998,SPEAKER_01
52.327,52.732,Administración,0.7110,0.9998,SPEAKER_01
52.793,52.853,de,0.3320,0.9998,SPEAKER_01
52.874,52.914,la,0.8550,0.9997,SPEAKER_01
52.955,53.238,Universidad,0.3170,1.0000,SPEAKER_01
53.258,53.44,Católica.,0.1120,0.9997,SPEAKER_01
53.44,53.521,Don,0.1540,0.9995,SPEAKER_01
53.541,53.662,"Ervin,",0.1060,0.9994,SPEAKER_01
54.774,54.855,el,0.8760,0.9997,SPEAKER_01
54.936,55.077,tema,0.8610,1.0000,SPEAKER_01
55.098,55.158,que,0.3330,0.9961,SPEAKER_01
55.279,56.371,Ervin,0.8500,0.9992,SPEAKER_01
56.452,56.614,va,0.7890,0.0000,SPEAKER_01
56.634,57.24,a...,0.8730,0.3151,SPEAKER_01
58.22,59.91,la,0.6320,0.3882,SPEAKER_01
59.931,60.212,exposición,0.7110,0.8914,SPEAKER_01
60.232,60.293,de,0.2970,0.9685,SPEAKER_01
60.333,60.514,Ervin,0.4920,0.9582,SPEAKER_01
60.534,60.575,va,0.2220,0.9993,SPEAKER_01
60.595,60.615,a,0.7050,0.8380,SPEAKER_01
60.635,60.816,basar,0.7760,0.3440,SPEAKER_01
60.917,61.178,sobre,0.9910,0.9992,SPEAKER_01
61.219,61.561,el,0.9280,0.9991,SPEAKER_01
61.641,62.003,proceso,0.9900,0.9990,SPEAKER_01
62.084,62.346,chileno,0.7960,0.9989,SPEAKER_01
62.426,62.466,de,0.9220,0.9999,SPEAKER_01
62.547,63.13,"privatización,",0.9260,0.6537,SPEAKER_01
63.151,63.211,año,0.3260,0.9979,SPEAKER_01
63.231,64.7,85-86.,0.6240,0.9951,SPEAKER_01
66.28,66.785,Enseguida,0.4740,0.9985,SPEAKER_01
68.12,68.342,va,0.9940,0.9990,SPEAKER_01
68.544,68.645,a,0.9900,0.9998,SPEAKER_01
68.766,69.09,dirigirse,0.8280,0.9995,SPEAKER_01
69.11,69.13,a,0.9870,0.9937,SPEAKER_01
69.151,69.413,ustedes,0.6910,0.9971,SPEAKER_01
69.454,69.777,Jorge,0.1050,0.9871,SPEAKER_01
69.797,70.06,"Arrazuri,",0.4270,0.9985,SPEAKER_01
70.16,70.906,quien,0.7360,0.9200,SPEAKER_01
70.926,71.007,es,0.8020,0.9999,SPEAKER_01
71.309,71.813,economista,0.9910,0.9998,SPEAKER_01
71.853,71.894,de,0.5980,0.9326,SPEAKER_01
71.914,71.954,la,0.9680,0.5377,SPEAKER_01
71.974,72.236,Universidad,0.4050,0.9974,SPEAKER_01
72.256,72.599,Católica,0.9690,0.7219,SPEAKER_01
72.66,72.7,y,0.4090,0.9981,SPEAKER_01
72.74,73.022,actual,0.8270,1.0000,SPEAKER_01
73.123,73.446,director,0.9280,0.9978,SPEAKER_01
73.486,73.97,ejecutivo,0.9390,0.9996,SPEAKER_01
74.071,74.494,del,0.9560,1.0000,SPEAKER_01
74.534,74.756,Vice,0.7300,0.9984,SPEAKER_01
74.816,75.018,Chile,0.8840,0.9999,SPEAKER_01
75.038,75.3,"Consul,",0.4770,0.9955,SPEAKER_01
75.36,76.791,y,0.8680,0.9996,SPEAKER_01
76.811,76.872,el,0.6960,0.9917,SPEAKER_01
76.932,77.053,tema,0.7920,0.9999,SPEAKER_01
77.113,77.255,que,0.1580,0.9622,SPEAKER_01
77.275,77.315,va,0.0310,0.8948,SPEAKER_01
77.335,77.355,a,0.0950,0.9616,SPEAKER_01
77.376,77.537,tratar,0.2800,0.8429,SPEAKER_01
77.577,77.799,Jorge,0.5530,0.9995,SPEAKER_01
77.94,78.383,Arrazuri,0.6420,0.9998,SPEAKER_01
78.504,78.544,es,0.4280,0.9998,SPEAKER_01
78.686,79.29,"privatización,",0.9520,0.9998,SPEAKER_01
79.331,80.076,experiencias,0.9070,0.9997,SPEAKER_01
80.157,80.58,comparadas.,0.6460,0.9996,SPEAKER_01
82.24,83.071,Finalmente,0.9080,0.9987,SPEAKER_01
83.155,83.217,va,0.4960,0.9995,SPEAKER_01
83.238,83.321,a...,0.2530,0.9996,SPEAKER_01
83.44,83.682,va,0.5090,0.9997,SPEAKER_01
83.703,83.723,a,0.0010,0.9860,SPEAKER_01
83.743,84.046,cerrar,0.9900,0.9990,SPEAKER_01
85.096,85.157,la,0.8840,0.9994,SPEAKER_01
85.217,85.601,parte...,0.9900,0.9947,SPEAKER_01
85.823,85.883,las,0.7940,0.8064,SPEAKER_01
85.964,86.55,"exposiciones,",0.8700,0.7428,SPEAKER_01
87.176,87.237,Don,0.0040,0.0008,SPEAKER_01
87.257,87.459,José,0.4690,0.9985,SPEAKER_01
87.479,87.62,"Piñera,",0.1430,0.9836,SPEAKER_01
88.92,89.796,quien,0.2150,0.3998,SPEAKER_01
89.817,89.858,es,0.0020,0.4904,SPEAKER_01
89.878,90.082,ingeniero,0.4680,0.9435,SPEAKER_01
90.122,90.367,comercial,0.2480,0.9994,SPEAKER_01
90.387,90.428,de,0.1400,0.0881,SPEAKER_01
90.469,90.51,la,0.1240,0.9973,SPEAKER_01
90.591,90.815,Universidad,0.1480,0.9960,SPEAKER_01
90.836,91.08,"Católica,",0.1830,0.9122,SPEAKER_01
91.8,92.225,MA,0.6680,0.9987,SPEAKER_01
92.386,92.508,y,0.9290,0.9388,SPEAKER_01
92.811,93.135,doctor,0.9780,0.9987,SPEAKER_01
93.701,93.741,en,0.0070,0.9967,SPEAKER_01
93.761,94.247,filosofía,0.7010,0.9914,SPEAKER_01
94.287,94.348,de,0.8180,0.9949,SPEAKER_01
94.449,94.489,la,0.2570,0.9993,SPEAKER_01
94.53,94.833,economía,0.7930,0.3072,SPEAKER_01
94.853,94.894,de,0.5300,0.9827,SPEAKER_01
94.914,94.954,la,0.8850,0.7651,SPEAKER_01
94.975,95.258,Universidad,0.3340,0.9504,SPEAKER_01
95.278,95.318,de,0.0080,0.9896,SPEAKER_01
95.338,95.5,"Harvard,",0.1250,0.3235,SPEAKER_01
96.42,97.054,profesor,0.8600,0.3838,SPEAKER_01
97.075,97.116,de,0.9980,0.9854,SPEAKER_01
97.136,97.525,economía,0.7670,0.9771,SPEAKER_01
97.566,97.607,de,0.5560,0.9998,SPEAKER_01
97.627,97.668,la,0.9960,0.9990,SPEAKER_01
97.689,97.996,Universidad,0.3780,0.9804,SPEAKER_01
98.016,98.2,"Católica,",0.1310,0.9987,SPEAKER_01
99.32,99.523,ex,0.7340,0.9995,SPEAKER_01
99.563,99.888,ministro,0.7610,0.9999,SPEAKER_01
99.969,100.577,del,0.9160,0.9943,SPEAKER_01
100.618,100.983,trabajo,0.8870,0.9968,SPEAKER_01
101.003,101.024,y,0.9980,1.0000,SPEAKER_01
101.47,101.693,también,0.9890,0.9998,SPEAKER_01
101.713,101.754,de,0.4980,0.9995,SPEAKER_01
101.896,102.22,"minería,",0.7690,0.9984,SPEAKER_01
102.96,103.143,y,0.8430,0.8283,SPEAKER_01
103.205,103.49,actual,0.8800,0.8919,SPEAKER_01
103.714,104.02,director,0.8810,0.9495,SPEAKER_01
104.061,104.122,de,0.8360,0.9940,SPEAKER_01
104.142,104.203,la,0.4000,0.9982,SPEAKER_01
104.265,104.509,revista,0.6850,0.9998,SPEAKER_01
104.53,104.815,Economía,0.5480,0.9994,SPEAKER_01
104.835,104.856,y,0.0000,0.9989,SPEAKER_01
104.876,105.1,Sociedad.,0.2800,0.9994,SPEAKER_01
105.14,105.705,El,0.5780,0.9996,SPEAKER_01
