start,end,word,alignment_score,probability,speaker
17.2,17.79,El,0.5940,0.8822,SPEAKER_04
18.604,18.787,Centro,0.7230,0.9683,SPEAKER_04
18.807,18.868,de,0.1990,0.9980,SPEAKER_04
18.888,19.153,Estudios,0.7020,0.9996,SPEAKER_04
19.255,19.6,Públicos,0.7350,0.9998,SPEAKER_04
19.58,20.083,a,0.3780,0.4240,SPEAKER_04
20.103,22.016,esta,0.8680,0.9981,SPEAKER_04
22.076,22.297,sesión,0.9060,0.9999,SPEAKER_04
22.378,22.821,inaugural,0.7910,0.9989,SPEAKER_04
22.861,23.123,del,0.5290,0.9995,SPEAKER_04
23.223,23.606,Seminario,0.9390,0.9941,SPEAKER_04
23.646,23.686,de,0.6190,0.9556,SPEAKER_04
23.706,24.129,Desarrollo,0.8260,0.9999,SPEAKER_04
24.21,24.532,"Social,",0.8220,0.9998,SPEAKER_04
24.592,25.075,Logros,0.6820,0.9828,SPEAKER_04
25.357,25.397,y,0.5110,0.9996,SPEAKER_04
25.458,25.84,Objetivos,0.2950,0.9991,SPEAKER_04
25.82,27.387,que,0.7440,0.6408,SPEAKER_04
27.428,27.508,se,0.7660,0.9981,SPEAKER_04
27.588,28.171,realizará,0.9080,0.9942,SPEAKER_04
28.211,28.553,"hoy,",0.8620,0.9978,SPEAKER_04
29.276,29.316,un,0.0040,0.5129,SPEAKER_04
29.336,29.758,martes,0.8550,0.9998,SPEAKER_04
30.0,30.381,próximo,0.8520,0.9971,SPEAKER_04
30.462,30.482,y,0.9190,0.9733,SPEAKER_04
30.542,30.622,el,0.3040,0.9954,SPEAKER_04
30.643,31.145,"siguiente,",0.8970,0.9990,SPEAKER_04
31.185,32.471,en,0.8240,0.9997,SPEAKER_04
32.531,32.692,esta,0.9210,0.9997,SPEAKER_04
32.793,33.094,sala,0.9780,0.9977,SPEAKER_04
33.355,33.395,a,0.8890,0.9547,SPEAKER_04
33.456,33.576,las,0.9360,1.0000,SPEAKER_04
33.978,34.219,seis,0.6930,0.7610,SPEAKER_04
34.239,34.259,y,0.0000,0.9999,SPEAKER_04
34.28,34.4,media.,0.1670,0.9999,SPEAKER_04
35.4,36.105,La,0.5780,0.9998,SPEAKER_04
36.166,36.327,idea,0.9230,0.9999,SPEAKER_04
36.367,36.509,ha,0.5940,1.0000,SPEAKER_04
36.609,36.871,sido,0.9240,1.0000,SPEAKER_04
37.093,37.355,tomar,0.9890,0.9999,SPEAKER_04
37.577,37.899,algunos,0.8510,0.9999,SPEAKER_04
37.98,38.484,aspectos,0.9080,0.9999,SPEAKER_04
38.524,38.746,del,0.4460,0.9999,SPEAKER_04
38.826,38.947,tema,0.9280,0.9994,SPEAKER_04
38.968,39.431,Desarrollo,0.6890,0.7751,SPEAKER_04
39.512,39.854,"Social,",0.9310,0.9985,SPEAKER_04
39.995,40.197,Logros,0.5960,0.5428,SPEAKER_04
40.237,40.298,y,0.4650,0.9998,SPEAKER_04
40.318,40.6,Objetivos,0.1870,0.9980,SPEAKER_04
40.58,41.003,cuyo,0.9150,0.5224,SPEAKER_04
41.064,41.346,título,0.9580,0.9987,SPEAKER_04
41.628,42.152,obviamente,0.8210,0.9241,SPEAKER_04
42.172,42.212,es,0.4980,0.9993,SPEAKER_04
43.321,43.663,bastante,0.8830,0.9992,SPEAKER_04
43.724,43.844,más,0.7320,0.9990,SPEAKER_04
43.925,44.187,amplio,0.6440,0.9998,SPEAKER_04
44.207,44.288,que,0.6290,0.9894,SPEAKER_04
44.308,44.348,lo,0.4920,0.9987,SPEAKER_04
44.389,44.449,que,0.8410,0.9999,SPEAKER_04
44.509,44.671,vamos,0.8650,0.9996,SPEAKER_04
44.691,44.731,a,0.4440,0.9999,SPEAKER_04
44.751,45.054,poder,0.4730,0.9999,SPEAKER_04
45.114,45.315,tocar,0.4860,0.9997,SPEAKER_04
45.336,45.416,en,0.2250,0.9994,SPEAKER_04
45.436,45.638,este,0.6410,0.9995,SPEAKER_04
45.658,45.94,seminario.,0.2350,0.9991,SPEAKER_04
47.52,48.27,La,0.9850,0.9991,SPEAKER_04
48.351,48.533,idea,0.6760,0.9999,SPEAKER_04
48.594,48.675,ha,0.4790,0.9999,SPEAKER_04
48.777,49.081,sido,0.9280,1.0000,SPEAKER_04
50.013,50.074,un,0.9660,0.9952,SPEAKER_04
50.114,50.256,poco,0.8300,0.9999,SPEAKER_04
50.317,50.357,la,0.0000,0.9983,SPEAKER_04
50.378,50.58,siguiente.,0.1000,0.9999,SPEAKER_04
50.58,51.087,En,0.8690,0.9970,SPEAKER_04
51.147,51.37,tiempos,0.7540,0.9998,SPEAKER_04
51.431,51.472,de,0.7900,1.0000,SPEAKER_04
51.573,52.039,recesión,0.8000,0.9993,SPEAKER_04
52.059,52.141,como,0.2500,0.9520,SPEAKER_04
52.89,53.093,la,0.6010,0.9988,SPEAKER_04
53.498,53.64,"actual,",0.1430,0.9997,SPEAKER_04
53.62,53.781,en,0.2920,0.5662,SPEAKER_04
55.791,56.072,general,0.8520,0.9984,SPEAKER_04
56.153,56.253,son,0.9580,0.9484,SPEAKER_04
56.293,56.374,los,0.9000,0.9997,SPEAKER_04
56.394,56.695,sectores,0.9910,0.9998,SPEAKER_04
56.735,57.037,más,0.7210,0.9981,SPEAKER_04
57.238,57.901,desposeídos,0.8260,0.9957,SPEAKER_04
57.962,58.102,los,0.7560,0.9989,SPEAKER_04
58.142,58.243,que,0.6810,0.9999,SPEAKER_04
58.364,58.745,sufren,0.9740,0.9998,SPEAKER_04
58.766,59.57,el,0.9590,0.9993,SPEAKER_04
59.63,59.811,mayor,0.8500,0.9999,SPEAKER_04
59.891,60.354,impacto,0.9970,0.9999,SPEAKER_04
60.756,60.816,de,0.9780,0.9986,SPEAKER_04
60.836,60.977,este,0.8680,0.9991,SPEAKER_04
61.037,61.178,tipo,0.9650,0.9999,SPEAKER_04
61.218,61.278,de,0.8220,0.9998,SPEAKER_04
61.379,61.68,situaciones.,0.1860,0.9625,SPEAKER_04
62.94,63.704,Nuestra,0.7020,0.9994,SPEAKER_04
63.764,63.945,idea,0.8890,0.9998,SPEAKER_04
63.985,64.106,ha,0.5980,0.9998,SPEAKER_04
64.186,64.448,sido,0.9900,1.0000,SPEAKER_04
65.533,66.076,examinar,0.9280,0.9988,SPEAKER_04
66.096,66.136,el,0.4980,0.9995,SPEAKER_04
67.885,68.227,problema,0.8230,0.9993,SPEAKER_04
68.307,68.689,social,0.9430,0.9998,SPEAKER_04
68.709,68.81,desde,0.1990,0.9992,SPEAKER_04
69.292,69.332,un,0.9980,0.9999,SPEAKER_04
69.393,69.674,ángulo,0.8960,0.9997,SPEAKER_04
69.714,70.518,principalmente,0.9340,0.9981,SPEAKER_04
70.538,70.9,"empírico,",0.3730,0.9999,SPEAKER_04
72.8,73.525,tratando,0.9720,0.9999,SPEAKER_04
73.565,73.606,de,0.9360,0.9999,SPEAKER_04
73.686,73.908,poner,0.8850,0.9996,SPEAKER_04
74.029,74.391,delante,0.9550,0.9793,SPEAKER_04
74.411,74.633,antes,0.7060,0.9594,SPEAKER_04
74.714,74.814,que,0.4640,0.9990,SPEAKER_04
74.834,75.036,nada,0.7460,0.9999,SPEAKER_04
75.157,75.257,las,0.6730,0.9981,SPEAKER_04
75.338,75.701,cifras,0.9840,0.9999,SPEAKER_04
77.413,77.473,y,0.9100,0.8933,SPEAKER_04
77.513,77.574,de,0.7660,0.9949,SPEAKER_04
77.634,78.178,evaluarlas,0.7350,0.9998,SPEAKER_04
78.198,78.46,críticamente,0.1120,0.9990,SPEAKER_04
78.44,79.468,para,0.8620,0.9248,SPEAKER_04
79.509,79.529,a,0.0180,0.9963,SPEAKER_04
79.609,80.134,continuación,0.9670,0.9998,SPEAKER_04
80.154,80.255,poder,0.1950,0.9994,SPEAKER_04
81.182,81.666,sugerir,0.9400,0.9997,SPEAKER_04
82.15,82.855,diagnósticos,0.8640,0.9961,SPEAKER_04
82.876,82.896,y,0.9770,0.9661,SPEAKER_04
83.178,83.44,"ojalá,",0.3020,0.9656,SPEAKER_04
83.42,84.205,proposiciones,0.8730,0.8445,SPEAKER_04
84.247,84.329,de,0.8070,0.9951,SPEAKER_04
84.371,84.681,solución.,0.3660,0.9984,SPEAKER_04
85.4,85.562,El,0.5480,0.9980,SPEAKER_04
85.663,86.028,énfasis,0.8310,0.9986,SPEAKER_04
86.089,86.129,de,0.7060,0.9996,SPEAKER_04
86.149,86.311,este,0.8010,0.9993,SPEAKER_04
86.372,86.736,seminario,0.8280,0.9990,SPEAKER_04
86.797,87.364,entonces,0.7430,0.8601,SPEAKER_04
87.384,87.445,es,0.9020,0.9976,SPEAKER_04
88.316,88.66,empírico.,0.3840,0.9990,SPEAKER_04
89.56,90.325,Hemos,0.8090,0.9998,SPEAKER_04
90.386,90.789,querido,0.8450,0.9999,SPEAKER_04
90.809,91.574,alejarnos,0.8440,0.9999,SPEAKER_04
91.634,91.695,un,0.6290,0.9991,SPEAKER_04
91.836,92.057,poco,0.9940,0.9999,SPEAKER_04
92.138,92.42,del,0.7010,0.9998,SPEAKER_04
92.44,93.266,"énfasis,",0.5070,0.9999,SPEAKER_04
93.286,93.326,a,0.3090,0.9993,SPEAKER_04
93.407,93.709,veces,0.9420,0.9999,SPEAKER_04
94.454,94.515,un,0.9900,0.9978,SPEAKER_04
94.595,94.756,poco,0.9760,0.9999,SPEAKER_04
94.857,95.32,"fastidioso,",0.5280,0.9997,SPEAKER_04
95.48,96.668,en,0.7020,0.9971,SPEAKER_04
97.071,97.131,lo,0.9910,0.9998,SPEAKER_04
97.172,97.272,que,0.8030,1.0000,SPEAKER_04
97.333,97.776,debería,0.9780,0.9999,SPEAKER_04
97.816,98.339,ocurrir,0.8700,0.9999,SPEAKER_04
99.346,99.447,en,0.8030,0.9985,SPEAKER_04
99.548,99.709,las,0.9280,0.9999,SPEAKER_04
100.132,100.474,visiones,0.8690,0.9985,SPEAKER_04
100.575,100.897,teóricas,0.8100,0.9998,SPEAKER_04
101.018,101.38,generales,0.6490,0.9992,SPEAKER_04
101.36,101.421,y,0.0900,0.9892,SPEAKER_04
101.602,101.844,tratar,0.4680,0.9996,SPEAKER_04
101.864,101.905,de,0.4830,0.9999,SPEAKER_04
101.945,102.409,acercarnos,0.7970,1.0000,SPEAKER_04
102.429,102.469,un,0.4540,0.9993,SPEAKER_04
102.631,102.832,poco,0.9700,0.9999,SPEAKER_04
102.873,102.893,a,0.9990,0.9999,SPEAKER_04
103.478,103.559,un,0.7670,0.9999,SPEAKER_04
103.599,104.023,examen,0.8720,0.9999,SPEAKER_04
104.103,104.708,cuidadoso,0.9260,0.9999,SPEAKER_04
104.85,104.91,de,0.9890,0.9997,SPEAKER_04
104.95,105.011,la,0.8880,0.9999,SPEAKER_04
105.112,105.717,información,0.8180,0.9999,SPEAKER_04
105.737,105.798,que,0.3140,0.9999,SPEAKER_04
105.898,106.1,tenemos.,0.2140,0.9998,SPEAKER_04
108.4,108.664,Es,0.4580,0.7189,SPEAKER_04
108.685,108.766,en,0.7690,0.9998,SPEAKER_04
108.807,108.908,ese,0.8310,0.9994,SPEAKER_04
108.929,109.376,espíritu,0.6540,0.9993,SPEAKER_04
109.396,109.457,que,0.3380,0.9999,SPEAKER_04
109.478,109.701,se,0.6370,0.9997,SPEAKER_04
109.864,109.945,ha,0.7400,0.9998,SPEAKER_04
110.006,110.576,configurado,0.9340,0.9988,SPEAKER_04
110.596,110.657,el,0.2310,0.9997,SPEAKER_04
110.677,110.86,programa.,0.1110,0.9901,SPEAKER_04
111.12,111.854,Los,0.7520,0.9986,SPEAKER_04
111.915,112.221,trabajos,0.8970,0.9997,SPEAKER_04
112.282,112.363,que,0.6600,0.9999,SPEAKER_04
112.404,112.486,se,0.9380,0.9999,SPEAKER_04
112.567,112.69,van,0.9500,0.9992,SPEAKER_04
112.71,112.73,a,0.9280,0.9999,SPEAKER_04
113.077,113.26,"realizar,",0.1050,0.9972,SPEAKER_04
114.06,114.811,se,0.7920,0.7845,SPEAKER_04
114.872,115.217,llaman,0.9350,0.9989,SPEAKER_04
116.252,116.312,de,0.9180,0.9805,SPEAKER_04
116.333,116.394,la,0.8630,1.0000,SPEAKER_04
116.434,116.698,siguiente,0.7350,0.9999,SPEAKER_04
116.718,116.86,"manera,",0.1430,0.9999,SPEAKER_04
116.96,117.587,distribución,0.6630,0.7644,SPEAKER_04
117.628,117.77,del,0.5580,1.0000,SPEAKER_04
117.85,118.296,"ingreso,",0.9350,0.9995,SPEAKER_04
118.316,119.004,empleo,0.8570,0.9999,SPEAKER_04
119.024,119.045,y,0.9970,0.9998,SPEAKER_04
119.065,119.753,política,0.7230,0.9994,SPEAKER_04
119.834,120.097,social,0.8660,0.9999,SPEAKER_04
120.117,120.239,en,0.8260,0.9999,SPEAKER_04
120.259,120.38,"Chile,",0.1660,0.9996,SPEAKER_04
120.54,120.865,que,0.5310,0.9996,SPEAKER_04
120.905,120.946,es,0.3990,1.0000,SPEAKER_04
120.987,121.048,el,0.2820,0.9999,SPEAKER_04
121.068,121.19,que,0.4530,0.9999,SPEAKER_04
121.21,121.413,vamos,0.9560,1.0000,SPEAKER_04
121.494,121.575,a,0.9480,1.0000,SPEAKER_04
121.778,122.286,examinar,0.8080,0.9999,SPEAKER_04
122.327,123.098,esta,0.7740,0.9998,SPEAKER_04
123.118,123.24,"tarde,",0.1540,1.0000,SPEAKER_04
123.92,124.667,y,0.8700,0.9995,SPEAKER_04
124.687,124.889,que,0.8470,1.0000,SPEAKER_04
125.01,125.09,ha,0.8870,1.0000,SPEAKER_04
125.131,125.272,sido,0.9870,1.0000,SPEAKER_04
125.333,125.736,preparado,0.9530,0.9999,SPEAKER_04
125.777,125.877,por,0.9480,0.9999,SPEAKER_04
125.898,125.938,el,0.9980,1.0000,SPEAKER_04
125.958,126.261,profesor,0.8120,0.9908,SPEAKER_04
126.362,126.644,Rivero,0.9080,0.9867,SPEAKER_04
126.685,126.725,y,0.4840,0.9973,SPEAKER_04
126.765,126.907,será,0.8230,0.9397,SPEAKER_04
126.967,127.391,comentado,0.9650,0.9995,SPEAKER_04
127.472,127.552,por,0.9530,1.0000,SPEAKER_04
127.572,127.633,el,0.7470,1.0000,SPEAKER_04
127.653,127.936,profesor,0.6360,0.9999,SPEAKER_04
128.016,128.44,Rodríguez.,0.4860,0.9999,SPEAKER_04
129.32,129.988,El,0.5560,0.9997,SPEAKER_04
130.069,130.393,próximo,0.9920,0.9998,SPEAKER_04
130.717,131.102,martes,0.9200,0.9999,SPEAKER_04
131.244,131.487,5,0.4830,0.9852,SPEAKER_04
131.548,131.609,de,0.7920,1.0000,SPEAKER_04
131.73,131.953,junio,0.9210,0.9996,SPEAKER_04
131.993,132.014,a,0.4890,0.9672,SPEAKER_04
132.034,132.196,las,0.4720,0.9997,SPEAKER_04
132.216,132.236,6,0.0000,0.7996,SPEAKER_04
132.257,132.398,y,0.8280,0.9626,SPEAKER_04
132.419,132.54,"media,",0.1660,0.9999,SPEAKER_04
132.7,133.669,tenemos,0.7940,0.9998,SPEAKER_04
133.709,133.851,el,0.2400,0.9999,SPEAKER_04
133.972,134.113,tema,0.8400,0.9998,SPEAKER_04
134.214,134.981,determinantes,0.9630,0.8719,SPEAKER_04
135.021,135.465,del,0.7520,0.9997,SPEAKER_04
135.526,135.99,descenso,0.8500,0.9995,SPEAKER_04
136.051,136.091,de,0.9640,0.9999,SPEAKER_04
136.152,136.192,la,0.9910,0.9999,SPEAKER_04
136.253,136.858,mortalidad,0.8560,0.9998,SPEAKER_04
136.879,136.919,en,0.0000,0.9999,SPEAKER_04
136.939,137.06,"Chile,",0.1650,0.9996,SPEAKER_04
137.66,138.346,en,0.9540,0.9992,SPEAKER_04
138.446,138.608,que,0.8410,0.9992,SPEAKER_04
138.628,138.83,el,0.8560,1.0000,SPEAKER_04
138.87,139.132,profesor,0.7420,1.0000,SPEAKER_04
139.172,139.778,Castañeda,0.8290,0.9992,SPEAKER_04
139.818,140.362,hace,0.7020,0.9993,SPEAKER_04
140.988,141.048,un,0.9970,0.9999,SPEAKER_04
141.108,141.512,esfuerzo,0.9460,0.9997,SPEAKER_04
141.613,141.714,por,0.8160,0.9993,SPEAKER_04
141.814,142.52,desentrañar,0.9570,0.9991,SPEAKER_04
142.5,142.844,las,0.6180,0.9809,SPEAKER_04
142.885,143.33,probables,0.7200,0.9931,SPEAKER_04
143.512,143.957,causas,0.9520,0.9999,SPEAKER_04
144.099,144.18,de,0.9580,0.9999,SPEAKER_04
144.221,144.261,la,0.7040,0.9998,SPEAKER_04
144.362,144.706,baja,0.9970,0.9988,SPEAKER_04
144.929,144.99,de,0.9760,0.9991,SPEAKER_04
145.03,145.091,la,0.8980,0.9998,SPEAKER_04
145.132,145.557,mortalidad,0.9000,0.9999,SPEAKER_04
145.678,145.719,en,0.0000,0.9994,SPEAKER_04
145.739,145.86,"Chile,",0.1640,0.9981,SPEAKER_04
146.0,146.603,que,0.8340,0.9996,SPEAKER_04
146.664,146.744,es,0.8480,1.0000,SPEAKER_04
147.709,147.81,uno,0.9600,0.9997,SPEAKER_04
147.85,147.89,de,0.7100,1.0000,SPEAKER_04
147.951,148.011,los,0.6850,1.0000,SPEAKER_04
148.091,148.514,indicadores,0.9000,1.0000,SPEAKER_04
148.634,148.735,más,0.9510,0.9996,SPEAKER_04
148.815,149.378,positivos,0.9860,0.9999,SPEAKER_04
149.398,149.459,que,0.3330,0.9993,SPEAKER_04
150.906,151.228,tenemos,0.8520,0.9999,SPEAKER_04
151.309,151.429,hoy,0.8640,0.9999,SPEAKER_04
151.49,151.671,día,0.9450,0.9994,SPEAKER_04
151.691,152.033,dentro,0.3780,0.9991,SPEAKER_04
152.073,152.113,de,0.9750,1.0000,SPEAKER_04
152.153,152.254,los,0.7600,0.9999,SPEAKER_04
152.314,152.656,países,0.8250,0.9998,SPEAKER_04
152.676,153.44,subdesarrollados.,0.4200,0.9981,SPEAKER_04
156.44,157.291,Este,0.8140,0.9991,SPEAKER_04
157.352,157.575,trabajo,0.9420,1.0000,SPEAKER_04
157.595,157.636,va,0.3830,0.9998,SPEAKER_04
157.676,157.696,a,0.5920,1.0000,SPEAKER_04
157.737,157.818,ser,0.9030,1.0000,SPEAKER_04
157.899,158.487,comentado,0.9110,0.9999,SPEAKER_04
158.547,158.628,por,0.8000,0.9999,SPEAKER_04
158.669,158.709,la,0.8190,0.9989,SPEAKER_04
158.73,159.155,profesora,0.8730,0.9988,SPEAKER_04
159.216,159.338,Dagmar,0.0230,0.8045,SPEAKER_04
159.358,159.54,Racinski.,0.0790,0.8259,SPEAKER_04
161.14,161.768,Y,0.7360,0.9840,SPEAKER_04
161.829,161.89,el,0.8940,0.9999,SPEAKER_04
161.971,162.214,martes,0.8270,0.9999,SPEAKER_04
162.235,162.275,12,0.9850,0.9993,SPEAKER_04
162.356,162.741,de,0.5540,1.0000,SPEAKER_04
162.863,163.228,"junio,",0.9900,0.9998,SPEAKER_04
163.248,163.451,a,0.7940,0.9999,SPEAKER_04
163.491,163.552,las,0.6840,0.9995,SPEAKER_04
163.613,163.816,6,0.4030,0.3866,SPEAKER_04
163.836,163.856,y,0.0930,0.8235,SPEAKER_04
163.876,163.978,media,0.0250,0.9995,SPEAKER_04
163.998,164.16,"también,",0.1230,0.9965,SPEAKER_04
164.9,165.565,el,0.6450,0.9999,SPEAKER_04
165.605,165.887,profesor,0.6910,0.9998,SPEAKER_04
165.988,166.169,Juan,0.7880,0.9999,SPEAKER_04
166.21,166.794,Pablo,0.4170,0.9889,SPEAKER_04
166.814,167.257,Illanes,0.7420,0.6914,SPEAKER_04
167.62,167.862,hará,0.9930,0.9982,SPEAKER_04
167.983,168.063,un,0.9940,0.9999,SPEAKER_04
168.124,168.688,examen,0.9340,0.9996,SPEAKER_04
169.091,169.151,de,0.9580,0.9999,SPEAKER_04
169.212,169.313,los,0.8590,0.9998,SPEAKER_04
169.393,169.978,indicadores,0.9540,1.0000,SPEAKER_04
170.038,170.179,de,0.6850,0.9999,SPEAKER_04
170.199,170.32,"salud,",0.1660,0.9998,SPEAKER_04
170.46,171.072,con,0.8000,0.9983,SPEAKER_04
171.133,171.603,respecto,0.8560,0.9987,SPEAKER_04
171.623,171.644,a,1.0000,0.9999,SPEAKER_04
171.807,171.848,lo,0.9650,0.9994,SPEAKER_04
